milliseconds,p53,MDM2
0,0.3600032053849721,0.7100614881065018
100,0.36002223300833697,0.7098456154244367
200,0.3600151810117537,0.7097442800836699
300,0.3600372536205561,0.7096334757497067
400,0.36003687949272867,0.7094583108325547
500,0.36003804483130003,0.7093431971673183
600,0.3600560770938138,0.7092905714161833
700,0.36007404725279946,0.7092196742754813
800,0.36007375061996605,0.7091141706173345
900,0.36007704908164906,0.7090028909709858
1000,0.3600878921408044,0.7088926705751789
1100,0.360092697046979,0.7088127592135905
1200,0.36012316848596054,0.7087376921614601
1300,0.3601117895462496,0.708723082656384
1400,0.36014752142128015,0.7085748677761476
1500,0.3601416007203068,0.7085717003422206
1600,0.3601669232207546,0.708491426113283
1700,0.36016512083138924,0.7084842470250677
1800,0.3601798390445537,0.7084095847914442
1900,0.36019185100431955,0.7083123369417778
2000,0.3601912289446048,0.7083682927948324
2100,0.3602114525914706,0.7082691951568116
2200,0.3602273039509362,0.7082063392447713
2300,0.3602442713634362,0.7081929504960774
2400,0.3602542056153951,0.7082056160118613
2500,0.36025746930981417,0.7081395604565448
2600,0.36026070098202956,0.7080999173737156
2700,0.36028190421452366,0.7080419387113375
2800,0.3603011420805063,0.7079947582310949
2900,0.3603111173965288,0.7080282034518223
3000,0.36030461143901066,0.707971577772308
3100,0.3603191046958898,0.7079686663580872
3200,0.36032488479804825,0.7079201498971045
3300,0.3603293652844588,0.7079610695989375
3400,0.3603499079725231,0.7078696254706536
3500,0.3603747274239343,0.7079109673608198
3600,0.36036060704593104,0.7078556669857634
3700,0.3603919953091781,0.7078231400568913
3800,0.3604085904521765,0.7078346135094283
3900,0.3604166694520945,0.7078614606111208
4000,0.3604060051106372,0.707809272378038
4100,0.3604374099777292,0.7077937734067663
4200,0.36042610884551834,0.7077515790213675
4300,0.3604499336236794,0.7078566415166626
4400,0.3604515606779878,0.707818591404433
4500,0.3604714506903349,0.7077927295119524
4600,0.3604795497296048,0.7077905087882541
4700,0.36047249756699606,0.7077175804095802
4800,0.36049255593084717,0.7077261130607811
4900,0.36050115629052043,0.7077099180034873
5000,0.36051054555976386,0.7077064183364128
