miliseconds,T,I,S,N
0,-42.943878650445846,-0.002297927658623878,-0.028568719469116433,1000000.0422217258
100,170.3552827939778,0.008870650194104957,0.0018865247633883747,999999.9738610835
200,-43.98971910944737,0.010122667231828043,-0.0319283655092345,1000000.0452648007
300,68.98050201108916,-0.023609543382268918,-0.012114058360896823,1000000.0515765762
400,-24.001268977958674,0.034307254074705855,-0.03490283374368047,999999.9574888572
500,15.513463555778634,0.020283808903391952,0.004344243345169586,1000000.0488482844
600,202.96241354590876,0.0150942879756103,-0.04623419234447706,999999.9674668555
700,20.474883097977017,-0.035517001795725596,-0.04124877362215893,1000000.0281572879
800,88.82904983936511,0.03139151826049835,-0.03990293929195509,999999.9576891207
900,-0.6215933482938851,-0.019510988746091612,-0.00608638800399402,1000000.01558983
1000,279.7785671053671,-0.036119682388012275,-0.026094082294498586,1000000.0067291559
1100,263.0724949369652,-0.02648961264188496,0.0441885874029811,999999.9636794978
1200,47.22728033468528,0.03203067544768022,0.0014631478871501725,999999.9908857353
1300,35.61029641289467,0.038288264551432104,0.037997116850276166,1000000.0043309027
1400,288.0495486450601,0.014182611770638504,-0.014022273523932224,999999.9963627473
1500,176.51940931907058,0.019917176874234166,0.01436884518090804,999999.9838893805
1600,86.64457276764938,0.023522064345525184,0.07046727521258245,999999.944866082
1700,178.31344065360116,-0.014574790116796358,-0.016039353488390876,999999.9776126199
1800,205.6937970530977,0.03936430910714177,0.019449119663041463,999999.9973279921
1900,242.83458092830642,0.04279121482886514,0.06077083345306932,999999.9958920465
2000,571.0504675262898,-0.007121568418768567,0.0775165183111801,999999.9530551592
2100,494.8580240583583,-0.008425703249805138,0.01808997246767282,999999.9033926494
2200,771.40539242196,0.0711872622173999,0.0665229116328888,999999.9559498264
2300,828.1057302547102,0.07719795397645968,0.07109625598098497,999999.8675585147
2400,953.2226426786534,0.035997068883913366,0.14946584070500482,999999.8601999853
2500,972.2362831597604,0.09548364685863273,0.12374424506366459,999999.827432578
2600,1254.1542430254344,0.09818853212686954,0.14492532702935662,999999.7899184625
2700,1482.4082304062047,0.08503226221983115,0.15530759236872102,999999.8478777688
2800,1345.6066377286984,0.0801958202166444,0.18558045143507107,999999.7755571763
2900,1747.1525263889146,0.13809074837103338,0.31321466155188504,999999.7451428672
3000,1846.7353777238106,0.20968604356938927,0.30409256553605124,999999.7048225738
3100,2259.4315681257053,0.1870346265550582,0.3921987734157127,999999.5691110806
3200,2485.2307722841515,0.2878959866671254,0.49012887121971627,999999.5951829804
3300,2916.758883859419,0.3318480643654133,0.47205666801833757,999999.4630641395
3400,3532.0864971523665,0.3516557792635187,0.6355046552332309,999999.4333545523
3500,3731.003268006102,0.3899233542774641,0.6767930502722643,999999.280817025
3600,4306.416182471968,0.4831868327925104,0.747749746714391,999999.2013176078
3700,4671.646526008342,0.5359419631346839,0.8857779080269783,999999.0958249432
3800,5107.7029585681075,0.6704459506069358,1.0136474449384316,999998.9552342471
3900,5749.40333356471,0.8034053044387005,1.132667777733631,999998.8149889292
4000,6390.140513020441,0.8890769126967732,1.303360193261648,999998.6618341863
4100,7469.397673327011,1.0751927869917453,1.4416410911788127,999998.5403245944
4200,8019.872133230866,1.231961961297546,1.6536999565296457,999998.2865487922
4300,8989.740591791062,1.3577806336655687,1.9144369393646308,999998.1271893444
4400,9951.664982769422,1.5516357937700762,2.0734056243083763,999997.9132689731
4500,10836.403302937442,1.7526690020248676,2.4114622658369846,999997.6038070804
4600,11698.097038780716,2.0666806475770074,2.670812359894182,999997.35396201
4700,13037.992356251267,2.3140339847701457,2.9545724040410817,999997.0615535108
4800,14158.869566618672,2.659527583231944,3.3549568972673494,999996.7107531199
4900,15262.25675548546,2.998728291996796,3.648870678923675,999996.3720416918
5000,16621.24637935729,3.347299449831852,4.098339565447717,999995.9196085011
