milliseconds,mLiver,mKidneyPlasma,mRemainder,mPlasmaVenous,mHeart,mMuscle,mAdipose,mBrain,mFeces,mUrine,mIntestineLumen,mPlasmaArterial,mLung,mPortalVein,mStomach,mIntestineEnterocytes,mKidneyTissue,mIntestineVascular,mStomachLumen,mKidneyTubular
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,35.34732880226664,1.4765685429226818,1.0785280659274947,2.245962231231198,4.779482132946455,0.7616538997006715,0.1316560912781234,1.314869375998909,91.29453650779925,0.5648167063057163,8989.996776733531,2.192072661857859,6.634845404376571,12.178513679339916,3.6967221722670236,2258.4100763492947,5.5622207921960625,84.86270477690945,12168.104562190394,16.558422316879874
200,100.17111012084408,5.498134984683405,5.24895151146163,7.9922595432967665,18.876617663515834,6.114700424116053,1.0594557345279836,5.707765067397219,285.6100972401556,11.0000229464697,12263.816032976043,7.924541819232825,23.84746051340367,24.142677003379113,19.475527147768172,5259.7710091201725,26.357206408065984,157.15001762171983,5519.477540036455,132.31635062141868
300,149.89442887036753,9.436691768579966,9.817974386055829,13.523991968531003,32.89221268496467,16.374324532356464,2.844104031544087,10.238282042503128,512.459665733729,46.859680435281476,13007.240154066554,13.468323408438403,40.46569894671866,31.885072706588424,37.75364784538902,7978.633124471649,52.056839022996165,198.39691917624305,2503.6480935771174,321.5920259446202
400,181.47349433344925,12.487520096225348,13.472630491922867,17.776325162709423,43.766332297256625,29.230669322472906,5.089796311947317,13.791342187056138,741.7589893115396,114.0544994834897,12697.4704297931,17.735517903892262,53.251077159389354,36.43013479777688,52.70295911233374,10171.09591627368,76.42496200455416,219.61840250649348,1135.6660558563965,515.032352632155
500,199.86298663564912,14.690279628978592,16.133232202855158,20.83420739849384,51.60694243251977,42.6078083793211,7.437107830068963,16.36158170761979,961.3864732096831,210.00349705379656,11987.782885904851,20.805231818863483,62.44731078579038,38.915387485603006,63.67337493538379,11822.848628600646,97.18446255262286,229.10986062446227,515.1434035825702,678.144188155243
600,209.8654765655206,16.253379421446912,18.021393150232413,22.999164676418502,57.16009952263071,55.23607269676316,9.663672569080422,18.18302050543224,1167.1057101642764,329.05667210493374,11161.420615786146,22.97866612109796,68.95836431400657,40.157796935220965,71.47590798917533,12999.08825261043,113.9393021289864,232.0452195372395,233.67145419897062,804.0312355270693
700,214.77280102879988,17.3614435060774,19.35771898761715,24.531571317361852,61.0905550215027,66.4961374207929,11.658877776040137,19.47213716179214,1358.0492303258384,465.5496747320972,10336.448649902373,24.517064120633062,73.56702126728666,40.66184682943745,76.9992700575394,13784.576478383322,127.04819701451942,231.37977389260544,105.99444517936854,897.2854370911325
800,216.58280794919037,18.1439021293049,20.301703444559678,25.6121891043839,63.86410190939301,76.17098890290109,13.381929206452229,20.382276850776,1534.711664219841,614.8298307481421,9558.060401592056,25.602029098607655,76.8171735309981,40.71847286997657,80.90238437004,14260.48053317228,137.04930231142203,228.7225553120532,48.07957477303515,965.0363730893341
900,216.44575099382575,18.68528658647859,20.95829216403793,26.35853772146897,65.78428781298743,84.26017502827746,14.830126996672988,21.013684764223562,1698.0718048094348,773.3391736694653,8840.0049709234,26.351665268652265,79.06249581209028,40.49090181331012,83.62259060380885,14496.694794278319,144.43313351679342,224.9286080317914,21.809119630652532,1013.566038405453
1000,215.01448889579214,19.04055739303181,21.39541653150272,26.846872423058855,67.04781962196628,90.86625292632104,16.01930420292851,21.43126743870436,1849.2198429833406,938.3985237997412,8183.038827750378,26.84259024330481,80.53244541209835,40.07098932322759,85.44329364205194,14550.502458817766,149.5930913283629,220.45051098811106,9.89271822865678,1047.5654248161331
1100,212.6661268110148,19.24670195467564,21.658248899375746,27.12847390438762,67.78650981899838,96.13234302842976,16.972953258434533,21.678375805652898,1989.20841060225,1107.9627161623496,7583.031148556041,27.126300006723373,81.38127527026471,39.512167547160345,86.55231257582693,14467.626407827973,152.84180773567203,215.53264197619288,4.487382657321983,1070.330619386405
1200,209.62930510050788,19.33005194259689,21.778442897596904,27.239838791605155,68.09374075238675,100.2104018218518,17.71661352058829,21.785585183714847,2119.000977386575,1280.428766612078,7034.433286855914,27.239418891842853,81.71871898392732,38.84753694463147,87.08049536085095,14283.994934053106,154.4395792136952,210.3138090865062,2.0354975586036512,1084.1576435982247
1300,206.05339209718866,19.310544170530395,21.779585322606057,27.20859054499563,68.03987742411955,103.24641627654911,18.275182450289915,21.775832445239658,2239.461138427289,1454.5045803531164,6531.689835218666,27.209648449411972,81.62779597368008,38.09941880128528,87.12472786340099,14027.547268416256,154.615818211811,204.8797651734081,0.9233111979663396,1090.6851744870557
1400,202.044830640905,19.204110910400228,21.680274154514606,27.05679159576,67.68091820670728,105.37436828083354,18.6717605677317,21.66730514730846,2351.357879392041,1629.1243090356809,6069.750636178787,27.059101623761343,81.17478994960241,37.2842714146799,86.7609868591019,13719.836528396983,153.58078900353073,199.28941254272655,0.41881826581340553,1091.1344521873737
1500,197.68583034843348,19.024007908748715,21.495831083332472,26.8027851207583,67.06330422058664,106.71449883506551,18.92726249995086,21.47504785195919,2455.376064697006,1803.3947088519687,5644.2021014997,26.806156696051346,80.41479745476602,36.415180916615746,86.05161286505336,13377.369172490802,151.53009553632282,193.58760092827274,0.1899779070267699,1086.461256330201
1600,193.04388422859304,18.781563106826848,21.239263575704495,26.462235967935904,66.22663199141402,107.37354202955882,19.060390114596956,21.21186653389265,2552.1276979834274,1976.5606078174553,5251.2471097001235,26.46650475435906,79.39486312935813,35.50311645961376,85.04938975631532,13012.691220555043,148.64510913079127,187.81125698166738,0.0861748535908197,1077.4471791647968
1700,188.17662917402185,18.48661575483192,20.92182393265847,26.0487431926015,65.20524361965646,107.4457647346724,19.087763024444477,20.8888568273563,2642.162271552049,2147.9816945341927,4887.632906700032,26.053765718495722,78.15582397597653,34.557568447723966,83.79990505493475,12635.255273466928,145.09176688961625,181.99227031797847,0.03908931589850815,1064.7530695991445
1800,183.1343854924801,18.14779065372444,20.553353239065906,25.574223794454216,64.02921769289193,107.01425576291952,19.024106449445664,20.51573150172192,2725.975704633152,2317.1159182718957,4550.568531479042,25.57987395042402,76.73346414540086,33.586883646703384,82.34299201960314,12252.106605201247,141.01920387022187,176.15883962884658,0.017731096168996496,1048.950277868411
1900,177.96155456946025,17.77268340406953,20.14250926273327,25.049172334535417,62.72503569230571,106.15221431848025,18.882449726544376,20.101039392610353,2804.0178506717157,2483.5067877262413,4237.64779789777,25.05533890338218,75.15929575708174,32.598453276098404,80.71367715033718,11868.42346932843,136.558923726681,170.33610949950614,0.00804290767562878,1030.5393627142803
2000,172.69745922115504,17.36799599536299,19.69692987049561,24.482850823127222,61.316066701466376,104.92413661692328,18.674315155887516,19.65232374873294,2876.698727478684,2646.773054724931,3946.782905996764,24.48943560520181,73.46112969913496,31.598830417160197,78.94285395265202,11487.941431353616,131.82472259213145,164.54649450931373,0.0036482999257968656,1009.9618878597315
2100,167.3769119386615,16.93964312255038,19.22335877713087,23.88343720335138,59.822944743086666,103.38686935818595,18.409889567416954,19.176244944529515,2944.39366817074,2806.5999537128764,3676.149258930029,23.890353508491106,71.66352177880451,30.593813443172916,77.05779780056704,11113.286081348744,126.91331359094947,158.80987497328272,0.0016548858293442272,987.6084518727172
2200,162.0306480396235,16.492839932469018,18.7277477360669,23.258147412409787,58.26387799171023,101.5905295617388,18.0981768621106,18.678680713310154,3007.4475835998414,2962.7315446622347,3424.140392460356,23.265318795697734,69.78813937160064,29.58851279699869,75.08258221950233,10746.233644252497,121.90548332922327,153.14374669722588,0.0007506639402099503,963.8246530015444
2300,156.68568845850413,16.03217698086653,18.215342796370468,22.61333919664516,56.65491121830623,99.57930247164055,17.74713232505801,18.164811038593083,3066.17850230825,3114.9639084422806,3189.3314576162593,22.620698369403005,67.85407320101069,28.58740910108801,73.03842906979796,10387.914967351542,116.8675860318411,147.56335909394812,0.00034050466130796357,938.9158847520785
2400,151.3656621645914,15.561685672247018,17.690758932558353,21.95460236654728,55.0101536545738,97.3921328656191,17.363780468662362,17.639191760129034,3120.880526078817,3263.1390484959743,2970.4497136259724,21.962090241954144,65.87810836054746,27.59440616171693,70.94401087343049,10038.975094113208,111.8532015175927,142.08185403982563,0.0001544544889903868,913.1514222451366
2500,146.09110177992426,15.08489615911308,17.158045632765354,21.286838357587413,53.3419796911183,95.06332500812876,16.954318399021787,17.10581934934315,3171.8263132667225,3407.1394060047237,2766.350675086631,21.294403205113273,63.87496320401599,26.61288038157012,68.81571615511635,9699.698022277262,106.90482188008762,136.71040827259404,7.006126991371676e-05,886.768030995824
2600,140.87971839151655,14.60488899039472,16.620745114667603,20.614330984715515,51.66120726578855,92.62306496289483,16.52420662039516,16.568188452941563,3219.2691800041885,3546.8829224619767,2575.9987829086085,20.621927675684923,61.857501783010946,25.645727180467386,66.66788475875923,9370.104176258204,102.0554727321134,131.45837832810176,3.178011918350388e-05,859.9732141567733
2700,135.74665817929775,14.124341419369353,16.081944330383486,19.940809728511738,49.977257366057984,90.0978770617051,16.07824899624921,16.029343325911217,3263.444891212681,3682.3185971028265,2398.4516817151903,19.948399059818815,59.836923854598794,24.6954046410213,64.51301794263625,9050.026491782506,97.33021058004482,126.33344582130042,1.4415610346275014e-05,832.9481582050765
2800,130.70474207403151,13.645569059474457,15.544321623690578,19.26950656322921,48.2982972195849,87.51102445553465,15.620663359800066,15.491923993207587,3304.5731987384565,3813.4224939003184,2232.847370220659,19.277054649130193,57.82293549544079,23.763974455754592,62.36196680058003,8739.169724727622,92.74746570124493,121.34176080068347,6.538987768222363e-06,805.8504113316042
2900,125.76468914620224,13.170563437439313,15.010188716442201,18.603207128025932,46.63136920816692,84.88286201625776,15.155144050508662,14.958207801545306,3342.859172291753,3940.1941573137024,2078.393643069891,18.610684851854632,55.82390272991318,22.853140218222084,60.22410177616639,8437.156583571606,88.32021978050265,116.4880812560729,2.9661149221884826e-06,778.8163178721014
3000,120.93532430115914,12.70102589962737,14.481528576095606,17.944296900163792,44.98250717451186,82.2311484517366,14.68491745994939,14.430146902566191,3378.4943596678445,4062.653399316866,1934.3593655118943,17.951679419169864,53.84699015114522,21.964283108899412,58.10746551785455,8143.563487639128,84.05702074420826,111.77590732445616,1.3454435737711238e-06,751.9632278888237
3100,116.2237708804975,12.238398260081434,13.960029627052167,17.29480292564289,43.35684152720746,79.57132333343345,14.21279150457003,13.909402122314455,3411.657805484805,4180.837423151791,1800.0672203603915,17.30206922316145,51.89828620330399,21.098495048218542,56.01891095495037,7857.948126561768,79.96284520844776,107.20760918760489,6.102994870334069e-07,725.3914995433141
3200,111.63562883821487,11.783890527229104,13.447116701178329,16.65643158381646,41.758694348247055,76.9167537814509,13.741199802587184,13.397373606433929,3442.5169519792134,4294.798252035529,1674.8876444247285,16.663564063764,49.98291655626414,20.25660941127837,53.96422619792302,7579.8705040895675,76.03982318255473,102.78454803794145,2.7683934811051165e-07,699.1863112866047
3300,107.17513922923492,11.338506005561257,12.943979070564188,16.03060280063396,40.19166555022085,74.27895478008303,13.272241215970865,12.89522857939114,3471.2284409563085,4404.600433688046,1558.2337325560811,16.03758691996092,48.105146817818564,19.439229417043684,51.94824765276991,7308.908765631405,72.28784137562894,98.50718979511294,1.2558289824624407e-07,673.4193004177973
3400,102.84533579342042,10.903064034291749,12.451595862347478,15.418481073603168,38.658710999597446,71.66778646229356,12.807715320483732,12.403926513646471,3497.938832480438,4510.318994169984,1449.556935373299,15.425305008861386,46.26847567370969,18.646754316686003,49.97496256300902,7044.670809483599,68.7050414691327,94.37521148520122,5.696791457187115e-08,648.1500438793444
3500,98.64818442983253,10.478220594583464,11.970759117892033,14.821003626471505,37.1622134084665,69.09163117307138,12.349154283196741,11.924241967781132,3522.7852531013796,4612.037617142211,1348.3434141389632,14.827657971102495,44.47571941033764,17.879403510046025,48.047602040379275,6786.802450758689,65.28822882636327,90.38760035065715,2.584217644041368e-08,623.4273961172479
3600,94.58471136651197,10.06448699406183,11.502094730773555,14.23890597807102,35.7040467123123,66.55755272503664,11.897851563683194,11.45678532517062,3545.895984333303,4709.847026690918,1254.1109438653373,14.245383467413378,42.729088674227455,17.137238722499127,46.16872553242073,6534.99273835802,62.0332057105812,86.54274587568247,1.172634794711533e-08,599.2906980495919
