milliseconds,mLiver,mKidneyPlasma,mRemainder,mPlasmaVenous,mHeart,mMuscle,mAdipose,mBrain,mFeces,mUrineExternal,mIntestineLumen,mPlasmaArterial,mLung,mPortalVein,mStomach,mEnterocytes,mKidneyTissue,mIntestineVascular,mStomachLumen,mRBC,mKidneyTubular
0,-0.6071591467891091,-0.1482925174494524,0.06710714854613739,0.0035291862377165644,-0.20796247000667178,0.5833562118182037,-0.012857390619138495,0.05838431731445247,41.121824511199954,-3.6149451746306975,-32.786785988245256,0.016281021294769275,-0.2646206950840683,0.3369870534008058,0.4508411396130179,54.86014073049958,-0.28475190303754383,1.1967009487283777,197.8998516564032,0.006993092138464288,-89.81797971408066
100,0.20865644539653228,-0.1239685377919924,0.03736004915694335,0.09494388708272122,-0.01232141962183475,-0.4071345032479858,-0.1203635134849358,-0.07694979760844828,-12.234611935144928,13.271668295219424,454.30996894316587,0.07314520350647412,0.5366999205824546,1.5642779137509404,-0.3996257354790781,438.3461643677564,-0.8230372443572335,13.47914672474794,7972.464155847381,-0.0010858294416974136,83.86172782081515
200,9.407489020045071,0.4898219725308697,-0.0015375031569705086,0.3735578843988225,0.24588798400061307,-0.08402630518376639,-0.04454813648679193,0.09127570170872162,93.94769654433225,-13.926072070706796,706.4429355229217,0.4048293170453034,0.6649981128428251,4.666018247664063,-0.21217438242012532,1202.3975581778327,3.16585103591884,33.24832167438003,7056.1574207626945,-0.024604595339502364,-14.006081682201735
300,16.499734784160825,1.0486936272908405,0.33931874821553926,0.7648286902803836,1.4599081961030016,0.6328048007383273,0.09747051795076017,0.5895219304109726,102.46993231768408,-11.938701788165915,868.4482331731288,0.842828624531619,2.258985937455214,6.903412473027565,1.4815365009720547,1852.3778609488954,5.731301562151702,52.36950632517758,6362.052661373845,0.0007109011645861215,24.95027161783362
400,25.985752590538375,2.411101994646361,0.5303187940798798,1.4416987531625822,2.2836866799047106,-0.054485819135189295,0.09441188421368794,0.933800157254155,120.85639327587074,-1.1860212429532253,958.6449598307055,1.4623001662200217,4.62503921838916,9.26545941775527,2.950620053910183,2746.0182339986886,8.552825179859965,66.79297461347984,5844.56427896728,0.003875173983411198,72.92677151948863
500,38.42941550880402,3.1583923790572834,0.8772597719729334,2.30511911273887,4.461746227612585,1.3999266760647382,0.28119629498097753,1.5687800485433063,242.84531933431867,-2.358998479322094,999.1127499586856,2.2185775666634027,6.769953004509952,10.996671266748505,3.70062457115866,3235.2802416020336,15.075510555729148,79.83871255311608,5364.20790467619,0.017649323225293414,54.199081491081756
600,45.144741636272485,4.289252337494845,1.258370249035241,2.7015572160070196,5.395578393634777,0.549898826522737,0.542893560885419,2.156977428070582,287.90021810955386,-9.737425905770907,1051.3069748578334,2.620141579835423,8.111695441146464,11.817557030520724,5.585478067099336,3645.8769702697127,19.243750924138954,86.1888319834847,4584.197315075329,0.028636587539420263,185.295019121846
700,54.25062480774104,4.988780876925037,1.7822980129701218,3.3918392777789395,6.890144757278602,1.302550098548162,0.727558926997923,2.5241683405848683,400.49297513300974,-6.958814382105,1054.1300141816257,3.422022956592985,9.545435384926051,13.174489107131674,8.524336722603884,4032.9088796786123,24.87065604856466,92.3286393177423,4300.263604121154,0.013628605624991918,261.40799847347546
800,57.05473137345973,5.991454996573783,2.067683058694305,3.9081542905118805,8.913785953245764,2.871617134478777,0.9981409274087982,3.0405165573273827,408.7849488266169,17.03822913407207,1015.0174898743902,3.7700298526829537,11.555653986545655,13.767385760766755,10.019652662692875,4301.162264875135,30.66177963771201,97.28791814336422,3832.559015923034,0.06358583531577573,293.6621239806143
900,62.82148480120818,6.421412739362527,2.5833901358877465,4.219625559686935,9.717704845142475,2.711493761374103,1.2926042235559174,3.2285028564447895,492.0112532885572,14.58663326145481,1030.7870799057384,4.410977815039667,13.336169891906334,14.170987542338759,11.389861197705763,4258.034053956089,34.47093109742664,97.86723431085764,3682.895181182425,0.040328230084308594,384.67026192700735
1000,68.02988607380234,7.059573769640994,2.995326357000684,4.780408055039052,11.275198126830235,3.7087665592418797,1.682007458209649,3.5362211638486527,549.9981840509345,24.544326351843,995.3374433032923,4.558798988137443,13.720391677834556,14.877554406016344,12.62243995309166,4335.425984786648,38.292964210602214,101.21911311943826,3220.420110232783,0.08819461810061648,657.6736312691903
1100,70.03583372847818,7.460134733114366,3.234137171534543,4.912232642527291,12.124750800828638,5.142973187595293,1.7860891995206523,3.8744724431852693,647.8078077508623,14.868503039842093,950.5948315322184,5.175627200965164,14.819071178680904,14.869322315958275,13.951491575815018,4586.051644590348,42.0875542049758,100.99638865325096,2872.5202760372827,0.09690723797719533,805.1486886091769
1200,70.57699506646888,8.18853757087601,3.549904929662736,5.289962801380499,12.357764608545324,5.478962663580274,1.9885099663493222,4.142744431705368,679.8872412610158,26.40085319777394,885.7646721639401,5.200571075695999,15.862878036029226,14.887426000875749,15.78599357102663,4533.8115397498295,46.18285885128567,101.50093943049744,2496.7250676097406,0.11324635148158056,856.0906975187376
1300,70.34634974102244,8.436814004799398,3.8755815858904503,5.696147528788605,13.3030657105523,5.797168676045048,2.405592204230423,4.351881878997095,773.4959969453334,14.305097763915882,869.38198543686,5.562645191659503,16.54880468407217,14.806967242851607,16.389322862138307,4431.473836273851,47.40354112926753,98.99379589707456,2211.014871617761,0.13653403074611878,908.9031973050132
1400,70.69257367760133,8.697594211319641,4.081243050195083,5.638685778479298,13.581699743382522,7.238643591746614,2.6148426370107054,4.588071147889895,765.2368814030364,34.35145376853026,828.0336945423635,5.551770123425345,16.95600823852685,14.572757852968847,17.527358598419205,4589.32595771811,51.44857303030462,100.28986431706572,1943.1713150710873,0.1472069113561004,1018.8026056702594
1500,72.3781088312777,9.033655334818711,4.403688708214355,5.713673198018555,14.548131764455759,8.69969188947656,2.9234891938617724,4.583353257046705,805.6185927204953,49.21341944680331,790.8747247000874,5.979738979315895,17.48465079723256,15.047343899666835,18.08670945582583,4370.238059784251,52.54056016511574,97.41389879023241,2095.025496003339,0.20062569496269494,1254.9780182563375
1600,72.52202338567113,8.901327400072558,4.420960083612327,5.8985217849197085,14.794965824974259,8.861833242449142,2.913439874574014,4.679057272606169,933.5354914636764,66.4959972010659,749.1096749529478,6.081647607761053,17.65221349620134,14.699412994980374,18.91027592421462,4343.357706237985,51.80131881569751,96.58255818644672,1616.2612267028571,0.202064541603042,1395.8793399726383
1700,69.25593162886236,9.318821646145876,4.480464542280073,5.990117024706796,14.822421619739695,9.439904738350629,3.118307469335065,4.760225573644221,895.3710596537272,62.540013223395285,646.3204931020392,6.069010621005482,18.43551866443621,14.597610753665741,18.60985935390023,4060.4386744193444,54.63479143941904,95.12999434729497,1739.0783679393496,0.23219273469187623,1512.672256043483
1800,68.81619584821266,9.19097073176012,4.609368034429259,5.9683898146911805,15.146321357912283,10.33185030281695,3.476637986684577,4.915377078239808,1020.966876285645,70.92132349453696,645.6813051556062,6.160641655357188,17.91993328289285,14.001034377737183,18.64381740056759,3919.113788924781,55.31472239493705,87.92266602547461,1302.883849431383,0.2605516061423483,1513.5464297323238
1900,68.33906857280036,9.08198950747259,4.846255156717854,6.07281295192296,14.966609481963282,11.537106485039038,3.444333845991016,4.803252323433382,1065.2169714771737,72.07530561555525,558.7964433438524,6.0127290065673025,18.6206671967105,13.501802549123562,19.059294052125214,3910.7768948427765,54.95975084573816,86.97889529294491,1429.1116757458572,0.27970191526735705,1670.8950363797862
2000,66.01292069144007,9.279700488416234,4.781516654056604,6.011862120135733,15.557313527863409,12.511504088717945,3.533867387104159,4.908435227380019,1023.4922740399069,113.51385349263934,521.3149957491363,6.072131350694331,18.609216597654406,13.298620146145476,19.47243594093485,3766.89199415011,56.14553342803422,83.69277983605811,1273.1896404053075,0.31441049913184477,1725.8688015897496
2100,66.50062789621306,9.357637199971672,4.813730534083184,5.961958947638003,15.21441417024325,13.047643920018988,3.679110581625154,4.818114384106912,1102.2296826279112,96.77430529967431,532.4719655400172,5.910184624772307,18.295219740539597,12.887996502986786,19.27128355435068,3438.0541893125887,56.13583807165035,83.50937318566447,1227.728850244155,0.3247579765449045,1773.247031753938
2200,65.21240937981443,9.246221009045323,4.924271897041772,5.99244179380342,14.863120019820219,13.478781992981164,3.8170472018630144,4.945921285936898,1077.8992018805593,122.87865488122527,441.6818626728976,6.06514156486703,17.545653508746145,12.402202231510934,19.158110151143884,3459.5188947404354,54.01003767828022,76.08965485132079,1001.6411036476073,0.31859026978253374,1988.3229161287059
2300,60.16019624254062,9.261449314598863,4.9305149042744185,5.842971689323061,14.931782999901586,13.237986676200881,3.8356896043988753,4.875878119739835,1124.3418388124371,131.57673848884232,413.56837528442765,6.093848470942499,17.946472129907487,11.858355679157157,19.774163237336364,3378.184954867323,54.47618539043908,72.97038535959516,711.4728616649477,0.36565173491641273,2034.871715146426
2400,60.2675695893007,8.734147982510052,4.847773908105314,5.984890758571526,14.94252706052768,14.653606731928331,4.062392093882204,4.609016835089366,1212.7962143909858,151.85756525094536,393.538953052241,5.865540742004153,17.37741756381141,11.721064291195601,19.378931988767096,3167.053094732534,54.45866003987507,73.3798036690246,585.3199874806116,0.38086037898662267,2087.2530543550142
2500,58.70332539755297,8.977394332924996,4.723060382912179,5.772154417224487,14.977897933118577,14.251893355378945,3.9662017573186934,4.69273789137605,1181.4096463890946,162.62078068707132,365.71595520880453,5.716026270915781,17.443264636819134,11.606517372287472,18.647088567579683,2852.824206195771,53.31482561415609,67.59228024442098,819.8455967562444,0.39160062212554475,2135.824083620795
2600,58.2917840489265,8.910507448281649,4.590492689851746,5.658555901343039,14.512761122211971,15.795778782058575,4.042104901745117,4.586020578321946,1256.0305683478384,162.13724037494765,352.60208344020236,5.856958551707216,17.24472542377749,10.79704048196291,19.239188539341544,2816.524064436675,51.64455199051197,67.03088675999867,651.7665269207848,0.4367692692084339,2165.7990789867386
2700,56.08926842355831,8.604006243626179,4.707324278593426,5.78862475817006,13.971648750635183,15.490585413638323,4.183891744035987,4.547324622139799,1262.7795156992331,215.319342708154,338.9694164073283,5.564462093041913,16.907969482894984,10.553468444894765,18.69186899408094,2680.1455648015726,52.445367609149756,65.66106965805285,569.4460648049838,0.43357458222732764,2203.1303603744786
2800,53.136409095236516,8.414017295018732,4.5338575394001195,5.439229485861524,14.367831327808332,15.803691597252199,4.167229158675101,4.554787670292161,1246.7255215937732,220.08483664531508,298.8533363385894,5.590318561383266,17.03869011279938,10.312403662032276,17.796271074559975,2557.1255902989137,50.64338653046757,62.711073022258205,339.1384721786887,0.4683096937789111,2357.3336203461536
2900,50.767460981635786,8.210968547475035,4.634490106257151,5.580273726083279,14.15335150104589,15.976232737296764,4.147496393721535,4.519952290166371,1264.7246491874923,234.5249258392524,273.5991030903185,5.644322606311439,16.849206286257154,9.486240822924264,17.83200633157437,2306.519130789664,50.03676060557044,61.54353276986957,648.0761797360241,0.49242265260822476,2389.7900424791774
3000,49.39249555266808,8.391660193234225,4.491856102094428,5.421728672462967,14.016941884816854,16.696444688279573,3.962591192506461,4.433413392291546,1278.2535558849115,243.12598021204101,266.9460952225695,5.387984576098795,15.840811002756771,9.736589436150581,18.242270160981136,2296.2968279324523,47.299184849204664,56.002696105054504,473.6057174053546,0.4771605420732541,2307.687457612437
3100,47.59746273638337,8.204448997393476,4.459140339659488,5.421307385566752,13.671766709519163,17.26050999961458,4.0595417760082615,4.21838743233621,1288.522341205976,266.7878241579948,202.87814843226562,5.4245968175720245,15.595753816098943,8.90732491684285,17.469090858492105,2187.133293162259,48.43732258386636,54.83282283086911,285.9063982802784,0.5323076017461665,2374.7901896513686
3200,47.18123989642559,8.045870559917972,4.214523568623669,5.111501494037913,13.67324597253185,17.1714718351439,3.911482072086555,4.268964268045096,1368.5742887084994,296.9470359273397,196.2508124069114,5.273606519332352,15.377827532235239,8.715622542202523,17.34102847249758,1837.438229208075,45.209327560268655,53.71370895020509,383.84063072625963,0.5392714008084465,2433.699031753818
3300,45.467220973238156,7.7275019663994495,4.250549602776895,5.2041961642990815,12.615225810082336,17.472018334362996,4.028061490283592,4.168544148611924,1330.1510080657108,284.58996732094204,220.8110157647201,5.0996360040781195,15.564364939418043,8.660118359497677,16.761731664559157,1773.9817397001002,44.788069286883555,51.14168317451584,183.05211283149552,0.5733036504001231,2399.0410923238746
3400,42.8341530925881,7.891137830562607,4.204434633599303,5.019346383051342,13.0466012707674,17.52146806877412,3.840553688799566,4.174788133792296,1401.3716449127116,318.0697485228683,178.70763691965902,5.041030852507704,15.373060707177471,8.098908984120223,16.95519399705298,1777.2253051721382,43.58984387928864,47.65245142839227,405.3963033348687,0.562039330137775,2444.0200678267975
3500,41.36541507913251,7.637650698074796,4.250914903172254,4.835883651021042,12.325257425890072,17.431275100171177,3.819516072918213,4.097715801015618,1358.0882711114973,327.42595273436547,190.2802632283338,4.803066541682414,14.822220589093515,7.802894079223541,16.174784163600922,1560.813191706704,44.87768815690202,44.39314557421469,107.81524868109076,0.5620589506142748,2381.0770579520013
3600,41.38494698451759,7.320552901064724,4.153290036535511,4.9783403328239695,12.186579707466256,17.437193726401674,3.7686636557166264,4.009231435549273,1352.8291544306533,360.42800804179166,140.5943309528177,4.977401713627087,14.084546801419537,7.279054422227433,15.562589812549302,1317.684497827426,41.22565134829526,46.26406800380929,85.57647547714257,0.6085130123866299,2402.0442094960804
3700,39.241013090226296,7.4238273415715215,3.879521979369966,4.698559348432466,11.710579634029667,17.586733214203452,3.826083515698339,3.7713894286282468,1429.5515747985824,375.4483682321822,105.28288501024839,4.681103621443098,14.103645929095814,7.070787097056525,15.885983425346485,1444.6844140799758,41.82718672476768,42.03187882558559,112.4567900621676,0.6401097789983867,2404.5512404947904
3800,37.705179580338175,7.1698594732058245,3.8807934920398055,4.62542982447397,11.602082815057008,18.01360791686288,3.888243777238491,3.6343978413676217,1418.0970141203873,379.17271775089256,96.31025989289242,4.686414601303052,14.044347946626191,7.296339839304842,15.79748273148439,1166.737303867427,38.99895201911574,42.65884578042096,286.5839125730924,0.6434875624627383,2469.5258634240226
3900,38.08017759657015,6.887055857332261,3.7159676738047063,4.589571827536811,11.842159998847174,18.296996238080688,3.7168517040336257,3.799097186377966,1425.2123908010672,388.95279459996,106.34521296304429,4.683039572614919,13.517744294340584,7.030527055993112,14.7727382596905,1259.7513554451316,38.95364740881685,36.389183058734034,280.9104870326933,0.6251799385540668,2406.984939343858
4000,35.33366291114601,6.833886676683757,3.697495044277846,4.575145907859062,11.19214453720922,18.674621736952776,3.674331221694047,3.533805698479132,1382.5632442218628,409.55085177018316,135.0598829165268,4.407586805076204,12.957947893834122,6.4105585841775135,15.141472135519527,945.7336729907884,38.22005667384332,35.13352746953036,181.78915710849716,0.6426896451875913,2526.235488843205
4100,33.4922705908423,6.811717863702656,3.5321416394768876,4.246563309480708,10.983278857886438,17.702132472528803,3.6683350321128674,3.456354784891689,1401.1585105344298,432.68032812240017,97.70490136985538,4.518499107951901,13.311159831523828,6.4887061232163346,14.376290971982797,868.5708118914356,38.16309584774302,33.9923368127568,81.98931062552154,0.681838008838248,2485.2027239310814
4200,31.345111424365342,6.350032728402608,3.6078753031441866,4.271769177116961,10.860683576697149,18.273885500760535,3.526269133887589,3.4147180721894665,1395.1153534327161,446.6749146638745,92.6757636174436,4.186506208714157,12.84131871626666,6.168342635550551,14.00817987911774,947.9901114299768,37.7092680188922,34.46772493834432,279.93901799488924,0.6921933450412685,2411.0161303116133
4300,32.22780453115228,6.238626973824164,3.4174133878870054,4.100824129530338,10.777353377045781,17.756438498617715,3.562061482561195,3.3321298070748453,1392.7990622125837,478.0328693847887,46.63192745635989,4.221856718583282,13.002928425015355,5.818473984767335,13.86530055920036,857.4410843477497,34.25139485605579,29.831326622559086,179.54726150916022,0.712954159574724,2373.4106731829515
4400,32.35776408735376,6.17919324740506,3.401339693044138,4.204630433175211,10.707905345399443,17.36269788042772,3.4365567672800226,3.366025367229553,1423.6532765598613,502.4569018934567,46.2342521412132,4.253465049687797,11.953906477756886,5.444793660391995,13.912505894011165,720.8860821002033,35.74788470934364,30.991341272884902,255.4405509898807,0.7036677970637415,2313.548657224477
4500,28.228875411289405,6.318908181931838,3.329021366459568,4.041601623107713,10.327190997648282,18.02020144919504,3.47721122613489,3.185602252486109,1416.228994107516,491.6598132832515,32.67231033714523,3.970323505785845,11.948440587799592,5.633557171448879,13.212897559340016,765.1531496262714,32.99364685622924,27.40928384403832,-92.31836546064979,0.7154250531021987,2319.9491472802324
4600,29.470025021157408,6.2012063268600395,3.3543079160099523,4.062525926453749,10.143673939328421,18.147708471783346,3.2235882808873395,3.285982161981895,1411.4403428588528,521.5758164356716,58.55371066552981,3.984552373292274,11.550572765738302,5.4462791963570885,13.381791899425444,593.135832733453,33.83063534371951,26.6374950521652,15.200774901887371,0.7492869661507332,2353.31922329237
