milliseconds,mLiver,mKidneyPlasma,mRemainder,mPlasmaVenous,mHeart,mMuscle,mAdipose,mBrain,mFeces,mUrineExternal,mIntestineLumen,mPlasmaArterial,mLung,mPortalVein,mStomach,mEnterocytes,mKidneyTissue,mIntestineVascular,mStomachLumen,mRBC,mKidneyTubular
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,1.6570153834250891,0.07001462429546296,0.004200786909644316,0.06289630209315918,0.03336728822919116,0.002508848765635399,0.0012489555803759061,0.018570914945293567,15.432759033487061,0.00023209995589450967,435.5182602127758,0.050903331138970644,0.16388400969664738,1.6708415016925242,0.024447855806148548,463.4034386838954,0.17481279356487808,13.674396521739359,7812.396511802481,6.077584013315483e-05,0.20113603708336286
200,8.025156584762525,0.49409630769353985,0.059106011508089404,0.3705206856996001,0.4020747627915533,0.038619839745826334,0.018820277398940807,0.1867370878348378,52.76767965860835,0.011662411275932014,692.6462895671672,0.33928150970069576,1.0475215689068205,4.367302428071348,0.3284926380703166,1235.8454075059815,1.7824998499532572,34.04549180755642,7068.948688415003,0.0008063027566822772,4.367689288982906
300,17.295882132923946,1.2475234414292868,0.21889312051504645,0.8855301289217488,1.3038668450870388,0.1568094824369148,0.07469566752620413,0.5400700209291482,103.42464015126335,0.08890452331766308,853.7210598297295,0.8421362962818442,2.5678591600604284,6.8967398898294086,1.1653786367114112,1990.8522397943373,5.161143692709723,52.29721975533775,6396.2492794836035,0.0031490703302425238,20.22315715530093
400,27.336856943173935,2.177397324775227,0.49228933293132393,1.5063253074508314,2.6223796717678955,0.38680352505070414,0.17990465986569543,1.0086970506489323,162.44864288151783,0.33511233551443187,954.1805227833551,1.457989498729976,4.4202498026101855,9.027077765164714,2.520329660205601,2648.0744166794884,9.730128012383679,67.00349707169666,5787.565683271396,0.007677461087880083,53.23464393104852
500,36.86748493876433,3.159742460955712,0.8562730575242179,2.1542662644340065,4.1560756641413485,0.7373553468780968,0.33457239644295883,1.5217329399557002,226.56945586967723,0.8787888309214144,1012.9378409369742,2.105828274858737,6.363922541873243,10.749269249945634,4.232703065509033,3190.387634645021,14.90136256360687,78.36983499335075,5236.805989901774,0.014625036168879018,105.27572819158766
600,45.2848002002903,4.116674507274628,1.2770254445147948,2.780883253063189,5.739061442053353,1.2032453472188809,0.5322933825266992,2.0314462244719285,293.48185266741353,1.851922671312202,1041.633527575225,2.735144002257361,8.249315716840044,12.106259422560756,6.119780978369569,3621.709611506687,20.248559855092065,86.90664951368812,4738.458011179614,0.023983825465800506,175.67763765089907
700,52.38259419797602,5.004906410080949,1.7221789299700128,3.359674643304843,7.263415480698711,1.7715703917224177,0.7637191028529859,2.5102839145082876,361.5021950281928,3.376288330450148,1048.1197459650164,3.3180809718621833,9.994169573678155,13.148736589755387,8.032053143129508,3953.0991249133367,25.48678351412151,93.11168344119973,4287.5341147710205,0.03560587471654634,262.34878647575937
800,58.1594569623765,5.803257466619981,2.1657683988869514,3.8780075175067306,8.668193628066618,2.4259322819803812,1.0187918181502675,2.9441644643873985,429.3795334964311,5.556377905687306,1038.0398515825673,3.8411791881021107,11.558903359591826,13.924151359843268,9.865618496706524,4197.43931733537,30.43197076632744,97.40917027163214,3879.5212998015886,0.04927148413721287,362.5438336617157
900,62.709700071681766,6.503872198383092,2.5891630486925674,4.331545691675579,9.923967256362614,3.1489512059465192,1.2879661166630822,3.327252387475352,496.1809052614839,8.476604281886448,1015.6287340399695,4.299615944332824,12.929519328614083,14.47449710741092,11.556703644168435,4367.313007583881,34.96991614138888,100.1503289045608,3510.3360376478295,0.06473093805301461,473.32784870339003
1000,66.16563520148149,7.106676630054943,2.980267039110653,4.7207613302006175,11.020796262516729,3.923698184519141,1.5628040455064511,3.658560519502469,561.2155235670165,12.200986423852862,984.1575515882848,4.693585646081289,14.106869383043595,14.836289250399384,13.071615548800644,4474.1802231942,39.03536466029746,101.62503150079941,3176.2834080015873,0.08172908409644199,591.8401725526352
1100,68.668455457376,7.615985445803608,3.3321669347507776,5.048810059782202,11.960190255756542,4.73446657645858,1.8362052680673357,3.939854999397388,623.9813101343689,16.774210571494418,946.1987949801675,5.026092100656749,15.100111951646001,15.041068555776588,14.397267535555985,4528.130550581133,42.5979251463065,102.07335413143508,2874.0200932588714,0.1000193619375482,715.4356713202645
1200,70.3545145868424,8.038462584813837,3.641773540565768,5.320258004552613,12.750107966153246,5.5671400776614055,2.102429856034163,4.174397894639481,684.1254028030445,22.22341173399563,903.7935775661769,5.30162600566903,15.922792332227838,15.115972157774477,15.533840756647884,4537.894067137081,45.652402314553335,101.69482656701999,2600.5209298354043,0.1193713178191804,841.751361258209
1300,71.34921738784688,8.381876087095828,3.9086761235280933,5.540308353938818,13.401893273067907,6.409328012565309,2.357015219692239,4.366184576343528,741.4136001171225,28.560254448723388,858.5656957486568,5.525361570794158,16.590461482744406,15.08427062880566,16.489594689919784,4510.9535510432,48.21149787022789,100.65564306861519,2353.048653558435,0.13957428634029023,968.7306275303415
1400,71.76468248613885,8.654326899532766,4.134240988815491,5.714324256592692,13.92836933272824,7.250367023779747,2.5966434014553528,4.519472459434752,795.7059493138845,35.78308091938134,811.8043764227074,5.70266083100002,17.11920691475079,14.965841516660218,17.27730703895098,4453.692713226723,50.30053079962949,99.09427320104712,2129.1264761686657,0.160438802543258,1094.622797788366
1500,71.69953244310072,8.863795560495877,4.320938757374754,5.847551066864998,14.34271955443513,8.081237943466704,2.818985700561429,4.6385057257789,846.9371440919233,43.87900895883338,764.5256992613488,5.838784696520676,17.52479665069482,14.777595998218084,17.911962366732247,4371.5515363685845,51.952795428821744,97.12594746105017,1926.513310599531,0.18179651245694808,1217.9680311145619
1600,71.23948099164501,9.017868012835946,4.471861561989606,5.94495023318035,14.657800680040106,8.89444273907697,3.0225474989585868,4.727347755242178,895.1003910834467,52.82588872640929,717.5215326461098,5.938719585345962,17.822166126011403,14.53385633768848,18.409265560465954,4269.168399657124,53.2067125819961,94.84631323192869,1743.1813367108598,0.20349929981233641,1337.574175124095
