miliseconds,Tumor_cells,NK_cells,CD8_T_cells,CD4_T_cells,Circulating_lymphocytes,IL_2
0,9968510.167182872,1066.4646027014462,26509.91487812399,1008786.9399827296,59999306975.24031,97209.15261017992
100,10092830.737526232,294.89078717341,2028797.0399071786,921806.1417581836,60002602007.67702,358875.03640542383
200,9743492.558950309,579.9967741946926,2560682.4111466887,856855.785798746,60004741871.633,430501.4967813556
300,9030050.47862678,-69.87673971201673,2648698.0999771548,798138.0830961416,60009505694.1507,443470.9650999329
400,8308327.13946787,347.76189941150903,2674884.070192202,753268.8259027672,60013978111.02051,433493.66800231976
500,7575266.9726456,176.2468751571928,2640380.072307336,734028.1661689675,60012794340.89332,407021.1754020789
600,7185133.150575404,355.71514386761254,2647103.2665023645,704799.7416031758,60018866737.39654,395449.42206753016
700,6324838.614639007,1001.3481068756398,2609311.5565012586,694223.869682613,60022554441.05253,383814.5921744939
800,5687283.944652899,341.17659555813265,2580224.2230778215,670758.1641504968,60022017996.62433,374373.31427032803
900,4952565.612468219,700.9646113864768,2505841.722022737,665408.2928853561,60025905476.95406,365051.697662315
1000,4375982.765281203,1263.3938654649978,2478108.659678504,637222.4069867791,60031081411.379456,359879.48151994904
1100,3796870.881450788,607.6343485384018,2447327.8284764923,646851.2974220362,60031181595.69784,353802.29784181697
1200,3326981.2212339207,1477.205528276994,2428399.7695989273,648038.1811726621,60035600183.72823,345319.1890858923
1300,2554035.7589629376,740.643438679095,2299181.7832189472,653325.6530933987,60039342958.08548,350685.18831615424
1400,2296862.880527509,1107.2662957273287,2241610.11487443,664243.6559004764,60040142255.83507,349692.71393663046
1500,1791479.913516813,1432.9203360816812,2127562.306520732,653419.4359131843,60042722530.42684,352667.95768500795
1600,1626057.942226151,1458.5146727918607,2019664.9509731256,673305.5533771949,60048879215.84122,356140.77185098245
1700,1225277.0516610157,2449.4126791121457,1920459.1060523482,681038.2761613335,60050555544.82743,364277.0898863148
1800,994413.778906801,2414.874863476141,1828711.2045630782,715510.0725360158,60054721640.57959,375799.99970824254
1900,808563.9511445672,2436.4554116962886,1693991.8961934214,718596.0101453295,60057640362.01148,380288.2460201058
2000,613951.561040779,3531.2307727675066,1557190.9011944993,753136.3192540989,60057451700.81889,391768.36990891537
2100,690222.0758870585,3151.639174976292,1435407.761583805,762225.4475947489,60061910817.8673,402882.7708457529
2200,495924.0681328668,4121.360280598193,1241995.6020728794,780054.0932591686,60065788348.23367,412636.05739894166
2300,377340.5519786156,4895.776841573954,1197268.2464540813,803641.5673804627,60068846676.84375,429595.10060182173
2400,201004.4564926831,4969.247161824958,1079034.7457455343,832290.1629200341,60071996844.382355,433784.8584753091
2500,395257.5755990592,6397.887370743048,897653.1200900049,866323.1734780277,60073149818.94205,451426.067587702
2600,62961.36053152615,6947.449343146255,877638.722694314,900783.9142068437,60078070045.07307,459030.0143402919
2700,135856.81690295794,7176.271431666065,781062.1046221448,906998.1101671999,60078682175.5757,475014.1051152735
2800,156911.43508221203,7816.389556041015,620773.3150010771,937432.0488025008,60083766250.18381,495172.0200691169
2900,-25987.38989610235,9022.59453904919,605270.4967381991,967890.6091653325,60087336873.86991,502152.4095638093
3000,85687.33927143292,9613.54409807636,497318.3709650513,1009956.9809066203,60089765856.5324,521737.46596164757
3100,156649.9213969374,10664.17465176434,494766.6265087088,1033453.2566861211,60090975228.324524,542035.7124539033
3200,41187.26639579246,12225.449568440908,424439.59598698403,1072310.9131896568,60093806433.615295,555388.6308103995
3300,71928.16332710761,13337.823852763004,383592.3610873119,1095789.442813578,60096225159.43604,571043.3762122213
3400,48489.10863269461,13954.448713595666,347801.47716276185,1131392.0102433374,60098462830.45939,580870.7621350196
3500,52345.85586105386,15170.098959848634,236385.1535392621,1192486.877750273,60100893414.74471,593258.2071445393
3600,-118659.73199501754,16553.684733328555,299440.206191089,1223612.3162145014,60107354740.70372,608251.7055938806
3700,-74827.87016539865,17370.238479571693,215742.8841815865,1262387.0592924068,60108675359.55081,618641.0360609734
3800,-5696.086980053244,18814.28697847494,174022.454664957,1287938.3560114417,60110809524.84886,621902.365178834
3900,156086.61491326385,19248.97615887684,166917.24463279353,1305410.3194659948,60113110381.015594,625088.034618185
4000,80937.45809602163,20783.20505492827,163132.20122413835,1346771.0884247364,60116098727.3673,616472.3365729146
4100,-130191.84545159501,22062.880930111638,94351.77604851697,1362145.255396362,60120748524.53237,601767.5146561956
4200,23349.04581646597,22651.99726767242,109862.64208265458,1404543.254151135,60122915907.66675,577510.4397240473
4300,43971.71106604804,24191.5751601718,82471.21376197599,1431437.5607547262,60124039027.28588,543834.9225312062
4400,-103531.42576265663,24933.945054353833,81086.16242015584,1429798.7944996923,60127744265.525406,507723.90074990725
4500,-10539.780995103612,26574.66366092169,144184.33263842762,1437376.088880084,60132129293.71712,458942.89364248543
4600,-23918.209026825774,27611.355402495043,45287.468162828794,1429043.1134983199,60132911904.36779,399334.36907583714
4700,-76996.79483756484,29256.818440036383,33049.05191078476,1443566.154462241,60137555342.23845,353883.74419308524
4800,23491.007526831512,30391.108462477572,45531.30017489428,1430928.3596323773,60140853732.67924,307045.8196243161
4900,66188.62589690872,31118.179864578695,93594.14341153283,1431364.8324708876,60141454387.184525,263617.95747541223
5000,-44799.358213860454,32566.353425717007,53337.879372605625,1408126.403250679,60145346267.56201,222346.51258316508
