miliseconds,Ttum,Tplas,Tnew
0,999915.2549942865,4052929.643443636,-27.26759077767932
100,999981.0130332285,3715202.906530882,288.6609736060894
200,999466.7134430498,3447296.5957992445,529.1108361385235
300,999691.5677914973,3312977.09992236,756.4916119910374
400,999199.550994102,3009645.7376590734,971.4545620707263
500,998795.2556157311,2888233.088404668,1088.51121910537
600,998573.0578947526,2700608.674173007,1269.732313304963
700,998501.2387406572,2530371.6774571007,1453.6326289123438
800,998186.3545438688,2381890.12742961,1663.0419481325177
900,998158.0453236145,2131360.316964249,1769.7442792452553
1000,998007.9109827618,2083372.261285014,1963.633128614333
1100,997338.0438788094,1936842.052946512,2046.107526354225
1200,997413.2298126807,1818344.255886858,2191.4593423349106
1300,996662.4317333858,1653326.1074609056,2325.365346326558
1400,996320.2279602105,1560260.6108891054,2402.3872415744463
1500,996291.1190737936,1429909.381819059,2540.6441760353096
1600,996051.938274209,1317910.0274220437,2585.0309241099817
1700,995494.6479272245,1278181.1915939767,2735.915304907909
1800,995422.4996239432,1242281.5338701615,2835.2320948072634
1900,994832.0678501775,1146578.1033561192,2824.512485590352
2000,994841.7006076542,1088076.6462414837,2996.5273365930275
2100,994114.4701847974,1026931.9832065651,3063.2410957001784
2200,993964.8048628314,937983.6785994592,3076.046419252239
2300,993370.190657242,835602.2777859869,3172.795385962663
2400,993315.4834112757,821690.0410926382,3168.774311797225
2500,992702.5016429119,752606.8903073486,3299.4043983716115
2600,992410.3854394654,662911.6298708523,3308.7123335398364
2700,991865.4388156366,607835.6602387305,3316.2446604408306
2800,991957.7165035921,567533.9646560008,3369.247265315593
2900,991458.7899109375,538361.0037177543,3411.675081673768
3000,991224.382898174,495092.03773565916,3440.5487625838896
3100,990715.76681988,511707.7441507277,3486.1692719037706
3200,990311.7195506889,465108.69732229365,3582.5618209250615
3300,990000.9759893037,412073.6630260617,3560.2377938646573
3400,989198.8916221757,440284.5520087919,3557.238502868035
3500,989267.724327779,430360.64270056796,3664.4806039153673
3600,988760.0326053145,392020.3663291079,3688.6632770584038
3700,988109.4911161865,357505.0204095324,3661.87385722439
3800,987860.6790516935,283555.62686137843,3678.013343742244
3900,987681.4471217744,262301.6483925597,3743.893194880077
4000,987349.2181364559,332722.87254096,3740.8965858164815
4100,986608.2168635941,264772.26671983104,3780.99823170567
4200,986533.197109484,272679.862541751,3767.312457388514
4300,986011.9984202464,234783.68331947498,3837.1531816522242
4400,985484.8976413499,213688.79760146176,3772.6712061527714
4500,985074.031365564,246700.2614039616,3861.3973232534677
4600,984728.2419382586,165663.15612547038,3840.344074665919
4700,984289.2079634779,176903.44209840547,3806.2879724129825
4800,983890.5021641718,179993.1078388675,3895.489410344748
4900,983783.7181715402,203162.32631840586,3900.99142059908
5000,983218.2720604463,167866.18519400316,3882.17965389138
