milliseconds,Ttum,Tplas,Tnew
0,1000415.0910611728,4053651.4281682796,0.12789637625412903
100,999597.8725762808,3633429.349764518,279.62068476928573
200,999741.8703067031,3540837.96571079,505.17518073569454
300,999277.5562058685,3314679.901641813,742.4833896356034
400,999141.7367406213,3112713.6283134394,899.0977545549591
500,999277.7735095784,2925094.851572731,1196.5228695505975
600,998708.9042985424,2769424.744465011,1257.786734328709
700,998125.4224427172,2552062.308639869,1560.3886961762173
800,998725.1306527368,2261587.3568370272,1611.662653096177
900,997644.7652476073,2224265.4340355154,1738.5262212873756
1000,997793.8644579125,2119865.7710183053,1955.4011721287557
1100,997563.323236753,1990031.0642946225,2057.853505377992
1200,997044.3233031529,1848874.0272420505,2281.936972497867
1300,996943.804412029,1758006.327137912,2402.14739033557
1400,996334.7796425615,1604732.1295277297,2444.0520251390535
1500,995836.8087825152,1480010.0695031043,2462.426223955621
1600,995430.4564589768,1389424.9603020672,2726.5579399692165
1700,995793.63009571,1268941.5970245365,2665.9368518582187
1800,994990.8637953617,1298706.233275354,2707.1812331198926
1900,994576.4659067492,1062508.7465465164,2976.2175867226306
2000,994454.5795973431,966466.5342615782,2975.8211299415552
2100,994249.775020353,973547.1250675463,3003.251210501062
2200,993690.8552198914,1020361.9370657934,3021.214459058406
2300,993380.4778443322,782085.8852602826,3032.9728089919804
2400,993204.2112365187,770051.5499742373,3117.304342017984
2500,992972.2038034732,666473.1346829444,3293.8225772631945
2600,992571.6701833057,760126.9196847139,3207.3930679877085
2700,992015.9068639852,749559.8733050812,3420.4271746910176
2800,991430.3185672843,590293.2557294415,3359.836121764092
2900,991463.7376493402,628295.4197478399,3359.5177414237137
3000,990850.6402258183,516770.4408261552,3541.291359374975
3100,990171.5721122987,509615.5188532816,3474.8124821353304
3200,990684.5670877687,492129.18707551697,3470.3506823184457
3300,989606.7995209749,474631.5784786972,3457.311850148807
3400,989387.757109699,330915.8464877994,3491.5234076391885
3500,989018.3228954653,405706.71573354583,3585.4086316606536
3600,988755.0984930175,413815.0875988586,3703.8692851719784
3700,987787.0325253708,249016.15380269906,3768.590450446001
3800,987989.7095555714,283413.48756367696,3781.7941031532896
3900,987187.0801118481,239365.47080541763,3699.0211746949044
4000,987459.9893123315,218309.77732642728,3648.5372578244264
4100,986771.9832891801,294149.8153085609,3666.44103919451
4200,985998.1895584582,291928.3599828909,3853.916188528272
4300,985867.8378635072,200594.70703789045,3801.1308224426994
4400,985292.5625179233,129564.04208690763,3807.22465854111
4500,985531.9100159147,211365.76810509735,3838.7098736491207
4600,985097.2245329043,193567.97865490994,3854.5899555311175
4700,984110.4527426945,192155.38887543394,3868.955485237208
4800,983628.382296519,252246.6599267992,3902.5061157050377
4900,983913.9662389219,156342.63278703106,3764.7567673152835
5000,982988.0830404969,251830.42257323817,3833.1740011698676
