miliseconds,species_0000001,species_0000002,species_0000006,species_0000007,species_0000008,species_0000009,species_0000011,species_0000016,species_0000017
0,-2.345977433215851e-13,5e-06,4.888988978492388e-13,7.587408204104499e-12,2.6432702741557676e-25,8.573469813281941e-13,-3.3429665831864034e-15,1e-05,1e-05
100,4.0957406055439075e-11,5e-06,9.717327668563527e-10,2.2322026166620816e-11,4.48358490809831e-23,-7.118506950408807e-11,1.767375753641008e-14,1e-05,1e-05
200,4.1450078691436483e-11,5e-06,9.706156486343231e-10,6.792452146692996e-11,4.5028188296321707e-23,3.588682206902745e-10,2.96831444061364e-14,1e-05,1e-05
300,4.1402355047372294e-11,5e-06,9.70823494128304e-10,1.0497001329780273e-10,4.5242696775424356e-23,-6.20522957601148e-11,3.6435984860603195e-14,1e-05,1e-05
400,4.1498303329444055e-11,5e-06,9.678624307864997e-10,1.768839963204071e-10,4.5248240357438796e-23,1.2840646478025277e-10,5.060183644057438e-14,1e-05,1e-05
500,4.101884353081682e-11,5e-06,9.777018852036844e-10,2.087641301219678e-10,4.527859501754098e-23,1.9936600392832506e-11,5.902940466838509e-14,1e-05,1e-05
600,4.150908236294989e-11,5e-06,9.71636029776036e-10,2.764522988894472e-10,4.5084511582855637e-23,5.637805016262464e-10,7.736243098126966e-14,1e-05,1e-05
700,4.1361990069967536e-11,5e-06,9.736941571150636e-10,2.975640445580082e-10,4.508924004056768e-23,6.177753793879741e-10,7.427152798311412e-14,1e-05,1e-05
800,4.104293085154467e-11,5e-06,9.773539260960205e-10,2.992844467934682e-10,4.5136235379708676e-23,8.164802455329064e-10,8.608768630479773e-14,1e-05,1e-05
900,4.095248440920733e-11,5e-06,9.686834391997448e-10,3.660067568472261e-10,4.509378727770914e-23,8.766747572622811e-10,1.0402902584742936e-13,1e-05,1e-05
1000,4.103157734436836e-11,5e-06,9.679579492023795e-10,4.141734551835613e-10,4.499942711401277e-23,1.0375146820645396e-09,1.1247412613301068e-13,1e-05,1e-05
1100,4.107192567335789e-11,5e-06,9.705279584355988e-10,4.3274426802708717e-10,4.4771349780041684e-23,1.5147774099021252e-09,1.202178051292588e-13,1e-05,1e-05
1200,4.133305646019404e-11,5e-06,9.777959693429184e-10,5.170913337016001e-10,4.51578930606408e-23,1.897605912484725e-09,1.2896880770884832e-13,1e-05,1e-05
1300,4.127941699481199e-11,5e-06,9.682756979641009e-10,5.41688214037587e-10,4.4935370872975006e-23,2.0819377915749327e-09,1.3929805031369424e-13,1e-05,1e-05
1400,4.1489207851550754e-11,5e-06,9.76770924402929e-10,5.954622323514006e-10,4.5019711244790593e-23,2.3299276609630007e-09,1.522077878720463e-13,1e-05,1e-05
1500,4.142681944311195e-11,5e-06,9.739454737935535e-10,6.406963212184671e-10,4.500106057350583e-23,2.7462726685793657e-09,1.6001789641771216e-13,1e-05,1e-05
