milliseconds,species_0,species_1,species_2,species_3,species_4,species_5
0,1.0236669970210495,2.1542308611749124,6.271793312974895,3.2036921112942562,8.232192280413441,9.31202094399078
100,1.0236671668563198,2.154233398462898,6.271790796781538,3.2036971903437252,8.232187114908719,9.312020051355493
200,1.0236673616873477,2.1542350284570904,6.271789286824062,3.203701399693922,8.232183665828202,9.31201935929103
300,1.0236674928604057,2.1542359384141236,6.271788127813666,3.2037039095119066,8.232181571390033,9.312018953574187
400,1.023667631447464,2.154237096357264,6.271787933992984,3.2037056975507423,8.232179520153515,9.312018520511101
500,1.0236677685629636,2.154237480802734,6.271787307260485,3.203706433631479,8.232177896093244,9.312018411741157
600,1.0236678255433538,2.1542378830837956,6.271787749216752,3.2037058737284134,8.232176773476448,9.312018298655873
700,1.0236678682995977,2.1542380569149984,6.271787884957357,3.203706164244636,8.232176269425555,9.312018287163262
800,1.023667930302643,2.1542381871165226,6.27178851718403,3.203705802749959,8.232175975865427,9.312018125800245
900,1.0236679786353127,2.154238245357696,6.271788273036125,3.2037055938402554,8.232176109917035,9.3120181991679
1000,1.0236679574237182,2.154238101425358,6.271788705212256,3.2037050486195473,8.232175786575418,9.312018090359748
1100,1.023667961328823,2.1542386408554948,6.271788949054717,3.20370430395311,8.232174929984154,9.312018056920266
1200,1.0236679939183442,2.1542384494749527,6.271789451227803,3.203704152831515,8.232174961439789,9.31201805717786
1300,1.0236679886169961,2.154238511604434,6.271790201466123,3.203703583102022,8.232174806651374,9.312018069357594
1400,1.02366802343444,2.1542385557645316,6.271790364177222,3.2037031815240296,8.232174836980446,9.31201797635733
1500,1.0236680517432521,2.154239016795759,6.271790713539409,3.2037029667005688,8.232175127131624,9.312017900978574
1600,1.0236680571928742,2.1542390693851656,6.27179052257076,3.203701972870135,8.232174198252203,9.312017858475718
1700,1.0236680404025253,2.1542389383212934,6.271791210928165,3.203701603018891,8.232174480452597,9.31201794337471
1800,1.0236680988264588,2.1542391283856124,6.27179144338104,3.2037010756244575,8.23217373235176,9.312017865198204
1900,1.0236681121353979,2.1542393986804007,6.27179171309988,3.2037013345609515,8.232173496033562,9.31201787734956
2000,1.0236681207742189,2.154239305223761,6.271791569389142,3.203700395374567,8.232173885916463,9.312017820716887
2100,1.0236681181755345,2.15423959567957,6.2717918420397725,3.2036998327753587,8.232172786632614,9.312017676432669
2200,1.023668151710511,2.1542398842879886,6.271792044755652,3.2036996118792334,8.23217308112151,9.312017596243065
2300,1.0236681802428285,2.1542399692515666,6.2717929065604325,3.2036993987529945,8.232172277914575,9.31201754893983
2400,1.0236681845335247,2.1542398380373355,6.271793162611542,3.2036989019757742,8.232172907022205,9.312017594851692
2500,1.0236681914067767,2.1542400759149216,6.271792888933995,3.2036988493401894,8.232172157538033,9.312017444051872
2600,1.0236681763626898,2.1542401158296056,6.271793226555145,3.2036986344846485,8.23217166881094,9.312017526138755
2700,1.0236681982467575,2.1542405306837367,6.271793890207878,3.2036986030706287,8.23217136177245,9.312017479343895
2800,1.0236682242037962,2.154240832546678,6.271794051069574,3.2036976903169245,8.232171163240471,9.312017391759817
2900,1.0236682239235375,2.1542405577925576,6.2717939180936835,3.203697857360404,8.232170853420243,9.312017329188453
3000,1.0236682812200704,2.1542406519384305,6.271794407647617,3.203696891229637,8.232171522112688,9.312017201474925
3100,1.0236682864509121,2.1542408516309703,6.271794531051276,3.2036966124956887,8.232170643324167,9.312017241091263
3200,1.0236682638580736,2.154241303312523,6.271794799888353,3.203696769637873,8.232170138045234,9.312017249227537
3300,1.0236682795731709,2.1542413356216152,6.27179530533839,3.203696413560441,8.23216995821449,9.312017174078763
3400,1.0236683338966943,2.154241712616552,6.271795573854837,3.203695718778359,8.232170116328414,9.312017146351327
3500,1.023668311437492,2.154241588823653,6.271795430558472,3.203695933319093,8.232169349918616,9.31201707367385
3600,1.0236683567420177,2.1542416904698163,6.271795899252915,3.203695849483307,8.23216913238738,9.312017066018745
3700,1.023668358900016,2.1542419635447527,6.271796064274509,3.203695389494362,8.232169400891237,9.312016952769595
3800,1.0236683931838726,2.154241821925896,6.271795881102197,3.2036951103811933,8.232168814313269,9.312016871275777
3900,1.0236683951584007,2.154242007709448,6.2717966318067315,3.2036948845683684,8.2321691733789,9.312016900416845
4000,1.0236684127628073,2.154242448084824,6.271796755838961,3.2036945021096144,8.23216837400533,9.312016852065744
4100,1.0236684593594412,2.1542424822048836,6.271796660719771,3.203693783074926,8.232168173751633,9.312016734780562
4200,1.0236684710230484,2.154242423960055,6.271797054539252,3.2036937095026072,8.232168632427518,9.312016730848013
4300,1.0236684690648539,2.1542423537359863,6.271797600477495,3.2036936926222834,8.23216772438993,9.312016657729528
4400,1.0236685015444134,2.154242753332961,6.271797728356113,3.2036930504136283,8.232167647205923,9.312016731064096
4500,1.0236684592530219,2.1542428111914447,6.271798017470561,3.2036930623375346,8.232167609649874,9.312016567700404
4600,1.0236684697893335,2.154242772367916,6.271797767703103,3.203693141995957,8.232167031991258,9.312016583191783
4700,1.0236685277552784,2.1542430114908684,6.271798362131972,3.203692406555035,8.232167388660816,9.312016532039078
4800,1.0236684978112576,2.1542433796882285,6.271798735673267,3.2036921850844813,8.232166949533493,9.312016556957825
4900,1.023668535991355,2.1542431318114867,6.271798582325605,3.2036919229056253,8.232167277744573,9.312016428765316
5000,1.0236685408999515,2.154243363005052,6.271798661965573,3.2036917247976517,8.232166247120125,9.31201638096307
