milliseconds,Ca,zzs,bbs,hhs,nns,rrs,ccs,qqs,V
0,0.0007926875624186041,0.0013674352783067572,0.20744155791551463,0.9792744708364328,0.02439809542266992,0.005448330904469233,0.002512649915622983,1.917478741112902e-18,-71.95792741195227
100,0.0007861846753494799,0.0013682226103499348,0.20781857726904665,0.9793772053252495,0.024573019406821186,0.005447187797252429,0.0025111787117726467,9.319593057307093e-18,-71.74676284242969
200,0.0007729973585870855,0.0013692041757598322,0.207096961127081,0.9794793792100248,0.024023283362705924,0.005538362862309584,0.0025139914675413465,1.3103154124058248e-17,-71.79761209289558
300,0.0007724659038121811,0.001367614983326799,0.20732332812831727,0.9794068014916241,0.02450638244081033,0.0054668944318390774,0.0025138658901936958,1.7366115908653346e-17,-71.7548604441217
400,0.0007664085755824884,0.0013708344453580738,0.20769078160653257,0.9793381411330263,0.02426805188901637,0.005557461892688217,0.0024977768648916953,2.4227830792903365e-17,-71.45914971065991
500,0.000753723361022117,0.0013685602255949013,0.20763053678871773,0.9791425354108411,0.024480808197109013,0.005633379539611591,0.0024816594374674986,2.900542433040498e-17,-71.47509238215162
600,0.0007544393885591266,0.0013707884311864422,0.20734104318761487,0.9787594960062738,0.02480835409149605,0.00558860233044622,0.002542023593846724,2.9450191539443733e-17,-71.37589742446728
700,0.0007446747291124144,0.0013700206012988033,0.2068235429063996,0.978523847088194,0.025043661783869357,0.0056237850763181055,0.002506095390020301,3.4918489575144147e-17,-71.36619144015778
800,0.000742889713893506,0.0013698638130774656,0.20700467936945494,0.9785164692389444,0.025186017556057358,0.0056677914491504965,0.002503871161854905,3.6462874113315596e-17,-71.09060576933778
900,0.00073885427367981,0.0013688332676582858,0.2069654910189143,0.9778524779128417,0.02530704363547744,0.005603302343787,0.002581648013872081,4.60447588483526e-17,-70.96629266282481
1000,0.0007310603360617083,0.0013710903416353404,0.2063992253922752,0.9782683717334901,0.02522440023764621,0.005642956551772324,0.0025795384048338935,4.71996153266322e-17,-71.10419005285047
1100,0.0007233161291265405,0.0013720933331921425,0.2061248192135524,0.9779722793109337,0.02552216627828154,0.005740964883438685,0.0025961052826763676,4.630113348434726e-17,-70.95663551345494
1200,0.0007242943709812735,0.0013701275271907668,0.2059254063740615,0.9778500345839711,0.025723723635165167,0.005833056090644534,0.0025990924997545115,5.622185014465782e-17,-70.7696244988845
1300,0.0007165885637020574,0.0013722780552058158,0.2061223289003692,0.9768566217799654,0.026377207107078828,0.005805454952833878,0.0026448191806657125,5.5373163311453596e-17,-70.7048708628507
1400,0.0007164378946371402,0.0013738712962597108,0.20548573024148584,0.9772563806337817,0.026251900698174516,0.005826820300165511,0.002641917605752885,6.569568846863381e-17,-70.7407323602185
1500,0.0007097926503046595,0.0013725578554421556,0.20599247665425385,0.9770201890589716,0.026623915957844278,0.005847023657358418,0.002671859413595554,6.684101192234001e-17,-70.52961901964127
1600,0.0007071529429485239,0.0013726752793499363,0.20522638570453655,0.9768203169389176,0.026928660454955795,0.0059709297043286065,0.002702586779494259,7.242475900037606e-17,-70.41528116586879
