milliseconds,NFAT_Nuc,Act_C_Nuc,NFAT_Pi_Nuc,NFAT_Act_C_Nuc,NFAT_Pi_Act_C_Nuc,Inact_C_Nuc,NFAT_Cyt,Act_C_Cyt,NFAT_Pi_Cyt,NFAT_Act_C_Cyt,NFAT_Pi_Act_C_Cyt,Inact_C_Cyt
0,0.0005083330134051952,0.00017950387142809417,0.0002270657348962713,0.0009287024824348934,2.4160030413130513e-06,0.049720647713636684,0.00010980088653656244,3.1803512708399425e-05,0.009442057956432699,5.332114558319387e-06,3.1848837874957933e-06,0.009627340741808875
100,0.0005283311506315763,0.0035535209570983963,0.00022633818649268412,0.0009429508245609824,3.4605344182802674e-06,0.046230761004087385,0.00010992080351730683,0.0006957913512251071,0.00941410697331286,6.23058279820679e-06,1.3371762775215821e-05,0.00897369838062025
200,0.0005139584110207935,0.0066055652733878695,0.00022480321089664505,0.000955922502617814,4.636472815522292e-06,0.043358472613757464,0.00010956135588098862,0.0010994798249976572,0.009431722451138191,3.7761876715592757e-06,2.2256008703593305e-05,0.008503142485901663
300,0.0005182769968136492,0.008720353630525519,0.00022335780302818264,0.0009566477137419985,5.91877519817609e-06,0.04079418186357292,0.00010958363161092758,0.001738731200352163,0.009397969023823045,9.551599167528073e-06,3.956054794146871e-05,0.007885936414135812
400,0.0005018346290083884,0.011266076654829973,0.00022220293964565177,0.0009609293114392722,6.945235271967846e-06,0.038617989677274325,0.00010965313902377875,0.002222854869055328,0.009375518014422806,9.089187831879108e-06,4.707364058336585e-05,0.007468646413264927
500,0.0005131336797562476,0.011242925486065002,0.00022214098565769678,0.0009861976152068025,6.825189055707214e-06,0.03787489904333013,0.00010917848438930736,0.002116434738955753,0.009366417961018687,2.0157943227166508e-05,5.578407433491781e-05,0.007419269898282933
600,0.0005139841935700531,0.012265685509353648,0.00022196365475135263,0.0010207700883043977,6.6314403565850745e-06,0.03803421599331673,0.00010880040911438206,0.0023345479357751893,0.00936101015379365,2.7525940375893377e-05,5.146901509440274e-05,0.007333241145490896
700,0.0005184561572746812,0.01171813429550879,0.0002219984930610326,0.0010296893132755486,6.554976560849732e-06,0.03683123615433505,0.00010887451270426689,0.002379693592326525,0.009313880936408765,2.7008226363236318e-05,5.579173481083549e-05,0.007344663220536342
800,0.0005206084107490416,0.012854217514570257,0.00022193877577787857,0.0010168442471765646,6.6641251643217045e-06,0.03624374109503224,0.00010870050014819497,0.0023488411120170367,0.00933099458883324,3.1008341965421385e-05,7.04697153930992e-05,0.0071119856290822086
900,0.0005278179106781506,0.012867446547202292,0.00022190630078276524,0.0010459299684667685,6.434271289872365e-06,0.0360293268849881,0.00010886072154187369,0.002523214533866397,0.009275752255656392,3.8034881969668294e-05,7.150290660180652e-05,0.007130370787629139
1000,0.0005231455816421606,0.013558092033334083,0.00022152083066668993,0.001079539766008648,6.387378758993374e-06,0.03619467816406786,0.00010834357488265253,0.0024464550240385755,0.009275784860430002,4.303946459147165e-05,8.824771616172358e-05,0.007059530393198384
1100,0.0005134052450614376,0.013444219170419639,0.00022161213295731648,0.0010892293834982737,6.3036874798366715e-06,0.035685264455759765,0.00010828782013888247,0.0026268735996767215,0.009247318423920077,4.786326300019199e-05,8.391921334600885e-05,0.006989909245098654
1200,0.000523241119864228,0.013508945971939424,0.00022131914935530884,0.0011060354268236895,6.407460561844921e-06,0.03563021441919053,0.00010795073631075355,0.0025555865373222118,0.009229971063072722,5.3661151067977335e-05,9.936278297893229e-05,0.00684232711330586
1300,0.0005191101119689184,0.014365091887131122,0.00022137124792082915,0.0011113762775980833,6.229370136208009e-06,0.03542929209984945,0.00010755247147257495,0.0026340923303297408,0.009220904406939413,5.782948030554479e-05,9.809916103086411e-05,0.006802411942790541
1400,0.0005379714572055307,0.014380593076718507,0.00022137710036221843,0.0011352833954632522,6.110281841805017e-06,0.03471393821645064,0.00010773956435003707,0.0026324724923546105,0.00918159207059414,6.121419129572111e-05,0.00010979988253355135,0.0067970639343929665
1500,0.0005195468431676824,0.015165277560376323,0.00022111153569253858,0.0011777736684269033,6.153868611380391e-06,0.034193582912490264,0.00010744605864778772,0.0027587119021544437,0.009188227331795473,6.375126513835267e-05,0.00010917041828536899,0.006696571408736364
1600,0.0005222351728803047,0.01474158051143336,0.00022114819081551368,0.0011631966396908112,6.10331603376822e-06,0.03371477284702852,0.00010743268758423735,0.0028780874143818085,0.009165129466460272,7.294517401372712e-05,0.00011227419426774942,0.00668409793949719
1700,0.0005286082154886578,0.0154699640775716,0.0002211878019217506,0.0011888202424091704,6.046472692866325e-06,0.03373809667032187,0.00010699243790747329,0.0028166242686521142,0.00914698638618271,6.914651460870028e-05,0.00011785634867324879,0.006446405588651701
1800,0.0005515373270408841,0.015552508256250512,0.0002209665378815965,0.0012230768731304777,5.885132411896872e-06,0.032800008212315206,0.00010677392147339207,0.0028619243563920748,0.00913372672484406,7.851906654388481e-05,0.00012353652958468483,0.0065374775531611235
1900,0.0005368279049166684,0.015840826874053096,0.00022100264882694178,0.0012411769497366304,5.868476748666595e-06,0.0324604015508732,0.00010662174732994651,0.0030673967749623547,0.009096843777306839,8.204893358890959e-05,0.0001307810387610907,0.006369285232429171
2000,0.0005483246057988163,0.016084720923845282,0.00022064596982363118,0.0012484227180080325,5.681297881269627e-06,0.03268524107016249,0.00010624328220277438,0.003027857385442179,0.009108608699488905,8.76765289040633e-05,0.00014047719830159134,0.006207125953882215
2100,0.0005356133389479534,0.01700491814545125,0.00022059592825681486,0.0012746981122436973,5.7198942439792265e-06,0.03207369140338498,0.00010599617221192569,0.003227690014506418,0.009083519253483994,8.834698078085888e-05,0.00014950909267965554,0.006238150384341138
2200,0.0005447413068567061,0.017000003278020072,0.00022058336525078182,0.0012677926393083955,5.566392826017636e-06,0.03240078575860175,0.00010630060692940056,0.003137643806500859,0.009044300705528327,9.948203390557886e-05,0.00015811038758554337,0.006219740090769727
2300,0.0005323111278112777,0.01819928390830765,0.00022069626664322222,0.0013138149290480797,5.611371598422598e-06,0.031256198619038535,0.00010599081986037258,0.00327205386688651,0.009039699958270668,0.0001060027076848235,0.00016031766714027097,0.006025619237848479
2400,0.0005446004171351325,0.018543519957985012,0.00022058992184633403,0.0013280602191946636,5.4071617965072105e-06,0.031560005501320765,0.00010537381764101044,0.00323318515633811,0.009024126561364268,0.00010548043144267203,0.00016761908211149638,0.005968266180914752
2500,0.0005609910770780358,0.01810754953938911,0.00022030338902936765,0.0013286679430940787,5.3909060762207376e-06,0.03143247826465575,0.00010519626564170022,0.0034155403728772693,0.008994628406076519,0.00011305864719824262,0.00017327854944220537,0.005849368088793173
2600,0.0005475934397815861,0.018972421209671353,0.0002201610951841536,0.001332034306352321,5.4154331913955674e-06,0.03083818836725504,0.00010525894681700855,0.0033713396552738596,0.008969152761379811,0.00011091216573000554,0.00018659724005214867,0.005814496425026974
