milliseconds,H2O2_p,per3_p,coI_p,MLTH_p,coII_p,MLT_p,O2minus_p,H_p,O2_p,NADPH_c,O2_c,NADPplus_c,H2O2_c,NADP_c,O2minus_c,H_c,MLT_c,MLTH_c,coIII_p,NADP2_c
0,-1.7751826031272613e-07,300.07610914915614,-8.102351431068332e-07,300.00026107309606,6.773256467129256e-05,-0.0004140576966558663,2.8474960288360188e-05,5.6922411060857366e-08,0.4457221726685446,-0.4679831175862332,-0.6497475806673141,0.015687048889459487,6.806449186723077e-05,-1.4108646481279123e-07,-5.482338153727515e-05,-0.00030850077715978067,4.236765990141607e-07,300.0000001074279,0.3546327422986979,9.912010771606835e-13
100,2.5229965297168926e-07,299.6877487882235,-1.960010500755146e-07,299.9995161002767,-0.0005731290760142936,-0.00038586363149449864,2.647803678120378e-05,-1.2976073848956447e-07,1.5537881915659617,3.1735423501143614,0.1209492387303619,-0.012228009058021112,-8.697393549019473e-05,-7.359632948067339e-08,-6.69906059980745e-05,0.0003967372303582839,5.125164589718881e-08,299.99999958352237,0.04359503243528997,7.04563246504802e-11
200,1.3712193799222513e-07,300.35777902007885,-1.4195178512483523e-07,299.9996089705646,-0.0017833277995469644,-0.00010276100874882636,3.549175496392591e-06,2.1392849202245947e-07,0.7779247489507182,8.218055245384752,3.5779079192803436,0.010223297873018268,-5.7966116915838705e-05,-8.963222705958776e-08,2.4770894296448674e-05,0.000438042966255469,-1.1911879658477274e-07,299.9999999843697,0.004473474713026876,-5.568628701560819e-11
300,-1.2069341618644858e-07,299.8631689158559,-8.277208883988885e-07,300.00043316330294,0.0005493738531974478,0.00014460395353933125,1.7937582244229292e-06,-9.336955015436493e-08,3.7522466029008807,6.548748150703053,4.328836457405911,0.008939496546726829,-8.457987030644672e-05,8.966159886116697e-08,-1.421911338007699e-05,-0.00023895225829168536,-2.1467045748740117e-07,300.0000003116832,-0.3204088856896709,-1.730347161007348e-11
400,-2.214430068636494e-07,299.7431075749075,6.583733273635207e-07,299.99988976391535,-0.00020210055452337848,0.00019854428639968258,1.3643355390314026e-05,2.608376589299917e-07,4.230074199082173,8.9999435626607,4.301015501912158,0.004519590659425869,5.8664225237355506e-05,1.8738406818826807e-07,-9.242980106890466e-05,5.2899216434764374e-05,3.840093064588741e-07,299.99999992621736,0.31720346497897906,3.5443652614256675e-11
500,-3.1622279311979e-08,300.1444234580194,-8.012267247765119e-08,299.9995605975257,0.001583259177615138,-0.000274957327486317,2.1627486268643524e-05,6.185776127246024e-07,5.04749462191064,10.042900253313308,5.833099787111667,0.007687305829686255,-3.9134983327713765e-05,1.1334531910252728e-07,0.0001273950402478141,7.970303967172407e-05,-2.0582127690003974e-08,299.99999942329276,0.3746324910785623,-6.031855134889319e-11
600,2.1652722153731559e-07,300.0408090595342,1.2218842821273697e-06,299.99989713441875,-0.0011048176161408305,0.0005718171072333044,7.514713145679726e-05,-2.485381149730896e-07,6.180572798364752,12.104628821775538,6.568191531924024,0.0029493019626697127,-3.97038674954745e-05,2.000014587910421e-07,-6.953476401554099e-05,-0.00016258136119391424,3.426448904274787e-07,299.99999975990596,0.14540783958439318,1.6848877790918872e-11
700,9.038998462164382e-09,300.1034110331843,1.0143817669392783e-06,300.00010278368154,-0.0015075292690675402,0.0003558147226379809,5.150932270828259e-05,-4.6947867105178467e-07,7.205690485200612,20.504907494611114,6.848540973141299,0.009483452938462944,0.00012830540111122307,-5.775540759494077e-08,-4.1739841774433376e-05,-0.00045058540656830635,4.4800135011008476e-07,299.9999992753775,0.04851643626696123,-6.400619484874877e-11
800,1.574110927612048e-07,299.9875909450655,2.4094732957676416e-07,300.00031091695257,-0.0012645245445917466,0.00044620564102249575,6.945059711756589e-05,-6.283307798807061e-08,8.86851195832719,22.502018254132466,10.066702695705047,-0.00424098250624055,0.00014598068109772334,-3.6085453156957214e-08,6.636694136463961e-05,0.0003071405896688645,1.2603161975849542e-07,299.9999992439208,0.11948828216304776,-4.794725117211473e-11
900,6.0696345749546586e-09,299.89721459651844,-8.244999679959501e-07,299.99937552535283,-0.0012494030837799746,-0.0002585774604649618,6.0042522597407086e-05,-3.3959175333554796e-07,10.252180790968076,25.48751976940526,9.36622114512186,0.006284026080467275,-3.342504704730699e-05,1.1607200039499385e-07,6.0374168018186815e-05,-0.00020567771534727803,4.782571790279831e-07,299.99999977786223,0.0758769053601425,-4.589015300609834e-11
