milliseconds,CDK2cycA,CyclinA,Cdk2,CDK2cycA_star_
0,6.319378673999693e-10,3.9830171855493115e-07,9.847510691125536e-08,-1.982266174045909e-09
100,1.455304680094581e-08,3.825342328168863e-07,8.388175698751799e-08,1.5187045822162392e-09
200,1.9643214137452174e-08,3.779310255224528e-07,7.784373198211892e-08,3.5900429419705006e-09
300,2.3362317609761257e-08,3.712384115358043e-07,7.074565169354908e-08,6.575230752917961e-09
400,2.831512188198734e-08,3.632919350878273e-07,6.415627892182973e-08,6.025329589844982e-09
500,3.016582048119448e-08,3.6432829455056007e-07,6.170225781426426e-08,1.0459866342420003e-08
600,2.872081682077573e-08,3.6021397311077447e-07,6.318580492691072e-08,8.04898698379171e-09
700,3.086528797149123e-08,3.608178333448884e-07,5.9417303331759025e-08,1.2811046287110808e-08
800,3.1764695041147635e-08,3.5824280687358576e-07,5.831742732168998e-08,1.258357261737737e-08
900,3.1367151017364385e-08,3.5760327313159577e-07,5.7569724176728736e-08,1.2166540108170938e-08
1000,3.381360370077626e-08,3.5763511711285564e-07,5.798370164776462e-08,1.4452319511511674e-08
1100,3.412125303908597e-08,3.565376438113299e-07,5.4011036338165805e-08,1.7998879940227025e-08
1200,3.477548217640922e-08,3.551960368320812e-07,5.5227915449796563e-08,1.6804568911706032e-08
1300,3.4168242728036666e-08,3.522702147383953e-07,5.1418713043050764e-08,2.1373398247188907e-08
1400,3.5305944328492665e-08,3.533315915756207e-07,5.150215527849282e-08,1.9633816622872087e-08
1500,3.677527569841837e-08,3.5161897103306927e-07,5.154383266604559e-08,2.2418873187580776e-08
1600,3.6756514308466146e-08,3.50596065191046e-07,4.783101240284513e-08,2.2905733812337738e-08
1700,3.967393794671268e-08,3.490100110418028e-07,4.700109540455038e-08,2.5511686186342116e-08
1800,3.80857511876802e-08,3.468267924649269e-07,4.6126193733389466e-08,2.4919953056435376e-08
1900,3.9916303972009845e-08,3.4524730260571364e-07,4.5632510918628697e-08,2.932976123047345e-08
2000,3.9525434396243916e-08,3.429865622200177e-07,4.276763527197524e-08,3.154243428147421e-08
2100,4.26474123081088e-08,3.447881812742691e-07,4.4349239658711545e-08,3.2833844843388904e-08
2200,4.2501705482662793e-08,3.4217662026847586e-07,4.3256291205901524e-08,3.072353445390992e-08
2300,4.3222772987144415e-08,3.421670219132533e-07,4.13516272951241e-08,3.386811477595219e-08
2400,4.4657918624392424e-08,3.405384786063968e-07,3.903967665305314e-08,3.4050487386371124e-08
2500,4.510652796312676e-08,3.3829102258948183e-07,3.767950199024608e-08,3.474305870049133e-08
2600,4.55489191800977e-08,3.374680146484332e-07,3.8521152175493176e-08,3.765709076221615e-08
2700,4.514125014255905e-08,3.347482463496665e-07,3.654843979717209e-08,3.739843827424296e-08
2800,4.573491606654179e-08,3.3537858084191185e-07,3.4012514256298656e-08,3.8998699240895334e-08
2900,4.6991893121740224e-08,3.349507676901593e-07,3.418654323959233e-08,4.2348826509571496e-08
3000,4.8846234061543734e-08,3.3254879112178847e-07,3.2910422823209355e-08,4.444292391087115e-08
3100,4.9468112458170166e-08,3.322525132922223e-07,3.006756423378384e-08,4.605016403737555e-08
3200,4.994129387199048e-08,3.2888421923939885e-07,2.9161288897207458e-08,4.585923141717564e-08
3300,5.1713862345546493e-08,3.281785430636612e-07,2.845399048486599e-08,4.868679491978643e-08
3400,5.146331560976667e-08,3.2763092224128754e-07,2.8340826523191833e-08,4.769431513516196e-08
3500,5.269308936171586e-08,3.248340880390102e-07,2.426981077710008e-08,4.9746991889396317e-08
3600,5.2364284575187784e-08,3.241714006014963e-07,2.5408747438140694e-08,5.14406531289128e-08
3700,5.320982902412669e-08,3.248920079098985e-07,2.4273950371144612e-08,5.311384090877285e-08
3800,5.481269581954925e-08,3.232776922645547e-07,2.1467123660666686e-08,5.408428158287398e-08
3900,5.454322814272203e-08,3.216512260222192e-07,2.1447338156459445e-08,5.6001723423441705e-08
4000,5.569318404850989e-08,3.233551467057473e-07,2.4697486159446983e-08,5.901486951929522e-08
4100,5.653297063091354e-08,3.2597672072759725e-07,2.403541052245855e-08,5.66233970694713e-08
4200,5.682116189220176e-08,3.2608972475219515e-07,2.7879244120264384e-08,5.874720937956811e-08
4300,5.780793658320787e-08,3.2718906226832944e-07,2.7589706920722166e-08,5.983549670542921e-08
4400,6.007682055952177e-08,3.2995597173220055e-07,3.021736417289268e-08,6.25847904752631e-08
4500,6.094054335643239e-08,3.3109134656771e-07,2.8444149046216097e-08,6.499252126853316e-08
4600,6.242641007117052e-08,3.3249776983428743e-07,3.1712118688298415e-08,6.66539152158663e-08
4700,6.166509888547856e-08,3.336608742942049e-07,3.104875133244306e-08,6.40421783752659e-08
4800,6.225715004759539e-08,3.328892485013781e-07,3.439803111112762e-08,6.749403393148703e-08
4900,6.478166229134983e-08,3.348511603449065e-07,3.484370329059052e-08,6.87302400963088e-08
5000,6.46504851286458e-08,3.3539343182711803e-07,3.662014899341067e-08,6.780150032829777e-08
