miliseconds,x2,x6,x5,x7,x8,x16,x15,x9,x11,x10,x12,x29,x30,x39,x46,x40,x45,x41,x44,x18,x17,x14,x22,x32,x13,x20,x21,x23,x27,x24,x25,x34,x36,x42,x37,x47,x48,x52,x51,x50,x53,x54,x55,x60,x59,x57,x61,x62,x63,x65,x68,x35,x28,x31,x56,x43,x58,x4,x26,x49,x33,x64,x19,x38,x66,x67
0,0.00857425520951916,-0.0017313794975014382,0.005901823775926283,-5.172812863768556e-06,-5.40694600625084e-09,-3.685608429642653e-11,99.99999999983321,1000.0000000258698,-1.1860808727010918e-08,-1.954017794192227e-09,-1.9293856935878704e-19,4.830367602003636e-33,1.2122922847209228e-41,-5.971851953060959e-11,-1.909289836432592e-11,1.62995206188741e-12,6.078065321681542e-12,4.290963284178394e-14,6.775645921167984e-13,-4.745983009389908e-11,49.99999999996556,-2.2870715690835726e-14,-1.1560001197267082e-26,1.0771165565757359e-43,8.541183639704088e-18,1.853846225550722e-21,-3.805519637506771e-22,60.0,-3.4256572148271614e-24,-9.397018972681194e-27,-4.8076964232253125e-26,84.99800932711753,18999.99999999992,4.78327707980551e-11,1.2078974965244271e-11,66.99999999999962,1.8435735053042805e-13,1.833476438699147e-15,-8.121361952876228e-16,67.0,41667.0,9.411056629673025e-14,1.5871856789722994e-13,8.492650167703351e-17,67.0,-5.311471099842325e-31,35000.0,6.12707580071507e-31,-2.137291890340341e-31,2.2016699221316883e-65,7.052644780907806e-30,34.24264045699054,3.646379200867564e-24,2.9358345726834585e-41,-6.765179803879965e-30,-1.6210368674064577e-12,-5.961319269816688e-31,12.016803556634763,-1.0053506367349484e-29,-2.6003341458408247e-13,1.309002539288392e-47,3.042801537120442e-63,-3.1174048123601403e-21,-0.3173979312798837,16667.0,-1.526949564870511e-63
100,0.025697904330487506,-0.0020448661014425573,0.11575423949034182,5.734205551957486e-06,2.9119582789841123e-09,8.841804456801827e-11,99.99999999970287,999.9999999797528,-1.4430947919205825e-08,1.6599675092364266e-09,-1.6409185227847235e-18,1.1736891535993331e-32,-2.2462508130617876e-41,-1.4037535924204537e-11,1.007411798014543e-11,3.815617287438982e-11,3.25525615679551e-12,-6.966125648005679e-13,-4.942739296642107e-12,7.943503765906901e-11,50.00000000008762,-3.390884357303747e-13,-9.707188842726368e-27,3.333043495207692e-43,-1.1950059082852673e-18,8.056420061448017e-21,1.2033006814748898e-22,60.0,1.1314236892504226e-22,-1.023902468686159e-25,-5.989708419343953e-26,83.58089825815763,18999.999999999967,3.418046600839171e-11,8.871988192321087e-12,67.00000000000026,2.429434253567352e-13,8.168483312667605e-16,-3.022215097190818e-16,67.0,41667.0,1.2369857050883928e-13,-1.351518151527797e-13,-6.522672795188722e-16,67.0,-9.43283794309051e-30,35000.0,1.9711767916441057e-30,-2.930507437697739e-32,1.7593003355453477e-64,4.171533121148265e-30,32.88442028475642,-5.015053314902094e-24,1.1292371921646919e-41,4.2522707376835376e-30,1.637998270596664e-13,7.449808828666098e-31,11.905087914396868,-4.304317767250957e-30,9.753850141362466e-14,-4.2034398967416675e-47,9.485782822918354e-64,6.106295946325554e-20,1.2182064433844266,16667.0,-1.3016391652814072e-64
200,0.0450751389518016,0.0008599823372999861,0.19420955267409268,2.8585031321996895e-06,8.300031833167674e-10,-7.110315211885514e-11,100.000000000311,1000.0000000049959,1.1832019758079735e-08,1.1949903939799707e-09,3.129999891144375e-18,-7.301625423387089e-33,-1.2521177249210072e-41,1.2180699579161466e-10,-9.522127445624522e-12,-4.0380763842833437e-11,8.831263560340604e-12,-8.970218395906943e-13,-2.5787669175723735e-12,-8.643366000681442e-11,49.999999999893056,-2.1343170538620674e-14,-1.450763947110069e-26,-3.933715221815084e-43,4.744771884528453e-18,9.682575484612411e-21,2.117814505035644e-23,60.0,-3.684972541905121e-23,-7.713883612539143e-26,4.5003517235574474e-26,82.6472353694755,18999.999999999978,-3.786304297220476e-11,-5.1729083118626475e-12,67.00000000000045,3.064944943706765e-13,2.1691542498511642e-15,4.701695067388707e-16,67.0,41667.0,4.9486814304995814e-14,5.366887036159399e-14,-5.853870508394559e-16,67.0,-2.3910105259125856e-30,35000.0,4.414973510716032e-31,-4.721157294688379e-31,-9.529485419700809e-65,4.804473334700336e-30,31.775856277724724,-2.11093354753958e-24,2.863531693119981e-41,3.8866430148481184e-29,-1.4327662271548358e-12,-7.200124071900204e-31,11.789519567312944,-2.9174174612349682e-30,-1.5159168511760755e-14,6.071480563535387e-48,1.918513318624915e-63,-2.727458081838667e-21,2.197094120222947,16667.0,4.749374086596146e-64
300,0.0802864466222645,0.002322282215214519,0.3173111112181362,-4.925114578267141e-06,-3.969885794166644e-09,3.480300813122574e-11,100.00000000002295,1000.0000000195395,1.6605729106708097e-09,-2.136946940388527e-09,-1.8330987219724188e-19,1.4740586982148794e-32,9.723182878375863e-43,-5.822465570201903e-11,1.898470839863552e-11,2.174819072365824e-11,-3.313801912413225e-12,3.8384274167377406e-13,2.7118153260952774e-12,-7.929142564729411e-12,49.999999999984894,-3.118499440547178e-13,1.334443520843844e-26,4.6186341412879336e-43,3.570379037352926e-18,7.019185482730786e-21,3.98602044060386e-22,60.0,1.241253183967876e-22,6.493266893727201e-26,2.5772413432173363e-26,81.50964568666124,19000.000000000073,-3.441126592513829e-12,3.5238491494278714e-12,66.99999999999966,-6.232447751926333e-15,7.672891707959313e-16,-1.028175641170675e-15,67.0,41667.0,-6.61040931444951e-14,-1.7945282028310464e-13,-4.669052159662625e-16,67.0,-6.813086941161485e-30,35000.0,-2.8765836251290917e-30,4.010299121682861e-31,1.5090881367632619e-65,-5.765294403359896e-30,30.758900089855246,-2.964186377792929e-24,1.1274607324147889e-41,-3.363505054467147e-29,1.460041434852975e-12,8.934871229977769e-31,11.676796650410225,1.997939026581106e-30,-1.5418788216664957e-13,-1.6803365349355425e-47,-5.44862288936195e-63,-9.909497640574857e-20,3.915396813690085,16667.0,8.826454318853076e-64
400,0.12403666507272604,-0.0013555663024431423,0.39767758804945114,-6.8049433680599e-06,-1.393378469353633e-09,-8.957114201821774e-11,99.99999999960885,1000.0000000028494,2.912391899026982e-09,4.596042287055879e-09,1.84177401403035e-18,-1.2680814418125323e-32,1.6080597221240066e-41,8.140207702221406e-12,-4.892039771153119e-12,-7.704543186808147e-12,-4.9082208357358e-12,-9.751791896259065e-13,5.736694111256545e-13,-8.090453204047668e-11,49.99999999992651,2.2860566794262017e-13,1.0634567096058188e-26,1.9588147770285388e-43,5.938224931974553e-18,-6.978070830357997e-21,-6.273908776459275e-23,60.0,-6.058784235141898e-23,1.4222794579273633e-25,-3.672261474580566e-26,80.57811296798192,19000.000000000007,1.3921333064491487e-12,-1.631049680942639e-11,67.00000000000045,9.86273477846324e-14,2.0500458460298376e-15,-1.5055659853296084e-15,67.0,41667.0,-8.8807620759028e-14,-2.6029785140733954e-14,-8.890967154897424e-16,67.0,1.3467782109888698e-29,35000.0,-1.444060004112348e-30,4.3654267849606225e-31,4.978532223006371e-65,4.721776108029892e-30,29.427203392057567,-1.6990468218473483e-24,-3.406030073856228e-41,3.6776158695690325e-29,8.079725876331296e-15,-2.196586314380045e-30,11.61280754148128,-7.893484187663623e-30,-4.582770122298105e-13,-1.0789825985723784e-47,-5.3211579709652e-63,-7.84928714456422e-20,4.988308515646672,16667.0,2.9208551095337877e-63
500,0.16699291772102215,0.001566660999123437,0.48454896918134166,2.6527441005949753e-06,-4.965740302631025e-09,6.511541585114226e-11,100.00000000038068,999.9999999785869,-8.67336325895261e-09,3.2589063826108924e-10,-2.4184181785491925e-18,-3.006837581884203e-32,-2.3294856625094434e-41,1.2483439508313618e-10,8.685583194788243e-12,3.570721829168232e-11,-3.1165956686507137e-12,7.309695506715449e-13,-4.324112197839293e-12,-2.7342907099644507e-11,50.00000000005515,2.6074601993627075e-13,-1.5111283338161473e-27,2.8601788701688366e-43,4.937944909637888e-18,8.425423189054106e-21,2.686812875124944e-23,60.0,1.3060958761353815e-22,-1.7174793869035577e-27,1.806243412324951e-26,79.24797694704502,19000.000000000087,5.791894614567535e-11,-1.2584448787949736e-12,67.00000000000024,-2.1929356427348438e-14,-9.999311251614582e-16,-1.0487955462527115e-15,67.0,41667.0,-1.1234176869595051e-13,4.356750889104024e-14,3.0337913084230867e-16,67.0,2.5981640204204597e-30,35000.0,1.3983569748727622e-30,4.626086228026595e-32,-1.7606192385836778e-64,2.070884607345729e-31,28.34985222631948,-1.3878860518659395e-24,-1.2953807287544178e-41,-1.0773746218908623e-29,-1.499592580690344e-12,-3.201881538781751e-31,11.528211404883013,-1.0766198008479825e-29,-3.586783032322846e-13,-2.7242312445342906e-47,-5.496167598771452e-63,-5.2547289139592194e-20,5.821651673873149,16667.0,-1.7655237445131439e-63
600,0.19083564383309434,0.00040034430215982956,0.5638383507685364,-8.346822623560363e-06,4.9985933714485485e-09,2.782791487599659e-12,100.00000000011151,999.9999999932363,1.4596396298905777e-08,2.41313728027672e-09,2.3327961605820332e-20,-2.0884451289616682e-32,-3.0497917624381317e-42,2.9426268744502236e-11,9.958485883570589e-12,-1.6660232903381352e-11,-3.914259732122335e-12,-5.326078657689145e-13,2.839074921684845e-12,5.722062849903176e-11,49.99999999990977,3.7444986725582546e-13,-8.78069217191473e-27,-1.2774762901737034e-45,-4.143101645527357e-18,-4.985709686552944e-23,1.0931500211502193e-22,60.0,-8.074556144633984e-23,1.4072149145646707e-25,2.33816133331399e-26,78.28129344391355,19000.000000000022,3.6958375692107996e-11,-8.747093897575336e-12,67.0000000000001,-3.051444202920721e-13,4.629945316686753e-16,4.3099660843064802e-16,67.0,41667.0,8.278163738921948e-14,-4.243181438359039e-14,-5.761968997757011e-16,67.0,-1.074268609668793e-29,35000.0,-1.9404679295258805e-31,3.388626123928461e-32,3.385242193098466e-65,6.482492581867507e-30,27.347693123721054,1.16258912406738e-25,3.462758744988703e-41,8.246985362119744e-30,-5.805028880333687e-14,-1.840912476592536e-30,11.407184307943632,-1.2128591313354691e-29,-2.0317038307569184e-13,-3.798844275677854e-47,-4.730713758274468e-63,3.2705924300085697e-20,6.953158646200371,16667.0,4.494592241804275e-64
700,0.21938486785791736,0.002459134384789195,0.6400504919134167,8.439754116185472e-06,2.913715300518459e-09,6.787165021585035e-11,99.99999999966968,1000.0000000197228,3.4690744357379323e-09,-7.355857484267764e-10,-2.5447773370318332e-18,-3.1023478767787896e-32,-6.159566102377684e-42,-1.044507322839035e-10,1.762141520626169e-11,-5.128490219942802e-12,5.234249287365265e-12,-9.224547673309744e-13,-4.451474786711752e-12,9.623208945324062e-11,49.99999999995501,-6.805577246846011e-14,1.526103948738543e-26,-1.452602276249398e-44,7.742918326318334e-18,-5.9562447953308356e-21,-2.987224578557014e-22,60.0,-1.976685537526886e-23,-7.801793559355286e-26,2.8049920308430606e-26,77.38435283342478,18999.99999999993,5.6723451526233016e-11,7.102903287123536e-12,66.99999999999955,-2.1603535242807363e-13,-1.2379908593529634e-16,4.185896301541289e-16,67.0,41667.0,3.540221262253416e-14,-2.16144976996923e-14,-4.667718450598367e-16,67.0,4.180251504729369e-30,35000.0,2.2409578399145897e-30,4.8030526296316845e-31,7.66465817686977e-65,-1.3189224028878578e-30,25.99880126068454,1.2323765010407223e-24,-2.1640660858320604e-41,-3.309142189211519e-29,7.658595302718687e-13,-1.7735913720656604e-30,11.305969771729684,-3.336479126454497e-30,4.004844391018614e-13,-4.127622353806138e-47,2.3370154654532687e-63,7.381865777931591e-20,7.763395604892173,16667.0,-1.3110700880883908e-64
800,0.22593777096164994,0.0030810842898256344,0.7090984851507205,6.181223295638521e-06,-5.034364797447157e-09,2.899548107301616e-12,100.00000000003963,999.9999999829287,5.213050758106204e-10,-3.725652965274288e-09,-2.8025764967945842e-18,-1.5893987648938354e-32,1.831057063193166e-41,-9.142689470477658e-11,1.5918971259257703e-11,-2.282065443523614e-11,4.933118549022206e-12,8.2179860100045e-13,1.7014336004101927e-12,9.304448981251166e-11,50.000000000101046,1.5505196467508569e-13,1.3728432831380658e-26,-4.4579808828536924e-43,-2.717174188729251e-18,-5.937090263267377e-23,-1.4162789523477544e-22,60.0,-1.264511435976787e-22,4.114331296835643e-26,-1.1782189771169641e-26,76.53410995051026,19000.00000000008,-2.2430426109504568e-11,1.6465958133967237e-11,66.9999999999998,-1.9251881731067925e-13,-2.0407158842723434e-15,5.963493147978785e-16,67.0,41667.0,-1.0244349195738882e-13,1.7676809994625035e-13,-5.839643566991818e-16,67.0,4.576137616592251e-30,35000.0,-1.127640834057942e-30,4.516610002041722e-31,-1.6406358631997664e-64,-7.513737845469996e-30,25.48430707014849,-3.9793434281322444e-24,4.40328948649742e-42,2.262769164069303e-29,1.5929312489136815e-12,1.1679000251745998e-31,11.239041656263462,1.3605858650830393e-30,1.9774428446730863e-14,-3.1151934284906333e-47,2.3289481987320305e-63,2.1150986352981306e-20,8.249480913919538,16667.0,-3.519412016725587e-63
900,0.26848525243296434,0.0027881434551859444,0.8512468921246179,-5.62599248610403e-06,3.5543141757491096e-09,1.5252880062915313e-11,99.9999999996069,1000.000000013517,1.2118717304954723e-08,-3.190298581801515e-09,5.067546172297453e-19,-1.1079510098399127e-32,3.847414742722465e-42,-9.552568670630191e-11,-9.245869888992948e-12,7.852192279113346e-13,-4.240575523309232e-12,5.716436570687573e-13,-4.586747946702153e-13,-4.2217429803105856e-11,50.00000000000389,-3.2717474709673486e-13,8.15357088003029e-27,3.059132714275807e-43,-5.1558782021205626e-18,7.271384083227047e-21,-4.436492932216695e-22,60.0,-8.53787342695547e-23,-8.780582811116111e-26,-3.385099078772819e-26,75.86542423849711,19000.00000000007,-8.194104563928724e-12,-3.5312669065540464e-12,66.99999999999969,-2.201668190162118e-13,8.999403114422526e-16,-8.140551747703197e-16,67.0,41667.0,8.952183049952661e-14,-1.3527095666625838e-13,8.974016459470788e-16,67.0,-1.030362654641627e-29,35000.0,-1.2323004574600831e-30,-4.582097429317836e-31,-1.4346843935661255e-64,-5.961505783029028e-30,24.65584046496392,7.008582758049304e-24,1.572008481925661e-41,1.717026492155779e-29,2.973374394637689e-14,-1.934711975437753e-30,11.172894347875388,1.1462270720434044e-29,-1.4802398807788283e-13,2.4945185733786e-47,9.13643549585062e-65,-8.928470367086343e-20,9.493112723349242,16667.0,6.305790942078388e-65
1000,0.2948831571153812,-0.0003395169547361402,0.8505423020639508,8.096021728145184e-06,3.5143640504914713e-09,5.3439231041673676e-11,100.0000000001285,999.9999999971664,-5.5576287529680944e-09,4.3387291352983156e-10,-2.282763914528474e-18,-2.7512982829699326e-32,-2.624787469679675e-42,3.850628761355279e-11,1.4336769367380236e-11,9.96944905202814e-13,8.525373926889214e-12,-6.204408789013584e-14,4.983845905633834e-12,9.599478599706151e-11,50.00000000006452,-8.149999536017419e-14,4.207548803787462e-27,2.901546045048475e-43,-5.834490483849349e-18,1.0606076552486863e-21,-3.866499585691611e-22,60.0,3.6425316861801057e-23,-1.5046832452860414e-25,4.927066038005637e-26,74.64400516821657,19000.000000000044,-3.3855172688006027e-12,-4.917996128046522e-12,67.00000000000037,-2.8479590597663066e-13,2.138230160638474e-15,1.0067619588646817e-15,67.0,41667.0,-1.0983823391666762e-13,3.136974738784671e-14,7.232485685537318e-16,67.0,-4.0449538619481466e-30,35000.0,1.1094763908149597e-30,4.376211076473101e-31,3.5761339016225384e-65,-1.0925521858270535e-30,23.537510866010244,-5.037981875164248e-24,1.7637587480096565e-41,-3.665039838019206e-29,9.446400671527035e-13,2.1727772081162696e-30,11.098688304644536,1.0660169255374802e-29,-2.6224551228602165e-13,-3.8211093058541284e-47,-1.1986958088775106e-63,8.738937203509277e-21,10.275629520499418,16667.0,-5.018009913124573e-64
1100,0.3374954340570594,0.004392753357656225,0.9662859220547168,-1.9009440373407057e-06,-3.779023637124143e-09,-1.8876391211518036e-11,100.00000000023995,999.9999999996837,-9.227341671755389e-09,-1.4728943087730052e-09,-2.528924990988561e-18,9.315947330839789e-33,1.4767350448278373e-41,1.0044166406200026e-10,-2.151601569686652e-11,-3.9552296603478614e-11,2.702347436934987e-12,2.1601904057957464e-13,-2.376422123553035e-12,-8.418634397023295e-11,50.00000000006921,-2.080224538799821e-13,7.426454330023932e-27,2.301228496493972e-43,4.414313075446519e-18,8.856814826584441e-21,4.0859003562619496e-22,60.0,-8.666121448450413e-23,-1.4437189766137942e-26,4.5295020292422334e-26,74.28366447999814,19000.000000000036,5.615537331574035e-11,8.368685637476868e-12,66.99999999999969,-3.5627110296140624e-13,-1.1607953373123668e-15,-1.7230167231000296e-15,67.0,41667.0,-1.752797373423446e-14,-9.70051464024402e-14,4.6610832686936635e-16,67.0,5.68676488312593e-30,35000.0,-1.0329467175121384e-30,3.2867482418341126e-31,7.374908989780574e-65,4.027062004762965e-30,23.338763883370625,-4.864301104059855e-24,-1.585821729325608e-41,-1.4635767346541648e-29,-2.0966983420186279e-13,-2.3596579977960312e-30,11.046606780569105,-1.4313058163776836e-29,2.7298535733576293e-13,2.0123025924890904e-47,6.051106141155216e-63,-1.8227434948035675e-20,10.916268064197403,16667.0,2.1074090008042688e-63
1200,0.3632822618996731,0.004806824811604729,1.0336884318119364,-2.1654514379984847e-06,3.649572047694288e-09,3.7149736835896516e-11,99.99999999971318,1000.0000000210212,-6.0275799577548956e-09,-5.873332169412474e-10,-2.6841373811185487e-18,2.9110358738991224e-32,1.0073450668971185e-41,-7.590907688586719e-11,8.170581170322704e-13,-3.44878338432994e-11,-2.7386470058984954e-12,6.753131097470821e-13,2.7802693350375094e-12,-3.058023454708641e-11,50.00000000001912,4.2303924162803364e-13,-4.946679609869856e-27,4.24481890189098e-43,-7.360716275410946e-18,-1.8968813527525023e-23,-2.7022677691815557e-22,60.0,-1.0067535174272733e-22,3.8966134831165835e-26,1.5806517432337964e-26,73.30502484747693,19000.00000000004,5.058699512098627e-11,-1.0492575482582582e-11,66.99999999999983,2.4192535181552937e-13,-5.680455729381031e-16,-1.1768890282970781e-15,67.0,41667.0,1.0606989096672302e-13,1.1386492735183798e-13,7.978642439487784e-17,67.0,9.597800122584423e-30,35000.0,-8.286713714069266e-31,2.354575087583514e-31,-3.948996607314021e-65,-6.728704996680222e-30,22.182505676588946,6.4265403501716206e-24,-3.2918993654226657e-41,1.9391196115264784e-30,7.625106290757703e-15,9.79956450835098e-31,10.974721367987819,-1.1386374862822953e-29,1.364724617406509e-13,-1.5414781192588899e-47,-3.2721242495567496e-63,1.6773960172981088e-20,11.857437076117776,16667.0,-2.3489708099779052e-63
1300,0.3685560533837969,0.0025670145010322563,1.1064677367992097,3.5274792786526356e-06,4.086629265185584e-10,-4.011725775599329e-11,99.99999999986744,1000.000000024919,-1.415445359819844e-08,-2.0257961507027943e-09,7.176877721819948e-19,6.532369677687016e-33,6.211464524224321e-42,-9.189991369506063e-11,7.508446446898414e-12,-8.720603991710986e-12,5.2204748792889745e-12,-6.290002562024645e-13,1.1639279335775133e-12,2.4957586551416755e-11,49.99999999997096,5.0518505924386887e-14,2.594810109750494e-27,-3.238053334873567e-43,5.915699699688647e-18,6.656091204181534e-21,-2.2107798849583655e-22,60.0,2.3365813186674328e-23,1.6107464003352507e-25,-2.9402809583580386e-26,72.167733221829,18999.999999999993,-4.068364752408835e-11,-1.2312022527231626e-11,67.00000000000045,-1.5825771475259258e-13,8.437923329698667e-16,1.8589409747951577e-15,67.0,41667.0,1.1786286861979105e-13,-6.404872834239208e-14,-4.670715823362789e-16,67.0,-1.2604502322184915e-29,35000.0,1.3347083185985436e-30,-2.8822076804789638e-31,-7.134462562805712e-66,-6.701904817568706e-30,21.411524891611023,5.031059444198313e-24,-2.619146361851936e-41,-3.849872303298324e-29,-1.0469973636621231e-12,-1.5821939087018055e-30,10.843143908827521,-4.6810656913961494e-30,4.021856041278389e-13,1.7536153291300128e-47,-2.0667392331888207e-63,5.873077765226407e-20,12.821979289405501,16667.0,-2.0607330312809405e-64
1400,0.4028475352477678,0.006129113693318025,1.256528861637421,8.799499808311903e-06,6.493122663193934e-09,-1.0286831113599354e-11,100.00000000004107,1000.0000000248953,7.767299491443535e-09,3.6484381927827645e-09,-2.661504964689591e-18,-1.6431425775771962e-32,1.8004343669682669e-41,-5.3029599495223176e-11,3.0740253551146812e-12,6.919207985325723e-12,-3.4908644017009075e-12,-6.309566358275584e-13,-8.806448385821903e-13,5.095494174565384e-11,49.999999999945736,-4.3528135005199995e-13,1.3935973613579306e-27,2.3934922883519925e-43,-7.459904813454297e-18,7.71300367719734e-21,-3.0903961491946025e-23,60.0,1.420801685362335e-23,3.5687018362851584e-27,2.6471086184262796e-26,71.51123123206656,19000.0,3.0518555925830645e-11,-1.2385330686092092e-12,66.99999999999955,3.6546688921223976e-13,-2.1148962950062478e-15,1.6965439637096908e-15,67.0,41667.0,1.3157528134462214e-13,1.6708508798273387e-13,2.5624797610872674e-16,67.0,6.775565062182596e-30,35000.0,-2.7708464953324588e-30,-4.88983232289921e-31,3.891451729645386e-65,3.5871991435068625e-30,21.200873100580612,-6.281781521303001e-24,-1.177649591414508e-41,3.624119284319061e-30,-1.5961645172459137e-12,-1.2854982528703203e-30,10.816858676427778,7.853643707115264e-30,1.404887702976714e-13,3.3564664711184434e-47,5.712834865299831e-64,7.957172675122024e-20,13.331343977293837,16667.0,-4.084976647926899e-64
1500,0.43103979129573455,0.004227028742490471,1.3246888845772762,8.036895552404936e-06,5.036651217516834e-09,3.154859314218593e-11,99.99999999997968,999.9999999871808,1.722997237327135e-08,2.6516001459803413e-09,1.0318194048923615e-18,2.1297106713893593e-32,1.5819784600210344e-41,9.642846495135341e-11,-1.84265479501881e-11,3.3584223447375494e-11,8.126157305518909e-12,-1.0615311759950385e-13,5.383269590781164e-13,-1.8026766842202544e-11,50.00000000002632,3.570639231770596e-13,-6.3614769486400036e-27,-2.740694796634115e-45,8.888539806621604e-19,3.03723798915127e-21,3.520599979197768e-22,60.0,8.394214633096897e-23,-1.073097824973728e-25,-5.0671847935718286e-26,71.06997030674019,18999.999999999953,7.406370868229398e-11,8.115593073742524e-12,67.0000000000003,2.3053957212138822e-14,-2.7746652607754863e-16,-7.487575132855314e-17,67.0,41667.0,-1.0310674041120188e-13,9.696189161737306e-14,2.4959790619495263e-16,67.0,-9.533174566362066e-30,35000.0,1.7853144056712513e-30,-9.115009177661934e-32,-2.776244171866253e-65,5.502252031486372e-30,20.176049885629823,1.4425648720045556e-24,-1.8463066235883794e-41,1.1608206202077925e-29,1.4409806499790876e-12,-1.2092658131679306e-30,10.693563123733517,-3.6368889771456756e-30,2.3977405151999886e-13,3.7874520365893324e-47,-2.11555651481176e-63,5.1125953082239984e-20,13.631125530730307,16667.0,2.9503841890289407e-63
