miliseconds,D,CDK5,D_CDK5,D75,CK1,D_CK1,D137,PKA,D_PKA,D34,D34_CDK5,D34_CK1,PP2B,D34_PP2B,D34_75,D34_137,D75CK1,D75_PKA,PP2A,D75_PP2A,PP2AP,D75_PP2AP,D75_137,D137_CDK5,D137_PKA,D137_PP2C,PP2C,D34_75_CK1,D34_137_CDK5,D34_75_137,D75_137_PKA,D34_75_PP2B,D34_137_PP2B,D34_75_137_PP2B,D34_75_PP2A,D75_137_PP2A,D34_75_134_PP2A,D34_75_PP2AP,D75_137_PP2AP,D34_75_137_PP2AP,D34_137_PP2C,D75_137_PP2C,PDE,PP2Binactive,D34_75_137_PP2C,CK1P,CK1P_PP2B,PDE_PKA,PDEP,PP2A_PKA,Ca,PP2BinactiveCa2,R2C2,cAMP,cAMP_R2C2,cAMP2_R2C2,cAMP3_R2C2,cAMP4_R2C2,cAMP4_R2C,cAMP4_R2,cAMP_PDE,AMP,cAMP_PDEP
0,-7.773373865272392e-05,-1.1407540773859175e-05,-5.104858078330144e-06,-7.649089628267494e-05,-4.465362039700682e-06,1.3963304680731224e-07,3.605723236479605e-05,-1.3641652471218638e-19,-4.2211685465004643e-19,-1.4781764989473877e-17,8.704772300043949e-19,2.277701883125654e-19,-3.4619612573740426e-06,0.0,-4.708804003873319e-18,8.050941056527837e-18,5.989266848854475e-06,0.0,-1.989031385868688e-06,1.1305432503757582e-06,-1.1242570799418191e-20,0.0,-4.965034001645548e-05,-4.786656785915346e-07,0.0,-1.1269114433482441e-06,-7.073375550904839e-06,3.2581939583310387e-19,4.8872717693432335e-19,-2.867903259157264e-18,0.0,0.0,0.0,0.0,1.5067197601501897e-19,3.58036676632235e-07,-7.78741871551968e-20,0.0,0.0,0.0,3.490692957513997e-19,-5.716110929170969e-06,2.0000000000001545e-06,2.5049041273520504e-07,2.583725535107575e-19,-0.00027065147894691355,2.0961842023624062e-07,4.931946615246012e-20,-3.670840862011781e-18,-6.570222160033619e-21,1.980306314735162e-07,-2.573456433606708e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,-5.486663966947258e-05,-5.534439982579509e-06,-3.6929300739355474e-06,-1.749425705742664e-05,-3.6822967382323586e-06,2.659886571030443e-07,4.483674261668969e-06,-1.1113717426903724e-19,-4.731068131928487e-19,-2.3315688838941767e-18,6.111579528809438e-19,6.385442282908696e-20,2.2968199929744647e-07,0.0,-5.26118867106778e-18,-2.759673777647135e-18,-5.555392901057824e-06,0.0,-8.356753907296405e-07,1.161629469642971e-06,-1.370788610909967e-20,0.0,-1.5458259717812608e-05,2.611492841925424e-06,0.0,5.849786006804194e-07,-6.3235332119475105e-06,-4.81739871756214e-19,-2.7539569219037876e-19,2.927729675481547e-18,0.0,0.0,0.0,0.0,2.0607082450908956e-19,-1.4580282191895453e-06,1.2540766336467913e-19,0.0,0.0,0.0,4.952187879658141e-19,3.1404928249284147e-06,1.9999999999955157e-06,1.9032796879217325e-06,-6.602173056343605e-20,0.00029773241825312743,-3.396793155858637e-08,1.643775755509492e-20,-3.0390646416698042e-18,-1.6364719583088742e-20,-9.510609417794361e-08,-3.6008419552678053e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,-3.6380843532487364e-05,3.1205449340450886e-06,8.555545152229769e-06,3.520925557423378e-05,1.784592127166991e-06,1.661279924901291e-07,-1.7193044203271522e-06,8.229185522309499e-22,-1.7655727108830293e-19,-1.2993208498616941e-17,2.702568179199241e-19,5.914181254785308e-19,-5.610970957499571e-06,0.0,1.0360245583686135e-17,-1.2906434198122432e-18,-2.1539088239041142e-06,0.0,4.2253363605953886e-06,-8.038139399652579e-08,8.99848038674815e-21,0.0,-8.394044413351261e-05,5.839349290654317e-06,0.0,4.431883782624561e-07,-3.8009323706390694e-07,-5.422299331834303e-20,2.571014457079529e-20,-2.506219785078426e-18,0.0,0.0,0.0,0.0,-1.881989203382427e-19,-1.718368729904784e-06,6.943181266572689e-20,0.0,0.0,0.0,2.6705490671130256e-19,-3.1430596040261246e-06,2.0000000000030204e-06,1.9860718237988125e-06,-1.334120932894438e-19,7.001967478423506e-05,6.50237670839878e-08,2.119492318830128e-20,1.1060749463878619e-18,-8.691030647811815e-21,-1.6400219649383388e-07,2.9291242774842656e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,7.758162077975705e-05,4.07683311208513e-06,7.96626606026655e-06,-4.517875955571832e-05,6.609423754402395e-08,3.4938632012449693e-07,-2.451144321727167e-05,1.5298024003781106e-19,3.988162676984322e-19,8.491688458217806e-18,-9.327697757615851e-19,1.122868022577175e-19,-3.1194345586714366e-06,0.0,-1.109150098971e-17,-6.3323688304668204e-18,-9.181646831150708e-06,0.0,8.776227562155666e-07,-1.048372711631818e-06,1.5653569160245958e-20,0.0,-0.00014150634672914166,2.3860415786045833e-06,0.0,7.891683876933416e-07,-6.9796348459079915e-06,2.2831807568097023e-19,-5.40830159804288e-19,-4.9718584566376e-18,0.0,0.0,0.0,0.0,1.0166430212788534e-19,-2.3206561858937276e-06,1.4539041643617277e-19,0.0,0.0,0.0,3.71052994031034e-19,3.4278997924871226e-06,2.0000000000041372e-06,1.3594932721165829e-06,-6.466718194559144e-20,-0.0001346658529959844,-9.923536727095403e-08,-4.894145084672065e-20,3.744278291523475e-18,-2.462969375178915e-20,1.0578515264790299e-07,2.0083006091563228e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,-3.933655685999624e-05,4.739317309914277e-08,-6.394111574764075e-06,-4.533683423563595e-05,6.456744756527054e-06,2.767095627584733e-07,3.977768396354894e-05,-2.099606672762032e-19,-7.366725819741593e-20,-5.064611343243292e-19,9.111080487409415e-19,5.362144002909161e-19,6.838174843642033e-06,0.0,-8.998638814050966e-18,-1.0001161884076941e-18,5.8594653374841584e-06,0.0,6.809947770690728e-07,3.966534704638315e-07,1.2227002483109751e-20,0.0,6.279317865121664e-05,-7.659860533056441e-06,0.0,-6.685863089714394e-07,7.495707310875574e-06,-1.1596063987813484e-19,-1.1192359849671786e-19,8.482714217100186e-18,0.0,0.0,0.0,0.0,7.581524797604407e-20,-1.5235400539132057e-06,-3.08055117720747e-20,0.0,0.0,0.0,-8.439820043587275e-20,-1.2414069576918536e-06,2.0000000000034126e-06,2.1842172051461088e-06,-3.2098732234980764e-19,9.32014970883728e-06,2.830245845538284e-07,6.424658193099843e-20,3.1893447039998764e-18,7.243998727748845e-21,2.0810821407607977e-07,2.7871776415890363e-07,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,2.2005734362050933e-05,7.987830933280263e-06,2.2469050385913284e-06,4.887751158390861e-05,-1.2518129685795497e-06,2.120432904885385e-07,-2.128075186410126e-05,-9.521899867319333e-20,-3.3144169356156934e-19,-1.2018291011232768e-17,-9.514073813959077e-19,7.044536494012689e-19,-3.4885964821460184e-06,0.0,-1.0147847986326785e-17,-1.5633603785445516e-18,5.2242283779138205e-06,0.0,5.4948793742760056e-08,1.4033476790691687e-06,-5.353218845372503e-22,0.0,-4.7911711104221815e-05,1.0065397648172056e-06,0.0,3.072423416217324e-07,6.723139138821701e-06,1.5915743398568944e-19,-1.2669080599568064e-19,2.432803931293483e-18,0.0,0.0,0.0,0.0,-1.94806759238293e-19,-9.354716008009868e-07,1.2030769091276806e-19,0.0,0.0,0.0,-1.0563616843430287e-19,-1.4647049218483311e-06,1.999999999997461e-06,-1.4885371915520475e-06,1.1108858299202522e-21,-0.0002581582179732269,1.6201097335543558e-07,6.304285337199793e-21,1.872713425655248e-18,7.320044029677688e-21,-2.177147182110953e-07,4.079657904434542e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,-4.043792675989424e-05,6.062286170251642e-06,-9.957286844015164e-06,3.236648714652559e-05,1.279989942575609e-06,-7.036481463387332e-08,7.28405224620962e-06,2.610960942964715e-19,5.442442655456618e-19,-9.04904559145968e-18,-2.8657992441088966e-19,-6.100116169208328e-19,-6.8339843180464566e-06,0.0,8.065997133645624e-18,-8.394311899128765e-18,6.93604150457678e-06,0.0,-1.3825199298604926e-06,-1.2922850916752334e-07,-2.0277840806375644e-20,0.0,0.00013523267049392408,-2.343946017964052e-06,0.0,-3.008800884501298e-07,1.5531759078178357e-06,-2.577202851825892e-19,-2.6444651313938524e-19,5.34383179169176e-19,0.0,0.0,0.0,0.0,1.0382717400352465e-19,2.3991483334146763e-06,1.3719853733525316e-19,0.0,0.0,0.0,-2.08513262164746e-19,3.654154987004735e-06,1.999999999995309e-06,5.331081195439382e-07,-1.1568567549749283e-19,0.0002370902259998197,1.976001418382506e-07,-4.1982347076528846e-20,-1.4137217121434184e-18,6.182122306129554e-22,3.088038681007614e-07,1.5851847982011597e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,7.595372742973163e-05,8.925105508018385e-07,-7.45999779510669e-06,8.82186435673184e-05,1.5276780108672663e-06,-1.9962435879838744e-07,-1.437228965781741e-05,-6.466799387787731e-20,-4.964803309806201e-19,1.494156249732156e-17,1.1340904508888405e-19,1.0496914014416582e-19,1.8030113176796042e-06,0.0,2.0305189302218888e-18,-8.721137339761798e-18,-5.293797753382095e-06,0.0,1.9566532162009285e-06,8.002186073125798e-07,-1.3613018709112007e-20,0.0,5.363122936296408e-05,4.5423158320782315e-06,0.0,-6.479693378228518e-07,4.4062416962641725e-06,4.494176265485916e-19,1.2248076711841249e-20,3.263201425911223e-18,0.0,0.0,0.0,0.0,-1.0662820359641428e-19,2.343231914879307e-06,-8.01413169461792e-20,0.0,0.0,0.0,6.441507619746616e-21,6.392057446215719e-06,1.9999999999960133e-06,-1.5361669899788988e-06,-4.499707516872569e-19,4.4140228775085336e-05,-1.9829760359473096e-07,-1.4056069590503402e-20,-3.1357088304182408e-18,-1.62623692906445e-21,2.8528320513105876e-07,-1.9844883742289946e-07,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,-2.3564119719052993e-05,1.3003467731028629e-05,-2.4149356129528235e-06,-4.081734996738265e-05,2.6124400342551745e-06,-4.912711930527159e-07,3.57929223127843e-05,2.499936170047483e-19,3.3793838190098635e-19,7.477210610639867e-18,-7.8639639899196755e-19,-6.122249527605445e-19,-4.161667112445484e-06,0.0,1.1925593667271616e-17,-9.048563783939966e-19,-1.052822763407265e-05,0.0,2.252036989547042e-06,1.5713059262623485e-06,1.0999846163565979e-20,0.0,-0.00013562984381251496,6.146896398111121e-06,0.0,2.5665856867273926e-07,1.8708462112929378e-06,2.327062830462776e-19,2.5348386405346074e-19,5.4778511785303116e-18,0.0,0.0,0.0,0.0,2.0380443496829559e-19,-2.843702514540044e-07,1.0146132960257335e-19,0.0,0.0,0.0,-4.17942656585533e-19,-4.196552692237728e-06,1.9999999999970734e-06,-1.764525460184492e-06,-3.779140382781021e-19,-0.0002850031640730437,-1.7468948394297776e-07,4.81762620352841e-21,-2.9938960078993303e-18,-1.255587739909088e-20,5.223070478752351e-09,1.9116530208201906e-07,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,-2.284816790426291e-05,-5.30125383245575e-06,3.6364968570560674e-06,-2.4064448667800692e-05,-1.0967772326987584e-06,-3.91367839045305e-07,1.6133724539962555e-05,-3.0230973792929226e-20,4.96328930549683e-19,1.187834610560005e-17,-8.758031576440056e-20,-1.220940877284867e-19,-5.622570960284338e-06,0.0,1.0127592626710502e-17,-1.0063560716848619e-18,6.973421636587729e-06,0.0,-1.8997630376386407e-06,-8.048940618039563e-07,-1.0523367251168134e-20,0.0,5.8810963755726796e-05,-1.92356046327553e-06,0.0,-3.239497701718518e-07,5.675620771838947e-06,-4.2098130420990763e-19,3.505169111972455e-19,-1.0062772725041202e-18,0.0,0.0,0.0,0.0,-2.513436809340749e-19,-1.1603679985134687e-06,-1.7020707991250834e-20,0.0,0.0,0.0,-4.52405826094607e-19,2.0027015698326893e-06,2.0000000000007737e-06,-1.787316811246553e-06,2.6653991360205003e-19,0.0001689539822668197,2.0945407190941318e-08,-3.7217052338380153e-20,-4.49480860135441e-18,-9.845448043373505e-21,-8.229244180864374e-08,3.605420693244611e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
