miliseconds,D,CDK5,D_CDK5,D75,CK1,D_CK1,D137,PKA,D_PKA,D34,D34_CDK5,D34_CK1,PP2B,D34_PP2B,D34_75,D34_137,D75CK1,D75_PKA,PP2A,D75_PP2A,PP2AP,D75_PP2AP,D75_137,D137_CDK5,D137_PKA,D137_PP2C,PP2C,D34_75_CK1,D34_137_CDK5,D34_75_137,D75_137_PKA,D34_75_PP2B,D34_137_PP2B,D34_75_137_PP2B,D34_75_PP2A,D75_137_PP2A,D34_75_137_PP2A,D34_75_PP2AP,D75_137_PP2AP,D34_75_137_PP2AP,D34_137_PP2C,D75_137_PP2C,PDE,PP2Binactive,D34_75_137_PP2C,CK1P,CK1P_PP2B,PDE_PKA,PDEP,PP2A_PKA,Ca,PP2BinactiveCa2,R2C2,cAMP,cAMP_R2C2,cAMP2_R2C2,cAMP3_R2C2,cAMP4_R2C2,cAMP4_R2C,cAMP4_R2,cAMP_PDE,AMP,cAMP_PDEP,PP2ACa,D34_75_PP2ACa,D34_75_137_PP2ACa,D75_PP2ACa,D75_137_PP2ACa,D34_75_PP2APCa,PP2APCa,D34_75_137_PP2APCa,D75_PP2APCa,D75_137_PP2APCa,PP2ACa_PKA
0,2.7335367203495954e-06,-1.3269438100239005e-05,-5.034156960467916e-06,-1.672068773196781e-05,-4.963667660432848e-06,6.442132215052085e-07,5.510407034246253e-05,0.0,0.0,4.7538528527395975e-20,4.965771126094368e-22,7.215069094049277e-22,3.6880923055070126e-06,0.0,-1.6599000422977966e-20,-3.2971945493230006e-21,1.3644886087738082e-05,0.0,3.1592681424277697e-06,-2.647636997327254e-06,0.0,0.0,0.00013832199192568385,-8.374386299893264e-06,0.0,5.848215490746203e-07,6.172974344635095e-06,-6.146833274773694e-23,4.4030876052241244e-24,-2.5923598338880713e-21,0.0,0.0,0.0,0.0,1.3074341100393554e-22,4.765354776861363e-06,6.087765937158634e-23,0.0,0.0,0.0,-8.109889937446678e-22,5.112361269737256e-06,2e-06,-2.6509949942131974e-07,1.3211302332214729e-24,-0.0005100349383793006,1.3813524537571843e-08,0.0,0.0,0.0,6.099603887422364e-08,-7.287334786132135e-07,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3557651158405175e-09,0.0,0.0,-5.095259480711424e-10,1.3744013321683076e-09,0.0,0.0,0.0,0.0,0.0,0.0
100,-4.642471330571659e-06,1.849023668643776e-05,-1.203125230978129e-05,-0.00014896163594452894,1.3003395811894981e-05,-5.170282153469207e-07,-7.028631986822843e-05,0.0,0.0,-3.5665634213455095e-20,5.478983590815476e-21,9.131380791803435e-23,-5.093312445884938e-06,0.0,-1.0423065769972633e-20,-1.0294319369724728e-20,1.337121894279401e-05,0.0,-3.4005721340996823e-06,6.903236241257142e-07,0.0,0.0,-0.00020046191518442426,3.2599092222112328e-06,0.0,2.0327061091451424e-07,-1.0566478594009562e-05,-8.814250275960506e-23,-4.703830578236971e-22,2.195559058265223e-21,0.0,0.0,0.0,0.0,1.1966120422555812e-22,-4.3611930698921764e-06,-1.567078449860568e-23,0.0,0.0,0.0,-9.01529345303579e-22,7.686175200543895e-07,2e-06,4.882252705487734e-07,-3.580132135735327e-23,0.0003859368875331765,9.156954693391973e-08,0.0,0.0,0.0,-1.3223205163087622e-07,1.9086646341518496e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.76221114883368e-09,0.0,0.0,-5.783084989503474e-10,-2.0747023119797032e-10,0.0,0.0,0.0,0.0,0.0,0.0
200,-2.1678756584714392e-05,-2.5746909554506033e-05,1.4418955089284158e-05,7.527410696775571e-05,2.894374042266634e-06,6.278385460008025e-07,4.990590992007165e-05,0.0,0.0,-9.281898151494825e-21,-4.615669756506182e-21,-1.4635552784792843e-21,-4.11758497530324e-06,0.0,1.1735113402520567e-20,-9.320972962264965e-21,-2.4762751528337197e-06,0.0,-7.69090382603701e-06,2.3748452999278774e-06,0.0,0.0,-0.00022606967395888815,1.0587482952858588e-05,0.0,-1.6623923767155834e-06,-1.4133114577329256e-06,4.767618429381473e-22,4.902088438925622e-22,2.44561649574883e-21,0.0,0.0,0.0,0.0,-2.923405399203531e-23,-3.542583040150469e-06,-5.609649751792248e-23,0.0,0.0,0.0,-4.401758580907441e-22,2.6241313079813056e-06,2e-06,1.5536541650344642e-06,2.8508881650616775e-22,-7.477954625168917e-05,-2.3476259979551052e-07,0.0,0.0,0.0,-1.740516852506028e-07,2.70658777142538e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.187440392372254e-09,0.0,0.0,-2.061051013976861e-09,-1.3779296605084836e-09,0.0,0.0,0.0,0.0,0.0,0.0
300,2.129125086667533e-06,-3.7953132903455245e-07,3.1494416591451946e-07,-0.0001791639639676982,1.5766263998371555e-06,1.5591638781916758e-07,7.927884942016224e-05,0.0,0.0,-3.360543897163041e-20,2.1554907668161462e-21,1.5881769160218718e-22,-1.812665092824865e-06,0.0,1.5092751976687912e-20,1.1396211054731763e-20,-5.049653249168824e-06,0.0,2.1855656507225853e-07,1.50821392001437e-06,0.0,0.0,7.467333298398974e-05,-1.3247859189396118e-05,0.0,2.630630438047731e-06,-1.0102949245222247e-05,2.0100837237679294e-22,5.302745443403985e-22,1.414821129449004e-21,0.0,0.0,0.0,0.0,9.1977057141052e-24,3.871363608483499e-06,-3.038103383148762e-23,0.0,0.0,0.0,5.352592042647991e-22,-9.240110319154775e-06,2e-06,-5.88338891702257e-08,5.746260965701707e-22,0.000116789580721774,2.535190579509406e-07,0.0,0.0,0.0,1.9437421083478526e-07,1.454826930310925e-07,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.210194352619963e-09,0.0,0.0,-7.501253528224386e-10,3.5458926192865093e-10,0.0,0.0,0.0,0.0,0.0,0.0
400,-7.229365532165927e-06,7.022316897957472e-06,4.195058072255444e-06,-9.540419421864183e-05,6.039437948928082e-06,2.9378786262503256e-07,-3.819152483865562e-05,0.0,0.0,2.5680335993307944e-21,-1.1933297585225242e-21,-8.363969982565549e-22,2.619525925861393e-06,0.0,-1.2842418596952027e-20,5.9698090693289206e-21,3.1246454018622693e-06,0.0,4.903903441835045e-06,3.38792064390171e-06,0.0,0.0,-5.3001055671238286e-05,-7.618872167097384e-06,0.0,2.0182274255535215e-06,9.605920267300817e-06,7.014591942941141e-23,7.865603845989468e-22,3.1008919410769826e-21,0.0,0.0,0.0,0.0,3.2048796659509067e-22,2.442289918893571e-06,-5.480205848960115e-24,0.0,0.0,0.0,-6.299488710606953e-22,-8.756070224996813e-06,2e-06,-1.9322311108236542e-07,-4.942383164095449e-22,-0.0005338311009010052,-3.2218055942487184e-07,0.0,0.0,0.0,-2.1194501073573765e-07,-1.9889433288407287e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.711140834304889e-09,0.0,0.0,2.0636572206633417e-09,5.512025411372703e-10,0.0,0.0,0.0,0.0,0.0,0.0
500,-2.0310793489147815e-05,2.45606605568662e-05,-7.0429851436591764e-06,-0.00016966754850989435,-6.3894529227722676e-06,5.312203023418843e-07,-4.2883478144657456e-05,0.0,0.0,1.6425070826932363e-20,2.5452849591744428e-21,-1.1272831944046354e-21,1.5915131473627042e-06,0.0,-6.182072806313542e-21,1.341658487927835e-20,2.907802134666114e-06,0.0,-3.1575444103521063e-06,5.892148389054576e-07,0.0,0.0,-0.00011806298511563797,9.929028066206187e-06,0.0,2.1229987628952454e-06,1.558427916593978e-05,-5.540706463893569e-22,-6.092787282394497e-22,-2.7374823749863522e-21,0.0,0.0,0.0,0.0,-1.0562740198216366e-22,8.085573163266237e-07,-1.7108890390696572e-23,0.0,0.0,0.0,-7.918767534957155e-23,-6.49058635743623e-06,2e-06,1.355510408294189e-06,3.8084345905665612e-22,-0.00038031872993093773,-4.571176248629649e-08,0.0,0.0,0.0,-9.880638485965082e-08,3.1441553772783415e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1211195824274718e-08,0.0,0.0,2.6272199528455443e-09,-7.342305529705366e-10,0.0,0.0,0.0,0.0,0.0,0.0
600,7.19018716072784e-06,8.086925459838495e-06,-1.8088332257432935e-05,-0.00010372876459968231,-7.950378304598222e-06,-3.689929274461685e-07,5.071629374779983e-05,0.0,0.0,-4.494628955103867e-20,-3.339246597244315e-21,-2.9387056323924763e-22,-4.918144894356614e-06,0.0,-4.294721437484496e-21,1.4097450724011156e-20,-1.5778326269184257e-05,0.0,-7.99689623766744e-07,-2.8653919234900765e-06,0.0,0.0,9.922233436494177e-05,-8.213473013839903e-06,0.0,1.3675956014029002e-06,1.1032722891380362e-05,9.224596182128096e-23,1.0763829823706579e-21,3.4908134658028144e-21,0.0,0.0,0.0,0.0,-5.685572181076859e-23,2.215641547160884e-06,-3.429199696127516e-25,0.0,0.0,0.0,2.936264518343336e-23,-8.122370638836623e-06,2e-06,1.0433200743345687e-06,2.0612854866992322e-22,0.00011481885120976099,1.3944855570478241e-07,0.0,0.0,0.0,-2.465359475067975e-07,-3.189028966152792e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.650008455263249e-09,0.0,0.0,-8.713544994710647e-10,1.4244362083337437e-09,0.0,0.0,0.0,0.0,0.0,0.0
700,-1.153423006693826e-05,-1.159450457208596e-05,3.137118922797886e-06,1.386924556236978e-05,1.0520167279372064e-05,-2.0916376050073968e-07,4.05305428756554e-05,0.0,0.0,3.3374794094568817e-21,-3.0246988914254603e-21,-2.2229034841175457e-22,4.424501412255037e-06,0.0,3.44111312651114e-21,6.013374711135087e-21,-1.703199463712742e-05,0.0,-5.342378718695986e-06,-1.5942757412650304e-06,0.0,0.0,-0.00017419769601183753,-1.3192499897067722e-05,0.0,-1.2995250026765958e-06,-1.5164330360422631e-05,4.241781425136806e-22,-4.85710024969798e-22,1.3315636089181022e-21,0.0,0.0,0.0,0.0,3.3089494207003126e-22,-4.9696800876408655e-06,3.1398626429600443e-23,0.0,0.0,0.0,-4.945168863063646e-22,-6.756639898403655e-06,2e-06,-6.971378353681868e-07,5.316029542022309e-22,-0.0002451107284527573,-3.485188551435096e-08,0.0,0.0,0.0,-7.57639342324595e-08,3.3270853771482825e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.26344588545237e-09,0.0,0.0,-5.794145977026217e-10,-2.7324964763664816e-10,0.0,0.0,0.0,0.0,0.0,0.0
800,5.463374397560267e-06,-2.6144607398565817e-05,2.5714859533489963e-06,3.916796938398364e-05,2.953723070655347e-06,-6.286267437539054e-07,2.9060468409439663e-05,0.0,0.0,-1.6724372537473205e-20,-1.823364661659886e-21,6.613131436970865e-22,-1.2221326931042283e-06,0.0,4.257941941660253e-21,1.1222845730335517e-21,4.987533746365409e-06,0.0,8.954642073930183e-06,-2.453129629621922e-06,0.0,0.0,-8.218455605936793e-05,-9.689254506298626e-06,0.0,1.9664733648471076e-06,-2.4819363934231193e-06,-5.815976598326778e-22,-2.5322137592903343e-23,-1.787132201108691e-21,0.0,0.0,0.0,0.0,-2.4881692382457845e-22,3.381613111483278e-06,1.7928952382374596e-23,0.0,0.0,0.0,-8.810420263132606e-22,5.363928723315387e-06,2e-06,-9.331050924733543e-07,5.9239343838070335e-22,-0.000562738645925675,-8.342361714122373e-08,0.0,0.0,0.0,1.976532943260131e-07,-3.354079653971293e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3758090628770513e-09,0.0,0.0,-2.75608024858511e-09,1.0445176270086786e-09,0.0,0.0,0.0,0.0,0.0,0.0
900,5.07368303740697e-05,-2.9876672535425333e-05,8.787913068558503e-06,-5.729075788772937e-05,-4.344582714660671e-06,-1.1189891529871795e-06,2.7713051858076803e-05,0.0,0.0,6.2154057608046965e-21,-1.259317754086601e-21,3.6798884472165545e-22,-1.30352775881592e-06,0.0,-2.2908726276565494e-21,-1.384070721093612e-22,8.946941313044854e-06,0.0,4.531786357348385e-06,8.249789980184062e-07,0.0,0.0,-6.339291231312155e-05,1.1981094913659627e-05,0.0,-2.871637028599873e-06,1.391789952372641e-05,-6.701410252373131e-22,-4.707596952405507e-22,-3.563138925321903e-21,0.0,0.0,0.0,0.0,1.563328740558252e-22,-1.5960685070792396e-06,-3.8818027732642235e-23,0.0,0.0,0.0,-4.151720494117669e-22,3.810483236842292e-07,2e-06,4.540655532762936e-07,-6.3743190583874e-22,0.0003606174926453843,1.0345051885634625e-07,0.0,0.0,0.0,6.402127611770252e-08,-1.0945592881357173e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.142358988266972e-09,0.0,0.0,-1.541891603851767e-09,6.578679887791241e-11,0.0,0.0,0.0,0.0,0.0,0.0
