milliseconds,CC,CCPT,clkp,perp,clkm,perm,PT,vrip,vrim,VRI,pdpp,pdpm,PDP,CLK,PER,timp,timm,TIM,prcper,prcv,prcpdp,prvc,prpc,prct
0,0.5881856072294026,0.4970904104756302,0.003185,0.003185,0.25832680165852684,0.23899954377468619,0.3998368149723999,0.003185,0.25765998904543774,3.178157811202668,0.003185,0.31762129064606065,4.1925554056749865,3.6570813408227227,2.751796743441118,0.003185,0.23985398166238941,2.7542037897392393,0.04425882456390137,0.06152700217416668,0.07496687980587213,0.4893694647943254,0.4260369184653236,0.046552469646461495
100,0.5868996808114306,0.49441561328043143,0.003185,0.003185,0.2588564071619753,0.2390309080769249,0.36322992616399324,0.003185,0.2576323709084612,3.1733258171018335,0.003185,0.31682604165330497,4.188975729011999,3.672453541493846,2.7292042337692792,0.003185,0.2396549269237382,2.7296083735855565,0.048185523155714116,0.06072074948933279,0.08420235753573788,0.4886089237157942,0.42657211723166766,0.047619877600345646
200,0.6685821847778177,0.4904303303174739,0.003185,0.003185,0.2591963214118119,0.23908502729791756,0.3231564653143602,0.003185,0.2553407785914903,3.1505632657931026,0.003185,0.3163712164991495,4.186118091147201,3.7037996472745878,2.7102686413912127,0.003185,0.2383291956688407,2.7069246848208284,0.04423028571878541,0.06783690034602706,0.08080675690945485,0.48768286875436545,0.4274608266388525,0.04512419638861263
300,0.7783215471507563,0.4861894375823512,0.003185,0.003185,0.2596325579654732,0.23777933676262328,0.29358963026226453,0.003185,0.2555854113147154,3.133107474904624,0.003185,0.31572663753785074,4.174755929392036,3.744656624109793,2.6878960125564184,0.003185,0.23806978664961598,2.6887665552922306,0.05308613941004452,0.06627816569585321,0.08259437279225211,0.4864272720663209,0.4276737445362355,0.04869998070287658
400,0.8409006513749073,0.4831362053768488,0.003185,0.003185,0.2600766807691511,0.23807746485430717,0.2707699700072448,0.003185,0.25581936664795035,3.135342392337868,0.003185,0.31525134370618446,4.173347115287828,3.74086321090493,2.67350455739588,0.003185,0.2369070348357794,2.673747529972275,0.06050229148950849,0.07109547382773922,0.08876061049319872,0.48554209046430447,0.4283857237899699,0.05602004607825539
500,0.8765211134051712,0.479109248541712,0.003185,0.003185,0.26063402189289797,0.2374664461846301,0.24637920962549584,0.003185,0.25424885044385603,3.1308718662485404,0.003185,0.31483839193400276,4.163505229765469,3.793989007485507,2.655377167777929,0.003185,0.2375322614439056,2.6531861493742595,0.0635967426358253,0.07971366705476135,0.0915982990608486,0.48545748612485673,0.4285747321360757,0.05459872635053583
600,0.9820513714580124,0.47588059286715273,0.003185,0.003185,0.26092516974078084,0.2370000514852804,0.2218200149179058,0.003185,0.254564844265033,3.1079520510960883,0.003185,0.3139797686355626,4.161446975982481,3.7997543389415807,2.6445212360754224,0.003185,0.23645853367857345,2.6397697568647507,0.06488187164876627,0.08434795809078109,0.09269106591271617,0.48457828339532133,0.4290341920851093,0.06093289956686557
700,1.0412311180114882,0.4731355668429879,0.003185,0.003185,0.2613459908517241,0.2362706142040272,0.20780611950076316,0.003185,0.2535575630662235,3.099953871543288,0.003185,0.31376000917712965,4.151775031359281,3.826029063644321,2.6273823749500678,0.003185,0.23731434323101433,2.6276338103013988,0.06772027358576224,0.09596084823466115,0.10416279028785454,0.48391337336408524,0.4298601150163116,0.07302602220961073
800,1.1168969944740443,0.4704440046721295,0.003185,0.003185,0.2618071420740808,0.23631571360088416,0.1889825451833343,0.003185,0.25360946075694174,3.0938040377963856,0.003185,0.31309642471028204,4.14931919228567,3.8549606931359115,2.616627885315307,0.003185,0.2361665591144091,2.6202104069560463,0.0749818848598492,0.09739558135203073,0.1068696356320462,0.4828673050830049,0.43067925246141764,0.07724799577853556
900,1.1921548821479473,0.4704488391508916,0.003185,0.003185,0.2621684154521491,0.23666777112791124,0.1739875892343155,0.003185,0.2541719057759286,3.104262390737097,0.003185,0.31331310450334476,4.142485689437835,3.881259293204638,2.610431810877946,0.003185,0.23650988590522212,2.61137283879865,0.08183042285501127,0.10648229408251038,0.11067607639031704,0.48217981486316086,0.43100849286894055,0.07463478489501696
1000,1.272250347380844,0.46829782425732336,0.003185,0.003185,0.26265986945076664,0.23635454039712303,0.1611197739592965,0.003185,0.25504929498750545,3.089254125793396,0.003185,0.31286823025743143,4.131270111105241,3.9384515712088217,2.600429145635071,0.003185,0.23589274906339558,2.6022652845648717,0.08772875213474896,0.11742601828192398,0.11259964211843626,0.48183934734895195,0.4313758514027387,0.0824056413431023
