milliseconds,Smad2c,Smad2n,Smad4c,Smad4n,T1R_Surf,T1R_Cave,T1R_EE,T2R_Surf,T2R_Cave,T2R_EE,LRC_Surf,LRC_Cave,LRC_EE,Smads_Complex_c,Smads_Complex_n,TGF_beta
0,492.68267059743937,236.39041885046558,1148.7892832446585,551.8267868470955,0.23580844241754093,2.0932447117750272,2.057554472999509,0.20295549056830398,1.7788636616632698,1.149450222755118,0.0022787811829412578,-0.0024772669586287355,-0.004292183074713675,-0.3767214831635089,-0.27439150305139,0.08000434034811589
100,491.95565239830574,236.45933886773963,1148.880537433283,551.5975269926805,0.0709786301087101,2.0851414558713253,2.0544530495295206,0.031913686441359175,1.775647003255827,1.13760498912104,0.1668678297301106,-0.0001008918284327474,0.004615072181618753,0.09166579591518735,0.4566892990707542,0.07980529698719326
200,492.94031844733837,236.34481999107294,1149.4096727909478,551.5815935078094,0.055791726013748134,2.080080621238438,2.0484098970737974,0.020319400819503095,1.7696555276382255,1.1331328657795692,0.18353060853162334,0.004478078334966143,0.013634566083345246,0.3119927036057665,0.10106229629563032,0.07980862145422324
300,493.1881205303825,236.33255974021748,1148.588578400576,551.7208909645517,0.05244834508790436,2.0811431408309864,2.0381043764877935,0.01731703204601315,1.758212328947687,1.1342197473859228,0.18690088073045452,0.011924369625210741,0.015090014018246757,-0.21393492354391636,-0.29585641034259685,0.07977440242270198
400,492.5179376880495,236.5522357439643,1148.9116684943697,551.7467224712759,0.052270364200361755,2.0728441870654395,2.0302867905187005,0.014615424766594092,1.7615216324144483,1.1209074647684851,0.1874941711702988,0.02072266865487723,0.02444225907188269,0.3183921979589691,-0.2643095229657733,0.0797852642131936
500,493.0237986386689,236.42907743153907,1148.4650753494225,551.64437026007,0.049734823884269495,2.0688837714612367,2.026341546286986,0.01508328244655715,1.7524860493377088,1.119929973859746,0.18717212441515801,0.033067127905425715,0.02123101773146783,0.26649362099477125,0.46664541819082833,0.07976471269586641
600,491.5419979622825,236.615118704282,1149.2154362814717,551.8300391639186,0.05132241022310266,2.0530883117846757,2.024586512916512,0.013741037783191643,1.7440123708820174,1.1110572822248048,0.18585110954639414,0.03559436222124478,0.030501395183353888,0.7838664931786297,0.2864503736355981,0.07974988920285754
700,492.1590860058777,236.45152575916836,1148.6540357774916,551.6299935895639,0.049716165265118954,2.044511491207933,2.0249093623774486,0.013924704472152521,1.7322683354189172,1.1010314720692849,0.18824253554827877,0.03783938586569566,0.03545242931060215,1.1083133576885023,-0.30234953329029784,0.07975505681360254
800,492.1926457923708,236.18623197814836,1149.355498832389,551.8015153212431,0.049722211373094724,2.038678312944133,2.0111659796263126,0.012417660595377642,1.735031406612268,1.0987828542636722,0.18968360411468127,0.04107661262937661,0.04777563179173815,0.8006023450380166,-0.3460466696427109,0.07973587509886358
900,491.4492855863855,236.16335381743502,1148.1381387916654,551.791515185188,0.04880491635475895,2.0402662034040855,2.0087881587522394,0.013421408091386068,1.7242997135311005,1.093570927304536,0.18996178923260837,0.05069257057618311,0.05483208645716145,0.9680630007284325,-0.3257060239775357,0.07972767433980069
1000,490.96634253795474,236.30011954066143,1148.0084175854386,551.7139046002709,0.051840961966985837,2.0411949428374316,1.996917132062895,0.014335356747508956,1.724379405721757,1.0930555108961901,0.18876111566761627,0.058651308150610176,0.058242390764518086,0.4308300187786943,0.33214059430829257,0.0797250577326211
1100,491.05291783887304,236.2748640232807,1147.9922690942067,551.572393839184,0.04919152560930425,2.0272585408079933,1.9991292354583643,0.012182867831901489,1.7084397476796205,1.08860386771652,0.18628008997228837,0.06925768057421068,0.07051070848348016,0.8027107457216679,-0.19525293757774922,0.07971508679171303
1200,490.44485308833157,236.4086192880858,1147.1031764782695,551.6434343562918,0.04785888920583611,2.0228558685251383,1.9971418535529086,0.015796902014428738,1.7072833275220158,1.07244694298958,0.1879077105011499,0.0738403650695627,0.06579036752856966,1.3556864826440675,0.2791690697614191,0.07968855976397024
1300,491.1935797167348,236.07295317610513,1146.8623408170504,551.4949316081108,0.05195183767475675,2.018821153300113,1.9841887873199233,0.012609607832529207,1.7090100641727093,1.0802038073161884,0.18580123995973535,0.07973015832426375,0.06850266390997217,1.3112422905755392,0.8195728771491249,0.0797031787762982
1400,490.86591313538554,236.19254740761886,1146.7447959519056,551.478415250946,0.04916044983003811,2.011480219967684,1.982778614154429,0.01648896944746549,1.7006747806249551,1.0622732798382764,0.18737016519080735,0.07588343055428472,0.0856254078168438,1.9750122232907759,0.05607504432767474,0.07967609279737921
