miliseconds,Gsbg_cell,L_cell,Gsa_gdp_cell,Gsa_gtp_cell,b1AR_S464_cell,PDEcAMP_cell,PDE_cell,b1AR_cell,Gs_cell,A2RC_cell,A2R_cell,PKAC_cell,ARC_cell,PKAC_AKAR_cell,Propranolol_cell,b1ARinhib_cell,light_spot_cell,AC_cell,PKI_cell,PKAC_PKI_cell,RC_cell,b1AR_Gs_cell,cAMP_cell,GsAC_cell,IBMX_cell,PDE_IBMX_cell,Fsk_cell,FskAC_cell,b1AR_p_cell,L_b1AR_cell,AKAR_cell,AKARp_cell,PP_cell,PP_AKARp_cell,DMNB_cAMP_cell,L_b1AR_Gs_cell
0,-0.0002814201003199522,0.0,-4.2482081510178875e-06,9.261781780015635e-05,0.0,-4.3136766479095743e-07,0.013999145999987646,0.01319876076201227,3.8302226231189436,-1.491037540865066e-08,3.9050215825653275e-05,-1.7615059070806072e-07,-1.3153284778529643e-05,2.1072070141850145e-07,0.0,0.0,0.0,0.049707718762297605,0.18005073738337674,-0.00014146216674656688,1.1798706960013194,6.4498284073950476e-06,2.832513594611405e-05,-7.984083360951261e-06,0.0,0.0,0.0,0.0,-3.822970691365795e-11,0.0,9.999998576566375,-6.658134381908719e-06,0.6700010691617075,-4.1030564131876877e-07,3.01,0.0
100,0.0019752547568930865,0.0,7.746734510391888e-05,0.0016787642888523007,0.0,1.1128335092238152e-06,0.0139993069605731,0.011824187555384271,3.826108281198664,1.280637321890052e-08,-0.00010369364990176184,-2.538508560075318e-07,1.0938863774899049e-05,2.1036809151140353e-07,0.0,0.0,0.0,0.04946399332511633,0.18004789832874762,-4.794287399980446e-05,1.1800972714391174,0.0013706454221575728,-2.4982606390980905e-05,0.0002633136939935103,0.0,0.0,0.0,0.0,-1.675367686560477e-11,0.0,10.000000250358019,-8.794708359758687e-06,0.670000021849204,3.004494832432499e-08,3.01,0.0
200,0.0043847646669337974,0.0,0.00023023901734861612,0.0036508128045831542,0.0,6.201427593107331e-07,0.013998923014629879,0.011827434499174314,3.823945370316982,1.4400197565017416e-09,-0.00014605216240771036,-1.7468327976346966e-07,1.4598623670030574e-05,-6.0623436203356666e-09,0.0,0.0,0.0,0.04924313637618722,0.17989584215946014,-4.0088989609592304e-05,1.1801378459044287,0.0013711867446745943,7.061150712295782e-05,0.00045893784151120883,0.0,0.0,0.0,0.0,3.333680403768032e-11,0.0,9.999994671670628,2.9669522178112716e-06,0.6699988863259505,5.169579289653233e-07,3.01,0.0
300,0.006565585974124141,0.0,0.0003853100419615354,0.005339192468710375,0.0,1.723480426543931e-06,0.013997517296106765,0.011827531942508403,3.822503598630656,-2.149635095061589e-09,0.00015797298249989634,-1.9177460434490038e-07,3.181342046835894e-05,1.2089143163209942e-07,0.0,0.0,0.0,0.04904499027511119,0.1801444867445833,0.0001369856023806695,1.1798111806297806,0.0013634818933869655,0.00014516827315859206,0.0006035787776119426,0.0,0.0,0.0,0.0,4.749306178895728e-11,0.0,10.00001057673413,-1.796220274502958e-06,0.6700005039356917,-1.1338587846392556e-06,3.01,0.0
400,0.008511767756761296,0.0,0.0004831193036576434,0.00712627392702108,0.0,3.905541448832636e-06,0.013995322240829392,0.011837949223650921,3.8204194167552097,-9.149443120404169e-09,-5.8141304755985047e-05,3.040445771495918e-07,4.1451355140453185e-05,5.8893165816071934e-08,0.0,0.0,0.0,0.048896643643328894,0.18001728723861246,8.473043912272634e-05,1.1798695983136445,0.0013596049134047485,0.0002967268245145299,0.000844427463930019,0.0,0.0,0.0,0.0,2.0833289818645378e-11,0.0,10.000004917121872,1.1779912970411434e-05,0.6699997622548856,-8.708996235997003e-07,3.01,0.0
500,0.00988442375259531,0.0,0.0005296943593888535,0.008149139377687032,0.0,4.715092193480248e-06,0.013993168291129858,0.011832644903060446,3.818860289067362,-1.3998905440968338e-09,-9.714810003111734e-05,5.89089010276278e-07,8.039181741228347e-05,-5.771746606294975e-08,0.0,0.0,0.0,0.04872923879634521,0.18006018748087388,-3.172347786770141e-05,1.1797930737997024,0.0013603175770763778,0.0005106229211372419,0.0009923795977647438,0.0,0.0,0.0,0.0,-3.346409446480142e-11,0.0,10.000002656086606,3.4053991815589112e-06,0.6700006422155759,-4.248697970714168e-07,3.01,0.0
600,0.011218744908795562,0.0,0.0005559803888217529,0.00951269789781353,0.0,8.032721182311634e-06,0.013992180004148539,0.01183936808238386,3.8173523217457137,1.925137749980894e-08,1.723564310641889e-05,4.1347836759812954e-07,8.746537469894477e-05,-5.699299415782563e-09,0.0,0.0,0.0,0.04853254870317748,0.18003561455349285,-0.00012704503295889226,1.1799560096017159,0.0013641007463773647,0.000696370165420608,0.0011219277468696633,0.0,0.0,0.0,0.0,2.0066593973100064e-11,0.0,10.000009820621784,1.1673999937222067e-05,0.6699989729884053,3.1311421196629074e-07,3.01,0.0
700,0.012325030048492811,0.0,0.0005568961331491698,0.010486170708287654,0.0,1.1503089443198248e-05,0.013990141558780995,0.011830102504328331,3.816087481114377,1.836993123010837e-08,0.00016151472309566153,4.718192944185775e-07,0.00013363171662343686,1.5565321340254987e-07,0.0,0.0,0.0,0.04836957831666035,0.1800847491834747,1.904319108534326e-05,1.1798418468648724,0.0013750470769673705,0.0009457743162012652,0.0012757769094086729,0.0,0.0,0.0,0.0,-2.48839898526662e-11,0.0,9.99999576979278,-1.3833353325254844e-06,0.669998926193417,3.8807535682415195e-07,3.01,0.0
800,0.014238287281169645,0.0,0.0005592022137333666,0.012213100935762902,0.0,1.3728178657233833e-05,0.013986257465911324,0.011839247097637397,3.8147957679983917,4.12685050392156e-08,-0.00011996901403836173,4.176391282367361e-07,0.00016118022312080628,3.2885424626556276e-07,0.0,0.0,0.0,0.04830389892636672,0.17989110696790137,5.011470645705735e-05,1.1797649267239116,0.0013685374552132917,0.0011377193591146039,0.0014644241983851863,0.0,0.0,0.0,0.0,2.933244765580968e-11,0.0,10.0000090916781,-8.116308568840248e-06,0.6700005353502629,1.3893555347444615e-06,3.01,0.0
900,0.015236183303236076,0.0,0.0005717131713375375,0.013191897907867864,0.0,1.675259649968281e-05,0.01398361196557661,0.011842175276973937,3.8134315524872453,4.80046415459999e-08,0.00017484561883478091,8.259554032673682e-07,0.00020329343435173297,4.280018587919607e-07,0.0,0.0,0.0,0.04812325890775633,0.18005295925796444,0.00016323037242098825,1.1798238766590945,0.0013609166411406423,0.0014508577034308412,0.0015539718611465147,0.0,0.0,0.0,0.0,-1.4412971776036815e-11,0.0,10.000003765760006,7.5565411073797085e-06,0.6699988909957062,-3.0899675256893117e-07,3.01,0.0
