milliseconds,Gsbg_cell,L_cell,Gsa_gdp_cell,Gsa_gtp_cell,b1AR_S464_cell,PDEcAMP_cell,PDE_cell,b1AR_cell,Gs_cell,A2RC_cell,A2R_cell,PKAC_cell,ARC_cell,PKAC_AKAR_cell,Propranolol_cell,b1ARinhib_cell,light_spot_cell,AC_cell,PKI_cell,PKAC_PKI_cell,RC_cell,b1AR_Gs_cell,cAMP_cell,GsAC_cell,IBMX_cell,PDE_IBMX_cell,Fsk_cell,FskAC_cell,b1AR_p_cell,L_b1AR_cell,AKAR_cell,AKARp_cell,PP_cell,PP_AKARp_cell,DMNB_cAMP_cell,L_b1AR_Gs_cell
0,0.00028762230796715137,0.0,-1.0101637647762415e-06,0.00024511749495882755,0.0,4.999471836138951e-07,0.014001563959299012,0.013213480732284177,3.829650691355539,-3.081481706709158e-08,0.0002921013736558059,3.376116423618123e-07,9.018592661054761e-06,2.407795568278911e-07,0.0,0.0,0.0,0.04966896275980884,0.18009014240677515,-0.00015759464148709863,1.1800790409992115,-9.562417289911883e-06,-1.2611646663427066e-05,5.3976341038235805e-05,0.0,0.0,0.0,0.0,-5.2665683636064636e-11,0.0,10.000027313475208,2.3824724746392695e-05,0.6700021453801102,-5.174937221420961e-07,3.01,0.0
100,0.002049917323627402,0.0,7.268359080829933e-05,0.002124252594083958,0.0,-1.2540349258098939e-06,0.014001423928516126,0.011846289693569236,3.82674336358378,2.7843553395531492e-08,1.8093031572256793e-05,9.857114042961354e-07,5.852194821265375e-06,1.1275529826700144e-07,0.0,0.0,0.0,0.04948910230135818,0.1800573251288061,-0.0002604384714640226,1.1802266928857559,0.0013620226574272175,9.48476470857788e-05,0.00017505093938870585,0.0,0.0,0.0,0.0,-7.105086217077682e-11,0.0,10.000014590975484,-2.0842183083282053e-05,0.6699994137299525,-2.0463892995806943e-06,3.01,0.0
200,0.0043149324917181224,0.0,0.00023060347893823815,0.002969557795645831,0.0,-8.454488494400027e-07,0.013999116986525601,0.011816652351777245,3.824196683187103,-4.283307365073299e-09,-7.124643666954307e-05,5.511315138854149e-07,3.1165007130463108e-06,-3.0832631272954913e-07,0.0,0.0,0.0,0.04919669191935305,0.1801029650174947,-0.00011729920886067052,1.1797993812008905,0.001383240366168342,0.0002283408096658451,0.00041021252142961316,0.0,0.0,0.0,0.0,-4.296012375598499e-11,0.0,10.00001968638983,-1.8023154261831502e-05,0.6699982694506685,4.2135623064682966e-07,3.01,0.0
300,0.0059391665652338416,0.0,0.0003830749006372453,0.005620746728398517,0.0,2.42340266604139e-08,0.013999452621183989,0.011821929091513025,3.8225690645137855,-9.813272968550637e-09,-7.103733511251827e-05,8.427702040005317e-08,4.635621165351507e-05,7.514943862919432e-08,0.0,0.0,0.0,0.0489828762291333,0.17998971030502176,0.0002808476064551839,1.1801879574895797,0.0013637218442340677,0.00026484574317687154,0.0007173738307844982,0.0,0.0,0.0,0.0,7.840018607857352e-11,0.0,9.999993350927646,1.6147732539036408e-05,0.6699997471213833,-1.7778158412143192e-06,3.01,0.0
400,0.008122610275041572,0.0,0.00047210377341948463,0.007134595656870472,0.0,5.360095214621568e-06,0.013995025051021077,0.011818375121401577,3.821053981462975,2.1984374168490424e-08,-3.674694410907799e-05,3.3838891741547584e-07,6.662302795467935e-05,8.374147474606824e-08,0.0,0.0,0.0,0.048944745224853474,0.18021928096109815,0.0001393056009814381,1.1798433889658433,0.0013857371644482412,0.0005503132920786796,0.0008556306767641856,0.0,0.0,0.0,0.0,-1.815566480836911e-11,0.0,10.000016971579736,1.3366542230380264e-06,0.6699989532277555,2.263936433356894e-06,3.01,0.0
500,0.010129819152443717,0.0,0.0005348796547597617,0.00812126321060343,0.0,6.173386905942326e-06,0.013995130382049066,0.011822252944841901,3.818706202828691,-2.3278883730288724e-08,0.0002946210469958875,4.097844788825477e-07,4.6835010172956486e-05,3.291273918105687e-07,0.0,0.0,0.0,0.04872651175999772,0.17976530047862355,-0.0002828939445054965,1.1797965220452442,0.0013658319719980598,0.0004944696082794856,0.001036435325897965,0.0,0.0,0.0,0.0,1.9102256518141406e-11,0.0,10.000006783418916,-1.3031152526563168e-05,0.6699982385591473,-1.8752764349411977e-06,3.01,0.0
600,0.012001518193373693,0.0,0.0005476046840246261,0.010263633880579052,0.0,6.028221897861865e-06,0.013990391771435854,0.01182098410512168,3.8182141972168133,2.255571200022694e-08,-6.317036972348187e-05,1.3916446122378057e-07,0.00010871391753396925,3.161361289162558e-07,0.0,0.0,0.0,0.04847087940627846,0.18025631325673824,-0.00010626668380961726,1.1795643633340658,0.00137183429727353,0.0009093284938324063,0.0012032593058173143,0.0,0.0,0.0,0.0,-9.412848019645518e-11,0.0,9.999971845442795,3.359392758170266e-06,0.6699995630032398,1.3475031957956814e-06,3.01,0.0
700,0.012679391147984349,0.0,0.0005535321346358969,0.010810726795992822,0.0,1.2232156884662543e-05,0.01398736227363219,0.011830661691860448,3.816750886580326,4.8768430343019374e-08,4.201345686131858e-05,3.290467271911862e-07,0.0001282516335775878,7.441092447730852e-08,0.0,0.0,0.0,0.04848004679508905,0.18027276563344213,-0.00025823722909353817,1.1799265081380328,0.001380288159394378,0.0008403869432813552,0.0013025465532276348,0.0,0.0,0.0,0.0,-1.5381919333379235e-11,0.0,10.000019011575041,2.5108522169777456e-05,0.6699996960453241,1.623146424110053e-06,3.01,0.0
800,0.013588209723031812,0.0,0.000564954500047148,0.011775089043795605,0.0,1.261383465431391e-05,0.013987460975666114,0.011818519884450276,3.81526934955398,1.0374225304968204e-08,-5.870200516429225e-05,7.614345008922061e-07,0.00016306423971530233,1.1683315087037788e-08,0.0,0.0,0.0,0.04824132452492398,0.18001693200386953,0.00028066869413753763,1.1800526670704643,0.0013705077501273278,0.0011289630315321612,0.0014552528947279861,0.0,0.0,0.0,0.0,1.4211386335933518e-11,0.0,9.999969884480516,-5.7220478490308225e-06,0.6699981360629207,1.8717767890140362e-06,3.01,0.0
900,0.01520800011458535,0.0,0.0005715734964111322,0.01327029366675517,0.0,1.7657567480072608e-05,0.013981724234689649,0.011851493378828366,3.8141957764142234,5.003000865826083e-08,0.0002953964152882702,1.1694762229589183e-06,0.0001800598885812846,6.979509895902205e-07,0.0,0.0,0.0,0.04820485268374761,0.17991830016180665,9.273212802831892e-06,1.1795401850880523,0.0013775638029348153,0.001691674387329742,0.0014930950617475665,0.0,0.0,0.0,0.0,4.0127363803591655e-11,0.0,10.000005895582595,2.166830615446378e-05,0.6700018662591251,1.147296340699674e-06,3.01,0.0
