milliseconds,S2_n,pS2_n,G_n,pG_n,S22_n,S24_n,S4_n,G2_n,G4_n,GG_n,S22_c,S24_c,S4_c,S2_c,pS2_c,G_c,pG_c,G2_c,G4_c,GG_c,R_act,R,R_inact
0,28.514766497926036,2.93883770641567e-06,28.514784791421967,2.576244603523339e-06,2.6440157949007107e-09,3.98821235694252e-05,50.780929363973115,-3.2819588617305553e-09,-1.4865735182027306e-05,-1.7166999216115446e-09,-3.819850680884685e-09,5.565929879657656e-05,50.7811054646443,60.590072347637104,1.9930884120590213e-05,60.58989039543397,-2.566693784423235e-05,1.81800098757551e-09,-3.2837606231996804e-05,3.5277375021820944e-10,-0.00019493834928331174,1.0001888836555568,0.0
100,28.514779206106937,6.337182989980998e-06,28.514767324061676,3.6715030889085823e-06,-1.1641421562072195e-09,7.515578019713861e-06,50.78094074744905,1.486779908206208e-09,-1.8079386481823616e-05,-2.5053489362405047e-09,-2.9454644636635274e-09,-5.4970838109931395e-05,50.78094870490301,60.58996369146286,4.3580453737799855e-05,60.58983401079629,-6.024880039766848e-05,3.5460277527763938e-09,-2.137751529353103e-05,3.25233465301945e-09,0.0009941460054274888,0.9993436158598522,0.0
200,28.514784308666975,-3.981639758974256e-06,28.51477059754196,-6.769448049835869e-06,-2.0204283634796436e-09,-3.1349261223619315e-05,50.78092663732296,3.1720751878399725e-09,4.050903684520551e-05,-2.422391814835649e-09,-7.783231404549222e-10,5.3288865735716346e-05,50.78094280360902,60.58981506449767,4.912103959407124e-05,60.589799180107185,4.0772473214211125e-05,-2.1080013357613503e-09,3.6768017762418636e-05,9.56385020766183e-10,0.0006045372803160994,0.9988883874763631,0.0
300,28.514787399997267,4.753270208591168e-06,28.51477958568778,7.074776832555257e-06,8.229607631688049e-10,4.862663041001338e-05,50.78094441902129,2.684746271518118e-09,-5.9533658087640894e-05,2.596366622997567e-09,3.1550635671851396e-09,2.2777179827005587e-05,50.78113403450118,60.589997977579486,-8.831157655836219e-06,60.58986250543742,2.1762800944371393e-05,9.570048455009702e-10,-6.319786429830357e-05,-3.2738674415909406e-09,0.0020662604800691722,0.9978350190041014,0.0
400,28.514790455708656,-8.686530249579072e-06,28.51476211633132,-7.886510116848838e-06,2.7579834070222773e-09,3.220761126981273e-05,50.78094006839418,1.9394597579389877e-09,-2.1041936496867302e-05,2.8081580672266084e-09,-3.016602790181232e-09,-2.2883613644947025e-05,50.781148621617646,60.58999748082864,5.816374092605231e-06,60.59003041146968,7.117189853021722e-05,-2.2782601924706583e-10,6.195556837467314e-05,-2.2905153562971496e-09,0.0018735500516312868,0.9973571018241224,0.0
500,28.51476424338224,-5.6378923896885e-06,28.51477952187867,9.393027450546696e-06,1.6740067653621658e-09,-4.8769546851003635e-05,50.78094980531944,2.3076300235807374e-09,2.9981361351439534e-05,-1.728304920581668e-09,3.0613043541993887e-09,4.101660209173946e-05,50.78102384001718,60.58997522717224,6.898367978958565e-05,60.58973700258945,1.0316785800433092e-06,1.3210819895517993e-09,-4.4363754357370523e-05,-3.079887946368886e-09,0.002215957033430041,0.9978256686043352,0.0
600,28.51476810089964,8.685579814168888e-06,28.514763937021844,-3.972386097709541e-06,-9.544700162651526e-10,-3.215260880263953e-05,50.780930760636274,-2.9065377152741715e-09,1.8774614824933244e-05,7.820920113613469e-10,-4.362649936187198e-09,-6.958470807522837e-06,50.7808343365012,60.58992975508749,0.00011432020285745379,60.58970149873393,0.0001317114374839804,3.395218432446111e-09,-3.520689555452263e-05,-1.3436171252513842e-09,0.0025472614663793703,0.9969651297189588,0.0
700,28.51478764446301,-4.336200179934053e-06,28.514777235515858,2.1171631242738173e-06,2.0690592859397346e-09,-1.00999098533016e-05,50.780941923985374,-1.5130904201044992e-10,-8.757338487856645e-06,-8.971383011351202e-12,1.0928762623522719e-09,8.5544752727921e-06,50.781021492982504,60.5898445967063,0.0001292268795423849,60.589732627007606,5.643644757257396e-05,7.56441403799312e-10,-8.712680926960109e-06,4.0102536479183675e-09,0.00388185069212488,0.9967128452021494,0.0
800,28.51476283473386,6.650751790911473e-06,28.51478185790047,-6.145801118274163e-06,-7.819336982603699e-10,-4.356353431053886e-05,50.78093423878288,-2.3805291663326394e-09,1.8499896971948365e-06,-3.4559536203107517e-09,8.885753686255559e-10,5.135450317594149e-05,50.78078950664475,60.58979900259092,0.00015590846448134508,60.58976153513159,0.0001229966486023726,-6.153252650489651e-10,-6.842200516671843e-07,-3.6839183992515837e-09,0.003345414988604983,0.996755409068178,0.0
900,28.51478419957442,7.539401761700138e-06,28.514774866224958,1.0337812564796081e-05,1.7272883025664524e-09,-4.559058691422937e-05,50.780927824528405,-2.8095155119099713e-09,1.042568280303633e-05,2.528199063940904e-10,4.363454981704184e-09,0.00010674091433346559,50.78087320343918,60.589583204613994,0.00015867565814353993,60.58968800154499,0.0001569316608617381,-2.240071022295382e-09,4.818210849200704e-05,-3.6982042754252606e-09,0.004383846922223037,0.9956127937949101,0.0
