milliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,Bub3_BubR1,MCC,Bub3_BubR1_Cdc20,APC,MCC_APC,APC_Cdc20
0,4.999887557431378e-08,1.3009108987881108e-07,9.240179308770348e-13,2.2049218384984943e-07,3.696763569088634e-12,1.269736269645547e-07,2.0330988350554947e-11,1.4458659343363106e-11,8.927836565351546e-08,-5.2891025627225127e-11,-1.5972437019725618e-09
100,4.9945227174224756e-08,1.2972432368937906e-07,5.522054928228971e-11,2.105587078218812e-07,9.104450526218414e-11,1.2712692918490812e-07,-2.0835327370049364e-11,3.7201094145440656e-11,7.900397726834551e-08,1.2786658335065292e-10,8.181154250539487e-09
200,4.993984200356051e-08,1.296654022874705e-07,6.109461489377133e-11,2.021239815612101e-07,2.0267377939561536e-10,1.2710232844135713e-07,-9.619275940835238e-12,6.309433755964241e-11,7.353788182881063e-08,6.410339657351666e-11,1.6503168172262523e-08
300,4.993628555066662e-08,1.2977119271417105e-07,6.280639681787932e-11,1.9565759688749543e-07,2.870197328315817e-10,1.2680284419596768e-07,-2.7456533873293686e-12,6.900494359908955e-11,6.783929416387641e-08,5.900502179566027e-11,2.2194631955868766e-08
400,4.99336751110603e-08,1.2941890973336723e-07,6.773468120298194e-11,1.8800609421741924e-07,3.462272912081082e-10,1.269057419790223e-07,4.435049576034953e-11,9.9550785979869e-11,5.8483875469700455e-08,1.3137160955949848e-10,2.929812283136938e-08
500,4.993305266596666e-08,1.2943284338906175e-07,6.869394586134742e-11,1.845925694514743e-07,4.2316322831862293e-10,1.266460963944304e-07,4.300873608717836e-11,1.237991083238556e-10,5.463908051730477e-08,-2.6494058341836518e-11,3.28427584326693e-08
600,4.993062962403115e-08,1.2918678102406138e-07,7.111605052251428e-11,1.815176878633447e-07,5.290032420553651e-10,1.2670557730426021e-07,1.1555981996008274e-10,1.5601933835003105e-10,5.195358478241832e-08,1.7197004459890816e-10,3.7458118736796104e-08
700,4.9928144366093855e-08,1.2892399661112952e-07,7.096008303297198e-11,1.7634600977120623e-07,5.639523773968368e-10,1.2663369588753515e-07,1.0954599750351598e-10,1.6630235780353854e-10,4.489063321704164e-08,1.165650831811457e-10,4.449433267617772e-08
800,4.992723959012605e-08,1.288994245512732e-07,7.42778644961191e-11,1.7211425170642006e-07,5.999970088297407e-10,1.2636000960662846e-07,1.5857906382868747e-10,1.901458896784906e-10,4.2811100267921495e-08,1.5670901744010004e-10,4.58761716707862e-08
900,4.992529654774621e-08,1.2893954471264887e-07,7.375722899080352e-11,1.674744749861172e-07,6.467242415803217e-10,1.2631100141579087e-07,1.1949648901947396e-10,2.0127159790881866e-10,4.085264431476322e-08,3.4438690959415456e-10,4.8255340859698704e-08
