miliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2
0,5.000003735503834e-08,1.5005141550128127e-07,1.1564684860482372e-14,2.1990595379808656e-07,-4.789493914446057e-11
100,4.9993155935298025e-08,1.4979553894339604e-07,6.82439479136512e-12,2.19852903131252e-07,1.5766365769233897e-10
200,4.999321800840173e-08,1.497633917917025e-07,6.7879772550452665e-12,2.1970306031004656e-07,2.617451204140325e-10
300,4.9993183404753495e-08,1.4956077485068503e-07,6.784701855784601e-12,2.195448960495353e-07,4.696627051925417e-10
400,4.999321181954218e-08,1.4945133408543712e-07,6.808099753589114e-12,2.1937879725613268e-07,5.602540000384689e-10
500,4.999322422451803e-08,1.4934993176277375e-07,6.833521380886055e-12,2.1921428712628814e-07,7.206303951987914e-10
600,4.999318590022815e-08,1.4916099647958156e-07,6.815996508223564e-12,2.1912099578253703e-07,8.984022910706263e-10
700,4.9993226473180056e-08,1.489593341173129e-07,6.815516729072228e-12,2.188695213039983e-07,1.005572306936728e-09
800,4.999325217844212e-08,1.487961090632366e-07,6.784190498044491e-12,2.1892399497881755e-07,1.0874145983104915e-09
900,4.999320020019275e-08,1.4870477996435807e-07,6.7771831682383315e-12,2.1868757043402927e-07,1.430749666247809e-09
1000,4.9993184801211365e-08,1.485925292533836e-07,6.753330252334842e-12,2.1847219532830864e-07,1.3869927969308496e-09
1100,4.999325446111532e-08,1.483856802834109e-07,6.813207056136217e-12,2.1830029965472538e-07,1.718875687953171e-09
1200,4.9993219898845235e-08,1.4811965763303106e-07,6.777769372504469e-12,2.1817421274723784e-07,1.760509684875039e-09
1300,4.999322995177849e-08,1.4807539526864239e-07,6.7994605153879485e-12,2.1809321015761672e-07,1.9335315386028637e-09
1400,4.999325272413096e-08,1.4795841296104792e-07,6.7956161778674445e-12,2.1803483004867e-07,2.030564983535063e-09
1500,4.999319282440229e-08,1.47863428627037e-07,6.795645721214593e-12,2.1789889182338518e-07,2.3093412948241413e-09
1600,4.999317799758286e-08,1.4757007982598207e-07,6.800687561298821e-12,2.1760789858883025e-07,2.3524338621938196e-09
1700,4.999323036413724e-08,1.4750812718040448e-07,6.748617736797691e-12,2.1756301287841517e-07,2.4482406607480255e-09
1800,4.999323789677186e-08,1.4727170087529314e-07,6.78660558122322e-12,2.173880637815002e-07,2.5518403157617663e-09
1900,4.999323413733406e-08,1.4711505704904077e-07,6.7375474977893455e-12,2.1719948233704123e-07,2.749438980121113e-09
2000,4.999323922190751e-08,1.470489595043238e-07,6.764961141359577e-12,2.1702209050578469e-07,2.943204564738611e-09
2100,4.999323748472591e-08,1.4692732253316148e-07,6.719016940689594e-12,2.1690596706709389e-07,3.043690115476635e-09
2200,4.9993244056406645e-08,1.4678714828739075e-07,6.803305085737038e-12,2.1687447672573978e-07,3.1220494116985815e-09
2300,4.999328357148351e-08,1.465948005184805e-07,6.746876661538107e-12,2.166320828049927e-07,3.296540446225898e-09
