milliseconds,sGCfast,NO_sGCfast,NO_sGCfast_6coord,NO_sGCfast_5coord,sGCslow,NO_sGCslow,NO_sGCslow_6coord,NO_sGCslow_6coord_NO_int,NO_sGCslow_5coord,NO_sGC_5coord_tot,sGC_inact_tot
0,0.11272172363686439,8.407003287498962e-12,-2.217391416734814e-05,-4.883567860730186e-05,0.28990974057181207,2.815345976120506e-11,-0.000667126121686523,9.037257778766962e-05,-4.483139355828926e-05,-0.00041227224763336877,0.401634965332612
100,-0.00032995200331686875,2.198977399317144e-09,0.018052971285003473,0.09439499120101,0.0011862155254253274,5.627212426363862e-09,0.26468932528049044,0.022844543992144188,0.00250822903451462,0.09714008031889398,0.30544889895352034
200,0.00017495346652659277,-2.3433263996855946e-13,0.003383760058294957,0.10789085228722455,0.00044843459597869,2.3645295059273477e-11,0.25686798324270027,0.024243033615893934,0.005902572599328828,0.11589258162389574,0.2828438557775517
300,-2.487533739331049e-06,8.380575369814537e-12,0.0013493081831073145,0.11113523209189029,-3.4553313478357184e-05,-3.233504178926031e-11,0.2552277531615143,0.023904916954718105,0.010230255447731434,0.12016625688873969,0.2788046892913576
400,0.00010419652873897847,9.395873946481472e-12,0.00115658977976541,0.1111594006697773,-0.0008233587352739108,-2.084304624362552e-11,0.24861312672682764,0.023734886049138336,0.012523152490326855,0.12467092294647784,0.2743457770370606
500,-1.0495518188615829e-05,1.6966065473266577e-12,0.0011752224961206195,0.11010498102635273,0.0003966945001691174,-1.3055946518726396e-11,0.2473668225287268,0.023419058866130566,0.01634848348448383,0.12966174575758946,0.27320077007993576
600,-0.00013762613271179407,4.783124731679414e-13,0.0010444141741680615,0.11161347349041267,0.0002834961346040165,-2.6069640991005726e-11,0.24424873287476512,0.022937818258237694,0.021546080737056057,0.13089244731959623,0.26992694034175957
700,0.0006813263268939309,1.1642873434487343e-11,0.0011491427055238864,0.1106475696733508,7.844085334983795e-05,-3.838105097618558e-12,0.241473106769527,0.022635597196870142,0.024530274524712996,0.13351414108777154,0.2628320641803646
800,-0.00021513797140084118,8.648205163202715e-12,0.0011017251922548674,0.11131168493171305,0.0012618459677411426,3.5281186540413915e-11,0.2361545213498659,0.02255476874303548,0.027161182088430345,0.1412337875091013,0.2612795697362975
900,0.00033408423508027264,-1.325378722267787e-11,0.0010905546650456627,0.1110843803378917,0.0017956176871849194,-2.20097918102347e-11,0.23226272796190758,0.022124941402705933,0.03378444366889162,0.14230185759204214,0.2561689232993114
1000,-0.00025225677000189196,-6.306386788727343e-12,0.001077242057980316,0.11065073437854292,-0.0013614747952376861,7.93539276236253e-12,0.22978226582989883,0.021665735143064687,0.03366340600167555,0.14441056189950668,0.2561027126740696
1100,0.0002677918207993017,-9.593468961182264e-12,0.001166899108236407,0.11029913977545655,0.00013321281635248126,-3.535713919683953e-11,0.2295713952169823,0.021612909599518407,0.03978133514860079,0.14901382726764947,0.24860982936929127
1200,0.0003263335250618816,1.457150074094408e-13,0.0012286236672758451,0.11116596106607503,0.001577381571857749,2.860766629313467e-11,0.22463877913623168,0.021080032599414194,0.04104439798174166,0.15083019317006183,0.2466072043628592
1300,-0.0006966156086142546,2.410802880591853e-13,0.0010953630936306087,0.1109825587390126,-0.00010529168728861065,3.299489534011758e-11,0.2237863228335397,0.021156222818405263,0.0440183668433816,0.15738242842968048,0.24230832615239442
1400,-0.0003943540883626841,-1.3111110418370332e-11,0.0010929086650852036,0.11153075559582432,-0.0019757682321047353,-2.5188550003679654e-11,0.21662296921176497,0.020676344535666635,0.0495367599912837,0.16027391648946834,0.2402637906347439
1500,0.0006228381136478007,3.448656502703688e-12,0.001107052230881764,0.11090587373705733,-0.0016491341031710737,-1.619848570186352e-11,0.21665340877281672,0.020215494977549577,0.05286499192216062,0.16224147715002593,0.23776054959168175
1600,-0.00044120143435315545,9.367437893289857e-12,0.0011019577020015584,0.11136510958959862,0.0002230974781531007,-1.2483640959645706e-11,0.21295728949291232,0.020312520341981638,0.05554300428905637,0.1671610177223586,0.23245053555026898
1700,-0.0006637245467123881,-9.915279551653087e-12,0.0011673157157360127,0.1105826655208302,0.0004106264062563455,-1.8133735085277055e-11,0.2086138535589255,0.01995580758423275,0.056652561262103246,0.16709467250738708,0.22923430269544448
1800,-0.00019931753292142272,1.0728453715170514e-11,0.0011685789048509468,0.11084528935756285,-0.0003682272463643998,-8.107816185857242e-12,0.2075352214602071,0.019477510305155862,0.060351866334721914,0.17029041764900046,0.22793639041385189
