miliseconds,AA,AAp,W,WAA,WAAp,WWAA,WWAAp,TT,TTW,TTWW,TTWAA,TTWAAp,TTAA,TTAAp,TTWWAA,TTWWAAp,Y,Yp,Z,B,Bp,SetYp
0,2.4928423189914432e-06,7.352108759703179e-13,4.967810170016789e-06,1.5424638644655674e-10,-8.849389319594472e-14,3.570843932637631e-09,1.7792316344085288e-14,2.4820271954491246e-06,-3.541866261479708e-09,3.388871981981145e-09,-1.8760862886370153e-11,-1.302502688970827e-15,-5.236697984603578e-10,-2.3774479408740832e-14,7.839503469677992e-09,3.694897031879222e-10,1.0009604504939463e-05,-1.921483022562461e-08,2e-05,1.9967280916575396e-06,-1.1495606201325967e-08,1.63e-06
100,1.6571640026206802e-06,1.2109429064013416e-10,3.0727438088430607e-06,6.154808794680818e-07,4.379238035690086e-11,1.3154686587215853e-07,9.161178799507298e-12,1.5841653228512933e-06,6.686366186899812e-07,1.3854963594843254e-07,2.236155595538138e-09,1.6242200957080119e-13,7.102436384406696e-08,5.206254739389689e-12,4.7607225189477094e-08,2.4599755326993767e-09,9.993457788913213e-06,9.353758440919926e-09,2e-05,2.0138359128780605e-06,1.0431117559982213e-09,1.63e-06
200,1.3182577003233553e-06,9.596532317309098e-11,1.9751825397422605e-06,7.319768280186521e-07,5.3968003174466e-11,2.7250146475581613e-07,2.0170958777724676e-11,1.2000212473889449e-06,8.185030706250511e-07,2.9421384527552665e-07,1.963282730190424e-09,1.449947453325716e-13,4.2596822368785165e-08,3.1249681378681235e-12,1.3353015626762513e-07,6.397514862322694e-09,9.900840399446641e-06,7.235355058589614e-08,2e-05,2.008210010491159e-06,2.0128830447664582e-08,1.63e-06
300,1.0889938471058712e-06,8.285930774245834e-11,1.3921349790990166e-06,7.341188835523947e-07,5.4598915239693035e-11,3.606284161754226e-07,2.6651319818148704e-11,9.680745727912901e-07,8.416793629898837e-07,3.913040102565766e-07,1.6554358009415196e-09,1.23215132565751e-13,2.8050851918833174e-08,2.132286511342812e-12,2.417679271079457e-07,1.2870756123924489e-08,9.776970022164917e-06,2.3132629360276285e-07,2e-05,1.9922284301987658e-06,9.407595574042176e-09,1.63e-06
400,9.533127520046992e-07,7.28764232043713e-11,1.0101742154508115e-06,7.115165971171077e-07,5.3895640680434325e-11,4.050758590679763e-07,3.0814268716902266e-11,8.3147456549741e-07,8.291182380779335e-07,4.533788818286054e-07,1.3761861169810357e-09,1.0600495253397143e-13,2.1205169519866135e-08,1.5808017190253076e-12,3.7368791899651015e-07,1.8304796174789582e-08,9.602790158058867e-06,3.6949950253936074e-07,2e-05,1.9712045226592986e-06,2.8139682099793806e-08,1.63e-06
500,8.725027872616774e-07,6.697337496858572e-11,7.376069166387797e-07,6.940185720637664e-07,5.346314223733095e-11,4.314186188913727e-07,3.287642776100248e-11,6.968626842919516e-07,8.201094598266474e-07,4.797582116406174e-07,1.179434062271495e-09,9.065827009116379e-14,1.6129537276950883e-08,1.2569402365314608e-12,4.6477622406056426e-07,2.389390471000378e-08,9.462134453224984e-06,5.461559736332142e-07,2e-05,1.9385999825942195e-06,6.847573425891485e-08,1.63e-06
600,7.95403598429946e-07,6.228383398731289e-11,5.131399469009643e-07,6.68199622753561e-07,5.23100499345793e-11,4.416912764198865e-07,3.440422590268671e-11,6.083824128316026e-07,8.008480443629599e-07,4.879664395291741e-07,1.0304535245909929e-09,8.317783153876833e-14,1.31947279183611e-08,1.0774997860594473e-12,5.309807755042764e-07,2.894331221803903e-08,9.336325345520056e-06,6.928654333072449e-07,2e-05,1.9213731665930474e-06,1.0043283066786149e-07,1.63e-06
700,7.60377964601072e-07,5.954987920784052e-11,4.4837054856279004e-07,6.588127262054739e-07,5.189856096425142e-11,4.386517283202091e-07,3.5010279124490647e-11,5.548993694682566e-07,7.865958218846865e-07,4.930609849380749e-07,9.613858763721122e-10,7.456135276759365e-14,1.0810288432901739e-08,8.842058706620663e-13,6.006241102729148e-07,3.240058945111214e-08,9.216612323719723e-06,7.946895535261743e-07,2e-05,1.865378766322312e-06,1.3282210499237737e-07,1.63e-06
800,7.20567292384012e-07,5.617873380720277e-11,2.971073370250989e-07,6.462517523686255e-07,5.1589001206952316e-11,4.383122401209509e-07,3.5073931113314e-11,5.342746513122196e-07,7.813449220695267e-07,4.897031526157193e-07,8.697118600665758e-10,6.893121255126976e-14,9.406240637604678e-09,7.502649537147283e-13,6.640119030672435e-07,3.627612632716044e-08,9.116047008822554e-06,8.755198937120348e-07,2e-05,1.8507370912454107e-06,1.38939580342098e-07,1.63e-06
900,6.747725070205785e-07,5.3675338376984946e-11,2.9420749350438223e-07,6.320392512929656e-07,5.1455698933493536e-11,4.3231337601631333e-07,3.479255155644926e-11,4.941101874441018e-07,7.706289840810643e-07,4.812373748720186e-07,8.135391880721e-10,6.649760157763723e-14,8.296054438485408e-09,6.420036436141294e-13,7.031474125781594e-07,3.965860573511088e-08,9.002743711231897e-06,9.780011814509169e-07,2e-05,1.8063366127292206e-06,1.9275950385166893e-07,1.63e-06
1000,6.529120755275477e-07,5.169015814945607e-11,2.268006622992736e-07,6.350057321059489e-07,5.1542368167832226e-11,4.2239168276477263e-07,3.440780986005762e-11,4.5116110669552365e-07,7.79202297602009e-07,4.7272221933369595e-07,7.707434944154637e-10,6.244013517951212e-14,7.964722698146237e-09,5.911248345376799e-13,7.58255193392527e-07,4.2173961046691535e-08,8.948449542215583e-06,1.0527216213118177e-06,2e-05,1.7589827776627214e-06,2.3367587099960742e-07,1.63e-06
1100,6.105875395303515e-07,5.1033853398401304e-11,1.7904399822116278e-07,6.293633941458802e-07,5.146315003191973e-11,4.148966353354963e-07,3.419923711411445e-11,4.0628146732709886e-07,7.808779020720684e-07,4.629420342052924e-07,7.287466428975071e-10,6.054802969264344e-14,6.670563678192308e-09,5.91295699799738e-13,7.80056960601028e-07,4.448033987933993e-08,8.898671391677707e-06,1.1285927135496969e-06,2e-05,1.7501280276151387e-06,2.649284109359642e-07,1.63e-06
1200,5.781794707237818e-07,4.8205639615036855e-11,9.396979730225181e-08,6.310865921998388e-07,5.166701990734555e-11,4.0921698197797933e-07,3.3115499396222496e-11,4.028886549975887e-07,7.80977526341762e-07,4.569633759215105e-07,7.000129125338306e-10,5.663172275228413e-14,5.829090649393729e-09,4.971652869233099e-13,8.117926641886283e-07,4.6690361199348624e-08,8.82437052199717e-06,1.1824459762768114e-06,2e-05,1.7002439002362886e-06,3.06124349311215e-07,1.63e-06
1300,5.629823725653954e-07,4.823071813378369e-11,1.3827550153967593e-07,6.365001453180437e-07,5.29259516733516e-11,3.9250175335306954e-07,3.304337802385773e-11,3.6953913414949474e-07,7.860255080772037e-07,4.452075242146334e-07,6.535318895639859e-10,5.4971700018867503e-14,4.958014993483138e-09,4.4493290888439805e-13,8.376700455340417e-07,4.832239274065453e-08,8.761610191919992e-06,1.2003676073829511e-06,2e-05,1.662419413272606e-06,3.343644102656276e-07,1.63e-06
1400,5.398308657508185e-07,4.6560803405716016e-11,1.2751517915945713e-07,6.39510599237368e-07,5.34652768917574e-11,3.890402125708345e-07,3.219929829398863e-11,3.387418545122795e-07,7.850943820139269e-07,4.380542894398346e-07,6.448994399177301e-10,5.370885377487891e-14,5.07186030342201e-09,4.552492363973165e-13,8.678835387287055e-07,4.861642215147157e-08,8.747126734513964e-06,1.2647442025710618e-06,2e-05,1.6408398683532208e-06,3.7038198059881396e-07,1.63e-06
1500,5.576197514476968e-07,4.4870729992886955e-11,5.510565146544534e-08,6.397377427821134e-07,5.372187866770514e-11,3.7399665246500665e-07,3.167778707359438e-11,3.299348656443496e-07,7.956638511279128e-07,4.317460661718092e-07,6.412642813765953e-10,5.175317211946274e-14,4.332617800917205e-09,3.938130782294341e-13,8.88042181902035e-07,5.02251800222041e-08,8.69427214064183e-06,1.2850537109689335e-06,2e-05,1.6043622090931229e-06,4.1668421349346613e-07,1.63e-06
1600,5.263748485356342e-07,4.489000568272529e-11,4.0786418019759194e-08,6.458672588135143e-07,5.4513968238701226e-11,3.650314221517385e-07,3.069496612755502e-11,3.0304100924872614e-07,8.012735067894945e-07,4.2323729429671427e-07,6.054167903991167e-10,5.107597459525828e-14,4.3664459339299246e-09,3.841513754495402e-13,8.882802965661576e-07,5.1164698424364345e-08,8.69577259971287e-06,1.2999379307828977e-06,2e-05,1.5546307315459575e-06,4.360540243136445e-07,1.63e-06
1700,5.202346798829447e-07,4.2972865736841026e-11,2.9055514222326107e-08,6.51368363192761e-07,5.5405598191541494e-11,3.588296523886792e-07,3.009946170432871e-11,3.104812045559262e-07,8.133308163862954e-07,4.075749412647889e-07,5.897952520891247e-10,5.064038620742047e-14,4.216361984057711e-09,3.0780288148166107e-13,9.101784130887227e-07,5.296704947812276e-08,8.67555182219305e-06,1.3575483859855114e-06,2e-05,1.5402109005875398e-06,4.808586191014674e-07,1.63e-06
1800,5.087833051783556e-07,4.340719783125962e-11,5.0921633027087395e-08,6.545642885314628e-07,5.629033064816191e-11,3.4930476396298033e-07,2.950536984461349e-11,2.849928557152053e-07,8.210074053551948e-07,4.016959769419164e-07,5.868669854692543e-10,5.037915263551756e-14,3.828246386866033e-09,3.1939485816889655e-13,9.350501596111369e-07,5.3329024412526335e-08,8.653755017091165e-06,1.3852188553311507e-06,2e-05,1.5029784990372179e-06,5.005651691715981e-07,1.63e-06
1900,4.791133180402311e-07,4.14704726709149e-11,4.0788025993384014e-08,6.604049240660363e-07,5.653976806432547e-11,3.437823223972784e-07,2.92571297858685e-11,2.869616023505385e-07,8.195598812228551e-07,3.9965562768425337e-07,5.995409570995208e-10,4.944251234759639e-14,3.058225821691162e-09,3.422040443986697e-13,9.303468398780937e-07,5.377085854393472e-08,8.594834454093134e-06,1.394317827505047e-06,2e-05,1.455101272141553e-06,5.391013334042216e-07,1.63e-06
2000,4.901802111790786e-07,4.061108685027908e-11,3.365530353621211e-08,6.72713034012119e-07,5.696041753147964e-11,3.3287266235094064e-07,2.8878727185495617e-11,2.934276413003982e-07,8.329012571016412e-07,3.9092624200464856e-07,5.893615146607519e-10,4.8048862883244286e-14,2.8725709588743874e-09,2.541289192928599e-13,9.526230882218606e-07,5.443798704345918e-08,8.584358211448711e-06,1.4173315415900371e-06,2e-05,1.4296840775971896e-06,5.681198668541188e-07,1.63e-06
2100,4.7466935890423907e-07,4.1048202251154464e-11,6.500830565590898e-08,6.738029788486897e-07,5.805766419459532e-11,3.25147039511899e-07,2.78333804065257e-11,2.660801711667477e-07,8.346665198592015e-07,3.802866005096493e-07,5.788408267020593e-10,4.839321853868204e-14,2.829168008130022e-09,2.5682450916771036e-13,9.478636065042675e-07,5.64578421576321e-08,8.562693372507451e-06,1.4122780073729892e-06,2e-05,1.417253627617284e-06,5.89548339993074e-07,1.63e-06
2200,4.667506288459037e-07,4.0081141301636036e-11,7.552849575154788e-08,6.789062841364225e-07,5.804781547175918e-11,3.2067732765488323e-07,2.7282507753837423e-11,2.642309086683758e-07,8.356519498326527e-07,3.7758033558375056e-07,5.537285108534278e-10,4.6685297464065397e-14,3.4837894309573943e-09,2.6344487323985646e-13,9.592175005501054e-07,5.6910917545010204e-08,8.579905904856203e-06,1.4356025237130012e-06,2e-05,1.3823928343615494e-06,6.093344847300799e-07,1.63e-06
2300,4.630549325069308e-07,3.94582622150032e-11,-5.604828478346261e-09,6.832150522142906e-07,5.854188709015263e-11,3.10319789940076e-07,2.705650524957092e-11,2.3396508566954062e-07,8.457739608901758e-07,3.713642633352984e-07,5.325248370202216e-10,4.7408070458490455e-14,3.119052853469527e-09,2.244168743764916e-13,9.73575698564819e-07,5.6700183244531444e-08,8.549519766791794e-06,1.4417209675245258e-06,2e-05,1.3439611316465922e-06,6.461425844238708e-07,1.63e-06
