milliseconds,ATP,NAD,AcCoA,KG,Cit,OAA,Pyr,DeltaPsi
0,3.534762067515037,0.8551104927960677,0.06289339883784059,0.2253164793074607,0.4398916764400793,0.005002478788027633,0.15410102877944884,150.13414428702205
100,3.5268520933601755,0.8557309664112303,0.06332887378555475,0.22613253080839466,0.43973666181885834,0.004825148052890901,0.15344257542420842,159.1809863832676
200,3.523216320147853,0.8581545304944435,0.06365707659344362,0.22699048554332077,0.4394062332640942,0.004734132268431223,0.15350778303511584,158.91233856959064
300,3.519049365114196,0.8577306043097388,0.06381519338453646,0.2273566811936562,0.4395168659547607,0.004685477772452222,0.15287565038539414,158.72507276098113
400,3.5155359125912327,0.8588776991266982,0.06388469341357055,0.22877025475500276,0.43918695297451577,0.004667868315693795,0.15271882029205153,158.59821185749533
500,3.5090318492469565,0.8603786933374125,0.06448692731516682,0.2290932576555623,0.4388715603333781,0.0046463717651632755,0.15225250089056283,158.56964906494127
600,3.4994697169745117,0.8607390676231051,0.06470921721764546,0.22973444934215695,0.43849036441142425,0.00464550865002838,0.15181518781027914,158.37507546027192
700,3.503181108122799,0.8627799216288394,0.06502510881259337,0.23009170618322297,0.43807718830464426,0.004636932586032463,0.15156779457678649,158.29915547943486
800,3.4991477407006353,0.8633575521351177,0.06523366243725638,0.23134920663155747,0.4376943853716566,0.004635084241462645,0.15155176586430008,158.11039643045396
900,3.4915427433073294,0.8634973392250882,0.06555375958749562,0.23188305610561866,0.4372245926449871,0.00463022191766933,0.15127898012827057,158.24531049787868
1000,3.481506149254896,0.8648954075505397,0.06556743408699045,0.2321141701480483,0.43730861726833997,0.004634546327240619,0.15098279075761536,157.94977001193413
1100,3.480616763410281,0.8665831251558396,0.06595045837982724,0.23271393431529186,0.43710859929557083,0.004631393011580133,0.15059129211395486,158.06606654654826
1200,3.4744361024460315,0.8661207546694489,0.06612495243428684,0.2337417950716166,0.43672074626733054,0.004631525748980063,0.150245425245615,157.78164110589358
1300,3.471007867393049,0.8693758272427101,0.06655252292600186,0.2349897449807102,0.43634953081149414,0.004627335315564009,0.14976307606906614,157.79103251916882
1400,3.4682341804336962,0.8681446222925872,0.06679924523885913,0.2349720592640662,0.43612249762510447,0.004634118838508415,0.1496964107797029,157.69956429478984
1500,3.4606005601479013,0.8699811616038013,0.06676509089945139,0.23657788598910026,0.4357114645900916,0.004626249830440112,0.1496202448946192,157.4427116440407
1600,3.4649092870221816,0.8722186533460933,0.06679941288628115,0.23582611367975073,0.43561504731424106,0.004632713326545587,0.1490724453451994,157.48763310839897
1700,3.460755824328852,0.8728527431230948,0.06697530048936988,0.23709757270503662,0.4353067381948577,0.004631191250627207,0.1486132664905224,157.33447873472716
1800,3.454338372804197,0.8738263519184339,0.06758442370709783,0.2380570673421104,0.43517415540720245,0.00463212899623602,0.14887459645132528,157.2345416959652
1900,3.446681989629332,0.8730481149190419,0.06748813467226734,0.23799939383584626,0.4353149011071607,0.0046287130940578305,0.1483867990270929,157.19578041038758
2000,3.4456353403883244,0.8746685768482508,0.06753273482844924,0.2396381674041457,0.43458576717663183,0.004629268259170418,0.14837277318408823,157.19155217912868
2100,3.446312715198603,0.8749102255156457,0.06780734028542816,0.23993588072035177,0.4344931466788141,0.004636063680167458,0.14779165207877243,157.06917107775374
2200,3.43957922143375,0.8776001383408051,0.06799849764252154,0.23970797510071026,0.4344070826541892,0.004634718805523873,0.14784639065328856,156.74076872744118
2300,3.4410712986635996,0.8763192170166874,0.06845302490313622,0.24122016941053212,0.4343749263103206,0.004636371208781156,0.14740642312872979,156.93338892035658
2400,3.438391889351848,0.878606287427643,0.06836807576436671,0.2421498239881658,0.434027648119852,0.004632493866996364,0.1476658443486431,156.58064522775229
2500,3.431940406567154,0.8785389103940862,0.06879682988137932,0.24225729556622297,0.4337252934278229,0.004642557038981414,0.1473954356390737,156.7572711397332
2600,3.4313599078589996,0.879460703938427,0.06872436076181629,0.24230236440350583,0.4337351046345345,0.004641602237173381,0.1467461572071588,156.63146263124693
2700,3.429837056011675,0.8821748654408774,0.06891501557450613,0.2429633328124866,0.43306032890107005,0.004641750416562298,0.14688742668187088,156.38661587817342
2800,3.421443016196973,0.8829185584665944,0.06919991973206262,0.24372221769711944,0.43301580980513543,0.0046475486894448255,0.1466098568745495,156.24400076942698
2900,3.4236058311915123,0.8835293734510397,0.06902188961729613,0.24410628157147155,0.43321063282735695,0.00464865284386684,0.14651053428245647,156.39812080777844
3000,3.415424700217047,0.8828835610916751,0.06928829597443807,0.24447768235108866,0.4328261467948634,0.004644975703591583,0.1465540308618537,156.1963834362937
3100,3.413627814406654,0.884398312347431,0.06939843056250236,0.24492580892915677,0.43273076045099396,0.0046570221222161715,0.14603035413941112,156.10724132323145
3200,3.4135586100214232,0.8847782725269505,0.0696557913268083,0.24617237768050246,0.43224329019313107,0.004653023331016384,0.14579944699543906,156.19173038730716
3300,3.412507598425167,0.8860062210882305,0.06968271215205052,0.24563974971927804,0.43226872171770714,0.004661281541577376,0.1460461643525479,155.8986821878127
3400,3.4065506776924592,0.886020188413449,0.069800526549791,0.24737339162330246,0.43193426108554683,0.004658992461600346,0.14600081898822956,155.7724105680797
3500,3.4080958533732106,0.8867581987627148,0.06965912274878923,0.24668228975838888,0.4320384835127119,0.004668700399316149,0.14537084645768353,155.83231319864728
3600,3.402794570891878,0.8881437214645952,0.07000491641605974,0.2471807436669614,0.43186114084646465,0.004668506728537233,0.14569324428479713,155.66969172473247
3700,3.3991751664776104,0.8883347573577735,0.069807615325015,0.24721886860702869,0.43146171445984155,0.004666402783347894,0.14517038749673164,155.6885795635359
3800,3.3992119982894446,0.8896934795672946,0.07024491053914195,0.24868573380242762,0.43147734148718236,0.004673922988740783,0.14520940748942326,155.49484056289177
3900,3.3996180287727737,0.8895680502915411,0.07035910701253813,0.2490802540520796,0.4309425135167143,0.004674241267254737,0.14510569485915728,155.58398544879583
4000,3.3936088632485633,0.8901979325342135,0.07006754091825577,0.25002121121487914,0.4307616110930917,0.004677473239066336,0.14477005252702912,155.50511509340177
4100,3.3963940605895697,0.8929043912956222,0.07030650413775316,0.24945697899409675,0.4307512927658528,0.0046782627850857446,0.14456352598151215,155.38222583629903
4200,3.3907617228155718,0.8914678940680204,0.07061415742372552,0.25052456242751986,0.4308668945996389,0.004689272737141874,0.14468812851066246,155.38460720217
4300,3.3903312142405846,0.8937274674178878,0.0702986891549643,0.2508433310280671,0.4308368834533816,0.004684254611688334,0.14463854374954335,155.27156812331287
4400,3.3855640748963203,0.8928596437384426,0.07075319860776995,0.25038221715835957,0.4306486228022351,0.004694543073902667,0.14463209574954367,155.03226855513742
4500,3.381048657001264,0.8952944359978886,0.07069793160370415,0.25118908046506294,0.430070949377572,0.004693328835666856,0.1442658260737376,155.1338611321509
4600,3.3875790817214995,0.8955475329099352,0.07065858416266627,0.2519005164062594,0.4301196782973819,0.004696500004215713,0.14393988588328419,155.16919457320952
4700,3.3848954337668737,0.8963099228957829,0.07086844390073439,0.25185542865978044,0.43028430206897456,0.004704969971243906,0.14393682385094744,154.91755387903152
4800,3.3830705074222074,0.8963368533787968,0.07072586485450837,0.25204067302039457,0.4295914743009972,0.004701504732968582,0.14368081466364255,154.8450307661908
4900,3.379206276367303,0.89728092071885,0.07113173588600692,0.25256596035279905,0.42969071038764317,0.004715275306104428,0.14408399640641736,154.763817571094
5000,3.375774022525056,0.8976661304680125,0.07098976815340614,0.2530233711520473,0.42941478269138067,0.004717717750258601,0.14346628298425373,154.71383104126699
