milliseconds,GLC,F6P,FBP,GAP,DPG,PEP,PYR_cyt,AMP,LAC,G3P,DHAP,OXA_cyt,Asp_cyt,Glu_cyt,OG_cyt,Mal_cyt,Acetyl_CoA_cyt,CoA_cyt,IsoCitcyt,Cit_cyt,ATP_cyt,ADP_cyt,NAD,NADH_cyt,NADP_cyt,NADPH_cyt,Pyr,CO2,CoA,Acetyl_CoA,Pi,Fum,SCoA,Suc,GTP,GDP,Ala,Asp,Glu,H2O,ETFred,ETFox,FADH2,FAD,OG,Mal,OXA,Cit,IsoCit,ATP,ADP,NADP_p,NADPH,NAD_p,NADH,Q,QH2,Cytc3p,Cytc2p
0,5.057561473972715e-05,0.0006363783678910032,6.401457337125252e-06,9.004139827483961e-06,0.0002845085173264202,1.6971567342441596e-06,1.2811243814681526e-05,2.7165307244697706e-07,0.00036696815171764465,0.007692500227989555,0.007692499786614091,4.050225460682216e-06,0.0011377632088105123,0.003033327090701064,2.100214518904869e-05,0.0004970511904032181,2.9999999991802768e-05,0.0002720000000062315,0.0004208792276682816,0.0004226790004108731,0.004529466062534174,0.00010727296438922901,0.0036744143855645278,0.0006752687591432937,0.0036206766650594847,0.0006162624054276482,0.0010216251787442618,0.00163113399872912,0.0002692905615838384,2.6787066742671048e-05,0.0040029951136829455,6.552370004380652e-05,0.0002943344420934403,0.0029460021538661985,0.004501082701227676,0.0004506296910951312,0.0034400003489879626,0.0011346645995009505,0.0030336616319560574,0.0010002608898998773,0.00031152315520186104,0.0003209560266976547,7.199977051939236e-05,0.001009999836997879,2.1074556991652526e-05,0.000500909517183917,4.032896526697556e-06,0.0004210405076119597,0.0004193784530605223,0.0045063927320811385,0.0004514444114698963,0.01009990093413663,7.214295302582072e-05,0.01010261940070891,0.0007209536710400924,0.02599732487546429,0.02800372446783003,0.0030004827906838266,0.00011015689959882994
100,5.026076163775794e-05,0.000677005219839709,2.7915363388699095e-05,2.1887055583123103e-06,0.00028937805284579054,2.1210796998042163e-06,1.639563803674433e-05,6.069518235611888e-06,0.00037372178280548,0.007692500231823412,0.007692500200088628,3.1349124874582316e-06,0.0011473984948176608,0.003028639790972424,1.903410064796212e-05,0.00046749237387272793,3.0000000026695254e-05,0.00027199999997807933,0.00043805216789696464,0.0004407374132124395,0.004492974817367966,0.00012996706127098922,0.003653817623960524,0.0006754501854061452,0.0036202927666679307,0.0006161760530954639,0.0009921901579236845,0.0016492038761782425,0.0002460888855354056,5.7302366160084486e-05,0.004000261398647848,7.60565446547842e-05,0.00029395227179597667,0.002948264239308909,0.004499510099899972,0.0004522952367038624,0.0034400006166946783,0.0011382035162757777,0.0030323368007585914,0.0010046942514080966,0.0003110269985812083,0.0003183712570410063,7.200075955678855e-05,0.0010099999885502659,2.1434778154739343e-05,0.0005269210522761921,4.032947474695491e-06,0.0004034156266528157,0.00040025839676530574,0.0044947601304484225,0.0004472028269152234,0.010099822292392004,7.235447683576603e-05,0.010075359475555842,0.0007409126701428891,0.025991806210103628,0.02800380122705493,0.002998589074953101,0.00011052524135618596
200,0.0001228773756312339,0.0007048026275391661,7.879076565255562e-06,6.973200947075732e-06,0.0003341453022401357,1.8726954109621949e-06,5.452497718741684e-06,4.35956245739257e-06,0.00029202729000844606,0.007692500031877602,0.007692499759806613,2.4479258878919277e-06,0.0011532197438533917,0.0030184897415362613,1.8082685194087437e-05,0.00043665703241548877,3.0000000042338523e-05,0.00027199999995456407,0.00045171873133388574,0.0004527012929971709,0.004500358209962326,0.00015228623176932084,0.003568676754980654,0.0005545679207165212,0.003620155178266671,0.0006169768314718068,0.0009782754367717724,0.001687322808884232,0.00022435737439018244,8.198398818605582e-05,0.003999215795295854,8.312649079604162e-05,0.00028910477060575026,0.0029533679842379404,0.004506219843641727,0.00044731619197845403,0.0034400006283785704,0.0011235118842229492,0.0030421006418894377,0.0010065523913166232,0.00031398362523299785,0.00031683603987615845,7.200108305773905e-05,0.001009999598754947,2.174276900004164e-05,0.0005502455059607187,4.0410994246722746e-06,0.0003886999473309649,0.00038297702277890935,0.0044479445874279384,0.00044682476512627735,0.010099417109332796,7.22110572524072e-05,0.010055818345766862,0.0007607236887924742,0.025993178345157405,0.028009013152398756,0.002998436827400304,0.00011161201747413005
300,0.0001749954623798955,0.0007203655446951198,3.012902405526112e-05,-2.0953845557408644e-06,0.0003095625975777149,2.6467700639674244e-06,2.014739159584781e-06,5.325042823168393e-06,0.00028703011422899185,0.007692500261573263,0.0076924997928025825,2.012146393700778e-06,0.0011563266101755863,0.003009276560870365,1.608079327502639e-05,0.00042184840942497743,3.0000000079886897e-05,0.0002719999999141311,0.000461924952934876,0.0004642282428616154,0.004470199841844312,0.0001407814614134229,0.003627058274339593,0.000610041448271406,0.003619382108944816,0.0006166752252997005,0.0009568519354703691,0.0017124911951871425,0.0002028985335859794,9.945504291665779e-05,0.003989935260813679,9.063246546656305e-05,0.00028762033482026406,0.002951328722806217,0.0045026635178478285,0.00044515831475090364,0.0034400019807063003,0.0011230158658091414,0.003052688010821915,0.0010093092395703897,0.0003150035039951658,0.00031381811871279014,7.200043755280459e-05,0.0010099990273970442,2.270530233710889e-05,0.0005651400378030503,4.104678813528066e-06,0.00037919692971671317,0.0003742152448958047,0.004433179599333216,0.0004450537022838934,0.010099250538482273,7.227476253633599e-05,0.01004274177348561,0.0007845761915941127,0.02599084949162574,0.02801444704143765,0.0029975054593999405,0.00011298621885356242
400,0.0002175340443116102,0.0007321822035132845,1.7594237478160317e-05,-5.088952592371724e-07,0.0002911849787759649,2.8549197022717676e-06,1.0294023249123187e-05,1.6582096967222337e-06,0.00031507974662075975,0.007692500433730816,0.0076924997204241815,1.7752395894347205e-06,0.0011617895387578767,0.0030114487500385915,1.504848994685282e-05,0.0004016810494421438,3.0000000084511476e-05,0.0002719999998959619,0.00046913995180963304,0.00047551601925345077,0.0044753999196859885,0.00019780998640175486,0.0035744361017185206,0.0005687322469137395,0.0036195058285456035,0.0006167935639151341,0.000932426267920813,0.0017208422546535042,0.00018549864891174392,0.00013124271922656597,0.003983324494614221,9.65625554860513e-05,0.0002857170062813298,0.0029474566087940193,0.004507976740305137,0.00044646137939020886,0.003440002468422917,0.0011144155535726126,0.0030580086300427797,0.0010093600195675847,0.00031613145427123097,0.0003128585426713604,7.200163479277778e-05,0.0010099992911344125,2.299765804421666e-05,0.0005793609725826623,4.186490051296528e-06,0.00037103442730053714,0.0003648719432498409,0.004460091658706086,0.0004434641830058972,0.010099296096508422,7.291493984156654e-05,0.01001842176511409,0.0008005421179452584,0.02598476372375421,0.028012707579803297,0.0029968676258458607,0.0001125141783906743
500,0.0002742279197321098,0.0007635925781261098,1.0342764665038044e-05,6.804366954756286e-06,0.00030931669421329136,3.314080833217159e-06,1.1823834819987793e-05,6.4084756707053216e-06,0.00031954166194433236,0.007692500410477515,0.0076924995618781015,1.5413565239115956e-06,0.0011740911825931376,0.0029959150582025166,1.4159617355301702e-05,0.0003932250339509844,3.0000000106255266e-05,0.00027199999987024664,0.0004733969734166613,0.00048112503810433083,0.004449145500792543,0.00019881442949065898,0.0036248474050058275,0.0006609064838753509,0.0036190393148513075,0.0006174084137292921,0.0009086239926927602,0.0017548550438202485,0.00015679410801508397,0.00014798540013265815,0.003980660140453273,0.00010158575595593721,0.00028352326881426944,0.002948168713859507,0.004504530591867701,0.00044552961751418975,0.0034400025228736465,0.0011045926894485201,0.00307002578553275,0.001009112070332939,0.0003189375201542491,0.0003126456315488013,7.200128642309849e-05,0.0010099985446971505,2.296755145813403e-05,0.0005852598078750818,4.203871029642155e-06,0.0003646954573333958,0.0003550289373165367,0.004421216806094553,0.00043973292859794514,0.010099045304134975,7.300539625361848e-05,0.01000615768474833,0.0008168106683008324,0.025979916251504375,0.028020305298679646,0.0029960782847263116,0.00011337101493460575
600,0.0002544709850151582,0.0007678476590666475,5.3264739352514145e-05,-1.1577252967365343e-06,0.00029574138016465385,2.0394736863566802e-06,3.317139485801946e-05,1.0228990260914832e-05,0.0003983759439127125,0.0076925003381296715,0.007692499469500598,1.504581474655157e-06,0.0011779737455963866,0.0029903498920244172,1.3252573590587158e-05,0.0003850067710320595,3.0000000135319863e-05,0.0002719999998642457,0.00047869312424280184,0.0004866004443305817,0.0044592952096376235,0.00022117051319114333,0.003635961390307311,0.0006496911397891969,0.0036188084047701855,0.0006178373800817857,0.0008951511696788168,0.001760521477313563,0.00013868342539220512,0.00015754634466983778,0.003973229605976017,0.00010416431410415677,0.00028531113969131847,0.0029503967533285546,0.004512361595292182,0.00043745348611453754,0.003440003405749128,0.0011020590894288299,0.003076876322492137,0.0010129064013451774,0.0003213333446752888,0.00030990388377610974,7.200123222154224e-05,0.0010099988462436678,2.3446257352832836e-05,0.0005939964822424907,4.246124738274003e-06,0.0003589494010747795,0.0003498107044813888,0.004392682881642029,0.0004383233128460318,0.010098689256817115,7.325740307372614e-05,0.009989327174552153,0.0008317300646914924,0.025976746268932916,0.028022659848346468,0.0029961829539483288,0.00011377375169481284
700,0.0002768549969687343,0.0007872454404318511,4.833470012254704e-05,7.852367095837488e-06,0.00027821522582650827,3.6442162765656104e-06,2.7528963831943234e-05,1.7761067546534787e-05,0.00034210131387635853,0.007692500659109628,0.007692499466355114,1.3697542560149193e-06,0.001175133254107723,0.002988906705758357,1.2570665770701075e-05,0.0003757192431049657,3.000000016249665e-05,0.0002719999998677583,0.00048159843859662654,0.0004916586861102639,0.004384683371477187,0.00029804066697717885,0.0036315145269782694,0.0006396455368829804,0.003618524174394884,0.0006179962621882803,0.0008647109571085675,0.0017771369247736174,0.00013216584461812092,0.00018859554333831136,0.003980128164681177,0.00010847239787684635,0.0002869828302093501,0.0029575731833116764,0.004506774464806848,0.0004413077221198414,0.003440003437802419,0.0010920633648471934,0.003077462044709397,0.0010138740712106098,0.0003232006671762612,0.0003063675139228165,7.200149506426358e-05,0.0010099982878621634,2.3304570474916285e-05,0.0005960959707074113,4.253494797252813e-06,0.00035565545783609637,0.0003448172621996164,0.004395292080322148,0.0004338311132124385,0.01009837301488099,7.342843341299122e-05,0.009980285221190176,0.0008387029835431966,0.02597341398404405,0.028021749990445745,0.0029950765764959024,0.00011424247421732712
800,0.00037332026381978683,0.0008127962020814555,0.00012300462696893797,1.5548806890111016e-05,0.0003242892816801464,3.2193446255735627e-06,2.5506686229990983e-05,2.3837218391086484e-05,0.00038290703582381986,0.007692500577698609,0.0076924996163459875,1.266474302392224e-06,0.001180670711253686,0.002987007686525844,1.1679795104249047e-05,0.00037289459341998386,3.0000000167886153e-05,0.00027199999983153265,0.000483323936902563,0.0004973430987789909,0.004409851280940348,0.00036224471688339874,0.0036583183867350427,0.0005680708830347353,0.0036186248472158265,0.0006180166296621046,0.0008600096862523664,0.0017964235554854926,0.00011571516438665598,0.0002009306472134819,0.00397149984262213,0.00011110983590568715,0.0002836204919428921,0.0029542950797635734,0.004510170639793246,0.00043944890964473876,0.003440003160250188,0.0010898997838078117,0.0030900278268888364,0.0010195265691037474,0.00032238021210365125,0.0003073669763702861,7.200284583499777e-05,0.0010099981575172263,2.33729702314828e-05,0.0006008636314289975,4.3362664662454545e-06,0.0003531615357817577,0.0003439324977628679,0.004358193293917245,0.000434952464698781,0.010098263391174046,7.396380601493475e-05,0.009966736130869314,0.0008481805300046311,0.0259706064126,0.02802367530002136,0.002993350543145323,0.00011620835279261142
900,0.00035163501383134486,0.0007744180693687031,0.00015094101644516495,3.1414073869261024e-05,0.0003163241013024537,3.536763485855901e-06,3.9365737119750194e-05,4.140171876764467e-05,0.00029201637662435164,0.007692500455258917,0.007692499457215513,1.1590509249900967e-06,0.0011859136589416047,0.0029760817966878197,1.129856983023244e-05,0.00036317250752160405,3.0000000167750678e-05,0.00027199999980913114,0.0004866031207826434,0.0005034127584413283,0.004270391414167686,0.0004357603200993794,0.0035749910677959334,0.0006210278646439679,0.003617797870979509,0.0006184262618192421,0.0008361319678373304,0.0018080411233323333,0.00010460788553654008,0.00020901628888097195,0.003969742500875048,0.00011319585160397763,0.00028303532395022445,0.002963867866955215,0.004511237725748372,0.0004376670622204935,0.0034400040102782413,0.0010837239684632562,0.0030972623722567544,0.0010192594261162044,0.00032364968417296895,0.0003039986573351194,7.200231822093259e-05,0.0010099972673099625,2.3073582760662386e-05,0.0006032243848743332,4.347028811483764e-06,0.0003504782807127029,0.0003366019279908737,0.004376995086391035,0.00043161432824618493,0.01009783758075149,7.370917320646155e-05,0.009962371991836963,0.0008573726786705265,0.025967313835000873,0.028030831828057684,0.002992647500606702,0.00011766880833323413
