milliseconds,L,L_RF,L_RF_C8,L_RF_FL,L_RF_FS,p43_p41,C3,C8,C8_star,C3_star,p43_FLIP,NF_kB_IkB,NF_kB_IkB_P,p43_FLIP_IKK_star,NF_kB_star,RF,FL,FS,IKK,L_RF_C8_FS,L_RF_FL_FL,L_RF_FL_FS,L_RF_FS_FS
0,113.22,0.0,0.0,0.0,0.0,0.0,1.443404,64.47652,0.0,0.0,0.0,4.739546,0.0,0.0,0.0,91.26592,7.398562,5.083923,5.772825,0.0,0.0,0.0,0.0
100,24.118181460832304,82.15161220468552,0.04850138125537824,4.851985568141317,0.0002500882156918068,0.00017243897537489567,1.443404,64.40244625317436,4.448446374143047e-13,2.2420509366543115e-17,0.017288735914856763,4.7395458483889366,1.4022825711537066e-07,3.1020516548027912e-06,1.1381513690740449e-08,2.1641014608322777,0.043200223687847684,3.5136829746921143,5.772821895960418,0.008108086639547964,0.4621464794276066,1.5617914093606622,4.522054599287664e-05
200,22.175570109339517,83.98569564700705,0.09821650278268894,3.768072294873546,0.0004049580265547955,0.0007366860301778919,1.4434039999999992,64.31728196068407,1.697356596018319e-11,1.7733138982040971e-15,0.03363539521021935,4.739544504833921,1.2678974767027092e-06,1.3824082080648622e-05,2.2721274863483811e-07,0.22149010933949947,0.00010533484724511611,2.390843055750772,5.772811156313198,0.026635611572102286,0.4654779747871924,2.665779181807278,0.00013009642164512768
300,21.97851567796568,84.11345078185707,0.14493963061478074,3.131516873268989,0.0004932835813602598,0.0016671523056388175,1.4434039999999795,64.23469952924798,1.3316834067152912e-10,2.123447262565728e-14,0.046705171624257906,4.739540806563494,4.04385299238672e-06,3.056654962194957e-05,1.149140562089081e-06,0.024435677965646083,2.6571352975365043e-07,1.7451879950553126,5.772794365353623,0.048477881294268985,0.46548435776532776,3.2893403392156677,0.00021175042669354725
400,21.95679733740811,84.06609097668944,0.19070677694928798,2.7252533247598354,0.0005488275231584885,0.0029485890743542703,1.4434039999998796,64.15398040395543,5.61074977764249e-10,1.2031522109404747e-13,0.0578099490192168,4.739533828100824,8.729673880587978e-06,5.226244012128618e-05,3.4404017534874438e-06,0.002717337408069913,7.034950497627619e-10,1.327310235675084,5.772772577960833,0.0710218578382875,0.46548437136921306,3.6844775607389284,0.0002822591122690856
500,21.95438244580522,83.99959268380486,0.23655794243793493,2.446339029597724,0.0005861341890119783,0.004577277762177539,1.4434039999995394,64.07452135108586,1.6974314663262834e-09,4.56664001849253e-13,0.06761180834359537,4.73952278845474,1.5387146606741128e-05,7.823549406723259e-05,7.819092870779608e-06,0.00030244580517572333,1.93445670868407e-12,1.0359170972635767,5.7727464601536775,0.09317307712111653,0.465484371400926,3.953563879407551,0.00034140600936965874
600,21.95411366618967,83.93110960224,0.2830187867569947,2.245174545568866,0.0006122759792364167,0.006555235198877954,1.4434039999986328,63.99594287641574,4.181846999160097e-09,1.3510717158984178e-12,0.07649474474975516,4.739507002025074,2.398013816307679e-05,0.00010802120517259009,1.5005375482476323e-05,3.3666189633363475e-05,5.445554697262478e-15,0.8223143516545777,5.772716467448355,0.11439981593901197,0.46548437140100496,4.1458154343267015,0.000390561050234092
700,21.95408374752976,83.86254327090651,0.3303690846319084,2.0949036659855684,0.0006310890540749527,0.008887429525754786,1.4434039999965769,63.91799998315897,8.95907293327724e-09,3.3732555653065777e-12,0.0847012730446245,4.739485850500027,3.442791982167829e-05,0.00014128322994997364,2.5696262841377392e-05,3.7475297356372674e-06,1.5579991832194183e-17,0.6601629762894036,5.772682928080291,0.13442013973999595,0.4654843714010051,4.2878462462470655,0.0004312743347277133
800,21.954080417154334,83.79410155804042,0.3787591431763666,1.9796974505212512,0.0006448356315286877,0.011580397320435885,1.4434039999924246,63.84052615838113,1.734592904778379e-08,7.447178737983286e-12,0.0923941361035345,4.739458765228147,4.6633462868826484e-05,0.00017776868759314797,4.0554971019174333e-05,4.171543024037195e-07,4.5124498769176086e-20,0.5339443042377691,5.772646087473004,0.1530812176648653,0.4654843714010051,4.395322758045183,0.00046494221032456086
900,21.954080046439177,83.72580481704377,0.42826296768108973,1.889605478331751,0.0006549386868053996,0.014641478310136659,1.4434039999847315,63.76340300181814,3.110297372437378e-08,1.49771373691571e-11,0.09968758348392946,4.739425215437271,6.049820332377787e-05,0.0002172820122561818,6.0207958168030305e-05,4.6439143580702177e-08,1.3756255153249159e-22,0.4338951927392249,5.772606134231304,0.1703060404602373,0.4654843714010051,4.4780813296125865,0.0004927492505706191
1000,21.95408000517316,83.65765318146761,0.4789048447087964,1.8180469646246231,0.0006623403324665178,0.018078343470288704,1.4434039999713983,63.686543244450334,5.251076623684424e-08,2.799581472171816e-11,0.10666462713338552,4.739384699985753,7.592934415099803e-05,0.00025966859678270345,8.524589450001354e-05,5.173130597995104e-09,2.655017158902235e-25,0.35354236137285483,5.772563216389316,0.18606705109570687,0.4654843714010051,4.54261988182827,0.0005156826853482038
1100,21.954080000576955,83.5896449870359,0.5306740432941125,1.7604873131942675,0.0006676908756280957,0.021898676727633924,1.4434039999494903,63.60988073207367,8.445039536893455e-08,4.933540646050414e-11,0.11338720762668329,4.739336741379785,9.284303570558353e-05,0.0003048040119796044,0.00011622648665171103,5.769221683197624e-10,7.933241915665862e-26,0.28840337336279326,5.772517452112681,0.20037162259036498,0.4654843714010051,4.593411188488695,0.000534562341257071
1200,21.95408000006535,83.52177869540937,0.583533871911391,1.71369462946275,0.0006714549971872244,0.026109946004540585,1.443403999915028,63.533364214543305,1.304878065077202e-07,8.28227768586056e-11,0.11990250871846198,4.7392808813151035,0.0001111653155301272,0.0003525865963586823,0.00015367801622492226,6.531430937242192e-11,2.9586360072441445e-26,0.2352582155745064,5.77246893705027,0.21325313338381074,0.4654843714010051,4.633640056066024,0.0005500699892340004
1300,21.954080000015797,83.45405302459396,0.6374279129057121,1.6753001273035106,0.0006739744952291363,0.030719232319712988,1.4434039998627513,63.456953325776546,1.9496134414808563e-07,1.3349944091220836e-10,0.126247054513344,4.739216677284599,0.00013083187643344094,0.0004029321855348311,0.00019810298180141233,1.5761437144343923e-11,1.939470178122732e-25,0.1917198205214043,5.772417749560214,0.22476483167809844,0.4654843714010051,4.665638824940325,0.0005627741824695585
1400,21.954080000001568,83.38646690578358,0.6922847838237368,1.6435264427796168,0.0006755070255264361,0.03573310073827157,1.4434039997858532,63.380615879298084,2.8307182571107136e-07,2.0786681311315308e-10,0.13244947214001865,4.739143699952242,0.00015178727016056575,0.0004557702516263196,0.0002499815367797721,1.5376798602604795e-12,9.316410947740629e-28,0.1559697468993324,5.772363954535983,0.23497514857868687,0.4654843714010051,4.691156296813314,0.0005731503415682936
1500,21.954080000000783,83.31901943627965,0.7480220703910296,1.6170143213351487,0.0006762507777538518,0.04115750486400607,1.443403999675686,63.30432599510538,4.009744323495561e-07,3.1415728150183275e-10,0.1385324077493436,4.739061531099952,0.00017398388269930935,0.0005110410172291794,0.00030977458053287787,7.530287450548637e-13,-1.505456412075408e-26,0.12659060090734456,5.772307606265398,0.2439638204313476,0.4654843714010051,4.711529134377873,0.0005815967528385386
1600,21.95407999999999,83.25170984810778,0.804549727987422,1.594707677799103,0.0006763608078976921,0.046997719284175704,1.4434039995214356,63.22806275428184,5.558716315211501e-07,4.626309678711886e-10,0.14451390178032317,4.7389697620018865,0.0001973808704004767,0.0005686932464266475,0.00037792645945978847,-4.028728152724679e-14,7.304520528830406e-27,0.10245578913398229,5.772248750618214,0.2518185270188318,0.4654843714010051,4.727795428235755,0.0005884474017650895
1700,21.95408,83.18453747899324,0.8617731046912647,1.5757755474609727,0.0006759600992164179,0.05325829658406229,1.4434039993097656,63.15180920979751,7.561063765723591e-07,6.658980734956496e-10,0.150408396491821,4.738867992130867,0.00022194314792608013,0.0006286825321549132,0.0004548672824748325,-3.441630392769402e-14,-4.696988161459238e-28,0.08265544060153768,5.772187426741683,0.2586318946724406,0.4654843714010051,4.740771739985857,0.0005939823204732065
1800,21.954079999998836,83.11750175355611,0.9195956176927748,1.559557722546931,0.0006751472430162491,0.05994304624056079,1.4434039990244334,63.07555163987384,1.011254836887661e-06,9.39266635590379e-10,0.1562274905472836,4.738755828125127,0.0002476404745920714,0.0006909699523763466,0.0005410148764050158,-1.1982587994934717e-12,3.5041124554120175e-26,0.06644543402785222,5.772123668390742,0.2644988341535031,0.4654843714010051,4.751106712493497,0.000598436041064937
1900,21.95407999999927,83.05060216705469,0.977921100382171,1.5455255767936533,0.0006740019563190551,0.06705503198724741,1.443403998645874,62.9992789664485,1.3322180322924317e-06,1.3011141406695615e-09,0.16198051968299498,4.738632882954271,0.0002744466492618855,0.0007555209974431936,0.000636776432491976,-7.673699554774262e-13,5.569054178588646e-27,0.05321112513932882,5.772057504989612,0.26951419793804016,0.4654843714010051,4.759319665709932,0.0006020046281884491
2000,21.954080000000054,82.98383827334972,1.0366558052249044,1.5332535774254843,0.0006725890820535514,0.07459658586911218,1.4434039981507556,62.92298229755092,1.7313117252477967e-06,1.773283187008935e-09,0.16767500546962533,4.738498775251672,0.00030233881925718914,0.0008223047166363139,0.0007425498714637659,2.1195039089295288e-14,-1.2665023717672636e-28,0.042441298244355614,5.771988962476391,0.27377077280657414,0.4654843714010051,4.76582863677825,0.0006048515443818797
2100,21.95407999999993,82.9172096751507,1.0957099994964021,1.5223984171876763,0.0006709615139571808,0.08256933634836562,1.4434039975115045,62.84665456266712,2.222354019990125e-06,2.38150077976699e-09,0.17331700434936823,4.738353128783392,0.0003312968981378777,0.0008912930401642006,0.0008587249623767446,-1.0180650279346743e-13,9.537631730879378e-28,0.03370924160235308,5.771918063973988,0.27735767208892886,0.4654843714010051,4.7709708996339115,0.000607112580422771
2200,21.954080000000026,82.85071601493914,1.1549992986208604,1.512682441736055,0.000669162516705151,0.09097424628775368,1.443403996695805,62.77029020674054,2.8207503501735133e-06,3.155817984117231e-09,0.17891139330854328,4.738195572012275,0.0003613030708113783,0.0009624602207986289,0.0009856842583595427,-5.120467792538328e-15,-1.1340282601012226e-27,0.026657799694016184,5.771844830342662,0.28035898504230905,0.4654843714010051,4.775019252495033,0.0006089001259669105
