milliseconds,s_glu,s_pyr,s_acetate,s_acetald,s_EtOH,x,X_a,X_AcDH
0,14.99998856474258,0.0001050542513253696,-4.43875983730976e-10,3.258314433669272e-09,4.1076348570268854e-10,0.002008801604250096,0.09328679048549043,0.007442084905995408
100,14.999868678626267,9.768903671782444e-05,8.498126286673365e-10,-1.8109931832598334e-08,-6.219255276707334e-10,0.002037032031305792,0.11184167925184403,0.007432927748022883
200,14.999923972643805,0.00013314038275907684,9.727614758311202e-10,-1.9834245363442253e-08,9.80901557231027e-10,0.002016486887298936,0.10992431549353139,0.0074840462011689386
300,14.99979505148484,5.4512207325420255e-05,-6.277589877435702e-10,1.930938347867064e-08,-6.44728754397497e-10,0.002029248255159422,0.1137568730883075,0.007389012741703215
400,14.999610359282382,2.6263307286301075e-05,3.546964471938631e-10,1.4809006292257517e-08,-1.0302325319458462e-09,0.002021347068071569,0.12546724814685162,0.007279267135218875
500,14.999859023967666,0.0002561589758156889,3.493683500219636e-10,6.948326892392438e-09,9.571296574202595e-10,0.0019615334795928365,0.11887317744783817,0.00727290115734508
600,14.999736276339645,0.00015324372256163128,2.5736688565918963e-10,-2.0733065962995886e-08,7.022972913154295e-10,0.0020229892170339162,0.13277076041329464,0.00727295486424851
700,14.999494759881644,0.0003288939001742445,7.219343174091107e-10,1.6021950344796716e-08,8.715217165288234e-10,0.001966758109134752,0.1277588606459618,0.007158380897659543
800,14.999203575024662,0.0004263157076259292,-1.029953598240735e-09,1.815275472894154e-08,4.259181224235595e-10,0.0020089556747757845,0.14239268178699768,0.007221137228001941
900,14.999155017033708,0.00031787393306945193,3.164998123861161e-10,1.5823739839430677e-08,-3.295218285129253e-10,0.002045953070981658,0.1493402596661633,0.007128720569807534
1000,14.999138874629102,0.00043252439916644067,-1.5180740392666125e-09,-2.0491908540830166e-08,4.4493570153214316e-10,0.0019922999333613686,0.14802616733630486,0.007104761605292676
1100,14.999137936411518,0.00037368536261860556,1.4557041801866623e-09,-1.735158122844133e-08,3.6628793614226734e-10,0.002022415416162384,0.15600930162090146,0.00696475890586559
1200,14.999311487534248,0.00036895646058888624,-6.821579552003438e-10,9.522150886041285e-09,2.3665137732791013e-10,0.0019975361751880965,0.1517202553559183,0.007036161125934762
1300,14.999126149465962,0.000604712269049181,-9.29279123786513e-10,-9.162916621996381e-09,3.660979800702226e-10,0.0020452440484713306,0.15634826541685615,0.006902076059614728
1400,14.99888185537877,0.0004938214033520135,1.6543172765964615e-10,1.8896280736678195e-08,1.574535110312282e-10,0.002018015926783378,0.16517603979484205,0.006930459813259495
1500,14.998813150633236,0.000677929475057124,4.2400943816697914e-10,-1.2902179944486829e-08,8.373115858891759e-10,0.00209511039552837,0.1691138571960482,0.006894848286300426
1600,14.99878719043504,0.000697930724857062,8.879350765101444e-11,2.5850508644475822e-09,4.3563077172344196e-10,0.002058949228753744,0.18311716083230997,0.006758132950441363
1700,14.99839365704181,0.0006535077027521549,-1.1418785767723934e-09,-6.644034058702795e-09,-2.0819562108911014e-10,0.0021192424172892486,0.1892825618825598,0.006730933590936516
1800,14.998324478095894,0.0008475675760096058,3.573419882827967e-10,-1.1888093630496321e-08,6.643691344723981e-10,0.002094811638768194,0.19645996570415133,0.006694161832464414
1900,14.99841138635544,0.0009740869573154595,-4.2435685297409605e-10,1.7770599372451423e-08,-7.269541837966437e-10,0.0020824083583112505,0.19071561941273807,0.006632424983113938
2000,14.998343143881124,0.0009865848822137367,1.31543210683582e-10,3.3364279874848434e-09,5.155178100881536e-10,0.0021639284266781003,0.20444256048367,0.006637536283417039
