milliseconds,Per,dClk,dClkF
0,-0.00238773755378423,0.0010235884262535444,0.0021937461254887985
100,0.0008221893903396023,0.023346819535665527,0.018048850562178163
200,0.007637768319178104,0.02796299320232166,0.031089296559362996
300,0.011290109298336223,0.05288606771686346,0.034394973715707426
400,0.01825420179753698,0.06237865004080321,0.05127308569996988
500,0.01757563387298748,0.08308650670240592,0.06413271928533497
600,0.02640003857204621,0.09566179150772323,0.06751582987795109
700,0.028763470580396865,0.10759424521512614,0.08024866623219747
800,0.03315596216260404,0.10942663280031605,0.08216334226281882
900,0.03819103754567391,0.1302212007460951,0.09142608347634856
1000,0.04104357992803514,0.13221165717066233,0.09705994386219496
1100,0.04439969776744075,0.1477423649099675,0.10682974971982727
1200,0.045074693017422,0.1636180731621993,0.11291755526373681
1300,0.0490181122130752,0.17241525535386937,0.13080629014954387
1400,0.05589158605399719,0.18519139034113102,0.13821039393475337
1500,0.05960300541458226,0.20542450983923394,0.14752609748963197
1600,0.06281572963468114,0.21395512378616588,0.1476979029941863
1700,0.06833070644427533,0.2350458323952092,0.16746651804653917
1800,0.07013989727453716,0.2335039678902812,0.1688391266196801
1900,0.07351784741109108,0.249491681587917,0.1811002493398044
2000,0.0791078763513026,0.2596894319382622,0.18515489637923713
2100,0.08136751151238841,0.2774407482407136,0.20237556676904858
2200,0.08757398980034442,0.2904985995221876,0.2045005316624799
2300,0.09080913893996763,0.3111355292221996,0.21615719125289107
2400,0.09256028332286285,0.3189061892071479,0.21803939513430595
2500,0.0973930597454434,0.3340014533414737,0.23137497634783769
2600,0.10198430664476218,0.33209844596367033,0.2441040811689629
2700,0.10508556682171363,0.35106851221969393,0.24550953580862553
2800,0.11028828171246487,0.3720794610080413,0.2560758813846359
2900,0.11236470744151401,0.3842393804000907,0.26628516104059546
3000,0.11878366723763036,0.3884282740811039,0.27804481237334794
3100,0.12167035421695259,0.4004424108203895,0.2835318077998578
3200,0.12693563595128232,0.42213167954206665,0.2894044402721307
3300,0.12835186433207207,0.41851351786461466,0.2937576244418583
3400,0.13317436440357608,0.4376996852663108,0.30754833154135724
3500,0.13548658787605758,0.4434883906357954,0.3128894151955399
3600,0.13839214484651216,0.47000726023059197,0.32760615298008267
3700,0.14637591455856047,0.4728548826890058,0.3389424040649392
3800,0.1465573897301405,0.49276852907708174,0.3416715100808504
3900,0.15201802479496554,0.49979132740646487,0.3535026004811945
4000,0.1539322894524227,0.5150958632062786,0.35495673937750394
4100,0.154923693692686,0.5187260792792513,0.368437298394542
4200,0.15606868087106784,0.5220172391274042,0.3759591656087587
4300,0.15547990456619554,0.5488002476304387,0.3841391461648157
4400,0.15792711500743903,0.5522752134992214,0.38989233768915976
4500,0.16206509015421025,0.5631508566438352,0.3964107401160356
4600,0.16096288299249906,0.5679835371458398,0.41099365641750835
4700,0.16146422463155338,0.5760268511318638,0.42393757112521185
4800,0.16501260211648733,0.5865659227744758,0.42152750949100337
4900,0.16629771602610594,0.6001968560848527,0.4289442495780561
5000,0.16948382518881183,0.6074360889944069,0.44529729484142117
