milliseconds,HMP,Fru16P2,ATP
0,0.08106178503509603,1.0268906118500734,4.00153003312959
100,3.9712909918144814,0.7056752957878942,0.13335391362524757
200,4.8912134152419515,1.1802874842107651,0.1380705380348127
300,5.593794966171575,1.532973814342211,0.2656846628707082
400,6.204464585170708,2.0639746054033625,0.39464220632326374
500,6.845110994547612,2.6860507515771577,0.5700719477895336
600,7.530294317300202,3.056096054916977,0.7568674661537262
700,7.844457869603281,3.4849008202463065,0.9963158011397643
800,8.320345150115521,3.8708326622852387,1.1276736983126197
900,8.671808428905269,4.177895943767127,1.3440704170847826
1000,8.897662625467635,4.350025501381568,1.4975951646266468
1100,9.182826848787165,4.690107525660923,1.614265369984538
1200,9.360699857024173,4.863297286250528,1.7497139512869877
1300,9.55340507632802,5.097828117044984,1.8979756279195905
1400,9.868217440269607,5.235527476378956,1.9326792628982115
1500,10.017703577137368,5.256952586227024,2.029334173311615
1600,10.058283171044838,5.404802122525401,2.147317201321297
1700,10.242715975170155,5.591441737185203,2.1643440545485992
1800,10.226777721437385,5.702837359397021,2.2749775808535126
1900,10.31928668340849,5.790107463419086,2.3029013648970316
2000,10.479126132038354,5.9511727096416065,2.3488620119822565
2100,10.467115002894422,5.9979724734836815,2.4569245705096896
2200,10.626688925245404,5.9911327908923635,2.464681155310035
2300,10.631698488439397,6.093671284068255,2.50268270322167
2400,10.73333268069803,6.155287268451558,2.555972551581443
2500,10.748602065821617,6.236367130275427,2.595223776872983
2600,10.67252918571492,6.301041756703834,2.581215982000114
2700,10.724711977581793,6.3516343950337495,2.6313299676452653
2800,10.664225202348991,6.409655341355373,2.5943487555095963
2900,10.801954077356095,6.378267079165944,2.644877015733496
3000,10.777893501377072,6.487672248783856,2.687632322865598
3100,10.835236917239087,6.528673675450464,2.6576237157281124
3200,10.93430740382177,6.633524456185372,2.66155429018135
3300,10.859091844995547,6.565451535977283,2.7134221154296303
3400,10.93229139882517,6.691757679096363,2.7504689772922886
3500,10.957582920587651,6.592751390176153,2.711189183228527
3600,10.899261847687493,6.711923125566808,2.7663982368093514
3700,10.966384382135528,6.727492188695082,2.7369917042078518
3800,10.841991385453161,6.708722985416336,2.730314898344617
3900,10.92836399687054,6.8170776122635806,2.8091923843880147
4000,11.018906585636653,6.845618956360524,2.7622394740758875
4100,10.922682618507592,6.74229895615729,2.772892890124767
4200,10.974196708796132,6.856956639553031,2.821236002674816
4300,10.849319549497933,6.799490128345661,2.8006313681752903
4400,10.928355561223276,6.914762462950092,2.7910828072262177
4500,11.072344229816984,6.892496990244332,2.813721152797104
4600,11.070263026628288,6.801399149447588,2.8210874284823104
4700,10.890445469042039,6.887103455559035,2.8017124016313004
4800,11.022675971475582,6.841679879413667,2.85286539927162
4900,10.952258036805251,6.95409399808528,2.8759943731345485
5000,10.899653007380955,6.983615894848178,2.8545748873655987
