milliseconds,M,Mp,Mpp,MAPKK,MKP3
0,500.01948469521767,-0.0050082104842980365,-0.011169417454036882,50.0,100.0
100,499.9777333254097,0.006346583556569418,0.0029377842364621755,50.0,100.0
200,499.93842489385287,0.07435983262994497,0.014503337539063021,50.0,100.0
300,499.83030915285656,0.16801080136746294,-0.013601224541528213,50.0,100.0
400,499.82078250426883,0.14265713409369557,0.020876520030147727,50.0,100.0
500,499.8058805388915,0.2475674264313149,-0.005973171186020824,50.0,100.0
600,499.7785741347865,0.23336900126716997,0.02284039200556463,50.0,100.0
700,499.66310249186574,0.2625849819660327,0.02120435519381514,50.0,100.0
800,499.6057867959133,0.36275655352221003,0.0262251450456301,50.0,100.0
900,499.6246769900651,0.3896065270517245,0.029751831144386467,50.0,100.0
1000,499.591895912318,0.42051399992347166,0.03469750208689648,50.0,100.0
1100,499.52112583278995,0.42273049680724945,0.04565129381822956,50.0,100.0
1200,499.45046677919817,0.4715466216132164,0.05441157681981929,50.0,100.0
1300,499.4829811795323,0.4987085495868763,0.05598429064964189,50.0,100.0
1400,499.34850043957147,0.5198393832810074,0.05329564271973078,50.0,100.0
1500,499.390876100181,0.5713182556671909,0.06751291371224115,50.0,100.0
1600,499.2587378728148,0.6626547159262608,0.06468548250642783,50.0,100.0
1700,499.2881490504881,0.7094518716350271,0.08388091796434423,50.0,100.0
1800,499.21841960413883,0.7231984795158819,0.09787829094562603,50.0,100.0
1900,499.1415120002716,0.7730434068033897,0.10572408285521105,50.0,100.0
2000,499.0903165781479,0.801397040719113,0.09510548113056194,50.0,100.0
2100,499.08748914473085,0.8410178421235892,0.12313597271972485,50.0,100.0
2200,498.98575461638563,0.8184992251799075,0.12620479032019277,50.0,100.0
2300,498.96348765285825,0.8175085751929394,0.1346341164481382,50.0,100.0
2400,499.0024190959187,0.9178438606793404,0.15323250347297074,50.0,100.0
2500,498.87982464026965,0.9105324178726807,0.1542134562740763,50.0,100.0
2600,498.93250131851516,0.9223618810895493,0.17911659025773402,50.0,100.0
2700,498.8415252359476,0.980006403041632,0.17124178295908435,50.0,100.0
2800,498.8177591039771,1.000256638637317,0.1923124384615499,50.0,100.0
2900,498.7078221234912,0.9909929023495808,0.19835784302133444,50.0,100.0
3000,498.7673304699052,1.081564461324342,0.23092631814545564,50.0,100.0
3100,498.63135526153604,1.132281942756186,0.23952774511271924,50.0,100.0
3200,498.57500992861094,1.0958445318673884,0.2431574437661687,50.0,100.0
3300,498.6422623965946,1.120156146106852,0.27400722384102844,50.0,100.0
3400,498.60032544525893,1.2120886863307818,0.2908567899480392,50.0,100.0
3500,498.5661449921905,1.2306947510923425,0.278578691784464,50.0,100.0
3600,498.4898936049439,1.21723233299081,0.3079848266548833,50.0,100.0
3700,498.4550290851123,1.2820930929614047,0.3134352689049354,50.0,100.0
3800,498.36322902661067,1.241730464852475,0.34172663105057366,50.0,100.0
3900,498.4001823222767,1.3354459448518046,0.35963501335701414,50.0,100.0
4000,498.3652973427122,1.3166930382865445,0.37216590966872076,50.0,100.0
4100,498.22982524216064,1.3506273008694487,0.38215894303939474,50.0,100.0
4200,498.20291281907885,1.367551119825595,0.4147732177247309,50.0,100.0
4300,498.1540047123728,1.3879660803853464,0.4142056142955302,50.0,100.0
4400,498.1120180429326,1.390607311535505,0.4470241999471566,50.0,100.0
4500,498.1204483943744,1.4571381127397172,0.4556230854285342,50.0,100.0
4600,498.0235094133673,1.4580473207397524,0.47429098852080603,50.0,100.0
4700,498.07523371737193,1.4427130350524862,0.4892862016222996,50.0,100.0
4800,497.9476771473964,1.5368757043894408,0.49420180422958715,50.0,100.0
4900,498.0165446434736,1.4882401933121712,0.5316925833277653,50.0,100.0
5000,497.9688442898662,1.5205407203525474,0.5316174750609535,50.0,100.0
