miliseconds,EpoR,SAv,SAv_EpoR,SAv_EpoRi,dSAvi,dSAve
0,75.99003179398467,999.2818234607939,-0.007052245261242049,-0.000559388119766258,-3.4769221787318727e-07,-1.2337655098437159e-05
100,75.99204640704014,999.2730675125064,0.02071956588763771,0.0005018259982190934,-1.0497104836013473e-06,-2.0939954654967746e-05
200,75.9581473491812,999.2535456922622,0.04177517979625313,-0.0007403742501431711,1.4660973939636599e-06,-1.582242784446015e-05
300,75.95960050923564,999.2325885016072,0.05214014922283469,0.00047309207297215473,2.0760654598644006e-06,-2.529400414440389e-06
400,75.93215441152634,999.2115124843612,0.08060613527550682,0.0003381960943733976,-4.731584831533743e-06,-1.4433751672129132e-06
500,75.91399354443756,999.2067419703491,0.07843138330178187,0.0005540301351993994,-1.988273751600927e-06,-1.6901503189781488e-05
600,75.90570896788779,999.1932361966276,0.09997929321635611,7.353808870206864e-05,5.565263792466098e-06,2.096207867323509e-06
700,75.877847679279,999.164032990642,0.11929327796043765,0.0009546237374534678,-3.894969198206749e-06,2.3392564072269663e-05
800,75.86553831742148,999.1460109212717,0.14416546823159074,0.0013442898234570712,-3.098624939245671e-06,-1.8050819669895473e-05
900,75.83908735709733,999.136452438856,0.14423098691780845,0.001596584250449699,5.026655357033591e-06,3.737496894718204e-05
1000,75.8341557597572,999.1292109741293,0.17292353385775372,0.0026478865536067524,-1.6644945259199661e-06,1.551856966373745e-05
1100,75.80198631457019,999.093398186458,0.19580388147780192,0.0033784072935199613,7.335201224393676e-06,1.092289301068005e-05
1200,75.78964183360479,999.0827663094195,0.19950452751666176,0.003479868110788792,2.6243580454455173e-06,4.5396836520127294e-05
1300,75.78077292157882,999.0638848510321,0.22862457857910462,0.005179219562989184,1.1145133228653147e-05,5.3774154802329914e-05
1400,75.77080809672456,999.0520549292143,0.23442409676695886,0.005340955952403138,3.952716498543755e-06,4.388823011574179e-05
1500,75.73901335279893,999.0323551080909,0.25126858522269346,0.006277294854291529,1.0298813248608435e-05,5.738180196354169e-05
1600,75.7334585571429,999.0274812045096,0.27701144974516756,0.0077936104781679595,1.1113852125644547e-05,7.99501318872519e-05
1700,75.71846832790516,999.0051266922218,0.2782901305535764,0.00884027859478988,1.1251716667382588e-05,5.4082420831183454e-05
1800,75.70372388788046,998.9917298844003,0.2994035947062029,0.00958292448387466,2.1504405443811482e-05,9.911926699863883e-05
1900,75.68386657972597,998.9690853098011,0.32430918449953144,0.010034344146902453,1.5289774729959312e-05,0.0001287529429911263
2000,75.66235774774923,998.9529258947123,0.3263403719901441,0.011141581288447356,2.7183355773788827e-05,0.00014052860140408547
2100,75.64958894519827,998.9358969185121,0.3533161696214806,0.01197938664411699,2.789249302795031e-05,0.00013922400128225324
