milliseconds,A,R,E,G
0,1.0,0.0,0.0,100000000.0
100,1.6925105897580983,27.067141738003684,134.6056395074835,60657904.34805105
200,2.2018281141771117,65.89344968464275,325.1788588340373,36822806.4474953
300,2.5393425313794302,113.0256447160087,552.660693554502,22400695.191040605
400,2.7321943178794283,165.3486035051581,800.416024894975,13692041.766589517
500,2.8152092634599812,220.29026992066252,1055.3604516703756,8450558.044091996
600,2.8221491188995746,275.90434983341476,1308.1799762889834,5312069.850991031
700,2.780517462068889,330.82772410169514,1552.839328806967,3448029.2889917423
800,2.710285658949441,384.16890846423,1785.7933071977275,2355222.4066766975
900,2.6248756494621985,435.38355196513163,2005.219113344674,1728078.7139811101
1000,2.532832207256659,484.16745683367174,2210.408680897957,1381106.9896074217
1100,2.4393704446311553,530.3759376076757,2401.3390285404535,1201786.4015497868
1200,2.3475490077805894,573.96723140363,2578.387724444052,1121909.6464155728
1300,2.259074694322872,614.9645232571643,2742.152703262653,1100194.0180509798
1400,2.174825653056655,653.4310502629899,2893.3413312471657,1111720.4969104396
1500,2.0951835241494976,689.4539050740493,3032.7032998808227,1141478.9264639092
1600,2.0202354040062973,723.1337707079018,3160.9918108141596,1180503.0963165713
1700,1.9499008947002823,754.5781787887721,3278.9408507101098,1223464.0896888296
1800,1.8840064286592595,783.8973094717558,3387.2533416303204,1267250.1731899926
1900,1.8223315886005487,811.2012134164123,3486.5949834468047,1310073.061661155
2000,1.764635181112334,836.5981162123037,3577.592111366066,1350952.6432612177
2100,1.7106709874747297,860.1933130006196,3660.831477457763,1389393.2623308522
2200,1.6601971718658703,882.0884621230509,3736.8611601586003,1425180.9263136548
2300,1.612980986356426,902.381187185547,3806.1922486819903,1458269.2544211277
2400,1.5688012861849203,921.1648526957542,3869.3007948537424,1488708.025202151
2500,1.527449689105173,938.5284600323994,3926.629876779148,1516598.9483907411
2600,1.488730765231052,954.5566374738293,3978.5916954889913,1542071.1253960298
2700,1.4524618372460296,969.3296836971102,4025.569608849746,1565265.2975227896
2800,1.418472530347767,982.9236489702575,4067.920088886327,1586324.0798110333
2900,1.3866041069741546,995.4104570961003,4105.974563293396,1605387.9333505742
3000,1.356708773814956,1006.8580438616614,4140.041144724541,1622592.749830606
3100,1.3286490351237097,1017.3305058820214,4170.406215480237,1638067.981055706
3200,1.3022970369959557,1026.8882544967598,4197.335963853774,1651935.4249387684
3300,1.2775339140692061,1035.5881756653607,4221.077809826938,1664309.044371683
3400,1.254249144225657,1043.4837967337114,4241.861750561336,1675295.4363554672
3500,1.2323398878704213,1050.6254025728924,4259.902233339397,1684989.2990409003
3600,1.211710530899277,1057.0602932438992,4275.397968029529,1693485.3375045527
3700,1.1922722066628575,1062.8328862865958,4288.533695185269,1700870.8845438897
3800,1.1739423125356732,1067.9848901742537,4299.481011366553,1707228.148151659
3900,1.1566441105322738,1072.555439134357,4308.399457615924,1712632.0188661513
4000,1.140306266805431,1076.5812304257174,4315.4374429057625,1717150.8758022662
4100,1.124862477199898,1080.0966764717941,4320.732718619694,1720849.7804147934
4200,1.1102510002287282,1083.134037136527,4324.413818472828,1723786.3951101822
4300,1.0964145484071692,1085.72354026944,4326.599588019527,1726017.9839551516
4400,1.0832996175188694,1087.8935340120731,4327.401312313147,1727594.764950938
4500,1.0708567146958565,1089.670543000854,4326.9216035353775,1728566.1381334332
4600,1.0590395547037648,1091.079460048913,4325.256517466322,1728976.9261441743
4700,1.0478053598802628,1092.1435579487195,4322.494730764625,1728869.0747565792
4800,1.0371141802640402,1092.8846763570104,4318.719018773724,1728281.7665571177
4900,1.0269290230248362,1093.3232260122963,4314.0060490515925,1727250.7261708756
5000,1.017215403595078,1093.47835563808,4308.427235477319,1725809.3519085362
