milliseconds,M,Mp,Mpp,MAPKK1,MAPKK2,MKP3
0,500.0,0.0,0.0,100.0,1.0,100.0
100,499.90929554478976,0.09056947048506704,0.0001349847255848952,100.0,1.0,100.0
200,499.81899804969174,0.18046744889268998,0.0005345014172970369,100.0,1.0,100.0
300,499.72910408804006,0.26970534703027416,0.0011905649156219438,100.0,1.0,100.0
400,499.63961028583753,0.35829430115955374,0.0020954129715262683,100.0,1.0,100.0
500,499.55051332032997,0.4462451829818159,0.0032414966138449874,100.0,1.0,100.0
600,499.4618099212859,0.533568592008162,0.004621486583149626,100.0,1.0,100.0
700,499.3734968675731,0.6202748766886309,0.006228255568683847,100.0,1.0,100.0
800,499.2855709876358,0.7063741317789238,0.008054880534479374,100.0,1.0,100.0
900,499.19802915648637,0.7918762175430688,0.01009462656972414,100.0,1.0,100.0
1000,499.11086829624503,0.8767907570440814,0.012340948031482495,100.0,1.0,100.0
1100,499.02408537490135,0.9611271437968948,0.014787483314044949,100.0,1.0,100.0
1200,498.9376774056156,1.044894546503915,0.017428050459590526,100.0,1.0,100.0
1300,498.8516414452988,1.128101918234074,0.020256639558702057,100.0,1.0,100.0
1400,498.7659745928197,1.2107580078037485,0.023267402770251126,100.0,1.0,100.0
1500,498.6806739922434,1.292871339060162,0.026454672185135693,100.0,1.0,100.0
1600,498.5957368255268,1.3744502574807194,0.029812920351659538,100.0,1.0,100.0
1700,498.51116031804145,1.455502894903361,0.03333679017027499,100.0,1.0,100.0
1800,498.4269417367318,1.5360371811204774,0.03702108550641156,100.0,1.0,100.0
1900,498.34307838090103,1.616060902338144,0.04086072267029438,100.0,1.0,100.0
2000,498.25956759596,1.695581613945831,0.04485080271018935,100.0,1.0,100.0
2100,498.17640675909144,1.7746067319955312,0.04898652930969287,100.0,1.0,100.0
2200,498.0935932867445,1.853143484881489,0.053263256594127034,100.0,1.0,100.0
2300,498.01112463044274,1.9311989393906261,0.057676465033005914,100.0,1.0,100.0
2400,497.9289982761413,2.0087800041158963,0.06222175996503613,100.0,1.0,100.0
2500,497.8472117442351,2.0858934311061663,0.06689486676263036,100.0,1.0,100.0
2600,497.76576259164636,2.1625458007581786,0.07169165135290329,100.0,1.0,100.0
2700,497.68464840484097,2.238743566803669,0.07660807274039974,100.0,1.0,100.0
2800,497.603866802711,2.3144930375526815,0.08164020420854276,100.0,1.0,100.0
2900,497.52341543710475,2.3898003721299013,0.08678423469615937,100.0,1.0,100.0
3000,497.4432919968435,2.46467155417362,0.0920364897816598,100.0,1.0,100.0
3100,497.3634941921004,2.5391124927217144,0.09739334989026287,100.0,1.0,100.0
3200,497.2840197652108,2.613128951909447,0.10285130683452957,100.0,1.0,100.0
3300,497.20486649054885,2.686726549875791,0.10840696918432706,100.0,1.0,100.0
3400,497.1260321732687,2.759910766814008,0.1140570549453445,100.0,1.0,100.0
3500,497.0475146406231,2.8326870043018233,0.11979833332420038,100.0,1.0,100.0
3600,496.9693117492257,2.9050605344848854,0.1256276758536925,100.0,1.0,100.0
3700,496.8914213868174,2.9770364889113363,0.13154206418885772,100.0,1.0,100.0
3800,496.81384146643535,3.0486198963415534,0.13753855754293232,100.0,1.0,100.0
3900,496.7365699245934,3.119815694275819,0.14361428285661287,100.0,1.0,100.0
4000,496.65960472455043,3.1906287071392896,0.14976645380787199,100.0,1.0,100.0
4100,496.5829438574867,3.2610636358623784,0.15599237704043062,100.0,1.0,100.0
4200,496.5065853368659,3.3311250982115284,0.16228942220370857,100.0,1.0,100.0
4300,496.4305272004233,3.400817613444798,0.16865503293996917,100.0,1.0,100.0
4400,496.3547675098636,3.4701456036742835,0.17508672561855915,100.0,1.0,100.0
4500,496.27930435180633,3.5391133857601904,0.18158209598547814,100.0,1.0,100.0
4600,496.2041358337558,3.607725200649624,0.1881387953239253,100.0,1.0,100.0
4700,496.1292600861245,3.6759851972345787,0.19475454345342602,100.0,1.0,100.0
4800,496.05467526148465,3.743897437370969,0.20142712522305162,100.0,1.0,100.0
4900,495.9803795353298,3.8114658903713092,0.2081543970501971,100.0,1.0,100.0
5000,495.90637110230824,3.878694457359537,0.21493426151165226,100.0,1.0,100.0
