miliseconds,EGF,NGF,freeEGFReceptor,boundEGFReceptor,freeNGFReceptor,boundNGFReceptor,SosInactive,SosActive,P90RskInactive,P90RskActive,RasInactive,RasActive,RasGapActive,Raf1Inactive,Raf1Active,BRafInactive,BRafActive,MekInactive,MekActive,ErkInactive,ErkActive,PI3KInactive,PI3KActive,AktInactive,AktActive,C3GInactive,C3GActive,Rap1Inactive,Rap1Active,RapGapActive,PP2AActive,Raf1PPtase
0,10001776.799371092,456001.85823327996,79632.53823715243,-487.0366687177095,10030.535915663051,-13.159519097669707,120521.98155275326,806.9449959379348,120049.2586137983,60.918817919914176,120036.58214003792,13.906036281522706,120000.0,120034.97218318253,46.29196129694624,120012.20868804763,-3.43659511444231,603025.255602111,-622.8463738604885,599567.4942044982,7845.2104715117885,119343.9441629918,1161.377695734059,119954.121715403,-63.58861432251696,120539.04128611708,-2197.4786474206553,119992.58966241368,11.394358530181693,120000.0,120000.0,120000.0
100,9922563.072489675,455920.4138118987,65.65404211945379,80081.535564118,9912.05503876728,44.31380271922397,49074.82188730876,69982.7124060782,119949.82882895361,-57.445622588087,107323.59292830146,12691.47708614977,120000.0,119701.94147985739,254.0471979463661,120001.00500752525,5.192439156074883,597163.3829309681,1544.7901971442575,602913.7540425055,-1076.20186277702,91021.12866748295,30438.744660623808,119932.34639988074,81.32158364035871,120824.09003485042,2132.774687892345,120197.54417341341,253.9417144659903,120000.0,120000.0,120000.0
200,9921706.085146712,455901.34382262087,174.54213100021295,80099.22836073731,9864.182365796401,88.47691712547979,17738.31415830017,102975.2676231686,120008.71528229026,54.91697723096763,100682.09556516772,19141.27859267346,120000.0,119217.68167353627,754.9065232147735,120006.5445532185,-4.379026743696668,600478.7656122876,3093.1858351650826,598146.0641533656,960.389010472066,65389.84898353683,53962.46105355502,119900.08958682086,-7.974180481115319,116921.17703814448,3446.1340754879584,119811.74710869619,220.3795469155337,120000.0,120000.0,120000.0
300,9921707.566676386,455802.26437705837,-161.4787947137493,80091.28305868211,9807.392406298966,151.58389529826144,3251.8268219835445,116881.36667409702,120057.90869051185,14.37982374788551,98238.74624413707,21840.878112567836,120000.0,118802.26632348043,1221.092138196941,119992.7585887192,14.764472886745896,594036.7921171695,2888.460429833031,607279.1470605548,1260.4782073230856,46329.11478759016,73331.45679753895,119950.61943982246,51.83434443834292,117368.10491036897,2361.517706040919,119493.2503293549,167.77032300645044,120000.0,120000.0,120000.0
400,9922101.916980622,455738.5658672061,418.94374686735136,80011.29572760544,9723.499568689434,279.0402353948508,-432.01450702888417,119345.18512792181,119946.21318798592,23.023980055949792,97313.5807176048,22850.332975602025,120000.0,118378.84650645519,1669.3617862257006,119983.98519436373,-0.40750022957224097,591517.7701003177,6173.101951632555,590270.5895074856,3854.0437526573874,30065.985100088663,87644.95948400577,119856.39898354864,173.54130354449316,114637.33939425988,7271.976471000684,119331.9109805822,417.74572301417174,120000.0,120000.0,120000.0
500,9922414.134599764,455666.22892407805,-310.56305235614957,79498.43156297988,9681.228413989531,289.81838978540276,-666.1365470960645,120201.97360528892,119983.18430248689,25.76936059960817,97118.95710592624,22768.522969200643,120000.0,117954.68489421735,2044.8159154811942,119977.18201191167,22.65508729013553,592678.3337654454,6404.587254502926,591881.338178523,10787.3620973314,21157.95436644616,99964.78077181398,119796.75704659404,209.14685336639621,109608.11098139116,8670.861903010236,119161.29559654022,904.614399987022,120000.0,120000.0,120000.0
600,9921852.151239429,455635.41306734807,-545.3870568416577,79471.54363893493,9662.23165659443,397.51901349628184,739.4639423896795,120615.84571832688,119980.01113376975,-53.91921680683752,97300.79656131027,22807.772727369447,120000.0,117723.87654705583,2329.9049503932806,119967.22102609972,19.527787935742385,586946.2320211299,13568.530464615831,599178.0186176721,3987.5209422148246,12842.558709753639,106687.12442468172,119584.63675550115,362.5329961374151,103046.5154458177,16303.363678791427,118511.83513692535,1114.1042173044252,120000.0,120000.0,120000.0
700,9922351.686162222,455588.6658805742,355.4845789617873,79696.31575538596,9601.286275797898,417.27967815660935,-799.8962988221582,120200.49661893868,119932.42833438648,-31.487360783809294,97220.00086574903,22927.06009604091,120000.0,117454.58791113397,2556.200119357135,119962.75754308545,51.13977079741609,579985.9885404839,14177.884845037825,591264.7741402027,9646.709713648019,9819.689402724758,110570.73190192081,119498.74162153891,497.76559628026473,99822.26848735804,19255.32149045772,118075.8562748148,1929.9759332813915,120000.0,120000.0,120000.0
800,9922373.209241822,455487.8623717417,-453.47060770237664,80280.46468782293,9544.923915143978,495.7081203142167,232.95836173687246,120267.94878058635,119938.08869705634,74.66470317856512,97270.80331094985,22681.5872979587,120000.0,117209.87638193328,2744.869620754576,119944.05949601582,78.21108629202399,577424.9119707505,24758.70312004355,582536.0703097497,17377.154724518885,4759.329626874463,113463.95700080144,119448.16220938685,560.3996238045404,93981.75105993607,24534.38796176687,117621.6281866009,2697.614352786639,120000.0,120000.0,120000.0
900,9921845.289659636,455447.0664755859,287.0036814528834,80486.77212708793,9429.646184290556,572.1220367728746,-686.6642143863976,119259.65907879159,119987.13479692144,28.67237289191784,97381.47517627242,22628.250234549352,120000.0,117086.59384926764,2927.0038661175386,119901.92944599036,102.91197979908435,573915.1353119595,28979.865990091686,577708.4240537152,28915.91888520532,3184.8798279551997,116333.94863120477,119352.16394052957,690.7316042462451,86874.5326798551,34198.06180668245,116932.16796297017,2910.0565036220646,120000.0,120000.0,120000.0
