miliseconds,II_f,II_l,mIIa_f,mIIa_l,V_f,V_l,Va_f,Va_l,VII_f,VII_l,VIIa_f,VIIa_l,X_f,X_l,Xa_f,Xa_l,APC_f,APC_l,PS_f,PS_l,Vai_f,Vai_l,PC_f,PC_l,TF_l,TF_VIIa_l,TF_VII_l,TF_VIIa_X_l,TF_VIIa_Xa_l,TF_VII_Xa_l,Xa_Va_l,V_Xa_l,IIa_f,V_IIa_l,Xa_Va_II_l,Xa_Va_mIIa_l,APC_PS_l,TFPI_f,AT_f,IIa_AT_f,TFPI_Xa_l,TFPI_Xa_TF_VIIa_l,APC_PS_Va_l,Xa_AT_f,VII_Xa_l,V_mIIa_l,TM_l,IIa_TM_l,IIa_TM_PC_l,mIIa_AT_l,LIPID,alpha2M_l,alpha2M_IIa_l,alpha2M_Xa_l
0,1180.3815109989202,6.1157718394352205,-1.0581297741025693e-12,2.0841080904774058e-10,1.739130188083135,0.003225926189297563,-4.14789490811877e-10,1.1460172102726487e-07,7.590804381809853,-0.01382834468532656,0.09937800741696101,-0.0001759872709437454,142.35399202662666,0.36204771869462055,-6.542941375793854e-07,9.079304827313357e-06,-1.2701605833432414e-13,3.8993489472945554e-13,115.69384384772319,-0.4113314771146407,-4.837324409066523e-23,-3.812865497415526e-20,66.24643124070997,-0.13698824194922826,0.018150867267885437,-2.539496320130588e-05,-5.460228071786762e-07,-5.502321461518714e-06,1.0019713509645352e-05,-4.547820353377173e-11,-2.178047579886443e-11,5.196052795692199e-07,-7.414481273769693e-12,-5.567279364750361e-13,4.538496180472282e-12,-2.2747461294357003e-12,-2.9109416961652265e-12,12.300000985818565,4720.999999991945,2.0150394992486695e-13,1.1349385769556429e-07,6.594863938879597e-12,-1.0286774415942048e-19,-2.2387970950646245e-08,-1.9513325764657585e-08,2.904082664028086e-12,1.000000000012707,8.216874445242138e-12,1.363724988833129e-12,-4.9696440255200254e-14,169988.26411422394,363.9999999978418,6.8535292588077654e-15,7.676272107920002e-10
100,715.897401273768,454.26853864762495,2.6361160686199717e-13,-1.388622609950691e-10,0.001615739772319962,1.740516897842958,-3.037524788178747e-11,4.403796827073222e-08,0.13878005762875448,7.444194081149676,0.0004112941885156404,0.09929900154345551,50.51893768471078,92.77955767351682,-3.04910564878784e-07,-2.1452620906671768e-05,-1.5479246800881946e-13,-8.913876775806194e-13,1.3648575067845226,115.66520806004083,-2.773712540786337e-22,1.0326531935767588e-20,12.40757833900555,54.05720825675051,0.018066261037137824,4.913920804653734e-05,6.879420772947076e-05,1.5031743116178691e-05,7.83060934601864e-06,-1.4970274502275014e-12,6.2718904645610054e-12,-5.955207262006121e-07,2.5382793897789024e-12,6.14994552134619e-13,-4.050631710350572e-12,-2.6885983535461996e-12,2.9455303873352324e-12,12.299999701425858,4721.000000023529,5.308703211880501e-13,-5.254468296084834e-07,6.083245692786532e-12,-4.1125492631581293e-19,-2.6177412459867312e-08,-7.594852468561209e-08,2.5216702626850015e-12,0.9999999999916876,1.740043328098889e-12,-3.950152628775414e-13,2.6455567613913652e-14,97859.03351846518,364.0000000008231,-1.331687094058384e-14,2.0524774171026353e-09
200,537.8314040090933,633.7651621220513,-2.791466977471118e-12,-4.280576498690645e-11,-0.0027673201137906845,1.7456960747152503,1.0239318738870864e-10,1.2666006087893076e-07,0.17170565734173043,7.4769515251715815,0.0002959124592493071,0.09965967699739016,34.799360763658065,108.50598814392633,9.796139406166342e-08,4.916881419176657e-06,1.039688140351081e-13,-9.676592529871064e-13,-0.08337007673822006,116.09294738921652,-5.603650256892969e-22,3.15877786184339e-20,14.463098171078178,51.31900005301987,0.01795875277562086,0.00012162023169482932,0.00012157267240541048,3.880425451503027e-05,-9.46191876211533e-06,-1.7053945755780655e-11,3.8165244928322154e-11,-7.123634583448345e-07,1.2279475449593098e-11,6.272341117546021e-13,-1.7892013799951857e-11,3.9358407980193116e-12,-2.1113106286036307e-12,12.299999325627077,4721.000000048211,3.199255927115269e-13,8.21050597101692e-07,5.2108601885379234e-12,4.313412931143954e-19,-6.488953423179772e-08,-9.005625430150601e-08,1.8664536566752063e-12,1.0000000000060818,-8.286534466029905e-12,-3.3356993709732634e-12,3.5413225511551184e-14,78212.46835631564,363.99999999903014,-8.666139783545944e-15,2.4862275345892927e-09
300,461.3343529017336,717.242506968582,-1.822432195875667e-12,1.7182384963387202e-10,0.008504365329067514,1.7314366949021365,3.075242787614009e-10,-8.22994149637374e-08,0.14599828834623105,7.411223397189812,0.0006847649382718166,0.09922465742929704,32.25301773276944,111.3159129783823,-3.1642777869260014e-06,2.8639764983023045e-06,1.4537207049619892e-13,-1.0500070229967234e-12,1.2876444353573722,114.75634872559696,6.126147468951979e-22,-3.081615378292221e-20,15.955661401195488,49.76882491605982,0.017836924431216195,0.00018667332817753993,0.00022951214932931873,6.476780444216509e-05,2.2952368255931676e-05,1.788659013708874e-11,-1.1687208272874755e-11,-2.1655920368183465e-06,3.092327173190936e-11,-5.779229967925609e-13,-7.979310853892658e-12,2.3555929606630784e-12,-7.177578916248598e-13,12.300000103795528,4720.999999996957,-2.4528973455535653e-13,-8.956946631300443e-07,2.376163931802056e-12,2.3524703407061975e-19,-5.7984852408839615e-08,-4.809692762071224e-08,-1.8975844109013153e-12,0.9999999999885639,4.363184618102085e-12,-1.37203098872272e-12,5.2034606482557825e-14,69450.03671148642,363.9999999973871,-8.695773177316255e-15,2.9501542427329254e-10
400,407.6818530971205,768.6333206342181,-3.272451963818045e-13,-5.183651545438336e-11,0.0001339421281727855,1.7467026641469925,8.01902484585358e-11,-1.287371618252145e-07,0.13504952262159764,7.454366471210099,0.0012625608178754699,0.09856839933950694,31.37798630784497,111.85368953518875,2.8210469918903156e-06,-1.3253552284111306e-06,8.792745582554249e-14,1.2951567416513857e-12,0.6994853397418579,114.97387449392244,3.3574006124608545e-23,3.515746854279389e-20,17.310747143023725,48.545520072785855,0.01756133495616091,0.000250024077337008,0.00024109951300865763,6.878766580915342e-05,1.656175146318399e-05,-2.3570120590875226e-11,3.384672278845095e-11,-2.267398962770825e-06,2.2139828397049012e-11,1.4882084023797004e-13,-2.2546561281114198e-11,4.24172527256322e-12,-1.0188264611091889e-12,12.300000642694517,4720.999999967992,5.710525164310278e-13,-5.4927344725561736e-08,1.3404194873733507e-11,-9.584697557583548e-19,4.271187243377124e-08,-2.4681296533737267e-08,3.2088115658201863e-12,0.999999999995963,-1.0765454285648762e-11,1.536019672658414e-12,3.980372041674505e-14,65333.43312971106,364.0000000008338,4.634100758951096e-15,-2.556194914930361e-09
500,380.0009984620374,796.5365694615144,2.252022450170592e-13,1.2507585953269624e-10,0.0073672091692072944,1.7328288796452938,5.72297481071171e-10,1.0942942536710449e-07,0.16076457380237194,7.457154185496399,0.0012136107935510304,0.09947855016456512,32.8258342016908,110.708782027788,-2.146930545028061e-06,6.111562408242293e-06,-4.077228315913581e-16,1.3234889091516606e-12,1.0309423526355679,115.25646821885384,-3.3086054960933028e-22,5.2422481200882004e-20,17.501989798759467,48.300075448013985,0.017468546863113627,0.0003113844477007098,0.0003003527064801856,0.00010051738866131122,2.2351897395478535e-05,1.736007367142584e-12,-3.9413719703679824e-11,6.637028670112207e-07,-2.572089854818443e-11,4.430241910979684e-13,2.0342431708556365e-11,2.8447114850416818e-12,5.348740419254368e-12,12.300000689497995,4720.999999999304,-1.6070184864354233e-13,2.2033593322084922e-07,8.062621380078058e-13,2.862471480364704e-19,3.9647519677339896e-08,-5.82235788928193e-09,-1.4640950421341331e-12,0.9999999999980601,-2.1005907028566525e-12,-4.1249180189504055e-12,3.852447019548684e-15,61845.07349712,364.000000001144,-1.4268939498590243e-14,1.2373455820128407e-10
600,363.46539861057624,815.5162306203541,-2.3711149154920698e-12,1.9011051998558461e-10,0.01827957301537289,1.736060817162771,-2.53606491346075e-10,-7.588798774820996e-08,0.19088132395132246,7.476786352825412,0.0009842260603159295,0.09930358938360957,33.9520852269338,109.65125023205124,8.24009069269011e-07,2.3916123660098582e-05,-7.752146567496121e-14,1.2805158633303091e-12,0.4550500308910542,114.88276501238536,5.197700599910038e-22,7.383600221423013e-20,18.35188689185994,47.781559294628146,0.017372801107458945,0.0003768794855534546,0.0004077767331355843,0.00011553835362722882,5.1632545985311436e-05,-4.326268048876957e-11,3.572546089346945e-11,-1.4590811044951204e-06,1.734897681087347e-11,-6.83922726150267e-14,-8.149556961517075e-12,-1.8424390881812857e-12,3.0850014343712086e-12,12.300000852777057,4720.999999937108,1.3398894224539877e-13,-6.289354509320726e-07,-3.2561657965055293e-12,-8.934954296692951e-19,4.455888113539748e-08,3.533026419362189e-08,2.5688155219024447e-12,0.9999999999897706,-9.883374545102098e-12,-2.846921278096962e-12,6.298382987488502e-15,60877.15677127079,364.00000000225197,-4.5741453585728556e-15,-5.031385572885739e-10
700,354.715009287277,824.6928632136231,-7.645283157035989e-13,1.5999789455474144e-10,0.010028054870670369,1.742083830414783,-4.820832151739968e-11,-1.525787161074069e-08,0.12116807712688055,7.386842042836885,0.0011618169777354412,0.09806297195675202,34.00314737048809,109.1790627513884,4.710721928434053e-06,2.3154782597822764e-05,-3.2121257930704426e-14,1.1188685007182377e-12,0.43647689592978484,115.18780989661043,1.6961169138055223e-22,5.759405243347446e-21,18.319685848495116,47.658933019993235,0.017208218091621937,0.0004091045977744565,0.0004528343871045167,0.00013186949706916662,4.263042795906791e-05,-9.904418048361961e-12,-1.5709108250904422e-11,-1.537588336212512e-06,-1.763672737779649e-11,1.115156112935236e-13,1.3903502560407852e-11,2.5213875773410013e-12,4.978583275095706e-12,12.299999631007887,4721.000000057983,-2.111956270753938e-13,5.412645276105428e-07,1.8605927612532218e-11,2.4818244470019465e-19,6.543267392039378e-08,8.063698884197902e-08,-3.694969751337927e-12,0.9999999999918338,-4.569624348841882e-12,4.338577400984005e-12,-5.3136320856732296e-14,59727.12702276335,363.99999999723855,-1.8760262822463794e-16,-2.7157038227495373e-09
800,340.05750886118756,834.7272281088048,2.9581488235028633e-12,-7.270902357816292e-11,-0.00013556494546825525,1.75001168235072,-2.383676311768842e-10,1.0960321077191945e-08,0.18213917847410951,7.434742909126809,0.0006750318405401686,0.09909933269925886,33.931994219793474,108.34031579122278,3.327138645749505e-06,3.7559587765857616e-05,8.380014749523568e-14,-1.2947486406241488e-12,1.1544907209721633,114.80431216689395,3.017246060332145e-22,-4.163129979633977e-20,18.19959170121303,47.822622265270404,0.017014022597578317,0.00046552501924111483,0.0005192160730309371,0.000143003150160212,6.252065389693488e-05,-2.971450187798328e-11,-8.639981650778414e-13,-1.4845714953004885e-06,1.612813222039409e-12,4.690366111544054e-13,-6.053948130279121e-12,-1.2138502879162066e-14,4.485568130155885e-12,12.300000803828105,4721.000000023514,5.201538297703227e-13,-5.417960224073499e-07,8.757011811774777e-12,-7.405770034935262e-19,3.650736423686416e-08,9.186604112314177e-08,1.1633387022909422e-12,1.0000000000114948,1.6822937558855088e-12,1.9911682307504284e-12,-4.327406233548296e-14,59226.1356985576,364.00000000025875,-1.5451614593755758e-14,-1.4782053163069083e-09
900,340.1132783526806,826.6717868733665,7.628499619885377e-13,1.7291092745378513e-10,0.01770454061616058,1.7312622746652893,-1.0846265834050606e-10,1.30287762648826e-07,0.1804793467689132,7.4144023862606225,0.00040190217591741496,0.09881905476854269,35.36094608925584,107.9380446990524,4.559166135850155e-06,3.383622133261972e-05,1.194560994119445e-13,9.580713622839144e-13,1.295148841800135,115.88236219681289,3.572003500672412e-22,7.149148676275694e-20,18.452454176136694,47.171939601141545,0.016932158966332593,0.0004940704776798893,0.0005806958629346202,0.00016770772783472588,7.392633708429266e-05,1.3993750640992553e-11,-9.089226406932948e-12,3.11231735990637e-06,-2.128922542411593e-11,1.9011110891913063e-14,1.8900625973726912e-11,1.3216644925646149e-12,3.492840450558583e-12,12.300000778486725,4720.999999985506,2.3043864476455424e-13,9.914767973977315e-07,-9.226739308267901e-12,-6.384648773160296e-19,1.2083148316623184e-09,1.303676817619273e-07,1.701113679498288e-12,0.9999999999935184,2.3835645674409528e-12,2.756885148062111e-12,1.8418165431542996e-15,58810.21551695672,363.99999999775093,2.008111240466743e-15,4.8577604570276346e-11
