milliseconds,acc,toc1_mrna,toc1_1,toc1_2,cca1_mrna,cca1_c,cca1_n,toc1luc_mrna,toc1luc_1,toc1luc_2,cca1luc_mrna,cca1luc,luc_mrna,luc
0,0.2739708982323408,0.03857600059938173,0.20631750685142863,0.3159713576518128,0.10144666738365943,0.05422164608771882,3.0761462235935366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.28525644646193404,0.03785239797254973,0.2064644548497437,0.30744985753581955,0.13386949795127948,0.05820674358498065,3.0249758458339358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,0.2780234002163369,0.03748173829640776,0.20655447430956428,0.2965178432862284,0.16167593485258958,0.06494804269122764,2.9288311768066113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0.2965232091549878,0.03642626481892153,0.20693178808539367,0.28376936284490994,0.18886120830491007,0.07768390542692344,2.886691317800164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,0.30118669294611017,0.036385775545271774,0.20672068838822358,0.2684488336780397,0.20723363443454149,0.08578647672618703,2.8062041747772284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,0.2963808686518569,0.0357811816518346,0.2065283606313403,0.2668241648910038,0.21946026286167492,0.09362669831692767,2.8166525742827893,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,0.3106221603327163,0.035500022452201456,0.20672010637821114,0.2499722074259294,0.22458786364651956,0.1026759239282303,2.7515807360203612,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,0.31381527914448587,0.034791419049649816,0.20637576203539798,0.245184985403271,0.23152050132733792,0.10947249746288948,2.7473719641302927,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,0.31799028426416176,0.03470321285308779,0.2063651068968146,0.2338894076057923,0.23825948968254584,0.11159842515161068,2.743167448411384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,0.3252210833575571,0.03474124682502474,0.20618182447190006,0.22996871625338522,0.23697001189278818,0.10866873018339689,2.753403332073295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,0.3260936996916485,0.03431216759529095,0.20620111865086757,0.2223266827232875,0.24542741706837318,0.11055910803542966,2.7914719185696963,0.0,0.0,0.0,0.0,0.0,0.0,0.0
