miliseconds,CaI,IP3,g,mwaf195932_a72c_4552_8cf2_b349b15d39c4,mw0ebc76ad_49d7_4845_8f88_04d443fbe7f3,mw7cb2644a_384a_4bbb_93fd_fd686e01d7cb,mwd6b792d8_c983_42c1_b3bc_2494d6a3363e,mw013a7c64_a9ec_483c_b3b8_ed658337ee95,CaS
0,0.04386037155246909,0.001912596653208211,-0.004626550105322862,0.012999999742997164,0.2659999740192405,0.020000000371013314,1000.0,0.0008845792111519934,1.9968308385115026
100,0.031207072600949574,0.000828309018728858,0.0026027402248304113,0.012999999157327732,0.2659999526801851,0.020000000240311476,1000.0,-0.00014364936256017994,1.988346753861784
200,0.041295418053540235,0.0028457239503420608,0.009013320556552662,0.012999999847590225,0.266000045696658,0.01999999965530994,1000.0,-0.00014834419550645737,1.998877205182395
300,0.04501327006644818,0.014473016679161833,0.0014796884874828252,0.012999998005641328,0.26599996640997287,0.019999999295989782,1000.0,0.000868873089407113,1.9925895398246223
400,0.052132711161635356,0.007372735133848604,0.0032857886143832426,0.013000000498888113,0.2659999517239009,0.020000000021228124,1000.0,-0.00030546130075618475,1.9951212792712898
500,0.051776580549874766,0.015988309662668333,-0.0002502469620100714,0.013000001295038924,0.2659999497893249,0.019999999388369466,1000.0,-0.00016168291074395233,1.9946092754134335
600,0.03490809850015102,0.02076359506853468,0.0001893443206087335,0.01299999897247983,0.26600003435515657,0.01999999994497535,1000.0,0.00052631894136778,1.9839757571776124
700,0.0442870341718488,0.016448728403725684,-0.003845082591281166,0.013000001052369639,0.26600002249395754,0.019999999788395388,1000.0,0.00016564878261519445,2.006570024307276
800,0.06142806565379831,0.02681715071085523,-0.010725738976873095,0.012999998047195423,0.26600001281031527,0.01999999979697083,1000.0,0.0001887780409383177,2.01645547702694
900,0.06333834947970479,0.02355436946284228,0.0058823720781861835,0.013000003040302672,0.265999977931891,0.019999998875702387,1000.0,0.0005384171211373095,2.0094713873829866
1000,0.03964843787987198,0.023391627193631696,0.01402498463688876,0.0129999979418589,0.26599998125719804,0.019999999782798594,1000.0,0.0007136682802274686,2.0114582038894286
