milliseconds,E,E_P_1,P,M,E_M,T,E_P_2,P2,E_P2
0,0.0001503473560982663,-6.600079544776255e-08,1.0004388172939342,0.00035768368597198844,1.872665296861857e-08,1.3896661554366024e-05,7.987306765136189e-08,1.0314186433617472e-05,2.0328900203546884e-10
100,8.017919578720574e-05,6.330127088718014e-05,0.9992192818094902,-0.00013717864203851942,3.9460332649999085e-08,5.310161462445378e-06,7.5860352645348665e-06,4.7490346335297864e-06,1.239758430087643e-10
200,7.95421652917704e-05,6.343146995276939e-05,0.9994376125452111,0.0013486234935393656,9.724213686726148e-08,2.1248004307989885e-05,7.48662747138572e-06,1.507814596942789e-05,5.605823492850648e-10
300,7.978170014200851e-05,6.206812589998736e-05,0.9984293523531812,0.0021150190135912164,7.015281275278346e-08,4.354543035779555e-06,7.4693636918277355e-06,5.895251434154558e-05,8.250333815743537e-10
400,7.877533381732967e-05,6.328754190804051e-05,0.9982054876747832,0.0026070808412973425,9.794963090314813e-08,1.5116031166192723e-05,7.645349291584931e-06,0.00011059077678577338,9.943746787617848e-10
500,7.852392719076852e-05,6.25118684211407e-05,0.9971939441252342,0.0031163985974026033,1.6568218382301294e-07,2.8283767397902368e-05,7.498604612663386e-06,8.354249595624922e-05,9.96923995257392e-10
600,7.985681377628658e-05,6.234288992622178e-05,0.9971285711396801,0.003510873666724123,1.3449640186589326e-07,2.066508111312062e-05,7.6080864453437e-06,0.0001371990647560487,1.519785081200415e-09
700,7.914172114004597e-05,6.304854748984987e-05,0.9963663895624971,0.004313728410804651,1.6994534177342337e-07,-8.411354739482292e-06,7.447976166561783e-06,0.00016414764388011262,1.1477838383906474e-09
800,7.94493458538171e-05,6.352925008936009e-05,0.9960828353784981,0.004700035586715228,2.159046789028171e-07,2.4859512524272738e-05,7.533502529717822e-06,0.00018754258198002303,1.5850920440153094e-09
900,7.918979285719956e-05,6.261001999892229e-05,0.9943541948487266,0.005195282184405618,2.2871165432419874e-07,8.028116433024299e-06,7.585979971527428e-06,0.000194864576554266,1.5384372229817524e-09
1000,7.969304740794019e-05,6.309975295761097e-05,0.9945935031188148,0.004524052912859939,2.9897209330454885e-07,1.8075666222425232e-05,7.644152519374453e-06,0.0002249021074608698,2.089819418966225e-09
1100,7.94158015969813e-05,6.202126771007683e-05,0.9936149957993118,0.005397127355555668,3.2529417804670316e-07,2.8930308086586983e-05,7.551985822360461e-06,0.00029297062057329667,2.239714974582227e-09
1200,7.90051791781248e-05,6.224620493722313e-05,0.9929113695049674,0.006036512971109232,3.589708248940063e-07,2.2907406648044938e-05,7.461759011047989e-06,0.0003184939019532145,2.5466538391853514e-09
1300,7.915290749660682e-05,6.297706700559147e-05,0.9924544104673333,0.006921573160180047,3.763791827955371e-07,5.926504602429072e-05,7.499423131857635e-06,0.0003280172348749074,2.7958450196802535e-09
1400,8.015443222283584e-05,6.240728547038655e-05,0.9921086022081694,0.007624144537045696,4.2422842825756435e-07,3.746931752894535e-05,7.532781094413808e-06,0.00035611704962725384,3.196807878871017e-09
1500,7.977133573776675e-05,6.236011477363053e-05,0.9917013690418233,0.007221461245184802,3.9719470068916186e-07,4.9280407766191095e-05,7.566617458225231e-06,0.00036105165425813116,2.9200765895580668e-09
1600,7.877492253731306e-05,6.299173411630492e-05,0.9905295393711825,0.008447558052075784,4.851115607818301e-07,8.008314345530915e-05,7.510551445398224e-06,0.0004146761591443633,3.1698711425443055e-09
1700,7.926076074823646e-05,6.322922788615911e-05,0.9902110034666638,0.008543859232302931,4.6057019858725194e-07,9.08083743705438e-05,7.4197787717021055e-06,0.0004093283811714616,3.434019689165418e-09
1800,7.910559031809166e-05,6.180454869531296e-05,0.9904170513765691,0.009387999509442644,5.359363356020814e-07,8.150800694284684e-05,7.41907395597069e-06,0.00043018008571472455,3.565385578037078e-09
