miliseconds,X,Xa,Xa_ATIII,PL,PT,Va,IIa,V,II,IIa_alpha2M,IIa_ATIII,RVV
0,81.50484552491415,-0.09335662174293086,0.7150722665933734,10.040937984433713,0.07675901482244699,0.0976244149230171,0.03570688877815002,6.703968220737563,514.2230236302757,-0.10102314687520904,6.323072031719422,0.3349999
100,76.02312443814849,5.08394160100922,2.089385121544603,10.005496182025222,0.0681024793284981,-0.004578439066228737,3.4039538804145257,6.6476672152601965,512.3636225290649,-1.4399094396914855,-5.2124413522636,0.3349999
200,70.12225270614864,7.93946555113055,4.436110252125205,9.835754519754984,0.1642983616386292,0.1099315201619747,10.100448059252743,6.503752045812782,490.6060871208541,1.157197374174098,3.593085895665914,0.3349999
300,62.056735182497796,9.160197890840132,8.340377076335521,9.286668348575065,0.6329967688542867,0.00773393858781516,21.750970765879185,5.85823909035608,479.5927584021959,-0.9494445608140922,-3.318746053917562,0.3349999
400,56.733409084414085,9.791090327240966,11.761218553485108,8.455797087861074,1.3950052892609974,0.16046187839039897,33.48133482917238,5.06426815160838,468.70012707143053,1.693863606831963,9.152109872209047,0.3349999
500,51.5214775567117,9.905777493630227,16.110688642381557,7.564607796146297,2.284811755686229,0.23684243221219647,52.754566953813665,4.20998508486114,456.7843373765463,2.367917035621523,2.082758441639659,0.3349999
600,45.812661720377704,9.874793064432822,22.260379416511554,6.644364277386274,3.3209441505199195,0.27649744123539804,67.68476610881962,3.125264386376735,423.1917915803615,1.777135958465363,11.596438734659765,0.3349999
700,40.53897574671821,9.663386762292516,25.194937915197038,5.832055426505867,4.139050315553647,0.4575474635739811,89.19919632421768,2.1170898127221704,399.6486334494474,5.072296722490166,24.98767083685795,0.3349999
800,36.16323212994671,9.888345251878269,30.156260914962182,5.084181708522509,4.845122419397534,0.7074302751136786,108.3242614585821,1.1609622769704744,375.9533756667564,4.463150626540246,33.1662905324153,0.3349999
900,30.820351672043866,9.458709549936067,33.86606596568806,4.6327307138125375,5.303365409914577,0.8399867131914882,127.65723892294352,0.6097063829326699,345.53975861885283,7.53603858941846,34.97824535470427,0.3349999
1000,27.18917885452508,9.507813216635592,40.27992463101959,4.530093731439022,5.595147673117674,0.9381832224240028,143.9781299809683,0.29374553749508137,303.10190982544384,11.239679022605808,40.80846508687813,0.3349999
1100,23.175109862909768,9.189034582088482,44.3884014099076,4.312199479960174,5.637190090588737,0.9204045621525496,162.60744396970378,0.20938350925717752,267.71528260907417,11.426998103677438,52.931473364884134,0.3349999
1200,18.72084228255388,8.931231681003078,48.64606717861655,4.3278175540031585,5.623314463780083,1.002592952879421,179.45003271914624,-0.005379972185496976,252.20636710169896,17.401908105981295,69.11237040604863,0.3349999
1300,15.282995260298895,8.182782642323392,50.612316554193555,4.3744633278844605,5.594699687980819,1.0483649142845628,190.66228644100772,0.06955907535308309,221.33931563137577,18.01543046964904,93.2198159783086,0.3349999
1400,12.348699327777481,7.8867246719150215,56.15271081675435,4.294965321728713,5.701087292835397,1.1344988940709506,198.19503498606767,0.01853368468916229,178.9641970922301,22.31745324042141,107.81107881620983,0.3349999
1500,9.418276283429352,7.099246348934277,59.442389433697116,4.394345734109165,5.559887851048528,1.173081154232279,205.95395426325635,0.08852061882794743,160.87055211064498,26.91243264935395,118.70292200165196,0.3349999
1600,8.0745894457674,6.1847492087898965,62.19567902768268,4.4489873179672275,5.421760557623176,1.326017463476585,211.9271127042786,-0.019967665559059277,139.92983175083017,31.116077202672585,138.40529010919778,0.3349999
1700,6.255276920145289,5.733995228560146,63.246041491036586,4.695817832802417,5.381957412266386,1.2673864532257788,215.68476841582563,-0.05125218333035604,105.22608466827337,34.730389396737415,146.49041036023868,0.3349999
