milliseconds,TF,TF_VII,VII,TF_VIIa,VIIa,Xa,IIa,TF_VIIa_X,X,TF_VIIa_Xa,IX,TF_VIIa_IX,IXa,II,VIII,VIIIa,IXa_VIIIa,IXa_VIIIa_X,VIIIa1_L,VIIIa2,V,Va,Xa_Va,Xa_Va_II,mIIa,TFPI,Xa_TFPI,TF_VIIa_Xa_TFPI,ATIII,Xa_ATIII,mIIa_ATIII,IXa_ATIII,IIa_ATIII,TF_VIIa_ATIII
0,0.0,0.0,1.0000542593312674e-08,0.0,9.984073992323265e-11,9.440894174298186e-11,1.0014662249506137e-09,0.0,1.5999998628832928e-07,0.0,9e-08,0.0,2.10017869354068e-10,1.3999938507917235e-06,6.998912175906698e-10,-4.976006180781847e-13,-7.841468926109196e-16,-9.187270318166057e-17,1.2217730511359009e-14,4.439725347366981e-15,1.997853084377705e-08,-3.004270404340998e-11,3.093821117245186e-13,2.0376796419282637e-13,6.969809057191715e-11,2.4999964890408836e-09,-9.30854874153647e-15,0.0,3.3999983107613954e-06,4.29874090199272e-15,-2.1590103973419718e-12,2.4814741230405014e-14,-7.390238223563354e-13,0.0
100,0.0,0.0,9.998437468625718e-09,0.0,1.0168675961233504e-10,9.421902035699603e-11,9.965537503583355e-10,0.0,1.6000002219668206e-07,0.0,9e-08,0.0,2.0993887484392245e-10,1.3999860653973585e-06,6.983171217944406e-10,1.1312155498803564e-12,1.9011371822857817e-15,2.259396265386079e-16,4.339458563669358e-15,-9.055598130155144e-15,1.993488302771718e-08,5.670828329363622e-11,-4.899863778809084e-13,1.8066573290463185e-13,-4.0227088075267205e-11,2.4999749716832815e-09,1.086098050319386e-14,0.0,3.400000475194291e-06,5.084699188731963e-14,1.2350261586140701e-12,5.139360185325831e-14,2.4028062689361108e-12,0.0
200,0.0,0.0,9.997219118175001e-09,0.0,1.0260230767442016e-10,9.347206212128947e-11,9.961212724741443e-10,0.0,1.5999997323683558e-07,0.0,9e-08,0.0,2.099005645211227e-10,1.4000069792977043e-06,6.966648763299822e-10,3.051963212816271e-12,-8.430945001909509e-16,3.0199312467399912e-15,-1.0360730772050725e-14,5.726545784588226e-15,1.9941903351661603e-08,7.425111730039997e-11,8.973883528675975e-13,-3.1801394365688496e-13,-1.6184531237501006e-11,2.4999483373701243e-09,4.6322670654582236e-14,0.0,3.3999974574487827e-06,1.0145784494181899e-13,9.703915892882209e-13,6.556474003931365e-14,4.603882998025013e-12,0.0
300,0.0,0.0,9.995714562477134e-09,0.0,1.0426029739088068e-10,9.17778445319692e-11,9.935821164952487e-10,0.0,1.599999786619653e-07,0.0,9e-08,0.0,2.099000279606198e-10,1.4000661684005998e-06,6.962561321565847e-10,4.491717472663415e-12,-2.7965707785039054e-16,-1.398296706183853e-15,6.884136517464795e-15,-5.365484269175261e-15,1.985405737386738e-08,1.0246465343763763e-10,5.751816036701872e-13,8.000473819569853e-13,1.4750863597003837e-11,2.499945188044278e-09,6.333791911849454e-14,0.0,3.399993825414674e-06,1.4261106131385722e-13,2.391498094106314e-13,8.835574745602281e-14,6.8853545757578115e-12,0.0
400,0.0,0.0,9.99516156760814e-09,0.0,1.0536013501461634e-10,9.256959869984297e-11,9.915996850829626e-10,0.0,1.5999985736955173e-07,0.0,9e-08,0.0,2.098273966732604e-10,1.400031507167009e-06,6.943730682420228e-10,5.8441328156643924e-12,-6.751224759073338e-17,1.0738550269321341e-15,2.3437655788092635e-14,7.705781025162544e-17,1.981176841418254e-08,1.3843249988563202e-10,1.1496480715782872e-12,5.790523815260601e-13,6.747647210097888e-11,2.499918819725957e-09,8.649418111899366e-14,0.0,3.399993211266673e-06,1.9009558852758397e-13,-2.669287185106079e-13,1.4371742523863812e-13,9.982605954115132e-12,0.0
500,0.0,0.0,9.993485463394763e-09,0.0,1.057044727989474e-10,9.037856692077641e-11,9.874953795941735e-10,0.0,1.5999983778512505e-07,0.0,9e-08,0.0,2.098168810564209e-10,1.400016302443553e-06,6.937846081168117e-10,6.776454920725093e-12,2.658588978347953e-16,6.132929924867819e-16,4.952792285701241e-15,4.814196550252012e-15,1.979997677049208e-08,2.0619143472938421e-10,9.916952131093695e-13,1.420916188200976e-12,-3.2323030703120945e-11,2.499890662117497e-09,1.0014549685562389e-13,0.0,3.3999910777823025e-06,2.338547928108082e-13,2.262887028060999e-12,1.8175086718119505e-13,1.2704432828636218e-11,0.0
600,0.0,0.0,9.992248875657475e-09,0.0,1.0687043301660803e-10,9.150445701259017e-11,9.852083682763131e-10,0.0,1.5999989939579026e-07,0.0,9e-08,0.0,2.0979391931385308e-10,1.4000195385892462e-06,6.918393557382611e-10,9.092612966174923e-12,2.8058437383614676e-15,5.1170216610040055e-15,2.1242004309242653e-14,3.680976542402052e-15,1.973311068413734e-08,2.2034446161364636e-10,2.234926418878136e-12,1.2549314972207158e-12,6.957504059446101e-11,2.4998685319591424e-09,1.2987079925562155e-13,0.0,3.399981662307453e-06,2.678028239768642e-13,5.535156138787892e-13,2.0342081580604693e-13,1.379301453689348e-11,0.0
700,0.0,0.0,9.992002806290356e-09,0.0,1.0835215583090204e-10,8.915361944450198e-11,9.828053706784896e-10,0.0,1.5999979683963624e-07,0.0,9e-08,0.0,2.0975190367248633e-10,1.399958647471116e-06,6.902730775564502e-10,9.593947107179924e-12,3.3172591453188406e-15,3.1441649181907902e-15,2.2087610143240282e-14,2.4161770865587162e-14,1.9703120901595014e-08,2.5936081335846383e-10,1.8560428791068224e-12,1.2647031693988473e-12,6.998018855277461e-12,2.4998583734657814e-09,1.418586550192556e-13,0.0,3.3999865701715863e-06,3.3131740749206896e-13,1.2725900191920113e-12,2.5314869670102595e-13,1.742987833889167e-11,0.0
800,0.0,0.0,9.990683010349791e-09,0.0,1.098843942933591e-10,8.894529039258202e-11,9.80858538149165e-10,0.0,1.5999984699186685e-07,0.0,9e-08,0.0,2.0973289169451426e-10,1.3999203328103378e-06,6.896469085458336e-10,1.1664532743035101e-11,5.6384443325463446e-15,9.267566928200325e-15,3.2711630984692214e-14,1.5734806754774616e-14,1.9715927756843985e-08,3.3537036430249073e-10,2.008771949423561e-12,2.725486150141912e-12,1.091781457652649e-10,2.4998353969994045e-09,1.7106073773607548e-13,0.0,3.399978322071214e-06,3.6497607660530597e-13,-1.5207223429553078e-12,2.9134774916193203e-13,1.800109848156424e-11,0.0
900,0.0,0.0,9.988767509057604e-09,0.0,1.1092836916299401e-10,8.857611968511863e-11,9.798263166542493e-10,0.0,1.599998214446042e-07,0.0,9e-08,0.0,2.0966373557836698e-10,1.3999270963844549e-06,6.885462403107265e-10,1.3138662388299013e-11,3.965385560596106e-15,1.0949326716090806e-14,4.6434476390455344e-14,4.448769587432343e-14,1.964149369222199e-08,3.721422286931273e-10,2.6943416529595498e-12,2.5594097680434775e-12,1.0628833744629666e-11,2.4998148947253312e-09,1.8521328757255633e-13,0.0,3.3999741450258165e-06,4.278101455240743e-13,-1.5528729937391462e-12,3.270771049799777e-13,2.121838593628707e-11,0.0
1000,0.0,0.0,9.988300645538511e-09,0.0,1.1220572870030015e-10,8.67035510422259e-11,9.767876648009408e-10,0.0,1.5999974041893811e-07,0.0,9e-08,0.0,2.0961184973353362e-10,1.3998652807289462e-06,6.862385602250259e-10,1.32142456661047e-11,4.684837482449338e-15,1.0809361704541081e-14,4.3791340956642e-14,4.55188763466251e-14,1.9615885181479143e-08,4.011006955150541e-10,3.6229561330516722e-12,3.068335657073227e-12,2.830699844070794e-11,2.4997864724316892e-09,2.0713376515808507e-13,0.0,3.399973141178727e-06,4.4225268378826726e-13,-1.0345213466091969e-13,3.2425011429952094e-13,2.429080891480665e-11,0.0
1100,0.0,0.0,9.98646508306137e-09,0.0,1.1299846238815527e-10,8.582281416675283e-11,9.748538596692773e-10,0.0,1.599997581002919e-07,0.0,9e-08,0.0,2.0960207917182136e-10,1.3999507794272445e-06,6.843533370069881e-10,1.4670193576859394e-11,8.267060802965965e-15,8.661504043417215e-15,4.103853968136581e-14,3.878429436867485e-14,1.957345287014848e-08,4.099537433024e-10,4.3998872752328685e-12,4.334745242549127e-12,8.636824575856352e-11,2.4997787367146644e-09,2.294163215307462e-13,0.0,3.3999698169155455e-06,4.887192010854988e-13,2.1699533484742593e-12,4.035616024184326e-13,2.7797786852611206e-11,0.0
