milliseconds,APC,Va,Va_APC,Va3,Va3_APC,Va5,Va5_APC,Va53,Va53_APC,Va56,Va56_APC,Va36,Va36_APC,Va536,Va536_APC,HC,LC,HC5,HC3,HC56,HC36,HC536,LC_APC,HC53,VaA3,VaA53,VaA36,VaA536,VaLCA1,VaLCA1_APC
0,1.0055699320146364e-08,2.0038095651164819e-07,9.243066566226569e-11,-9.87697647582613e-12,-1.3788334983105776e-12,8.891400055255582e-11,9.124206861160961e-11,-9.060826919882754e-13,8.110690730930791e-14,-1.7334962247949212e-13,2.0887268949786765e-14,2.5796143719879974e-15,8.373899589478219e-16,-3.306604953359051e-14,-1.6571183171842235e-14,-3.9544284188129747e-13,-1.0989891283814669e-13,1.482960832242573e-15,-1.9563049393488402e-16,-5.528802154379842e-18,3.118909154098246e-20,5.272207873009839e-19,3.270316732548991e-15,8.745756215872321e-16,8.263900492408227e-14,1.6112900479980272e-12,2.9025196100086414e-16,2.6654799446777204e-15,2.6142802796637107e-12,7.152606789995594e-13
100,1.5206816947506426e-09,1.910750352379049e-07,7.868194618161878e-09,-3.899907071964665e-12,3.27493451291829e-11,1.4896853177717482e-10,4.699801785354016e-10,1.626932878003716e-11,-8.030679697785657e-12,1.0596051843185855e-13,-9.76338668891223e-14,1.1179352753736026e-15,-4.897036446037987e-16,-1.4055968035961058e-14,-1.6163247627254627e-14,2.501791051247208e-13,2.9726692932277247e-13,-1.3946983895301245e-14,-6.85429900506143e-17,1.3679894856213131e-18,-4.674332427971697e-20,-9.192753247981978e-19,-2.4219803839187635e-15,-1.1109798757767264e-16,3.49387886301889e-14,-9.378460045087705e-13,5.589643276974497e-17,1.95061327504174e-16,2.010433835590196e-12,-7.823382083189038e-13
200,6.460457309346517e-10,1.9036645764778117e-07,8.133848234461891e-09,9.144592571897953e-12,7.165201634974215e-11,-2.316009966541887e-10,1.2175541605324753e-09,-1.8081921241722836e-11,2.8472902775128816e-11,1.9327126073541263e-13,3.832990729437622e-14,-2.2503265905766513e-15,3.657795699394276e-15,3.2271984661735777e-15,7.256788707152112e-15,1.1176858472815277e-12,9.824297073927285e-13,1.2321047292642757e-14,-5.928753889793935e-16,-5.034126533105327e-18,1.070891619741935e-20,-9.28571644955388e-19,2.1771898348706736e-15,7.793300114854085e-16,1.0187075173871002e-12,-1.470180028829793e-12,3.4663858067758927e-16,-2.95081467208452e-15,3.052969860089186e-12,-6.280557052726734e-13
300,3.886256311812333e-10,1.903615381537892e-07,7.440549908466629e-09,8.522001658735364e-12,1.0810543329420516e-10,4.4802617348220337e-10,2.01962800485136e-09,8.920299416138809e-12,1.1284634552011969e-11,2.000047592572882e-13,1.127680733515663e-13,1.913304341811985e-15,8.149477939915388e-15,3.3219339395304026e-14,-1.50337438349145e-14,5.382131264970075e-13,6.517464210626093e-13,2.9729100029432728e-15,-1.0958696064565364e-16,2.089120238187182e-18,-1.8064201209628906e-20,9.002637157642615e-19,2.4560511298516378e-14,1.1933645370550384e-15,1.4137687338151469e-12,-2.306747746913168e-12,3.0444816302223246e-16,-9.879157970902103e-16,2.2765691920053343e-12,1.5447499429390765e-12
400,3.843091742034236e-10,1.9030183421945878e-07,6.8520563429555724e-09,2.4373314024191345e-11,1.3150434311232228e-10,6.873327767034446e-10,2.438844300745164e-09,7.836507512121278e-12,5.1532241541275453e-11,1.536853151856383e-13,3.1895448904306043e-13,-2.2650299537101403e-15,1.2724915221150726e-14,3.091035699543431e-14,1.4234846946066045e-14,8.633715474784539e-13,9.70697673494453e-13,7.69222443702288e-15,6.180558913911036e-16,-4.398044902270806e-18,-1.4997108022668762e-19,3.3915842124491646e-19,1.6967266151613474e-14,-3.931803342520493e-16,-6.40121611957464e-13,2.267426769914222e-12,1.3012486341528062e-16,-1.728296522615698e-15,-1.4048527706268647e-12,2.6509957330638193e-14
500,3.19555402693688e-10,1.8946870799475902e-07,6.44662602771795e-09,2.888513825638782e-11,1.5446887061224044e-10,1.5300690500403921e-10,3.036730749619458e-09,6.904313200319157e-12,7.974576836566095e-11,3.551789923536472e-14,2.9197718341820247e-13,4.541930592357988e-15,1.7580681288609836e-14,-1.452640126268848e-14,6.3905858608424975e-15,1.5432327136194929e-12,1.3671113577001944e-12,-5.440865784386328e-16,-4.402939049093431e-16,7.280887618059928e-18,6.767917697113795e-20,-1.4174537441719425e-19,6.054601858810825e-15,1.0066616293249954e-15,2.8648458607959303e-12,3.5939992410148752e-12,-1.1395518264094204e-16,-2.581731253620573e-15,3.961612160445582e-12,2.036212171176421e-12
600,3.0453727031087443e-10,1.8950120584771624e-07,6.040924783193143e-09,5.4050369582035095e-11,1.619431433691974e-10,1.0170700629425986e-09,3.2423683374273743e-09,1.476613660853326e-11,1.0349547278716804e-10,-1.6861367966629868e-13,4.4970246949780576e-13,2.4663252567915734e-15,2.0802633309302405e-14,3.808339681152525e-14,4.172314504028524e-14,1.9784727274248898e-12,1.7458568970175153e-12,3.4241947896292603e-15,5.7451534625272055e-16,-5.476240774254283e-18,1.6139778161834336e-19,7.328716436249287e-19,9.401129600294644e-15,1.2661821409761018e-15,1.4259833550638627e-12,1.912483936970822e-12,4.446465745845799e-16,2.257724071542225e-15,-3.90154631290553e-12,2.1482941705706675e-12
700,3.43806792962177e-10,1.8878651039292342e-07,5.5432435172137835e-09,5.4140717595946156e-11,1.7341827577590033e-10,7.40402665807225e-10,3.6263708868937563e-09,4.156097609993477e-12,1.5646268500676803e-10,-7.81286939510343e-14,6.563002862942231e-13,1.4010885228225857e-15,2.7312807537552943e-14,-1.4467155990156554e-14,5.1207668668898626e-15,2.729892531574643e-12,2.3756303814048286e-12,6.3023193624282325e-15,-7.117457337021627e-17,-3.56067266961302e-21,1.6545139191970142e-19,-6.073724004918295e-19,3.041253510947351e-14,-4.980223409405211e-16,3.3996347165983144e-12,1.9238851178029804e-12,3.854128174418136e-16,2.9396394561294262e-15,1.0551750967785556e-14,2.135373681616054e-12
800,3.6599434414743726e-10,1.892837149835596e-07,5.376356563918881e-09,6.160920893932175e-11,1.785942292626709e-10,1.5280519863297408e-09,3.8011992874295995e-09,2.935643004879032e-11,1.6002201711989792e-10,7.451062817301014e-14,8.469840277878384e-13,7.496818276233792e-15,3.1329127033342793e-14,3.024879276640138e-14,5.687473205882227e-14,2.715771768903064e-12,2.7360102310127273e-12,7.881334082750004e-15,8.03994648289542e-16,-5.948557084464832e-19,8.32884398849291e-21,-5.748737719388884e-19,3.6035299432495646e-14,1.4757536886853715e-15,1.997100593500529e-12,5.253141268786574e-12,6.922901955625298e-16,-2.725332547410636e-15,5.967631845446902e-12,4.1496681964189015e-12
900,2.7522730220744195e-10,1.8894892702333743e-07,5.006358653807606e-09,6.604466370624113e-11,1.8234648873766836e-10,1.609886859603387e-09,4.210165898422268e-09,2.804052624502917e-11,2.0962318616285942e-10,2.9906634700963376e-13,1.0279782231151226e-12,1.200171167448346e-14,3.560776188688499e-14,-1.5108368418742551e-15,8.217759234569513e-14,2.7811346034463205e-12,2.73921176478914e-12,1.475844117564731e-14,-4.655958545656448e-17,1.3754565888574574e-18,1.7826060247016091e-19,-8.470909707715984e-19,2.6299792780870014e-14,1.023663316432846e-15,4.4559518171375845e-12,4.049118004503426e-12,4.4212248201681054e-16,9.216830801322851e-16,3.638987576414816e-12,4.826014425979047e-12
1000,4.2618258110656343e-10,1.8794862094155058e-07,4.834255533909667e-09,9.170376642297457e-11,1.816826653913922e-10,2.205901839695086e-09,4.446397317646416e-09,8.784812390297757e-11,2.2250445615200477e-10,3.914530310443239e-13,1.112766404983661e-12,1.341913242944845e-14,3.662770967570608e-14,3.756906100560858e-14,8.902715650464065e-14,3.681226504765111e-12,3.3192877526657713e-12,1.8803605613641655e-14,-9.842034926126042e-18,1.4002367772323026e-18,-5.475606738681535e-20,-2.369969707974138e-19,3.2403236224949175e-14,1.285054195653133e-15,4.598762774869299e-12,5.693073903466368e-12,1.7132073308477776e-16,2.8192509300100835e-16,-1.9973443402611795e-12,4.506932178964746e-12
