milliseconds,X,Xa,Xa_ATIII,PL,PT,Va,IIa,V,II,IIa_alpha2M,IIa_ATIII,RVV
0,0.2011847049617781,-2.3753010252597227e-05,0.00011106898920030781,0.049999989914737475,1.3836461156699132e-10,7.755065358493358e-06,0.00016685488448082747,0.030006220222955755,1.402822767944257,-0.0009863681039085845,0.0032776452517372136,0.03
100,0.1957055510298438,0.00467049505599604,-0.00017924032974758666,0.04999998976445153,-2.5488221960430945e-11,-7.0588607885450114e-06,0.00338567017864143,0.02999309809216209,1.400964010403026,0.0008041947782494835,-0.003601097033848247,0.03
200,0.18847405157146266,0.0077300432782678235,0.0058907588406119545,0.04999998991133008,-1.6938647885000797e-10,-1.4897305987960915e-06,0.009204854766228268,0.02999460738941693,1.3849022544247795,-0.0006660297307822927,-0.003066184090281091,0.03
300,0.18071370054913868,0.00939307066104729,0.006373452615738447,0.049999989992212925,2.7893180996644483e-10,1.2617560522668404e-05,0.018083091800344064,0.029994438260775018,1.37975239332628,-0.0006051240397910385,0.005728578083127876,0.03
400,0.17921379468842918,0.010275904421010363,0.012972610944169417,0.049999989417246045,2.9633147327714616e-10,6.2595069450553105e-06,0.027397369936427406,0.029996831335815335,1.3627416695067596,0.0014156814976778592,-0.0005585230193233667,0.03
500,0.1709930819858843,0.010856515689462162,0.018097999784919425,0.04999998885734504,1.2726680378159506e-09,1.6921073619308013e-05,0.03758318190504028,0.0299870888011232,1.3539259373437136,0.000795709999657089,0.0023545731335285628,0.03
600,0.16560359667996966,0.011051055802773907,0.019877170448072693,0.049999988376535034,1.7248945464343435e-09,2.198569567269276e-05,0.046704090385119364,0.029972230564566243,1.3402284629046488,0.0030152804200166933,0.006320651745801534,0.03
700,0.16206775156660458,0.010829613492535537,0.02678074541969011,0.04999998753985956,2.2608404014477943e-09,2.9469179202662436e-05,0.05551642604654665,0.029974662292484945,1.332051356149604,0.0032707990835552534,0.010474881526576104,0.03
800,0.1562966690222271,0.010934775018815108,0.03075745793114533,0.04999998704493035,3.2110019330160447e-09,4.00954881898645e-05,0.06235035281977631,0.02996690748879963,1.3121716917943151,0.0032906568006895267,0.01999691760213885,0.03
900,0.15208463601935795,0.01057730383633439,0.03807391309537614,0.049999986001271944,3.5523222178721692e-09,3.842560730565009e-05,0.06781889889368455,0.02995097369380945,1.2984840444673764,0.00606723617753298,0.024182549756386604,0.03
1000,0.14760260836869968,0.010391961967104173,0.04120598199180503,0.049999985457828154,4.292075516442748e-09,6.182278875979261e-05,0.07467017349066926,0.029936952798177922,1.2866037731198987,0.006650498447830886,0.02400122029951481,0.03
1100,0.14234343889350662,0.010000806487068907,0.046973478235812556,0.0499999846055588,5.3960811750608125e-09,7.229789626889652e-05,0.07946225319336299,0.029924261307853712,1.2751513915247286,0.007565197644357608,0.03504253574073433,0.03
1200,0.14019532536278245,0.00995439100061358,0.052286334923776046,0.04999998376991219,6.082306110828305e-09,8.701682420980235e-05,0.08183091293454138,0.029911301383231982,1.2613666354501898,0.010048198439982546,0.037209547769185156,0.03
1300,0.13382445213957603,0.009698310343773258,0.05656514198722294,0.04999998279176622,7.257303323941269e-09,9.903449163135501e-05,0.08625535614712806,0.029901863612951676,1.2610048514901069,0.010743845138704976,0.04807436097087587,0.03
1400,0.1298422162009991,0.009245883781559536,0.05902429212746892,0.049999982095001776,7.624449036255484e-09,0.00011186738470539112,0.08847821483259907,0.029889389545726935,1.2458848822795248,0.012740140350963812,0.051356558575149716,0.03
1500,0.12735189523745405,0.008999002421075623,0.06267427720311966,0.0499999816440553,8.581543280359889e-09,0.00013071600844503256,0.09004364740731968,0.029879771611569572,1.2332728457923818,0.013980629115793869,0.0623667106637716,0.03
1600,0.12276352502583962,0.008741246399665004,0.06965702480806632,0.04999998101994055,9.201171282860397e-09,0.000135338885158576,0.09174542121151077,0.029853975837770726,1.2269540030447745,0.016178048735815093,0.07044501321623449,0.03
1700,0.11978349860912636,0.008416858817389272,0.0732215148515672,0.04999998015273938,1.0071053249753357e-08,0.00014284919350448952,0.09442808731610727,0.029850564664968215,1.214547750946569,0.017321955195124302,0.07582821086840053,0.03
1800,0.11489116336430397,0.008409648430246105,0.07553111174941275,0.049999979176878,1.0638006538058804e-08,0.00017079218548434684,0.09592345271452146,0.029835357356786864,1.2022771479634253,0.01942459326915126,0.08090801198122252,0.03
1900,0.1108110786647089,0.008040668309990036,0.07842425772632684,0.04999997860674698,1.1373312209667535e-08,0.00017222968466860697,0.09625382029118239,0.02982673115654492,1.1885173371006716,0.01950996479125317,0.09485847278508068,0.03
2000,0.10921329264992999,0.007694905771017813,0.08226896048134806,0.04999997842730984,1.2000591264465709e-08,0.00020483411003013348,0.09473548479737999,0.029808724085973796,1.1849637907790156,0.022165351231497012,0.09481848638068105,0.03
2100,0.10567567445818105,0.007480037616597114,0.08745678029310049,0.04999997787334789,1.2456004990073928e-08,0.00021621517820697182,0.09611686080694666,0.029783220930916073,1.1803283201116241,0.022953088690107055,0.10380705135210735,0.03
2200,0.10419693933622448,0.007379245355178344,0.09112954641422394,0.04999997735333089,1.2607891851844395e-08,0.00023455115790398912,0.09472521383749498,0.02978259828150486,1.1658922522062651,0.026160245911921454,0.1120986071214276,0.03
2300,0.10211788023241149,0.007249230791650805,0.09254424943692564,0.04999997662765755,1.3173298109471526e-08,0.00023790056695111803,0.0949743219760112,0.029762837974217436,1.1603286091032643,0.02750928934443011,0.11889385380354384,0.03
2400,0.09694707876710851,0.006987645552158457,0.09388789380571601,0.04999997650620802,1.3804902493426064e-08,0.00025373619889081886,0.09479275135773094,0.029740540136929918,1.1513289816966044,0.028292444481655767,0.12375653235347393,0.03
2500,0.0963864859115898,0.006663300445738221,0.0977076430462203,0.0499999761095551,1.385489791005708e-08,0.0002773589533412547,0.09237082464853526,0.029726178320558932,1.1403536036136577,0.03027691430601648,0.13627933899536587,0.03
2600,0.09053809866948317,0.006490654310777568,0.10216946623958781,0.04999997563783558,1.4389941247279984e-08,0.00029028457489925675,0.0923474528607865,0.029717970584996135,1.1272778772112084,0.031096453903670628,0.14491395349667016,0.03
2700,0.08738224086151031,0.006210793146992702,0.10403174186147283,0.049999975767551136,1.432611846520176e-08,0.0002962088259336244,0.09112090776996132,0.02970516663254332,1.120097193587312,0.03330255410790477,0.14771351914129152,0.03
2800,0.08531188093049782,0.006103269967724947,0.10878020645067486,0.049999975448331124,1.4771071563486838e-08,0.000316813677155194,0.08841193044598016,0.02967957654649684,1.1223611748226243,0.03611183782198772,0.1542877166375889,0.03
2900,0.08555154661061772,0.0058646442689122575,0.1117703257998128,0.049999975284999075,1.5066582280894437e-08,0.00033425839931655875,0.0875604790701921,0.029665948006117906,1.116533288452626,0.036391557928306124,0.16291939008432713,0.03
3000,0.08114538363103012,0.005661358139700474,0.1144496092066795,0.049999975042600356,1.528854965483932e-08,0.00033679574349855366,0.08732393728698759,0.029659934438628084,1.1025773218224555,0.03825225041832224,0.1727050428179494,0.03
3100,0.07712569354928336,0.005613375518323103,0.11776543454040225,0.04999997471771421,1.5065318357773193e-08,0.00036094524165239926,0.08568593815174007,0.02963761524237496,1.0988669483113829,0.040052129002170256,0.17341872668005057,0.03
3200,0.07726562998618754,0.00536749379513097,0.11822075721422848,0.04999997479825855,1.5296290030565002e-08,0.0003576085920845573,0.08306192197201952,0.02962526489999951,1.0917578672702188,0.04224092614124446,0.18855370819233921,0.03
3300,0.0726389728079363,0.005287640119688879,0.12106504938299605,0.049999974730901245,1.5343473389269488e-08,0.00038280973836951545,0.08030191913000183,0.029622963705301156,1.0880809408486014,0.04329903647416404,0.18670050171658828,0.03
3400,0.0713087232689528,0.005186605925767022,0.12538677988459573,0.049999974606154546,1.5222446456695683e-08,0.0003953826054969242,0.08081221272390984,0.029616566496054358,1.0845386205850296,0.04464093040100997,0.1951153285959654,0.03
3500,0.06853021690105303,0.004950187991713116,0.12621251802064268,0.04999997465955732,1.5260599219172007e-08,0.00041132150766929986,0.07753866270259382,0.02959374211334073,1.074101606563631,0.04555972665534926,0.2062961544919798,0.03
3600,0.06739651438824094,0.004875382624758703,0.1292759338934411,0.049999974475021365,1.5236744863812568e-08,0.0004189752502207136,0.07575763107708022,0.029592683019437637,1.0671457437036584,0.047610830446255296,0.21304359651485405,0.03
3700,0.0640895207468131,0.004747658093983544,0.12756283332364385,0.04999997487933827,1.515901911014458e-08,0.0004353878431650403,0.07539100868144114,0.029571739940028065,1.0584622363512335,0.04835969104260833,0.2143244588326037,0.03
3800,0.06337592154015839,0.004564895580826927,0.13012604300357544,0.04999997460362612,1.53771169309111e-08,0.00042985057268904263,0.07397793865259944,0.029566225198298286,1.050297854822153,0.04930345543058059,0.22282718958196077,0.03
3900,0.06285634877682132,0.004322997348966272,0.13289267857914847,0.04999997453081855,1.4972689567666583e-08,0.000453713957866762,0.07207799189760662,0.029542184445846126,1.0492946688569549,0.05157674368326604,0.22971040583608707,0.03
4000,0.060249465075949846,0.004297428290749975,0.1355882641539349,0.04999997500886401,1.5124437615795762e-08,0.0004691700821225331,0.06920312463539278,0.029530292268175103,1.0494058630774878,0.05294772092014222,0.23277806705684742,0.03
4100,0.057254140086325817,0.0042400180794356325,0.13698430240319945,0.049999975071727217,1.5042638594423345e-08,0.00047523985908898015,0.0681447380257503,0.02952550053906774,1.0418765747283456,0.05263518173862427,0.23328387711046447,0.03
4200,0.05486498862168295,0.003967223535223573,0.13943553442222464,0.04999997522996126,1.4693279323066492e-08,0.00048339069938210165,0.06600091925954311,0.029523085181162066,1.0368600988128522,0.05508127954210416,0.2462535738695879,0.03
4300,0.05363623336783961,0.003835533285109001,0.14084300244050998,0.04999997498859825,1.4805584965341341e-08,0.0004958338637301914,0.06521408881912308,0.029499768774507402,1.0270527278156754,0.054818050250193914,0.24560602997670264,0.03
4400,0.05305472806680573,0.0037965735450354557,0.14439017097757295,0.04999997514775109,1.4687836304278798e-08,0.0005003700951427988,0.06228151142851179,0.029501691648000997,1.0233976332497428,0.05773431560924935,0.2560330526338345,0.03
4500,0.05188273080301893,0.003624727728233621,0.14475811853371529,0.04999997532520845,1.4557055400853935e-08,0.0005071310698138052,0.06102716992090357,0.02949275637208452,1.0252568594490832,0.05858978144882734,0.2576003781808303,0.03
4600,0.05054757943174498,0.003661239768278818,0.14647069129567464,0.049999975486201824,1.4091349278536475e-08,0.0005299986024881033,0.05927706020351319,0.029488076053949347,1.0220530016477103,0.05798675445304955,0.2589023448352651,0.03
4700,0.05048733422103974,0.0033673940090046444,0.14874009386401088,0.049999975763104026,1.4137135426826162e-08,0.0005342803163545731,0.05721439243172788,0.02947092512273935,1.012116703178936,0.05958011601398225,0.26350104516777983,0.03
4800,0.04817208708529669,0.0033869484841854967,0.14773962607302132,0.04999997630288156,1.400291444660746e-08,0.0005310051285229817,0.05570983295483947,0.029461492304972275,1.0109735923370338,0.06063038127091415,0.2711298596588409,0.03
4900,0.04481487369142914,0.0032569967729601038,0.15234241380281538,0.0499999761644936,1.3597435298916255e-08,0.0005443682693464971,0.054620131389833695,0.029454055189544495,1.0071505706032255,0.06146627067660943,0.27449894845400585,0.03
5000,0.043362407798630126,0.0032924529431859082,0.1522394443306882,0.04999997649576756,1.324630984825953e-08,0.0005480796255920459,0.052824490056497586,0.029438101557476164,0.9981030634344936,0.062320401743120236,0.28347849697466043,0.03
