milliseconds,V_membrane,n,s
0,-67.49889739091904,0.012454810177801513,0.024962753015374928
100,-67.49863403846012,0.012401021045802528,0.02496254744836995
200,-67.49805897990423,0.012342135023151516,0.024962547927282336
300,-67.49788268473364,0.012276960461037106,0.02496243885404571
400,-67.49765705104195,0.012264716970534387,0.02496229869878278
500,-67.4969409480133,0.012167140024096034,0.024962231650322995
600,-67.49675733672242,0.0121477458146224,0.024962093615480074
700,-67.49632537556903,0.01209802863654528,0.024961989885845727
800,-67.49605701157702,0.01203961306471012,0.02496187783244633
900,-67.4956065503507,0.011992137295975813,0.02496167253532329
1000,-67.49496395465658,0.011955165324812791,0.02496164085986249
1100,-67.49438743881873,0.011880988238629916,0.024961475576563072
1200,-67.49391534000112,0.011869796708842289,0.024961400627207725
1300,-67.49348417769481,0.011788432943991694,0.024961229245212758
1400,-67.49307065182997,0.011728580442198261,0.024961229794994516
1500,-67.492624982087,0.011734217787936546,0.024961021400109234
1600,-67.49197264184694,0.01162485790739927,0.024960982506383136
1700,-67.49137471571453,0.011609882204551215,0.024960927523394225
1800,-67.49085458374299,0.011608666089110396,0.024960759445202083
1900,-67.49019768205818,0.01154078678667012,0.024960680204570675
2000,-67.48945056861432,0.011468051928466666,0.024960500014938696
2100,-67.48891670639372,0.011476483958501059,0.02496043818012247
2200,-67.48835994664147,0.011384611290847406,0.02496031844216891
2300,-67.48748576001248,0.011334440464016536,0.024960288396322236
2400,-67.48676978847271,0.011266154122270442,0.02496007359530267
2500,-67.48632104787438,0.011282917039956413,0.024959963056221987
2600,-67.4856584702839,0.0112266070316714,0.02495987092144591
2700,-67.48472414569173,0.011166157875766233,0.024959860067183565
2800,-67.48388623604293,0.011098122189035975,0.02495971995277884
2900,-67.48319159131131,0.011104670624251564,0.024959612063031735
3000,-67.482411253817,0.011017983871774979,0.024959436901028607
3100,-67.481725104086,0.010996686732239181,0.02495942246371069
3200,-67.4807097704021,0.010912387182327756,0.024959332020656175
3300,-67.48006386940655,0.01090207557648898,0.02495913639590892
3400,-67.47931510388794,0.0108545206975127,0.024959105195523936
3500,-67.47836370597823,0.010784822581154485,0.024958995683667648
3600,-67.4773896879297,0.010817959465720657,0.024958802760739193
3700,-67.47662358040327,0.010700187224891801,0.02495867177647682
3800,-67.47577096490859,0.010715481650374139,0.024958527785346598
3900,-67.47489690674045,0.010647648850323389,0.02495847281322027
4000,-67.47386558411829,0.010643906812133204,0.024958387386368536
4100,-67.47301361114256,0.01054364691984719,0.024958264449660834
4200,-67.47187496182026,0.010509346068852721,0.024958167844317224
4300,-67.47096063357557,0.010451600368367824,0.024958029802617993
4400,-67.47017292537207,0.010433691451981137,0.024957996426732007
4500,-67.469198755785,0.010409599878342163,0.02495780243893261
4600,-67.4681882730099,0.010368059861246746,0.024957744209986813
4700,-67.46722876156072,0.010314572994344507,0.024957658939408336
4800,-67.4659587376503,0.010240318873333609,0.024957502061275987
4900,-67.46511196964768,0.01022966350642333,0.024957339942100837
5000,-67.46411662717215,0.010186575646502294,0.024957318990417435
