miliseconds,V,n,c,cer,g6p,fbp,adp
0,-66.58612768929012,0.007183163488676029,0.2260429328325427,185.44959894408024,199.95624091596673,39.98982116593786,780.0614538148864
100,-66.61223359571406,0.007194929182481865,0.2260350775810676,185.45190865825876,199.95596090686564,39.98973831046654,780.0615819812052
200,-66.60616438326892,0.007136339043830589,0.22591905554398553,185.45440146067742,199.95581908388405,39.98971416346169,780.0619623824613
300,-66.6194763866796,0.007112786869388848,0.22583418354603269,185.455451970579,199.95574507281083,39.989691715615436,780.0620872289038
400,-66.63806542645538,0.007081513351276809,0.22573848768393298,185.4577349347433,199.95534368287713,39.98961522723948,780.0621607838782
500,-66.6561029894197,0.0070242956051091545,0.2256838562627474,185.4583963694231,199.9553328973811,39.98957547584529,780.0623125259358
600,-66.6661488250902,0.0069967964076063345,0.2255422605715267,185.45932187667123,199.95507601167284,39.98954007557935,780.0626494018576
700,-66.67392040511291,0.006960997969704413,0.22541786400507946,185.46089834346807,199.9549777253374,39.98952716872166,780.0627705840262
800,-66.68514421966684,0.006949612068715225,0.22536649242326717,185.46472723587524,199.95464176083175,39.98949410752211,780.0630946357172
900,-66.70307809324795,0.00691286509984891,0.2253355428632922,185.4658276170965,199.9544825320195,39.98940831585601,780.0635069377549
1000,-66.70477302085212,0.006867708282717616,0.2252041426718084,185.46783605449232,199.95437014438045,39.989413278942195,780.0637611430598
1100,-66.72806811092588,0.006815226952843036,0.22503818077421095,185.46826542932016,199.95430629013515,39.989377937429325,780.0638277164453
1200,-66.73033707414686,0.006789257851727746,0.22498613554895358,185.47066187885537,199.9541400651872,39.989287537268815,780.064219844817
1300,-66.75405028780976,0.006726710944221427,0.22491016863394853,185.47145777367908,199.95392647560126,39.98927237007076,780.0642339457459
1400,-66.7528079149756,0.006734483654595896,0.22477723269802619,185.47365608937474,199.9538079761193,39.98925619258081,780.0646941987391
1500,-66.7822793242019,0.0067136269918128145,0.22479695309352515,185.47532945754563,199.953647055708,39.98918798129391,780.0646744212713
1600,-66.7845584147808,0.006628204357186972,0.2246375512101838,185.47637662607852,199.9533686511312,39.98916588558075,780.0650513761102
1700,-66.799878570031,0.00662936913673545,0.2245427059155783,185.47971010550162,199.9531745704022,39.98908682208303,780.0652302826635
1800,-66.80285435152157,0.00659946361833737,0.22445186789947888,185.4801904836426,199.95294662194522,39.98904131244982,780.065495749613
1900,-66.80769144431471,0.006567278372676667,0.22434651958611426,185.48097471853094,199.95284135597424,39.98900315214264,780.0657380887152
2000,-66.83726448000742,0.006527928204578945,0.2242980008149482,185.48375583674422,199.95271139762357,39.98900844685511,780.0657296322963
2100,-66.83100279715823,0.0065039725026154035,0.22421195119937046,185.48467655401234,199.9525545484292,39.98892248297937,780.0661170598211
2200,-66.86048282216062,0.00647418645402668,0.2241280902418574,185.48682426520367,199.952261829086,39.988903944966204,780.0663904028428
2300,-66.860905565531,0.006425505320198506,0.22408963344092842,185.48800743553952,199.952229761984,39.98883918866194,780.0664057832228
2400,-66.87899807766054,0.006408765694987894,0.22395137470674908,185.49109673067267,199.95207035379485,39.98882486830244,780.0667243492602
2500,-66.87890888596482,0.0063507094093283745,0.22382356423149483,185.49239373204085,199.9517975327658,39.98876331875445,780.0668685269583
2600,-66.89153051447471,0.006334342399632483,0.22375542244562802,185.49314736694433,199.9516924097038,39.98873221483815,780.067155557064
2700,-66.914609392589,0.006308462392464535,0.2237246715428873,185.49479894538536,199.9513560689626,39.98870170152921,780.0675888469293
2800,-66.92172316286891,0.006257991698386054,0.22360262465556247,185.49624250382604,199.9512473636196,39.98863024040989,780.0676736192509
2900,-66.93006064994617,0.006234271560820968,0.223438067942878,185.4992909646679,199.95110029871282,39.98860451247594,780.0680537147565
3000,-66.94390648621838,0.006212486813645682,0.2233800589614735,185.4990979171192,199.95099465556515,39.98858245364409,780.0679882241868
3100,-66.9471175072593,0.0061825569370643416,0.22326409394801044,185.5020609825152,199.95061248616943,39.98852733683419,780.0682469487468
3200,-66.96236828742406,0.006166427794100286,0.22318249554653286,185.50288655167952,199.95047806679943,39.988507569426,780.0687539544549
3300,-66.97725857575516,0.0061333879947755,0.2231202148487528,185.5048237099474,199.95031531225493,39.988458001396424,780.0686719259123
3400,-66.99191037950854,0.006060545926164535,0.22302824951040487,185.50646470522418,199.95008806026178,39.98841616509037,780.0691152151785
3500,-66.99194081782413,0.006053339215914248,0.22291286048198397,185.5087041397747,199.94988483063747,39.98834616736258,780.0691759532098
3600,-67.00270441092202,0.006027743667047875,0.22283779505077378,185.5089472152256,199.94994146712804,39.98831850410617,780.0695138418645
3700,-67.00486063451469,0.006009375883581196,0.22274467818721955,185.51012981577213,199.94972336037284,39.98830993965098,780.0696952679598
3800,-67.02815630784077,0.0059575971470336,0.22273789177224407,185.51245110246126,199.94951536901496,39.988254990592566,780.0698819253176
3900,-67.0329138645125,0.00591357115078571,0.222537509744177,185.5145763736502,199.9493258461771,39.988228221296694,780.0700859797128
4000,-67.05227727255132,0.0058837744635505595,0.22252632896999672,185.51567566999526,199.94915218287477,39.98816632436756,780.0702946443772
4100,-67.04681249462361,0.005884961808488651,0.22246736054714394,185.51759313869783,199.9489422286205,39.988121770685915,780.0705754842046
4200,-67.06288773060099,0.005841001495071329,0.22237507277543775,185.5179193732357,199.94883283319726,39.9880706202481,780.0709224434983
4300,-67.08145022845832,0.005822005740177327,0.22230663701451256,185.52058989326548,199.94872109015625,39.98805873345189,780.0712318378388
4400,-67.07916073363144,0.005774988192949198,0.22214820390937096,185.52270836340443,199.94851171484214,39.98802853145681,780.0711455651998
4500,-67.09528507108809,0.0057396309186299975,0.222104069985075,185.52511437750374,199.94830954079276,39.987987679043826,780.0716427891401
4600,-67.11203720589943,0.00571995938791522,0.22197724799652646,185.52532235170037,199.94808185130654,39.987943259410656,780.0716643712462
4700,-67.12262249494239,0.005727928253342735,0.22187282835293964,185.52732707514647,199.94792962107715,39.98785751755513,780.0720079657875
4800,-67.11881072521378,0.005658814808732021,0.22181297960596236,185.52865453341218,199.94780312130655,39.987818597574204,780.0721802323176
4900,-67.13913004208965,0.005628281321304504,0.2217755749794385,185.52960709545906,199.94756858746933,39.98781553620275,780.072400001263
5000,-67.15314814914973,0.005631059243514777,0.22159330122713505,185.53109080488446,199.94732462116855,39.987741458129236,780.0725859864248
