milliseconds,Clb2,Cdc20,Cdh1,securinT,separaseT,securinseparase,Net1,Net1Cdc14,PoloT,Polo,Tem1,Cdc15,MEN
0,0.9975051495396643,0.0019649850127685113,3.7988624643007847e-05,0.5978062477558385,0.25,0.24798627070678736,0.09795937214716251,0.48500988713715193,0.9899919398164355,0.9450383741759084,0.0038902273445455345,0.025691721552927094,7.999077976592662e-06
100,0.9973173188683192,0.0028271325651882534,3.8452346531624255e-05,0.5974812962639388,0.25,0.24848752504460442,0.09797331593323136,0.4850569069316686,0.9900129984925664,0.9439870433575253,0.0038883120259478564,0.025716218543451574,8.17406295955949e-06
200,0.9964735427073198,0.004636032774751185,3.8441259189681904e-05,0.5946754780264873,0.25,0.24853876987535375,0.09800545442986709,0.48507338014241963,0.9900200067903359,0.9428862095652608,0.003877074669455824,0.025717793019064728,8.184198525860685e-06
300,0.9964954667184008,0.004039689408498751,3.8439599043966134e-05,0.6010488462516026,0.25,0.2485291865169489,0.09805978232082123,0.4850500065207276,0.9900164590906078,0.9419933298188716,0.003870318488849124,0.025715535706588303,8.15806066139039e-06
400,0.9975579075620765,0.004053604209817197,3.843465942750887e-05,0.5985944605576364,0.25,0.24847316656126342,0.09799508120033516,0.48506707948777,0.9900414595213801,0.9413565544567234,0.0038674680413659755,0.025745015251951733,8.15731515145736e-06
500,0.9961647261115553,0.008504258215060819,3.842955882390064e-05,0.5944421001116322,0.25,0.24845036772217932,0.0979801520165101,0.4850693136732847,0.9900562926282753,0.9403705616918845,0.003864038963423789,0.02574540642171327,8.106022259832993e-06
600,0.9970864127772878,0.007595624459320071,3.8444975252513166e-05,0.5997826837945003,0.25,0.24845217281427137,0.09798656169078085,0.4850777856948765,0.9900550990596411,0.939879989390441,0.0038590538208058277,0.025753590761057515,8.117982874240015e-06
700,0.9961819047576937,0.008639193422598435,3.843014641283297e-05,0.6000183788460121,0.25,0.24843533452684552,0.0980958709122995,0.4850564486244282,0.9900558283856256,0.939348549536313,0.0038553553503821174,0.025737314817603187,8.123899280380033e-06
800,0.9963923113056241,0.010761629610921798,3.8432499110350753e-05,0.5921392584397948,0.25,0.2484175031822571,0.09802550517404876,0.48506418236271437,0.9900774845838626,0.9392719186557746,0.0038557330111270065,0.025764755715367287,8.104789827002042e-06
900,0.9950330442960966,0.012965632813093868,3.84334201128802e-05,0.5903952155699154,0.25,0.24844381384765235,0.09818203774073214,0.4850951507127987,0.9900682107314582,0.9385832640858998,0.0038583719541697404,0.025756233815168905,8.112468024657586e-06
1000,0.9956572173689,0.01400083574760216,3.8452990728004874e-05,0.5862892391087204,0.25,0.2483895278374609,0.09819668412770576,0.4851000836737774,0.9900776201058796,0.938187977321488,0.0038530772169512242,0.025766560204580874,8.103766817039521e-06
1100,0.9952956062566952,0.014716853394652929,3.8459940566974145e-05,0.5883061486162284,0.25,0.24839365826129128,0.09819440940247885,0.4850811744346581,0.9901091780284728,0.9382998901027808,0.0038499953502058658,0.02578683978230843,8.098382138442325e-06
1200,0.9955724967827168,0.01636951819522946,3.844490249508247e-05,0.5905171084833051,0.25,0.2484040012647542,0.09810333392260752,0.4850806774995985,0.9901029176368215,0.9377526121412681,0.00385301458436391,0.025790495563657992,8.13468618244035e-06
1300,0.9938571872325805,0.020003774461286976,3.8449722919096395e-05,0.589047684761506,0.25,0.2484352258051305,0.09808967793516714,0.4850842430100876,0.9901170081708764,0.9376102786585138,0.003848838799402402,0.02577415042598116,8.123285108956321e-06
1400,0.9940078804656685,0.021058713784982593,3.848237087249627e-05,0.5855542195909768,0.25,0.24839250351348274,0.0982253783224971,0.485109360381707,0.9901364581664919,0.9375426853360441,0.003852468716592836,0.02577927977522541,8.108361961903642e-06
1500,0.9943135422296622,0.022880328304431582,3.847960695240923e-05,0.5793854925526682,0.25,0.24832542804623597,0.09827346852795216,0.48510065481757153,0.990139648835924,0.9372910243842099,0.0038557771395321986,0.025786507842897658,8.103258894616957e-06
1600,0.994136597688157,0.02324960423829076,3.847477687642069e-05,0.5812782026625994,0.25,0.24831108978580763,0.09817046230290055,0.485121605725756,0.9901549801826864,0.9369677375945111,0.003855376747365642,0.025792290138014363,8.149533292117747e-06
1700,0.9919888371961436,0.023964904287997097,3.848969862953137e-05,0.5708836380451993,0.25,0.24828530921434608,0.09825095608550592,0.48514067873550243,0.9901580308356799,0.9369259831697114,0.003852493018460145,0.02582243508364001,8.1396759811967e-06
1800,0.993402602320125,0.024016939135188313,3.848501026578326e-05,0.5701485001137734,0.25,0.24834704545793265,0.09829528934908537,0.48511826688521975,0.9901511932765749,0.9367764509325441,0.0038520806046692074,0.025816675535318093,8.126706466091491e-06
1900,0.9927023917929716,0.028942434388565103,3.849269504997535e-05,0.571356202066704,0.25,0.2482530866654227,0.0984315801809818,0.4851238408511898,0.9901622705856394,0.9368670488537435,0.003854354303261227,0.025814867714774772,8.164085438688627e-06
2000,0.9907093544469026,0.027041742685951234,3.851896568211495e-05,0.5633952385926427,0.25,0.24829462264611474,0.09845547419208997,0.4851394662696673,0.990185548793784,0.9366925251011451,0.003860392247716886,0.025819082829364546,8.143018428774015e-06
2100,0.9915412040948883,0.030308980391974875,3.8530772048827855e-05,0.5611447136593325,0.25,0.24822271394621484,0.09841630621272004,0.4851419760872711,0.9901938951088142,0.9367514848226556,0.0038577252354788723,0.025824935303594764,8.16292615753279e-06
2200,0.9897256710161959,0.03138832606153592,3.852697112100076e-05,0.5600038792037659,0.25,0.24820052149521385,0.09851307080591762,0.4851768182686146,0.9901849982811336,0.9363245960912591,0.0038591747374122146,0.02584586215940064,8.19519480629836e-06
2300,0.9900101611666648,0.03412947368840449,3.852617003442629e-05,0.5546327856039109,0.25,0.2482170172549681,0.09858115062794784,0.48519262851847333,0.9902137897896904,0.9366432228728495,0.003865183499664202,0.025856472326471168,8.172730176271782e-06
2400,0.98833105548066,0.03250403484199403,3.853140487074176e-05,0.5541562983745648,0.25,0.24816048474810046,0.09864793983393537,0.48519102642122425,0.9902122782670328,0.9363465232815013,0.0038613238921715418,0.025872578619153628,8.226820155524872e-06
2500,0.9887731399273051,0.03688578305163413,3.853865736223069e-05,0.5499445682919343,0.25,0.24819668342920578,0.0985962344342531,0.48521705560544587,0.9902162936052409,0.9362791850381581,0.003867355901389219,0.025884525081354387,8.237594820184333e-06
2600,0.9877744512455563,0.03682403783141976,3.855035251456012e-05,0.5486784933771557,0.25,0.24814859765869574,0.0986819399785014,0.4852237565311868,0.9902320953337705,0.9362810806402817,0.0038672460157090052,0.025894062646414986,8.249618077591793e-06
2700,0.9861647275977218,0.039846338839303636,3.8563475648762866e-05,0.5407050309397854,0.25,0.24811397404046928,0.09884268799494615,0.4852263045155885,0.9902464840668953,0.9361795024139482,0.0038694531230299718,0.025901716523353626,8.245826702729929e-06
2800,0.9854239150955421,0.04095597737400668,3.8558840069229795e-05,0.5358467766247818,0.25,0.2480693303824354,0.09890138075106515,0.4852527670519102,0.9902511426948645,0.935908704394525,0.003871739886395277,0.025898463334829067,8.265963856115686e-06
2900,0.9849023396124418,0.04194156028697212,3.8571191741520536e-05,0.5367071255052427,0.25,0.24802730932748257,0.09894114633603686,0.4852650814518892,0.9902529212459638,0.9360707419052899,0.003879486882978121,0.025922631872763266,8.295024759743746e-06
3000,0.9840510911548277,0.04339580818193232,3.8569357855421067e-05,0.5359330365159143,0.25,0.2479969636788622,0.0990687843044496,0.4852642706485863,0.9902667250727831,0.9360693463800775,0.0038782118954915844,0.025917924122789985,8.286697756038935e-06
3100,0.9840115821894145,0.04294419761106021,3.858121976682912e-05,0.525735073650196,0.25,0.24800745488179476,0.0990534465206599,0.4852828167647126,0.9902673306005577,0.9360148249080571,0.003886162256603981,0.025933362588468595,8.294602314187037e-06
3200,0.9825036379295241,0.044210895296670785,3.859009571491837e-05,0.5197456286394879,0.25,0.24797753739777073,0.09908094316341536,0.4853021091010982,0.9902881446080046,0.9360853366190512,0.003890072666442262,0.02594298953486625,8.349216868200966e-06
3300,0.9831424765424676,0.04429280837094863,3.8601256957243506e-05,0.5215962603625097,0.25,0.24788830027994047,0.0991729990800381,0.4853256749402305,0.9902956537855142,0.9360223632842793,0.003887633721141696,0.025956865143777357,8.332748943264037e-06
3400,0.9822931263687099,0.04698349880055593,3.862512735629593e-05,0.5171348973026394,0.25,0.24782108447613374,0.09928812592410338,0.4853362715141553,0.9902971470525683,0.9359872561116493,0.0038984839577798185,0.02595622193133891,8.37321244302323e-06
3500,0.9807060227208023,0.04629828497363577,3.861291178166447e-05,0.5079022430803378,0.25,0.2478605702100887,0.09948181220260947,0.48535344775606426,0.9903163890703939,0.9355593647818565,0.003898476232512883,0.02598303498622772,8.37980495702971e-06
3600,0.9785992620101099,0.04915592556131255,3.862023515766205e-05,0.5026397198101044,0.25,0.24778528037001488,0.09954774949327731,0.48535204251289366,0.9903189285565336,0.935946006559073,0.0039033357325826785,0.02598235544181639,8.40519612456808e-06
3700,0.9785140401777406,0.04961324311970367,3.862525270758176e-05,0.501820203853682,0.25,0.247706145285067,0.09954601496440063,0.48538802284636334,0.9903171190382178,0.9359058214862145,0.003908497580408818,0.025996054198672094,8.418112238461575e-06
3800,0.9785687273367764,0.05181484008590747,3.864511453440337e-05,0.49221620062575855,0.25,0.24765939075655932,0.09966096103437677,0.4854231923426349,0.990340311954755,0.9356814858422602,0.00391361928772221,0.026009611228879598,8.449453029071769e-06
3900,0.9775239384663943,0.05208176424313772,3.866845799388467e-05,0.49643157498181506,0.25,0.2476168906928017,0.09984585435050557,0.48542854183050005,0.9903378805510986,0.9354660968898678,0.003914490688559444,0.026036535973587027,8.481860068386418e-06
4000,0.9766810942895221,0.05570408805989418,3.866258045402702e-05,0.48692357068459285,0.25,0.2476327255490534,0.09989787244484316,0.4854308596197104,0.9903505368413316,0.9355068995397127,0.003918087556847514,0.026032548285264884,8.529584476934517e-06
4100,0.9754149744512763,0.05648110563983535,3.868278560314301e-05,0.4852761153479304,0.25,0.247573003928129,0.10001227592249005,0.48546629269749236,0.990371308844852,0.935700062016646,0.00392583434035384,0.026071765476865374,8.544364047478276e-06
4200,0.9733321712285481,0.054972403507591326,3.867945613443212e-05,0.476034798014359,0.25,0.2475175105718308,0.09998621878317582,0.48547630626893595,0.9903591392279144,0.9355933804638016,0.003935708276774254,0.026078360024041004,8.56448120306656e-06
4300,0.9724210833856743,0.05805071595600583,3.870540793987339e-05,0.4685458416372949,0.25,0.2474136682813294,0.10011018219456763,0.48548883685190775,0.990379235022396,0.9352752943627114,0.00393484757751409,0.026086655838205217,8.616662248553502e-06
4400,0.9709443764148251,0.0577591762905085,3.8724893177313744e-05,0.4685751734572418,0.25,0.24740753305548743,0.1001974116109561,0.48550477331478775,0.9903874742709344,0.9352224168247952,0.003943147583702054,0.026100525577963097,8.635537356046711e-06
4500,0.9695646649652263,0.059974158320590575,3.8730667894472344e-05,0.46170976630701344,0.25,0.24731599568095627,0.10038951370210371,0.48554461989652464,0.9904106952993913,0.9353502049309458,0.003952969757461227,0.026115710494586858,8.660970653115498e-06
4600,0.969892916435753,0.06057910286861939,3.8748291675431314e-05,0.4570987250265699,0.25,0.24720872635596525,0.10034406998024223,0.485542378932604,0.9904147522340743,0.935099173199555,0.003955548944655771,0.026139815339715378,8.696048791186804e-06
4700,0.9676787416734135,0.06127758160078815,3.876109148830713e-05,0.4559902780730942,0.25,0.24720377582054778,0.1005267747013229,0.4855659255733039,0.9904211770990319,0.9353078899815305,0.003966685700876774,0.026171010586405877,8.734267980069141e-06
4800,0.9679249094775746,0.062253969121753135,3.877290280346466e-05,0.45128125050773565,0.25,0.24713996163568122,0.10061640999691715,0.48557988781121186,0.9904235896320925,0.935083437433922,0.003975376674345955,0.02618794341290017,8.781058779911983e-06
4900,0.966150056996391,0.06475606989072538,3.881745811300154e-05,0.44133753445941154,0.25,0.2470221879619571,0.10065160497578757,0.48560452468915416,0.9904239754449635,0.9351414994839913,0.003979766071576368,0.02620058925868487,8.818097492275896e-06
5000,0.9648641562379743,0.06758983557906276,3.881931748913367e-05,0.4350941833295458,0.25,0.24697427301310718,0.10076433198372312,0.485603896707061,0.9904523648388172,0.9347179381303987,0.003987722420734402,0.026208353864069604,8.874088098386501e-06
