miliseconds,species_1,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15
0,6.734784488946322e-05,-2.739132845992548e-09,4.909481487739697e-11,-4.582158144948662e-09,5.905817296238477e-09,1.0002471055502923e-08,-7.600555473748558e-09,-4.562486363275381e-09,1.7095681076311385e-09,-6.7019108286621605e-09
100,6.644182861535173e-05,3.6000940856461006e-07,2.851073799217083e-08,1.3031954709389103e-08,5.435162907819743e-09,6.369533110800263e-08,3.848261641173786e-08,1.6832461841191037e-08,1.3075371218748554e-08,3.8449069466382343e-07
200,6.541810401255133e-05,5.51648075682815e-07,5.711774134300634e-08,4.5983481544584236e-08,2.627334283341676e-08,1.9479840095642314e-07,4.131872841344843e-08,3.4394408362024967e-08,2.8657645219000336e-08,6.282055690991716e-07
300,6.473880898373222e-05,6.631793094511852e-07,8.355744574567918e-08,5.6393418367326255e-08,3.988556165296678e-08,2.8665224074711923e-07,9.053364182816312e-08,4.2734272013394434e-08,4.220261332037043e-08,7.739213103911614e-07
400,6.45719384736293e-05,7.179362526381658e-07,1.0044533450820679e-07,8.293564143008407e-08,5.5967048465428553e-08,3.675904896260681e-07,1.0774469633697893e-07,5.690115800310114e-08,4.5983655015762564e-08,9.84834183888379e-07
500,6.388242056598965e-05,7.433258518298876e-07,1.2481445870855168e-07,1.0437696625725409e-07,5.7069926210000065e-08,4.733648147285569e-07,1.347533696957644e-07,6.685467067382225e-08,6.621459111198723e-08,1.5244474384011492e-06
600,6.264469178623141e-05,7.613856714262004e-07,1.435239059771e-07,1.5149409127801983e-07,7.819014239779006e-08,5.58641574481077e-07,1.6528704556118103e-07,7.973006674196028e-08,7.192430254058483e-08,2.059518362582122e-06
700,6.203263120276655e-05,7.613138590512137e-07,1.5697651427435053e-07,1.596292967995503e-07,8.962049345091109e-08,6.29105930536034e-07,1.638875644139413e-07,9.611556300296844e-08,8.912695965396374e-08,2.189243341263186e-06
800,6.158079951837204e-05,7.565245912399523e-07,1.726558796153482e-07,1.9114446680376346e-07,9.635708837730706e-08,7.032843999168211e-07,2.1355419154800783e-07,1.1945026370687533e-07,9.47534797983258e-08,2.927406694316659e-06
900,6.138307281337738e-05,7.585872393798961e-07,1.9220775157623394e-07,1.9249786892192006e-07,1.0620514674153676e-07,8.219669087534308e-07,2.1527352891694406e-07,1.211381645790456e-07,1.0585292844766507e-07,3.261325626977269e-06
1000,6.034375602913415e-05,7.48074796342021e-07,2.0232479565733685e-07,2.3822766796632916e-07,1.2439033377039556e-07,8.669898409637171e-07,2.3310235170783856e-07,1.3482135481227627e-07,1.2208341324491895e-07,3.6553530329505887e-06
1100,5.992327078272671e-05,7.442370449547922e-07,2.1615178072246205e-07,2.362307105838285e-07,1.3298399243167363e-07,9.881911561974815e-07,2.7897856802325896e-07,1.5574044509638945e-07,1.3316588275142734e-07,4.150304789911084e-06
1200,5.915599400658512e-05,7.416644154688215e-07,2.2462830941193722e-07,2.7061740789425587e-07,1.503847730824748e-07,1.0839737469189608e-06,2.9524353505469673e-07,1.7308595786031384e-07,1.352578971925133e-07,4.7238505860338134e-06
1300,5.910334389629562e-05,7.277131269479855e-07,2.3506286430814265e-07,3.0014110724996147e-07,1.6317609608420578e-07,1.1149398557023925e-06,3.273920378140246e-07,1.804448358495377e-07,1.5667342196698418e-07,5.051415365287538e-06
1400,5.781582259558073e-05,7.245380396946948e-07,2.3920686000371993e-07,2.9660811391804257e-07,1.6518710056091287e-07,1.207931642343445e-06,3.474671085320528e-07,1.9661675109929502e-07,1.6533420496623506e-07,5.405426035122355e-06
1500,5.788899604732732e-05,7.132940076920641e-07,2.458331093584927e-07,3.384658366368398e-07,1.8824651726245472e-07,1.2628831834647863e-06,3.6293143700919725e-07,1.950147607962409e-07,1.665572162835864e-07,6.045580435417923e-06
1600,5.692604025851624e-05,7.115092549555099e-07,2.5516594357888945e-07,3.4614543410200264e-07,1.933326648679055e-07,1.3464386376757995e-06,3.7710973969138294e-07,2.2226981638560308e-07,1.8946047778231792e-07,6.461020110828038e-06
1700,5.6242943534632845e-05,6.978840104981953e-07,2.608345043202668e-07,3.61209992250825e-07,2.117075981331067e-07,1.416929760251736e-06,4.1588617219411294e-07,2.3168835990226538e-07,1.9293107414820215e-07,6.901768767481947e-06
1800,5.602049954555387e-05,7.012563802343026e-07,2.6943436999180614e-07,3.959981370305544e-07,2.0903950840160382e-07,1.5000888517619565e-06,4.364366119981554e-07,2.39678933606773e-07,2.1055924175973617e-07,7.114447747490561e-06
