milliseconds,species_1,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15
0,6.639037997198514e-05,1.2496019701548576e-08,2.2757407289948453e-09,-2.5116200346061255e-08,2.9912622358294e-09,5.381736744073607e-08,1.5507959765128523e-08,8.627512197620194e-09,1.3586969415070698e-08,1.8414566693585996e-07
100,6.575331586830642e-05,3.471471684757987e-07,2.8723500962600917e-08,4.409896376012861e-08,8.709885104056376e-09,3.01272893543371e-08,3.403301608642971e-08,1.4389406825897832e-08,1.5975741489566952e-08,2.2465486226471362e-07
200,6.52669801807623e-05,5.631529382748393e-07,5.6338342019421236e-08,4.453024632480678e-08,4.002321400188794e-08,2.520379122806003e-07,3.755012417451605e-08,2.016128284643176e-08,2.8892172047330282e-08,4.585190522757411e-07
300,6.528277657857105e-05,6.607754097816482e-07,7.958361491234759e-08,9.003239876336512e-08,2.8421130281156528e-08,2.617436338118479e-07,6.241290162020663e-08,3.567913058092295e-08,4.508719175223125e-08,8.95093065889773e-07
400,6.496887296244057e-05,7.245692860185152e-07,9.997516196091958e-08,8.810731323474547e-08,4.4812061843714816e-08,4.543244468697581e-07,9.621484877198443e-08,5.200428553768494e-08,5.996814867113458e-08,1.7059100676073487e-06
500,6.377624855235806e-05,7.465725343927778e-07,1.2623290157846596e-07,1.3288149832853466e-07,6.096596752901103e-08,4.818672488235137e-07,1.0550814746330811e-07,7.092131903601585e-08,7.094929849572688e-08,1.8060927828787287e-06
600,6.3145498037752e-05,7.582057652249741e-07,1.4615436955238678e-07,1.3638358531892303e-07,7.144966549697555e-08,6.102196540683936e-07,1.7250120086926396e-07,8.097530299606409e-08,8.108184799413701e-08,2.266677275279636e-06
700,6.222187957212465e-05,7.725580509661546e-07,1.644915678496569e-07,1.842922267097699e-07,1.0204600199685565e-07,7.256974345200167e-07,1.502663688408429e-07,1.1135129283242679e-07,8.795954642531562e-08,2.680586178959515e-06
800,6.205114898905195e-05,7.688988786842713e-07,1.7916204644941555e-07,1.710317978235572e-07,1.0535377595388828e-07,7.145492909039655e-07,1.951635778834136e-07,1.2377638428042942e-07,9.039173596216267e-08,2.770449300230547e-06
900,6.144312703789077e-05,7.603195088536242e-07,1.8734137580718184e-07,1.8459853382319312e-07,1.0446025612532e-07,8.587349520303748e-07,2.450957003223819e-07,1.3160839639673438e-07,1.0685448349161089e-07,3.2373805801763925e-06
1000,6.032849808664881e-05,7.520333508357504e-07,2.0060070189311846e-07,2.4539460227324396e-07,1.1302638710068491e-07,8.099163658218596e-07,2.2996442741449035e-07,1.5457412770799866e-07,1.2011684597603165e-07,3.838928711616314e-06
1100,5.953659960274602e-05,7.401979911969391e-07,2.0933477929962116e-07,2.5486319903529094e-07,1.3009689806149581e-07,9.745965912209038e-07,2.8495872918028257e-07,1.5928445414823777e-07,1.2418532400006118e-07,3.759208626159933e-06
1200,5.8647581026579066e-05,7.37290517272479e-07,2.218864121065085e-07,2.620986214821098e-07,1.47020287870385e-07,1.1554085000525056e-06,2.895646909764187e-07,1.5444945515332068e-07,1.262918825974728e-07,4.724114163961351e-06
1300,5.8410078978672775e-05,7.25219660626415e-07,2.3698365995930108e-07,2.908237925240104e-07,1.6562557976652322e-07,1.0550728026583994e-06,3.004542222378657e-07,1.718950792212036e-07,1.4888307862334313e-07,4.539600420080173e-06
1400,5.838380785190141e-05,7.284663957927801e-07,2.426676342970916e-07,3.168919442530896e-07,1.6495890287102667e-07,1.2575590166585931e-06,3.406686138451656e-07,1.7388724116778262e-07,1.5825129211337664e-07,5.501749824007097e-06
1500,5.797849565120251e-05,7.245842129487599e-07,2.4476265877202366e-07,3.463270088995386e-07,1.85722044396375e-07,1.4014677560267065e-06,3.4536399491911063e-07,1.9101222005403712e-07,1.8344100726759323e-07,5.961320579692508e-06
1600,5.634640707059824e-05,6.991351105527653e-07,2.587860265527914e-07,3.6696058713326873e-07,1.8419811135974328e-07,1.4294319510541373e-06,3.735597129855166e-07,2.2684401774053968e-07,1.891788209664512e-07,6.578452210280858e-06
1700,5.673768102371128e-05,7.012706117034367e-07,2.6791586979395186e-07,3.5763229154699334e-07,1.95023411337518e-07,1.3989909603743751e-06,4.2597683478841113e-07,2.237180319073162e-07,1.9813123521925593e-07,6.275359496413265e-06
1800,5.623956287553393e-05,7.015076404166713e-07,2.620839565069482e-07,3.682818545259345e-07,2.1876348816224501e-07,1.5775662655317947e-06,4.0314337133715283e-07,2.272176726427204e-07,1.9640239607362145e-07,6.6773353060744995e-06
1900,5.5520183044347756e-05,6.77510239116711e-07,2.6580749512224447e-07,4.0296314192083097e-07,2.2399479190172798e-07,1.514020424844795e-06,4.69391776546945e-07,2.4637340970349997e-07,2.2030974667485275e-07,7.233337711434692e-06
2000,5.480966676325053e-05,6.775209778256983e-07,2.785251555427875e-07,4.4609633139283417e-07,2.2344875665983186e-07,1.783077913099701e-06,4.896885737105604e-07,2.632305825574918e-07,2.2702728372806148e-07,7.787857867561627e-06
2100,5.4338774713804854e-05,6.722203377009922e-07,2.728636465011764e-07,4.7469256474686485e-07,2.3617222090119918e-07,1.6624889603888592e-06,5.019185591021264e-07,2.813350368322151e-07,2.4661315978292704e-07,8.284902452065461e-06
2200,5.289569057054273e-05,6.72551243769514e-07,2.7919898729127614e-07,4.7654622093929184e-07,2.496599397242469e-07,1.951613236993892e-06,5.10528955309797e-07,2.794288407497545e-07,2.474535799615648e-07,9.128727142625476e-06
2300,5.357109086492061e-05,6.637880750270147e-07,2.83684625334055e-07,4.878854383483403e-07,2.547614180690105e-07,1.96420526676303e-06,5.156341695405504e-07,3.059871069476192e-07,2.53675129287277e-07,9.01803587692568e-06
2400,5.182698215166991e-05,6.548016645510295e-07,2.819662405289159e-07,5.195732588565756e-07,2.780127137223018e-07,2.0539822161427806e-06,5.256357207181527e-07,3.0919675531247307e-07,2.748830869230502e-07,1.0149301112184254e-05
2500,5.1691397230982906e-05,6.558986493794911e-07,2.839034285473048e-07,5.491188299632722e-07,2.9205891229989276e-07,2.0498393207686525e-06,5.441974037282395e-07,3.137593650892418e-07,2.7017492052895344e-07,1.0064732602029348e-05
2600,5.1624477391084325e-05,6.47695050475534e-07,2.9037290604036676e-07,5.334317087373558e-07,3.003477546259633e-07,2.0564085458059865e-06,5.736357503545454e-07,3.25263443825365e-07,2.7371710400392057e-07,1.0369362896461408e-05
2700,5.1621234745074554e-05,6.273127034747861e-07,2.9445625651649303e-07,5.741102442478332e-07,3.1687126786735607e-07,2.1570360603974395e-06,6.112203227046559e-07,3.465926843821481e-07,2.893824132026371e-07,1.0282211404755969e-05
2800,4.975081701258301e-05,6.300445226837459e-07,2.9481888084825744e-07,6.050140926109486e-07,3.159312244256942e-07,2.286288643731049e-06,6.046183752447257e-07,3.4226882074791364e-07,2.921364182873872e-07,1.0880314114818262e-05
2900,5.0002191855347405e-05,6.17639281665296e-07,2.9174657223865826e-07,6.20053689424876e-07,3.265172819731128e-07,2.308206083809362e-06,6.653089237029394e-07,3.7869327461889513e-07,3.1584352789855186e-07,1.2056748891664486e-05
3000,5.012192032922054e-05,6.1300072509368e-07,2.848765002722959e-07,6.378140343565045e-07,3.314435888915085e-07,2.360101292264388e-06,6.707805802214848e-07,3.854532486192105e-07,3.2536102428711066e-07,1.2227081187859453e-05
3100,4.824501734857808e-05,6.191150320824665e-07,2.894516671459312e-07,6.238995743841529e-07,3.5530148046470555e-07,2.504904792003699e-06,7.161921051861398e-07,3.721639899250125e-07,3.2307488905135454e-07,1.2866927504203864e-05
3200,4.8724354607663034e-05,6.081190304627009e-07,2.843802651414343e-07,6.687557225675226e-07,3.5497739269614243e-07,2.5844629779606178e-06,7.114626388124363e-07,3.8179197842098073e-07,3.458271830352711e-07,1.2380358200706355e-05
3300,4.799888561733501e-05,5.999407209284578e-07,2.877815512978299e-07,6.787209845453544e-07,3.717636909572483e-07,2.660106970267776e-06,7.197902451026674e-07,4.170266628804214e-07,3.5202867892743906e-07,1.3305265988523505e-05
3400,4.7352645468993335e-05,5.813142599468958e-07,2.967459589514404e-07,6.691319332815156e-07,3.7396390410763647e-07,2.740923575633709e-06,7.566668160592347e-07,4.35350754533331e-07,3.635333322507628e-07,1.3775134959469946e-05
3500,4.70206969588929e-05,5.853139714223605e-07,2.944424473726587e-07,7.246331746420152e-07,3.76663218025238e-07,2.7591952210162475e-06,7.507234086070053e-07,4.2991260957833266e-07,3.627932961460364e-07,1.4317563004987232e-05
3600,4.606150154190634e-05,5.68100862675321e-07,2.94942272721058e-07,7.300957872226688e-07,3.8477214734038673e-07,2.850782648254124e-06,7.593106939398128e-07,4.2430446177554203e-07,3.6295047522007423e-07,1.4041448370026665e-05
3700,4.535361960674851e-05,5.77344347392714e-07,2.9246002225817833e-07,7.135456110548844e-07,4.141068452869761e-07,2.8900090992886713e-06,8.17850913144356e-07,4.601231469352337e-07,3.690122256027088e-07,1.414969907274636e-05
3800,4.609733817941053e-05,5.775580466845257e-07,2.82857411390622e-07,7.278441871478857e-07,4.060454296996628e-07,2.8723758924222883e-06,8.130756686587461e-07,4.623413896655632e-07,4.033783951263515e-07,1.4384983667345367e-05
