milliseconds,IR,IRins,IRp,IRiP,IRi,IRS,IRSiP,X,Xp
0,8.96390821432748,0.5583680453157853,0.04258354164318637,0.4182011262817348,4.204767644469942e-06,9.44021132193893,0.555565479403246,9.99610771749265,0.00385569413279546
100,1.9174068213211113,7.341749742663012,0.21276363503155643,0.47149764148267054,4.880109185207532e-06,7.512702926160735,2.505286589491793,9.99605220753731,0.003955336486680752
200,0.45947137032188756,8.574823468290472,0.39372272784755374,0.6011652094386907,7.124271392475352e-06,6.192218427206105,3.797153590815204,9.99601281948676,0.004085987114398558
300,0.10907733909754119,8.415908812918815,0.48446268922084634,0.7922154116862676,8.73032992063542e-06,5.837612838141097,4.243242832228293,9.995517788547543,0.004116691933380071
400,0.09850003413292995,8.3063697052528,0.5132894592928536,0.9313429533519009,1.456230644881171e-05,5.653022042364165,4.35115115113612,9.99531936076413,0.004619776291777167
500,0.11093049161598757,8.12422776171272,0.5203053453991118,1.1964505579119842,1.9115454171309948e-05,5.754722945769151,4.30497510814519,9.995208935651196,0.004942286825404151
600,0.30359442912825413,8.051867394221716,0.5225811959863591,1.2947595882099705,2.2740912738019686e-05,5.791229077414152,4.174074410097134,9.994819317554802,0.005404276969130048
700,0.2935611104633831,7.8899146729316705,0.5121224810706839,1.4499904550910419,2.4094875447853567e-05,5.8937954249702935,4.131015626997341,9.994418366364883,0.0054801577390211085
800,0.1583888178144277,7.72128878127603,0.5095132920407965,1.6638635111549311,2.8239156937097447e-05,5.93101803529086,4.053774174905289,9.994376118600435,0.0059325038492138715
900,0.10917033294160136,7.624837092802215,0.4974298828830252,1.7504025156601086,3.1675529881842645e-05,6.018119527214579,3.992241278894619,9.994182039532232,0.006216071674377589
1000,0.10547917135201322,7.494733448905724,0.4882063765373438,1.8735837436311131,3.680856952292601e-05,6.059427815442609,3.9290473646506214,9.993957370025164,0.006476102510249725
1100,0.3145937417586599,7.44368761975775,0.4795147544239862,1.9256050916726606,3.789387583519174e-05,6.210942803101968,3.8701612747863474,9.993432268114551,0.006686609104459506
1200,0.2283073695750217,7.3560479659280436,0.4714488529171726,1.9902179422904285,4.229713447620237e-05,6.210490274391955,3.790582637749975,9.993081312322142,0.006652350308754087
1300,0.1983954047725739,7.150885563076258,0.47454265371630283,2.1054654652208153,4.507508776251706e-05,6.32146849974594,3.6703901353342636,9.993216373244735,0.0072402463107199
1400,0.20523712054928822,7.106026951161933,0.4675008653232323,2.0781087066623933,4.961125877871651e-05,6.295367846697624,3.694951496155983,9.99266334209049,0.007445953936622238
1500,0.1376274839441778,7.0761181893549985,0.46515056889855666,2.200723024147182,5.1716212477731384e-05,6.344756868443817,3.6737164865842575,9.992423392037528,0.0075162953252645515
1600,0.3474339285212951,7.164427485747574,0.4548364094844659,2.200604534758962,5.2617860781710634e-05,6.383459564585889,3.6416830873041404,9.992535518116679,0.007563829016303029
1700,0.16048418410473408,7.084873516141606,0.4627015378952357,2.1792449295648604,5.314700208394045e-05,6.483376754509159,3.5833794158849783,9.991912858138503,0.00796525272810746
1800,0.3397735531959746,7.09273725083384,0.4548890275990929,2.2484959359558574,5.703761656317955e-05,6.4357687222441875,3.5663201161878195,9.991708158482826,0.007876680332808424
1900,0.19500506797671827,7.115067433896876,0.46054815516623704,2.175533182896117,5.7967115500522255e-05,6.484861729879129,3.465891017649707,9.99156450288529,0.00827056024820301
2000,0.3492749886202009,7.0695796590506745,0.4520551333374345,2.2470181228047617,5.801202517274728e-05,6.574796581738184,3.504321370657656,9.99181613976355,0.008537850576312844
2100,0.2799625963461236,7.0426350630163554,0.45815696140756684,2.252803499083487,6.109557428901105e-05,6.6036607122094955,3.4110516901300456,9.991148319309417,0.008417633665816267
2200,0.180698249895082,7.01679445781406,0.4500824223429246,2.1814219254135283,6.0140485090644625e-05,6.579812981440175,3.4196216704592945,9.99117143042709,0.00869838809099647
2300,0.3312808060634894,7.1055627374306045,0.460886172303833,2.1737586966740046,6.12525969705017e-05,6.640746888197655,3.4058873151418423,9.991191971553729,0.00908040936503749
2400,0.1628341482743348,7.123805769142362,0.45535776534846334,2.1479115217687705,6.0934701955898284e-05,6.651087752733691,3.419691448965272,9.990664098310447,0.009376961577781407
2500,0.23066631361846307,7.102231464161181,0.45535408870130084,2.1127189921833818,6.406848375825924e-05,6.633086916166641,3.358142529258486,9.990592355871613,0.009079657143799632
2600,0.28196332570329186,7.221998438891575,0.4626900799837889,2.1475061692094313,6.199541453703852e-05,6.612200529219889,3.3206374427800585,9.990496504809567,0.009669557801282322
2700,0.38978593895435976,7.082996680543133,0.4515757415615021,2.088709512514439,6.488516898261463e-05,6.659630513211601,3.369194254933647,9.990581676446903,0.009732182752071848
2800,0.15930073277335902,7.121345879813471,0.458717482687953,2.136093488030874,6.419393769277464e-05,6.701292484093447,3.360764154315199,9.990185029515656,0.01005321014134251
2900,0.3346822836577246,7.2478965036126155,0.46740275757938826,2.084261757311218,6.341967990252664e-05,6.630793339575201,3.374692132827057,9.990122511766856,0.010079845915693018
3000,0.2095040429766755,7.200815643144302,0.4678439661746186,2.0261564350991565,6.521696824297269e-05,6.646879367362756,3.329454545856445,9.989919206945794,0.009947578981834014
3100,0.28976425690957286,7.1460345099352045,0.4667378676058774,2.0664367763779032,6.273157982276849e-05,6.644220801083284,3.3676872004695078,9.989816285907214,0.010095574869813892
3200,0.39468369225564925,7.273447499701496,0.4705898104347182,2.025416112869535,6.570586705115407e-05,6.720027657581179,3.320441083490791,9.989491438138655,0.010596786772085687
3300,0.2644055674283774,7.366925044813552,0.4641394595617394,1.953981473199499,6.439376831495181e-05,6.700975720332322,3.2763658437792564,9.989248997789081,0.010415673261865183
3400,0.18893398602794154,7.214994932106023,0.47264173940154985,1.9218736645107124,6.561441154925176e-05,6.741151314481152,3.291666868476246,9.989505657713451,0.01078963450750785
3500,0.18525609342637284,7.271725791514858,0.469497573405551,1.914168384353057,6.699205678504447e-05,6.721881879781756,3.293742655408655,9.989190560422102,0.010685417598698566
3600,0.2986548052156506,7.323204571698951,0.47698901259101323,1.9032906887919403,6.497089842073972e-05,6.6953259427738105,3.293129758970244,9.989296353533387,0.010823722917189593
3700,0.21039307512715583,7.40546763845285,0.4643594838547854,1.9118730395637826,6.698890974495556e-05,6.763137539991302,3.3164004933977433,9.988853824312958,0.01105047481835177
3800,0.22255231625096006,7.374582719890894,0.46802930992793196,1.8315519530225624,6.428662441405304e-05,6.754371193995776,3.266589262927084,9.989000476183012,0.011445475318512532
3900,0.25089997124486063,7.396706248106211,0.4664738704867381,1.8004325089350306,6.622124924120628e-05,6.767422930091231,3.2471113833791647,9.988770277769211,0.01125789176966284
4000,0.4115561298844262,7.341334424918742,0.4770159408849326,1.8026414198306473,6.410906015446334e-05,6.701055319567235,3.2779750304200816,9.988239653607723,0.011673009518641366
4100,0.22219812095686595,7.509266899657199,0.47150555059308286,1.8435592104496,6.57041535210155e-05,6.8000743768841145,3.198849255018746,9.988321946559054,0.011500678623864169
4200,0.28975666681782775,7.459869873262529,0.48104691864123933,1.7681964125715515,6.477092477619375e-05,6.773611163710248,3.253440984129718,9.988447580187533,0.011956878066696198
