milliseconds,IR,IRins,IRp,IRiP,IRi,IRS,IRSiP,X,Xp
0,8.94067597532632,0.59688996214639,0.0383525925240207,0.424076631823384,4.83863890758515e-06,9.43998194225544,0.560018057744573,9.99635886407151,0.00364113592848386
100,1.9591062365281497,7.363861105585267,0.21838440689189648,0.45864291243706634,5.339016622187062e-06,7.484425232131867,2.5155747678681424,9.996284613881045,0.003715386118944673
200,0.5053351155513772,8.506736741397207,0.4005522046597459,0.58736868085365,7.257997026238257e-06,6.222105852903643,3.7778941470963625,9.996055069136986,0.003944930863007611
300,0.22381512169540535,8.517472089317947,0.48833833266220994,0.7703642317850987,1.0224998352368819e-05,5.793049484266815,4.206950515733191,9.995761343290065,0.004238656709928836
400,0.18028264724090132,8.33270344396735,0.5193009892447106,0.9676991395198697,1.3780486172273913e-05,5.6912589977651145,4.308741002234892,9.99545099553023,0.004549004469760979
500,0.18097837043313023,8.135811340385095,0.5244902996700025,1.158702374880178,1.7615090599123123e-05,5.714325466846901,4.285674533153105,9.995142244771195,0.004857755228796079
600,0.1882772852023608,7.957592370888136,0.5195194478860434,1.3345893591381972,2.153734426750226e-05,5.7827619706294575,4.217238029370549,9.994841840888208,0.005158159111780424
700,0.19585614234175652,7.800664632614607,0.5111856311145505,1.4922681664498998,2.5427938190627934e-05,5.864685809253885,4.135314190746121,9.994551986547222,0.0054480134527663425
800,0.20302966793267074,7.66351893741467,0.5022540952657958,1.6311680901201375,2.9209725731916292e-05,5.9473626420384536,4.052637357961553,9.994273067544553,0.005726932455434238
900,0.20987082825993852,7.5444871389893775,0.49379262506861454,1.7518165769289076,3.283121216724044e-05,6.025863300697063,3.9741366993029428,9.99400475829114,0.005995241708847317
1000,0.21644284346903322,7.4421177634890014,0.4861788041435967,1.855224331498119,3.625785925492653e-05,6.098449356051564,3.901550643948443,9.993746471808954,0.006253528191034065
1100,0.22274699839798148,7.355084667213518,0.47951492545396956,1.9426139420900852,3.946730345313564e-05,6.164684155897655,3.8353158441023525,9.993497543991523,0.006502456008465756
1200,0.22875677409859443,7.282113488753072,0.4737943628557037,2.015292928285307,4.244646632912838e-05,6.2246637910067095,3.7753362089932976,9.993257308744484,0.00674269125550451
