milliseconds,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13
0,0.000656914662307371,-2.340658215593026e-06,0.0010738367890750962,-1.1378578071197134e-08,0.0009569790579567171,2.487920204711977e-06,-2.017430158305985e-06,6.530840899488459e-06,-3.487628688328206e-11,0.004559709173314688,8.053502634042096e-07,-7.939997697223199e-14,3.3216596314937315e-09
100,0.00451887368286775,-1.0425361924705257e-06,0.0012103999990066836,-1.3946728979519637e-08,0.0010735667033406724,6.330174991070477e-06,-9.64257110380498e-07,-3.3462850977395357e-06,-1.1451494467603021e-10,0.005207723562794817,3.655825316921482e-07,-1.1030370211564973e-13,-1.610482656844073e-09
200,0.010254715557871276,2.39064553502025e-07,0.0012654858896497536,2.2271670853312987e-09,0.001978717260034066,-6.78890364082707e-07,2.75204133350138e-07,-4.578099903517826e-06,9.898225853885723e-11,0.0054715190771604276,1.224232053436861e-06,1.4192403184497252e-14,2.7059868893222306e-09
300,0.01035545262130193,1.2014877655280596e-06,0.0018910575228925088,4.903119061622542e-09,0.0021379485666801297,-1.4434789376868666e-06,-1.0215332837145759e-06,1.0322277782647997e-05,5.25746496815879e-11,0.006208958111193005,-1.0502866980530469e-06,-6.003302123461578e-14,-8.110004045560689e-09
400,0.013694679473991219,2.9921607104681254e-06,0.0023599197312770544,-9.980520583110637e-09,0.002373384850781683,5.401605542825636e-06,-7.77231305006302e-07,2.1298556688104316e-06,-1.2974026806134592e-10,0.006195025163886709,-6.751306431009758e-07,8.249589271973494e-15,-2.320844780280421e-09
500,0.01679556957654893,-1.1877010965907344e-06,0.0028105300518832073,1.1274510239670023e-08,0.002812263289031856,-8.893595024424106e-07,-1.3363158882923795e-07,1.0515528803759838e-05,1.462872328687986e-10,0.006903162075781127,-1.6952180530955013e-06,-1.1208568780266484e-13,-5.7514919426390175e-09
600,0.0272959691959637,2.0138966822526622e-06,0.003265770525637639,7.774064872776617e-09,0.0029421466483466334,8.244340589179053e-06,-1.2466974043115887e-06,-9.705139762212187e-07,-3.1639465136132605e-11,0.0070276626171008145,1.4940147247201193e-06,-1.0190915255901008e-13,7.813518764199825e-09
700,0.02265833185253468,1.1966601617925962e-06,0.0032539558859395325,-1.207991907096319e-08,0.003480456974957947,1.8771556136775648e-06,1.1661118471884164e-06,2.6806684676805042e-06,6.964877214403819e-11,0.007380610950220402,1.694508943133339e-06,8.542930444562896e-14,1.0110356920245853e-08
800,0.03156496516382961,3.4228146115999948e-06,0.003945486731765542,-5.380522792634617e-09,0.0033791017106404937,1.1378412536222514e-05,3.030968170132397e-06,-3.987714206785837e-06,2.578645809188595e-11,0.008154851553572021,7.935367821062497e-07,3.65167324132542e-14,-1.862046657786526e-09
900,0.02966285451376311,1.1429630141591577e-06,0.003667636162662567,-6.857184231126235e-09,0.004022122343691146,1.5304690500057175e-05,-8.051091511282137e-07,8.440921654552556e-07,1.2390020558546643e-10,0.008169884585648494,-1.5488391580906353e-06,-4.3983148722095246e-14,9.085962547143892e-09
1000,0.034542342824175246,2.261136241674142e-06,0.004355877538916988,-1.3299887008149098e-08,0.004330355228212434,9.3245353594658e-06,3.826700501309206e-06,-4.068523437937174e-06,-1.1569663889770233e-10,0.008162199953466294,1.0573210940519565e-06,5.888336348281885e-14,-9.988806567788979e-09
1100,0.039139116054250155,1.315293760541098e-06,0.004711296572493599,1.7900512015717493e-08,0.0046864281696003054,1.4071707424749525e-05,4.3101039564668795e-06,5.64910365861936e-06,5.395302631551795e-11,0.008972906391906836,-1.475693606522678e-06,4.0979502398340534e-14,-1.3217192283618577e-09
1200,0.040130492390039074,6.149515179818662e-06,0.004891701593579995,-1.1353314503708955e-09,0.00504482549353972,2.2352769183798102e-05,4.859313071325968e-06,2.62126000353794e-06,-1.3552828051209362e-10,0.009330908106412036,1.7774019066740222e-07,-3.639120026037875e-14,-1.4773104614484715e-09
1300,0.04710483227469805,7.159362947150801e-06,0.005354951386531948,-1.4755460062465874e-08,0.005310966110315504,1.7902328562915382e-05,5.1747843223322644e-06,1.4409540234068635e-05,7.386222813121192e-11,0.0093268990804407,6.023533915788609e-07,-7.662377832685985e-14,-1.0035061168503354e-08
1400,0.0533417625064532,7.415364650281444e-06,0.006100914407748536,2.884160028508901e-09,0.0057511169933369645,2.3334507073705125e-05,2.969202215286129e-06,1.989852856656737e-06,-4.973866201304016e-11,0.00989048680893424,-1.1597326704943805e-06,1.242515845704417e-13,-5.504073015205093e-09
1500,0.05394000461196824,8.655110357384212e-06,0.005937491759804543,1.0400462990398222e-08,0.00632462241351738,1.9919884932156277e-05,3.49083170036565e-06,1.187223521849902e-05,-8.248465552540777e-11,0.010400949545851591,-1.2058822325611594e-06,-1.1751688629076828e-13,1.2945855988887897e-08
1600,0.05682507000950798,9.422316614885575e-06,0.006033192225176706,-4.286833034808201e-09,0.006324808085778117,3.0406638929168104e-05,7.5161479762179055e-06,2.6486747472420538e-05,-8.503333817776883e-11,0.010684051513841037,4.421908600593437e-07,3.54483696964209e-14,7.477158700412767e-09
1700,0.0626471569516219,7.350606908548778e-06,0.006917172318119919,2.5108236251948552e-08,0.0066352162349677625,3.450899485149237e-05,7.236997153080662e-06,1.558218495686595e-05,2.7064473847126462e-12,0.01041018744145079,1.7505952133084345e-06,5.88844295624711e-14,-5.8038902555006e-09
1800,0.06652069450636003,1.1893977224589619e-05,0.006761298597025306,-7.853723221283819e-09,0.00683564862954884,2.9432032379097615e-05,5.025366382531161e-06,2.3043837462120572e-05,3.530085319474559e-11,0.011078101731290722,1.5366926102989714e-06,-8.013040993902649e-14,1.2042683617928782e-08
1900,0.06710828943201462,1.3589515782764738e-05,0.007564143243035388,2.0565104751642286e-08,0.00744317003556786,3.7208428744041463e-05,7.733164017990577e-06,3.16384455615528e-05,1.3499555464057139e-10,0.01161150993907577,2.230567012237737e-06,-1.0171310231866457e-13,1.2419323825408008e-08
