miliseconds,sigb,lacz,x
0,546.6834064581326,-0.0004679654506286764,5.6083138277833606e-05
100,508.72041884640714,-0.0007758220022255135,-7.581380408773269e-05
200,1678.2972452676204,-0.0013819742495585275,0.00011473183227189964
300,2901.671853178125,0.0007574484385271451,1.2377506805972328e-05
400,4609.137811630974,0.001196922303084471,-6.505693581135744e-05
500,5189.0707842139855,0.0010279735782955665,0.00012789090221419376
600,5877.816706578055,0.0014508415401430672,4.459541204769867e-05
700,6554.908685141628,0.0017438500312545648,0.00010669713607639268
800,8163.890257413318,0.0028600086780575834,0.00013199456990390166
900,9642.649444340974,0.0028517673676265653,0.0004438951490370817
1000,9379.212847901019,0.003978971423794607,0.00038423466661017104
1100,11499.677926292574,0.004038580769025939,0.0007212253525199319
1200,11234.524848533423,0.0068628765665875785,0.0008320786652712612
1300,13262.652433710653,0.007284758007639288,0.0007748270328473351
1400,14540.657486468055,0.00756835426959315,0.0008351608670089576
1500,14199.974358168965,0.010238906216709911,0.0011521594734644177
1600,16398.876074799533,0.011188790217053901,0.0012729355432969127
1700,16489.713758762962,0.012332705858217673,0.0014044751341346306
1800,17566.520897440765,0.014806035082804507,0.001473917633016762
1900,19261.942476768647,0.017397280524730493,0.0016525206908661286
2000,19644.464435317528,0.019413956927315353,0.001757131072744336
2100,20779.18325937719,0.01819677785302151,0.0020211884720043862
2200,21534.216565205723,0.01996857770117271,0.002097996402868763
2300,22340.959980124724,0.02516788571789202,0.0024361351753326163
2400,23338.665338202794,0.026018007795630814,0.002504252854240367
2500,24106.881327711024,0.02659537359407075,0.0029180630934183007
2600,25433.744135168294,0.031209482268093097,0.003106694994734003
2700,25839.510455249914,0.03240915128664242,0.003179836042485554
2800,28042.17285889566,0.03380202510190071,0.0036470807425403643
2900,28938.710822448862,0.0364186459178285,0.003978763428266751
3000,29506.15198849855,0.04136877681691401,0.004031462112168505
3100,29959.948599226496,0.042228555858901486,0.004307565874170994
3200,31209.374885163215,0.04666041919205312,0.004620593031302751
3300,31462.002071987907,0.04968250326144467,0.004935216621558698
3400,33159.526777257386,0.051573413112950724,0.005382628013744483
3500,33412.577132329185,0.05418331838981502,0.0057585810776973985
3600,34780.89474468733,0.05867222640555358,0.005918890493138267
3700,36244.587368072236,0.058942887447719715,0.006317084148004584
3800,36711.73192043975,0.06221386026207584,0.0065839557371962084
3900,38089.7103808114,0.06748410859554889,0.006917367697880491
4000,38975.644881473825,0.06944931469745318,0.0074045051885271536
4100,39225.688731493785,0.07592786946653167,0.007794522131830804
4200,40193.62388385409,0.07761211363112029,0.007885314076126429
4300,41528.96261833544,0.08034572770899129,0.008305721164845369
4400,42988.809455772694,0.08547625912181488,0.008683116726594279
4500,42747.66349134734,0.08811864141955766,0.009211147301889397
4600,44082.558276351236,0.0923676916245124,0.009600562003593622
4700,45183.45436416865,0.09772416641077429,0.010045984654992323
4800,45920.13539740908,0.09979809025677278,0.010511660577656672
4900,46849.45196057956,0.10571896692376277,0.010807401064653558
5000,47915.80882541351,0.11127147809160724,0.011435494469151193
