milliseconds,S,ES
0,0.03374673492993225,-0.0676185243563306
100,0.08192586828767413,-0.08465998346094128
200,0.18122739141949976,-0.24444251863959895
300,0.3529824183416573,-0.23337960786321743
400,0.453911963213608,-0.44103905836383717
500,0.4424264250037122,-0.48799693069122835
600,0.5611023337029847,-0.6449846177101313
700,0.7271477191325295,-0.7201965702643522
800,0.7655979691189628,-0.7789629694867994
900,0.9462516950473925,-0.8760073292999591
1000,0.967597985829104,-1.025718826306849
1100,1.1352217308901251,-1.145114012096201
1200,1.1406879322843881,-1.2441228373550397
1300,1.341468775004424,-1.2697167899978434
1400,1.4012435965846297,-1.3194536955066474
1500,1.4935199392418208,-1.4366918273428377
1600,1.5128727687386363,-1.5974161198701815
1700,1.6048904194795512,-1.6343873218815843
1800,1.7101092570085694,-1.7562480529732882
1900,1.909187572149366,-1.81144820220341
2000,1.9255777298653225,-1.9409982488830209
2100,2.017084698784199,-2.005553486375262
2200,2.168187272249915,-2.161698445797311
2300,2.248447487828461,-2.304026488913297
2400,2.3149167716644516,-2.367704304758834
2500,2.373880817143415,-2.4749983418329875
2600,2.4485347194008478,-2.4980983709567464
2700,2.6023119533704584,-2.5825899686932012
2800,2.6460274457465713,-2.727479839559291
2900,2.8535150491897276,-2.8615490051815913
3000,2.9221769912296223,-2.82961809447774
3100,2.94498525483277,-2.986036974478264
3200,3.051279730355712,-3.1117409723355096
3300,3.1084667741051146,-3.227108495171277
3400,3.274691031041267,-3.3108104342445874
3500,3.317374080259985,-3.4198509278947125
3600,3.428934328072531,-3.4207927739647643
3700,3.5216165395169905,-3.585044514399329
3800,3.6676897709983076,-3.6336889895509747
3900,3.7242159126767143,-3.7631664153268947
4000,3.8500541397780257,-3.7878961662866386
4100,3.8641753425067127,-3.8488801653491516
4200,3.9997392826696543,-4.0558703975658
4300,4.072320202486624,-4.070120593735313
4400,4.224919730536924,-4.231238360651877
4500,4.288007839438678,-4.254532167754421
4600,4.280391319036454,-4.396743655505628
4700,4.433886742819647,-4.49245885590437
4800,4.508125624562843,-4.473545854711292
4900,4.679825826686465,-4.6096362832690865
5000,4.685281434670194,-4.659993599833025
