milliseconds,C16AcylCarCYT,C16AcylCarMAT,C16AcylCoAMAT,C16EnoylCoAMAT,C16HydroxyacylCoAMAT,C16KetoacylCoAMAT,C14AcylCarCYT,C14AcylCarMAT,C14AcylCoAMAT,C14EnoylCoAMAT,C14HydroxyacylCoAMAT,C14KetoacylCoAMAT,C12AcylCarCYT,C12AcylCarMAT,C12AcylCoAMAT,C12EnoylCoAMAT,C12HydroxyacylCoAMAT,C12KetoacylCoAMAT,C10AcylCarCYT,C10AcylCarMAT,C10AcylCoAMAT,C10EnoylCoAMAT,C10HydroxyacylCoAMAT,C10KetoacylCoAMAT,C8AcylCarCYT,C8AcylCarMAT,C8AcylCoAMAT,C8EnoylCoAMAT,C8HydroxyacylCoAMAT,C8KetoacylCoAMAT,C6AcylCarCYT,C6AcylCarMAT,C6AcylCoAMAT,C6EnoylCoAMAT,C6HydroxyacylCoAMAT,C6KetoacylCoAMAT,C4AcylCarCYT,C4AcylCarMAT,C4AcylCoAMAT,C4EnoylCoAMAT,C4HydroxyacylCoAMAT,C4AcetoacylCoAMAT,AcetylCoAMAT,FADHMAT,NADHMAT
0,-0.001005377932468526,-0.005462086003488756,-0.007623708618624997,0.0012842577919981737,0.003726997471982434,-1.3275343484861745e-05,0.0001903114850138485,0.0013647167617321459,0.029779591563069197,1.4580540732251577e-05,-0.0027276923183247957,-5.168089013787601e-06,-0.0010122035508911059,-0.00017134760183846329,-0.03924896064384523,0.0005325384884944683,-0.0035649735640657086,-1.4905680357925406e-05,0.0008633553431322718,-0.0016100585189232357,-0.05521335553924278,-0.0006466418950600029,0.0032814796710627014,6.218555066928397e-06,0.003109179439767792,-0.01296283272401244,0.19624605656204822,-0.0017900519202362726,0.0019192605629700383,1.9350087922143503e-05,0.008435558605447905,-0.04766228464445317,-0.07820926649280814,-0.17985483187959933,-1.1967543214985876,0.0006758077491316989,0.0076684705284066025,0.025199361468292266,0.40989670868943984,-0.9662757348301483,-4.908328928382441,-0.009125206186392626,69.99999999998644,0.4599999999934737,15.999999999999943
100,0.14938784194325136,0.2802764859133373,0.6494262605993771,0.025113183428114135,0.0787411971292412,0.0002521144876008302,0.026130805526274548,0.12451429626829767,1.4679389091755926,0.03051636018101594,0.0879515248463296,0.0002873646283869975,0.02580939672269234,0.1297048426245333,1.4587493529470297,0.03239516671776328,0.09438540637787138,0.00030518601210151655,0.024633291805507808,0.1173895811728336,1.3222037224028083,0.03391727639657568,0.10541675911970635,0.0003198881561939839,0.01905940416304842,0.09811034221064664,0.9776387471400442,0.07223469170719088,0.23666578073833658,0.000734553857942436,0.07291986409284626,0.28066265921640243,3.664668577746943,6.487683671112032,18.353240048584652,0.060476865282128776,0.010168918000818795,0.22158087140351637,3.6469526908841483,3.8808990054894483,10.33525862315868,0.05152687235826725,70.00000000115426,0.460000001265032,16.000000001130353
200,0.15702199585567878,0.2902278641705997,0.7052779697638438,0.030983674231402334,0.1023875127948204,0.0003113618422859899,0.03043496892977086,0.13896416034020467,1.5682193424819777,0.036075966783691044,0.10721984620754504,0.00034629064133847307,0.03552231714494087,0.1661119569152904,1.8589321644848804,0.03836603054201285,0.12639850575261793,0.00037403976761252286,0.04649514262473542,0.1987504423267959,2.1826002313413344,0.04205931889000032,0.1373123435714876,0.00041698270248019184,0.041368145444671565,0.1902827061383193,2.0829420103569425,0.09150847495857584,0.3002025947142663,0.0008696374982637912,0.11940955585013312,0.509283386580755,6.464277265375231,8.339214555660359,27.09532928340084,0.08578419009178032,0.08043816977100787,0.48657794055786074,6.596377288053481,10.509548812820983,41.899493966367615,0.1060848974167535,70.00000000122846,0.4600000012720607,16.000000001183647
300,0.15935727306273448,0.3072402184261677,0.7503269642431384,0.03747430623566622,0.11578735203832602,0.00034845503613738883,0.032253159861341085,0.15378012929926008,1.6642322112594656,0.0394545751051709,0.1162740550813179,0.00037383561352984107,0.038485525633664995,0.18459581866951108,2.1592141115877603,0.045650714558451495,0.14252662924418102,0.00045108603943963646,0.056832979338588954,0.2767739672294819,3.1314687680953854,0.048361039690923306,0.14966110843264405,0.00047113649050978067,0.054247497344159706,0.2572203745814378,2.7644274505173723,0.11081072491768655,0.3425598612623686,0.0010215837929089756,0.1479156726087834,0.6925604210007837,7.960687995467056,10.237308234441812,30.595364253768278,0.10000363156976397,0.1459025402092587,0.7998118553772033,9.391639433866807,20.13661326917631,64.26886523220648,0.1781091952856935,70.00000000130525,0.4600000013027991,16.000000001231115
400,0.1615247981451195,0.325773679951983,0.8099473095462117,0.04070333675044236,0.12429309198569695,0.00039224364445865747,0.03382433688696596,0.15777576599681098,1.781662754015516,0.04560531690094458,0.13141397063540428,0.00040663811447043055,0.04242723448420858,0.20035776144074086,2.238576659969225,0.05025895230615571,0.16041235585939592,0.0004802553807810574,0.06966642253841798,0.3256079591110913,3.401107125934999,0.055795903877907005,0.16436231203027096,0.0005155163990179062,0.06260531426360216,0.29074331782574103,3.3201273342456346,0.12158111555298652,0.36441389015069414,0.0011968542491946647,0.1882590365114384,0.8492468520931817,9.627777111964335,11.408572527575089,34.92921230505837,0.11031164276271999,0.23197596801225975,1.1137982054119333,12.203513503914424,23.71980595249289,75.94918997481867,0.24394134026037737,70.00000000133842,0.4600000013306607,16.00000000122438
500,0.1625256481531998,0.3395472947291291,0.818257216976742,0.04410452525700966,0.1310078149798657,0.00041342355321469064,0.03472862770564573,0.16670538816423758,1.8015906847894219,0.0479641893247942,0.14483578783126,0.000459064550347302,0.046435461455399965,0.21650770791856638,2.4242229855167694,0.0556545270638239,0.17241085791799754,0.0005443773989485586,0.07357237195142739,0.3454108597598954,3.7879788786260646,0.06036454591578328,0.18101613230774435,0.0005642219969799123,0.07002940772808952,0.332856612012646,3.654406221544695,0.12769420260194872,0.412702439630352,0.0013094196742523894,0.20328668450466264,0.9474603236633342,10.636069498816584,11.783900779926787,36.362722092818906,0.11670239972888881,0.2686743298347916,1.1942364662146663,14.882514759052672,31.192702313506963,86.52206759597549,0.2940915246321883,70.00000000135437,0.46000000130621055,16.000000001249408
600,0.16315606913609892,0.3496844087190613,0.8471440646307512,0.046185826981738114,0.14477210415176872,0.00044030085018136224,0.035526286996449656,0.17227625047790773,1.8587847048224242,0.05139681097066868,0.1502863115248933,0.0004736919901590033,0.04790234182627105,0.22501729824439304,2.490394932548579,0.057737231023690876,0.17781453931513555,0.0005785307696159928,0.08328327438493785,0.4037730925523394,4.115746821390881,0.06524227698244144,0.19904119284421035,0.0006335472525278512,0.07760392912075327,0.3746178803115178,4.3283806450190285,0.14276888841118837,0.43309936401641674,0.0013834964743823035,0.23162272504633494,1.1089303077651704,11.83632978059046,12.525480097039997,40.90317535501178,0.12698825017315737,0.2927497020527395,1.4642673495852963,17.463347370657107,32.296460717553444,105.28480456363353,0.34004027616051596,70.00000000141476,0.46000000131112806,16.00000000125381
700,0.166668584442697,0.35304391403755,0.8767484486508907,0.04773863137494054,0.15217680332324302,0.00047623698342585637,0.03634661713470157,0.17542763067585232,1.9061279835554334,0.05232500383515934,0.1549907998188956,0.0004844295697053987,0.04972198495838985,0.2359381252788436,2.5605224798746664,0.060623207541678506,0.18624166428138264,0.0005792279729633252,0.08845837142095986,0.4291400830695993,4.465961424976955,0.06768672688809467,0.2021143866390846,0.0006574426915167798,0.09074809563067691,0.4227213343488204,4.426958979132068,0.15097371623332684,0.4461707056923769,0.0014762620265847354,0.2502375206246735,1.1107188847168035,12.596300704542385,13.29917440279072,41.367940686238995,0.12965075192119485,0.36037911145732454,1.5616611438120902,18.931731287874822,36.51555540840244,120.75233626174868,0.35649812236503126,70.00000000143446,0.46000000131858065,16.000000001264205
800,0.16998082124892444,0.3558346727618926,0.8721929368024682,0.05044840376985954,0.15777250362717826,0.00048274078571080393,0.038398758818831584,0.17549251172565383,1.9819812727769472,0.05487389196186482,0.1643788845884031,0.0005220613398478571,0.05186190337495221,0.24209283792521313,2.667530413583435,0.06345132978793044,0.1999323417307839,0.0006396975294959607,0.09410127231937264,0.4444916380157748,4.651514027068742,0.0706151259715427,0.2215336075197832,0.0006682635241335976,0.09261265192129865,0.45127700577216007,4.915119350520644,0.15290814927532584,0.49068834656633825,0.0015445701947860249,0.2691109803450801,1.286646109176311,13.61972213436568,13.881299360206077,44.405507942863935,0.14122298606335096,0.37506710579483576,1.8767047113292057,20.878156433801603,39.48086341446732,127.14346069489669,0.4068742432823862,70.00000000144365,0.4600000013532115,16.000000001306365
900,0.16904877649555436,0.3600108927692482,0.8942248826373909,0.05201814351071915,0.1629396502272305,0.0005154243602630373,0.03915595208773462,0.18434474533377251,1.9774677333472106,0.05638673804065051,0.17221480512926887,0.0005425546239306202,0.05186244281388676,0.2547448594231361,2.674711762594263,0.06648416759035046,0.20257369074372025,0.000627760919899249,0.09705720702026406,0.46532924809998183,4.89377367849224,0.07210091612960996,0.22128052682456278,0.0007145419296408324,0.10162447640393386,0.4669432133215835,5.049310249472393,0.15595156514707326,0.5037661289839147,0.0015690332858299817,0.27401000637673417,1.3122535157095503,14.459812213544964,14.312680994283737,45.48246296193202,0.14318420926239173,0.4263901504377021,1.954770991605056,21.155931634720815,44.61537205723007,137.96766405563386,0.4447018063785169,70.00000000145941,0.46000000133464936,16.000000001311193
