miliseconds,C16AcylCarCYT,C16AcylCarMAT,C16AcylCoAMAT,C16EnoylCoAMAT,C16HydroxyacylCoAMAT,C16KetoacylCoAMAT,C14AcylCarCYT,C14AcylCarMAT,C14AcylCoAMAT,C14EnoylCoAMAT,C14HydroxyacylCoAMAT,C14KetoacylCoAMAT,C12AcylCarCYT,C12AcylCarMAT,C12AcylCoAMAT,C12EnoylCoAMAT,C12HydroxyacylCoAMAT,C12KetoacylCoAMAT,C10AcylCarCYT,C10AcylCarMAT,C10AcylCoAMAT,C10EnoylCoAMAT,C10HydroxyacylCoAMAT,C10KetoacylCoAMAT,C8AcylCarCYT,C8AcylCarMAT,C8AcylCoAMAT,C8EnoylCoAMAT,C8HydroxyacylCoAMAT,C8KetoacylCoAMAT,C6AcylCarCYT,C6AcylCarMAT,C6AcylCoAMAT,C6EnoylCoAMAT,C6HydroxyacylCoAMAT,C6KetoacylCoAMAT,C4AcylCarCYT,C4AcylCarMAT,C4AcylCoAMAT,C4EnoylCoAMAT,C4HydroxyacylCoAMAT,C4AcetoacylCoAMAT,AcetylCoAMAT,FADHMAT,NADHMAT
0,0.16880086017016624,-0.0022048671704755145,0.03363827164308654,0.0001763941465835985,-0.003431522895899762,6.057573101221093e-06,0.02505411951884444,0.0030937695140299056,-0.06727195091144726,0.0005451974698010749,-0.001926792007521718,-5.929668499062447e-06,0.10954606265528286,0.0012916101284658169,-0.06455244346827489,-0.00039357064560877525,-0.0005683233599831075,-7.175774905928509e-06,0.02047620974219376,0.003495969198629035,-0.042867331393921425,0.0002273218850428969,-0.000558593523157997,6.799892064149285e-06,0.051237522094221624,0.0005016366645965333,0.02810258851964507,0.0001279579736779855,-0.00031928121174046965,1.4746521755703076e-05,0.01752082755114687,-0.0031438257232544835,0.019793282909439613,0.05652448981413171,-0.2623427250083899,-0.0008249176055990577,0.008295642637718583,0.0005201857677678594,-0.1288327091749963,0.11181339954670194,-0.11260786985249865,0.0012861178507713007,29.999999999985945,0.4599999999976056,16.000000000001943
100,0.19417647950519107,0.20992632561259744,0.4513103439704864,0.017478484625433843,0.05311018053940456,0.00016520900685521842,0.023165954273446667,0.0756614020403794,0.9789897090558027,0.01859727223921712,0.050918796286317035,0.0001743313290520645,0.10606875865294581,0.16160591159545298,1.352527837728125,0.027223753671071257,0.08647188942093116,0.00025897120446107474,0.02074035993654464,0.0841131542476216,1.2438743140510644,0.02648285235794834,0.0817362749469255,0.00026569222926003114,0.05104130311954453,0.10779199857687943,0.9885374004460027,0.059940951139898585,0.18369198814465984,0.0005878934494701069,0.016447176525093525,0.0847771310496096,2.735539746441151,4.318518635182851,13.814900941640948,0.04359244997503063,0.007905542471859475,0.022942241592912086,3.097825676154239,6.412152885625816,18.27910287549019,0.060067118594877525,30.00000000106146,0.4600000010911052,16.000000001029623
200,0.22396178419887236,0.23470505957185472,0.539144803893236,0.02094247247051905,0.061851155762071244,0.00019848939032391695,0.023685339702886683,0.07612933875833416,1.02105261828051,0.021637694623477255,0.06440864494807046,0.0001942199517445892,0.10355037835931373,0.1763958110294044,1.5297187697747598,0.030806393859872022,0.09336921089548507,0.0002810368822359179,0.02170352489214676,0.09681205202191971,1.5047613340050183,0.027266102457785178,0.08403341257511815,0.0002631291738324471,0.05106652514042528,0.11404803558700043,1.2661769611424194,0.0589415929285144,0.18278822829134367,0.000586398758619876,0.018214837346400017,0.0935876050123158,3.245592619726118,4.4417132032757385,13.578176216524005,0.043098208681874015,0.008104585349005591,0.026977186885614297,4.950354271185526,11.066852047097065,33.31510725517398,0.10818825362563617,30.000000001140503,0.460000001105413,16.000000001057593
300,0.23625225184440987,0.2509910708069921,0.5718013173668779,0.023121475292670987,0.07154534383018543,0.00024467226774494994,0.023505648167089863,0.08903800473895478,1.1351914113983226,0.02396949047725368,0.06908573396645014,0.0002185131967930459,0.10106113527236218,0.17920089652786078,1.646789579651516,0.03261623264363421,0.09591540881456559,0.0003124128666954709,0.021017282327300383,0.11066345281498373,1.6217795081434192,0.02904350102740965,0.08827106235239718,0.0002849851377183719,0.050111386033532254,0.1205431008269679,1.4564056423004157,0.06305092256649655,0.18885028587871186,0.0006130536329604807,0.021489458755986058,0.10190860007098684,3.4038214066411374,4.471507046050475,14.002237895920343,0.04391729048251703,0.008319097990829511,0.02785737946762176,5.751586934489512,12.913674756886808,40.71542165166768,0.13261954500401776,30.000000001197105,0.4600000011261165,16.00000000109033
400,0.25567248855208613,0.2702634272141974,0.675535806813388,0.02572542420345847,0.084371250832707,0.00027265879620049253,0.026369726955282582,0.0935845326657877,1.2993463313666058,0.02622971474382276,0.07775299163348137,0.0002517335076248285,0.09894540538057861,0.1885543813648422,1.8312569998436612,0.03491853470588891,0.10410774291065264,0.0003366975291166706,0.026379702701702874,0.11976895456999602,1.8479298974394556,0.031555725085733385,0.09643258035616266,0.00030074318942195947,0.05120204834745802,0.1282924486998389,1.523375964043084,0.06334420913834962,0.20375944418485703,0.0006319986948516588,0.022036908499234925,0.10886775690853072,3.57668343177662,4.514373758672889,13.9974535419658,0.04399399119971504,0.008627954240889617,0.030152884105893573,6.121828925098124,14.558544995926896,44.29608236233303,0.1422430689346899,30.000000001249177,0.46000000113577805,16.00000000114119
500,0.27956364335169354,0.2943052622795728,0.7671252959024347,0.03020101331510148,0.09365595978164913,0.00028675677224614164,0.02679842386152826,0.10518192720742799,1.4245760386948758,0.0291471162528594,0.08319583496778749,0.0002757212099094232,0.09777063879581219,0.19289087946497113,1.8588052647086146,0.03662399206027612,0.1066538072349922,0.0003407064725753406,0.028686900198567747,0.12650760578117867,1.9200872636401414,0.032998778822952865,0.09897056960899116,0.00032010689535588716,0.050621091913648976,0.12719520482524077,1.6536625478349556,0.06740512479134009,0.2098430901908371,0.0006428917513344461,0.02661244707323714,0.11731495733547531,3.796143563700702,4.557102748137757,14.631581431154743,0.045862734077006966,0.00890789234574663,0.030959239778055,6.548021186234411,15.385968402271523,47.1155414412604,0.14923178454981673,30.00000000127903,0.46000000117185996,16.000000001161716
600,0.30618045496830204,0.3310534856887962,0.7877735659826463,0.030921391947684337,0.09789466587171629,0.0003210756455145768,0.027243629656125076,0.11155648992197852,1.6635951952449002,0.03182035348577048,0.08855183418330702,0.0002932253011765862,0.09596888439402738,0.19527326477716525,1.9965640703828036,0.03800215630476669,0.11177999438732218,0.00036055028269334823,0.03078628930569183,0.1424312695842057,2.1004635163958025,0.033665140173203406,0.10418867134636105,0.00033068071735350366,0.05119843739128393,0.13324122232855903,1.7236276904494379,0.06973905743129083,0.21320927978478052,0.0006633507259620942,0.026149788554048578,0.12330494932996469,4.01754195545907,4.810454031734517,15.022045400346228,0.04679482587286367,0.009307749827690113,0.032597272254716175,6.743777897929527,16.303074602185955,50.78381194918442,0.15710680266914354,30.00000000129749,0.46000000119534784,16.000000001189747
700,0.3128831709566207,0.352175413048569,0.8522756456590227,0.03567275431254877,0.10774461993039193,0.00034523556917564823,0.03116598372629057,0.127339341093161,1.7363805481327284,0.032456640676817534,0.09999238499468946,0.0003051699511072819,0.0946773360478445,0.20673134965287943,2.107850029984954,0.04005329794481675,0.11859892235036672,0.0003813656094623785,0.03267778801575974,0.1424913611905308,2.161532644245586,0.034259927095529406,0.1077487066650571,0.0003308318362205418,0.05164122445400581,0.1363176844524938,1.7585869763036301,0.07069743016540027,0.2194500524291375,0.0007032929165018251,0.029784959032941167,0.12543954130446752,4.1676617548561135,4.866527055048843,15.317339877959508,0.048936312088859776,0.009793263171337108,0.03306252099912786,7.019249386653744,16.586361967647,52.70775102287791,0.16109610749208092,30.00000000134595,0.4600000012456869,16.000000001220847
800,0.3326428433003738,0.3691532641711156,0.9867057097003514,0.03698933999781757,0.1127491852814802,0.00037025354187765545,0.03232852499996762,0.1354254272434828,1.917373018734449,0.03544559292155937,0.10405926056737669,0.00033001005451845664,0.09386045767741388,0.21216468924415358,2.2802690548357756,0.041493627004296096,0.12409789901825397,0.00038739851421712044,0.03253004317913346,0.15201724710586448,2.2304716984604642,0.036176084162168616,0.11097027985741023,0.0003594858183727245,0.05220199530829573,0.13636267921222647,1.8607133514025653,0.0760096434879824,0.22738892679477885,0.000736815899820655,0.030411920794365457,0.13596180661801818,4.180003180525152,4.978096350975026,15.81543046069423,0.049864500127293064,0.010128311717601446,0.03379723073370849,7.372377575029512,17.264028223173696,54.46307862984176,0.16786219318459542,30.000000001384947,0.4600000012679659,16.00000000125588
900,0.3478281508138337,0.40226566685528414,1.0083948498327964,0.039614670475627736,0.12431011555946682,0.0003876499871358814,0.035163004719311886,0.1391670010582973,1.9284554586306544,0.03725375010553184,0.10841261067068012,0.00034179442147021233,0.0937526283974287,0.21109028212455494,2.322665591587209,0.04361534417871323,0.13113059462176113,0.0004018008742085209,0.03787549025332959,0.15955239821275666,2.3714676877834058,0.037533171136508184,0.11418287392438563,0.0003727858948645874,0.05207761874465036,0.14382166069900612,1.8926974019566873,0.07832105908717953,0.24207520990285922,0.0007477212217007333,0.033153750738837674,0.13701217751278633,4.268453773792316,5.160808748443564,15.812242434259586,0.05036531818616144,0.010659268887513812,0.03528343373934093,7.540318740091893,17.790355774199007,55.40773366121021,0.17179239039370933,30.000000001408225,0.4600000012815437,16.000000001275833
