miliseconds,C,P,Q,Qp
0,0.0024447847884182246,17.4617202824816,19.97628369909651,16.53136670930078
100,0.0025009722201522395,17.62933883068918,19.97706764561063,16.5158622716377
200,0.002383244904272072,17.660093618729157,19.974833936879776,16.47252283535657
300,0.002335913375024004,17.82000740786964,19.974970331468644,16.46755095778891
400,0.0022437490885995125,17.971777191814546,19.974275040275096,16.44808245645582
500,0.0021624482566253785,17.999191982637516,19.97341709032277,16.440674278527272
600,0.0021773987633794296,18.11494809716952,19.972873898351725,16.417901960952275
700,0.0020435656561594764,18.179470946271145,19.97427657741554,16.400433705512807
800,0.0020573864594445267,18.35628874433359,19.97225413393416,16.37612929721131
900,0.002036785043175941,18.465343731017402,19.97192159919035,16.343095642983442
1000,0.0020144855022307113,18.470435405756817,19.97143983268671,16.341713012023497
1100,0.001846276941770057,18.541776121635756,19.97202332620959,16.309384091097726
1200,0.001878261076595739,18.652624238552633,19.971467454818804,16.29911657577258
1300,0.0018373835856677976,18.747076503652444,19.97127478436796,16.276418451825254
1400,0.0017051633800590734,18.959557243705785,19.9712048757177,16.249898070274917
1500,0.001669104235309715,18.95236686251168,19.97117347319565,16.249699398440182
1600,0.0017184099583992794,19.10146500957521,19.97064971882313,16.21650886486554
1700,0.0015984312380924078,19.204666880734674,19.96987542754714,16.204099176988375
1800,0.0015385521013171718,19.314082428219226,19.968857513665135,16.17269808986322
1900,0.0015479676137338562,19.41843798408541,19.97005867005901,16.179512285780536
2000,0.001553563641993036,19.515944398664658,19.968535602634166,16.142911213966197
2100,0.001559640568311813,19.56551888247188,19.968767745113116,16.12384134609215
2200,0.0014961703937968315,19.742782947531566,19.968181855627666,16.11282108568017
2300,0.0014360601528900906,19.895046240633516,19.96742758404676,16.090545503142128
2400,0.001443080414490068,19.890072019754545,19.967995254983848,16.06757201077951
2500,0.0014193857935486322,20.08900061934323,19.968157625359133,16.051957919809283
2600,0.0014035414869157197,20.137501001042846,19.968567168294193,16.0411257428327
2700,0.001365810888783987,20.241051000542168,19.966542898436526,16.02978087586407
2800,0.0013320030393898705,20.306203724582243,19.96814562471673,16.00804995853428
2900,0.0011809046160985454,20.44549559636047,19.966700706580312,15.97690895002125
3000,0.0012483011506757833,20.62865055808022,19.96751999957198,15.970413745599418
3100,0.0011505093314922875,20.71218984829505,19.966885263748225,15.954235577030039
3200,0.0011415616706400426,20.788428472524156,19.966863600778005,15.918100976011429
3300,0.0012043178646781265,20.91793514250421,19.967741970865898,15.920766722114633
3400,0.0010904724397939028,21.054857896824384,19.966294911716723,15.8831390024926
3500,0.0011298091976545165,21.117269832239074,19.96751417320996,15.879521632500765
3600,0.0009958063532505366,21.169002217846877,19.967222586754662,15.848382705319942
3700,0.0010250115786760309,21.318182440678356,19.966268199583137,15.848050257079532
3800,0.0009275546708375254,21.384067543041432,19.967260531606183,15.807206248594598
3900,0.0008931154064401414,21.61268764255593,19.96561834201268,15.798181248556673
4000,0.001028833425732491,21.59706254350582,19.967149354976474,15.775960745206483
4100,0.0008742639223017213,21.812860166174016,19.967294784318973,15.757002397334125
4200,0.0008752971023247953,21.916885924032478,19.9656349268582,15.745658613892301
4300,0.000865249256676037,22.015986260583382,19.966317836244638,15.733762384817128
4400,0.0007860497567353749,22.089328388737076,19.96637007315504,15.706494609975286
4500,0.0007731188418417216,22.23347276805999,19.966403422515643,15.685856822858307
4600,0.0007914568774419531,22.377540189601863,19.965598766929762,15.671331735746048
4700,0.0008739739464405549,22.413339876636613,19.96682510525919,15.663150909210284
4800,0.0008278704754207057,22.549225844166244,19.96625555457631,15.64041118172065
4900,0.0008102370161904896,22.716576224097828,19.96536239268222,15.61224304390512
5000,0.000821118790943415,22.74440264423037,19.966957835397032,15.59952417000461
