milliseconds,C,P,Q,Qp
0,2.081244832980682e-05,41.163901842371565,19.999845566025446,13.088379949027809
100,1.9501387726543107e-05,41.20700554411166,20.000435219816588,13.058126327405493
200,1.879439185762678e-05,41.37897688868851,20.00051662717772,13.052658584138895
300,1.932372091517419e-05,41.48996037893125,20.000955306174383,13.026909902712696
400,1.864554349259155e-05,41.662379601779726,20.001249092062395,13.007872370572985
500,1.8130329199948044e-05,41.67054134580255,20.001340747989623,13.00244830652813
600,1.770664291688733e-05,41.773002158616606,20.001764215455392,12.984842848752539
700,1.714687090644979e-05,41.89011469251272,20.00215252502588,12.981156913831857
800,1.671999741377734e-05,42.18537370523963,20.002218526910905,12.955728607719319
900,1.7063228580936743e-05,42.212616341707644,20.002607905018568,12.941085665633347
1000,1.549295294149604e-05,42.351519995715385,20.003018813121574,12.926241230593327
1100,1.6012957560357824e-05,42.44935247920366,20.00322031407408,12.912481504464182
1200,1.5496496907221264e-05,42.55748085106052,20.003473567874472,12.89262721019549
1300,1.4623247782761779e-05,42.651510698896935,20.003863844409548,12.884466211574095
1400,1.390675635138937e-05,42.80510183052185,20.00390062973661,12.852620477453977
1500,1.3741909710068871e-05,42.929215557892974,20.004213120049563,12.843833221946316
1600,1.3386137122949705e-05,43.03995715260976,20.004761200524054,12.830242654479527
1700,1.3331146752055628e-05,43.14851056866991,20.0048268587572,12.825750932435682
1800,1.2791977367716138e-05,43.28745757053695,20.005242334834247,12.797824169521917
1900,1.247568473295513e-05,43.377783834075835,20.00534241939352,12.785855233696385
2000,1.2214525575153364e-05,43.51981912574479,20.005619790738518,12.76684413050272
2100,1.228589645031155e-05,43.588732011998914,20.006096845225066,12.749158930235975
2200,1.240948606146501e-05,43.708406411808944,20.006268996566323,12.738622248453742
2300,1.1556465066137245e-05,43.79746687999994,20.00660946464218,12.719750554637995
2400,1.1167794530478063e-05,43.92930455410936,20.006820378483265,12.706395484683542
2500,1.185998941272396e-05,44.01503718824576,20.00726717479303,12.705837358079714
2600,1.08621548924046e-05,44.15911250831259,20.00759726438157,12.674753693584886
2700,1.0653855749910493e-05,44.25000244317323,20.007768746906464,12.67744479879372
2800,1.0358316240000454e-05,44.38632489653868,20.00807515029027,12.644854794415057
2900,9.746207892199491e-06,44.48124971224976,20.00862346132955,12.636382815481507
3000,9.266909455939552e-06,44.63787147873466,20.008859142452653,12.630153776770905
3100,9.488529664339769e-06,44.77428955695035,20.009012757101708,12.61447824939104
3200,9.084563689096637e-06,44.81248610882794,20.00929490881229,12.583727176214191
3300,9.016507243951986e-06,45.01379796636296,20.009784988545082,12.586801399473128
3400,8.863046957855964e-06,45.10953116405197,20.00970468858301,12.571851548778277
3500,9.073924310848402e-06,45.17391637589907,20.01007069350448,12.554752339971285
3600,8.07142660109734e-06,45.25285061192514,20.010435185605694,12.543385439062133
3700,7.809430296393275e-06,45.435799031543446,20.01071579568348,12.511013817693945
3800,8.68687695036863e-06,45.507985101378104,20.010890381457884,12.512397318368546
3900,7.857169344777741e-06,45.67664445738175,20.011193452241734,12.48632460405549
4000,7.262732031797837e-06,45.73863461201994,20.01167500404313,12.464425975098505
4100,6.935343814474839e-06,45.82084975549066,20.01183159000676,12.46799204697881
4200,7.778497697230936e-06,46.0202325794775,20.012403406354213,12.439923994903163
4300,7.452481661969008e-06,46.18135998422868,20.012297319691694,12.440643192094567
4400,7.69447776698611e-06,46.295864754728335,20.01272941857875,12.416238939254693
4500,7.266413334195005e-06,46.309009606754096,20.012955014830407,12.390269028523402
4600,6.623406348699083e-06,46.4914391767315,20.013417564403884,12.393872103863636
4700,6.519746403692313e-06,46.553070946269045,20.013628056475877,12.377480293144515
4800,5.921086805620845e-06,46.65762388065889,20.01413485989815,12.36541487941431
4900,6.883375174921276e-06,46.707590684627476,20.01431034024758,12.35066885328354
5000,6.004499246210905e-06,46.95067895673085,20.01451224689725,12.336511196966809
