milliseconds,CD95,FADD,p55free,Bid,PrNES_mCherry,PrER_mGFP,DISC,DISCp55,p30,p43,p18,p18inactive,tBid,PrNES,mCherry,PrER,mGFP,CD95L
0,116.0,92.91291477491431,155.09330215047248,236.00000635320777,972.9999391408872,5178.000006671639,0.11029135937189237,0.07146294165134354,0.00041659171433773893,0.00012448876577846063,7.170821897181391e-07,-6.694415935104063e-09,5.346645955056466e-06,-3.9823822428464295e-05,0.00010566184293109013,-9.943237316052573e-06,1.6302795554215198e-05,16.6
100,116.0,93.00743979683735,154.9203248612465,236.0000043842591,972.9998857218534,5178.000016707033,0.6385435785242399,-0.0519402331869876,-0.0013072902043819751,0.00011649317162556139,-1.0545350502293256e-06,-2.0193483731717605e-07,-8.16478315633254e-06,-4.565306271293946e-05,0.0001641392646655797,-1.5245349410379137e-05,1.47794072109762e-05,16.6
200,116.0,92.39052983772264,155.02256216294688,236.00001032068448,973.0000594135566,5178.000017305348,0.6452882405878161,0.041819800579082,-0.0003253906616525455,-1.6083111767817765e-06,2.4400165047536968e-06,-1.823225059426693e-07,1.484575481984395e-05,0.000168961667150324,0.00019001951067994528,-1.6136650327496877e-05,1.3823527274509795e-05,16.6
300,116.0,91.96994383199348,154.89922776598465,236.00000450264164,972.999837567836,5178.000007217693,1.4920556256311315,-0.0810537363902651,0.0016793309429784073,-8.12652278419041e-05,-3.205728747347931e-06,1.839593787448723e-07,2.1700837557638596e-06,3.7638159453780964e-05,0.0001562775982678287,-6.026902461993339e-06,6.752172691075716e-07,16.6
400,116.0,91.66271227865612,154.96894088356814,235.99999712862243,973.0001820871468,5178.000013303788,2.2289484142343365,-0.06701493511099475,0.00017165816844120718,-3.910528975660103e-05,-2.7025688621028643e-07,-3.834228607125613e-09,-2.0870019323623513e-06,0.00011391502644514974,0.00011732283828739806,-1.2695557381694264e-05,8.327631708052371e-07,16.6
500,116.0,90.52241888138192,155.00569183503913,236.00000845965613,972.9999586217712,5177.999999561346,1.7577202027424303,0.08189470524047943,0.000687398528087823,0.00012038970905571651,1.4188390824149093e-06,-2.4406010604652926e-07,1.3016402616213798e-06,2.172797184054831e-05,-0.00018653552769931175,1.6532922615157542e-06,-1.5213956866853498e-05,16.6
600,116.0,90.04069297330643,154.85296787830305,236.00001544585137,972.9999750246408,5177.999980121524,2.210767082941816,0.02536166086011303,0.00127026921636815,-1.3853739132832528e-05,-2.587034028417418e-06,1.8613733681936279e-07,7.686554353461539e-06,1.1570411271606299e-05,7.094501895397036e-05,-8.819108216303416e-06,9.349909488410222e-06,16.6
700,116.0,90.33087219965321,154.85049077571952,235.99999463903742,973.0000067575436,5177.999996265608,2.9217229143680137,0.020391797874070187,0.00030411695714544385,-2.0986885567314563e-05,-2.8060521607760387e-07,-3.246702420763454e-08,-1.5423051947782347e-05,-0.00015541526916357736,0.00018507009758137933,-3.5356496253191307e-06,1.4503840058585638e-05,16.6
800,116.0,89.58120078337761,154.8322566116953,236.0000053763575,972.9998611428832,5177.999994521029,3.4317692462358225,0.19400229871903857,-0.0004887462624946586,-0.00013901774007323613,-2.3151180612303293e-06,-9.74735126337353e-08,-2.944229827129416e-06,2.7679918224406544e-05,-0.00016201345265073517,-1.0035774114412618e-05,1.2507287299893501e-05,16.6
900,116.0,89.206797178848,154.84154715774667,236.00001526690704,973.000138308909,5178.0000069934395,4.086698584490552,0.2303931319125826,-0.000594986266726444,-8.396369339190801e-05,-2.918826101048581e-07,1.878025919660092e-07,-5.5465808029747376e-06,8.749233207131181e-05,-5.815311876586641e-05,-1.4294883683601897e-06,5.739573298013549e-06,16.6
