milliseconds,CD95,FADD,p55free,Bid,PrNES_mCherry,PrER_mGFP,DISC,DISCp55,p30,p43,p18,p18inactive,tBid,PrNES,mCherry,PrER,mGFP,CD95L
0,116.0,93.0,155.0,236.0,973.0,5178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6
100,116.0,92.58686107409639,154.9988327571529,235.99999999992227,972.9999999990553,5177.999999999999,0.41197168306450105,0.0011669686430506821,2.490880477784879e-07,2.5107935771348235e-08,8.070237695751855e-12,1.064559663864051e-14,7.770614774663045e-11,9.445758447083287e-10,9.445758447083287e-10,1.3092972995633356e-12,1.3092972995633356e-12,16.6
200,116.0,92.17561109079041,154.99534697982628,235.99999999876394,972.9999999849748,5177.999999999959,0.8197358891643604,0.0046508319921343515,1.9874139843441204e-06,2.0063904539550325e-07,1.2824030186912208e-10,3.3301369753385307e-13,1.2360460530644379e-09,1.502505629892995e-08,1.502505629892995e-08,4.095720979283264e-11,4.095720979283264e-11,16.6
300,116.0,91.76624111100861,154.9895665314986,235.99999999374563,972.9999999239731,5177.999999999689,1.2233254211409534,0.010426100812424618,6.6898645379219535e-06,6.77173513834374e-07,6.484217895057147e-10,2.5252622583499216e-12,6.254377840967531e-09,7.60266002551502e-08,7.60266002551502e-08,3.1058090662064454e-10,3.1058090662064454e-10,16.6
400,116.0,91.35874223963724,154.98151518964528,235.99999998022193,972.9999997595826,5177.999999998693,1.6227729520680563,0.018467384934991466,1.581636754633145e-05,1.6069919991454948e-06,2.0495936470786322e-09,1.0625544848693113e-11,1.9778071687131176e-08,2.404171267110082e-07,2.404171267110082e-07,1.3068311386404177e-09,1.3068311386404177e-09,16.6
500,116.0,90.95310562534108,154.97121664294227,235.9999999516479,972.9999994122446,5177.999999996014,2.0181110226431938,0.028749393672442787,3.081261951149542e-05,3.1457234346371957e-06,5.00996462235212e-09,3.2416556441930314e-11,4.835207080518816e-08,5.877552734173489e-07,5.877552734173489e-07,3.98689817501533e-09,3.98689817501533e-09,16.6
600,116.0,90.54932246034649,154.95869448862527,235.99999989952525,972.9999987786551,5177.999999990071,2.4093720387709814,0.04124693614207119,5.31107979652472e-05,5.453941987793785e-06,1.0412008484802178e-08,8.07344498322168e-11,1.0047472922196575e-07,1.221344834859325e-06,1.221344834859325e-06,9.929494863939319e-09,9.929494863939319e-09,16.6
700,116.0,90.14738398023071,154.94397222997708,235.99999981332985,972.9999977308859,5177.999999978502,2.7965882692726294,0.055934921587296293,8.413023397228466e-05,8.698674721252928e-06,1.9352139413964498e-08,1.748080835273362e-10,1.8667015432210441e-07,2.2691141393263065e-06,2.2691141393263065e-06,2.1499570148370148e-08,2.1499570148370148e-08,16.6
800,116.0,89.74728146371227,154.9270732738483,235.9999996804202,972.99999611527,5177.999999957978,3.179791843629964,0.07278835971221631,0.0001252780688583426,1.305487588535049e-05,3.315309859495129e-08,3.416894947361933e-10,3.195798419014463e-07,3.884729940560734e-06,3.884729940560734e-06,4.202424231645193e-08,4.202424231645193e-08,16.6
900,116.0,89.3490062324384,154.90802092825538,235.99999948592685,972.9999937510593,5177.999999924021,3.5590147498128735,0.09178236101043855,0.0001779498887955873,1.87068486447322e-05,5.337898816365975e-08,6.177817315453942e-10,5.140731808021406e-07,6.248940682902109e-06,6.248940682902109e-06,7.59807064162136e-08,7.59807064162136e-08,16.6
1000,116.0,88.95254965078452,154.88683840017205,235.99999921263148,972.9999904289515,5177.999999870815,3.9342888322889107,0.11289213707811221,0.0002435303043319373,2.5849543295483965e-05,8.185182488903189e-08,1.0503879784548138e-09,7.873685485873112e-07,9.571048508060236e-06,9.571048508060236e-06,1.2918676053116066e-07,1.2918676053116066e-07,16.6
