milliseconds,L
0,89905.47931863337
100,106679.73286948272
200,157388.55973274118
300,200688.7171449566
400,260996.96308230783
500,355591.9348950199
600,469903.5017635788
700,632416.6054302318
800,832910.7492157829
900,1107008.7557595626
1000,1462438.0723454847
1100,1401728.2663659973
1200,1341302.9763957856
1300,1280355.6873233528
1400,1217417.434989126
1500,1158532.279355839
1600,1114070.1940891023
1700,1065882.784230259
1800,1019835.785342614
1900,978165.27991083
2000,927344.3884941885
2100,888385.8094642573
2200,847257.7739471653
2300,802423.7525344699
2400,775257.0907515539
2500,744669.1004885171
2600,704339.6437413633
2700,672240.3857757736
2800,644667.0854516417
2900,612241.7750582305
3000,597499.595488741
3100,548279.1551422406
3200,511884.66648731625
3300,486011.806693553
3400,468224.7435463747
3500,428377.8113063795
3600,415816.43873089564
3700,389368.25409449433
3800,353082.41341778066
3900,335692.38998003124
4000,316009.84031985
4100,290577.1190944184
4200,285362.70189696865
4300,260194.67960227554
4400,241775.1020916186
4500,226835.72548898068
4600,226165.82020430552
4700,211671.5851337993
4800,195636.7021216393
4900,173801.89009243803
5000,168048.1287244925
