milliseconds,IFNb_mRNA,IFNb_env,STATP2n,SOCS1m,IRF7m,IRF7Pn,IFNa_mRNA,IFNa_env,TNFam,TNFenv,STATm,STAT
0,1.0879777018667342e-05,-3.4790362145033713e-06,-1.4124510210743924e-10,-3.1107394270689506e-10,1.748622582590757e-14,2.2378693784387564e-11,-6.519205863342939e-12,-3.319723431817663e-14,-2.0069275306562976e-06,4.23493071358922e-07,2.878141572196639e-07,0.09990427996147636
100,8.111211517109918e-05,2.366169047480715e-06,1.2516987821287047e-10,8.8699564736459e-09,-4.090905280622349e-15,-9.333004099678898e-12,-2.425790313979376e-12,5.852955024619517e-14,1.6019382692775364e-05,-4.1744571926398624e-07,7.113781852818719e-07,0.0995768173256791
200,0.0002023597392841322,4.236343462499492e-06,2.3136446195953595e-11,1.6399695325978132e-08,6.3480379771233e-14,2.3083372086259177e-11,-4.1584283107506003e-13,-2.2581324286684452e-14,2.015380677020093e-05,-5.35567944474299e-07,1.946469137594501e-06,0.09905160528702169
300,0.0003018549100952326,1.474578386911412e-06,-1.0598608832856687e-10,2.4810303982637594e-08,-2.6309332073053775e-15,1.8853819213808833e-11,-6.276282057465951e-12,1.9835524025803895e-13,2.48795781043439e-05,5.234267018868719e-08,2.4360885640657195e-06,0.09874430922848204
400,0.0004129719016717209,-1.218010751713692e-08,1.2243124089904573e-10,3.125946420688099e-08,4.460648397722645e-15,1.723020663988336e-11,-7.62164573073465e-12,-2.150545313142121e-13,3.997666614942913e-05,6.177392177851178e-08,3.7517220183518783e-06,0.09832970342033397
500,0.0004881718149418033,4.331841240296027e-06,1.5350479533433244e-10,3.493159280574792e-08,-5.3237996799935266e-14,1.9175702056136518e-11,-6.471090166463966e-12,2.0257007205370587e-14,4.2179335436257354e-05,5.101046881970901e-07,4.053672025773302e-06,0.09804175189989887
600,0.0005114012198817109,5.40006522812303e-06,-6.112062295311385e-11,3.884415582577078e-08,3.2903004666954556e-14,1.3849807644554547e-11,1.7829433839340543e-12,-1.4931145350717592e-13,6.072221328529649e-05,6.345299844482483e-08,5.046462001529369e-06,0.09774434065003199
700,0.000626920325441901,8.279960120875036e-06,-4.7124733764608354e-11,4.406952003207966e-08,5.246480680052266e-15,-1.8358262082273384e-11,-3.235998438879617e-12,2.3563974838888883e-14,6.635740801457672e-05,6.153105262125266e-07,5.739946090013371e-06,0.09753548525811559
800,0.000711477936166374,7.79364216069452e-06,-7.490698516415367e-11,4.763010478211392e-08,-5.1968926689787886e-14,2.071141459050531e-11,-5.290017757768199e-12,7.846699614213162e-14,6.477312319348314e-05,3.726413475298065e-07,6.168858332387508e-06,0.09741064163285143
900,0.000817006927637243,7.2204741745370835e-06,4.160028433556228e-10,5.040273949609433e-08,2.7416902598582392e-14,-4.60213755138369e-12,5.1974330968969274e-12,-1.54469183194552e-13,7.412179445481559e-05,7.35650727009335e-07,6.849463754675803e-06,0.09714543641759367
1000,0.0008606699912468414,1.3619785799394973e-05,6.619408161161399e-11,5.244626166861553e-08,-3.068151971011676e-15,-1.2313173143603083e-11,2.1364431053449312e-12,-1.9800398181856923e-13,8.85392973148657e-05,1.9558038617771336e-06,7.427822636033083e-06,0.09683116652541039
1100,0.0008842609781784592,1.1926422109771103e-05,2.479844708086749e-10,5.501000045701798e-08,-7.579017273251211e-15,1.1692136737438226e-11,-7.2679411961083286e-12,-1.9144443755614158e-13,8.919685830472637e-05,9.771998082523956e-07,7.632138963831098e-06,0.09670990688291287
1200,0.001068622580779112,1.818138572910055e-05,4.864416497415085e-10,5.574433623670801e-08,2.8986621288258857e-14,-1.1836401125869632e-11,-4.059091042961343e-12,-1.6684795478179356e-13,9.737923411290323e-05,2.1126796312320138e-06,8.100877576672142e-06,0.09649440631622618
1300,0.0010521699621163399,1.6455520204345648e-05,2.702769631115591e-10,5.7055035373007374e-08,8.637015383610939e-14,1.972946029366128e-11,-1.1020412433332445e-12,1.0518283710938617e-13,0.00010058328354867407,2.8795654277530864e-06,8.313779915003065e-06,0.09629886287135214
1400,0.0011364154846468335,1.704810182697351e-05,5.50251290336214e-10,5.7620752230609244e-08,1.116708833066183e-13,3.233476508258707e-11,-1.3988845700992639e-12,-1.8595286259365172e-13,0.00010902715948855553,1.9774739055492033e-06,9.117685869618523e-06,0.0964005708043803
1500,0.0012455923361630562,1.950170947104027e-05,8.687215149859013e-10,6.054969509943403e-08,2.906610579280315e-14,9.01589169778431e-12,7.006670853385648e-12,-1.3712390536800639e-13,0.00011704284810083241,3.5365930702549237e-06,9.4578851550129e-06,0.09615121808235842
1600,0.001274579356089282,2.302073051178846e-05,9.621008018868818e-10,5.9500867858808e-08,4.813211464667613e-14,6.648169538277824e-12,-2.504449581640207e-12,1.049311588431653e-13,0.00012949087208714198,3.899141971246487e-06,9.722126654620117e-06,0.09595524143622497
1700,0.0013329208470152381,2.827005193808589e-05,9.920201054107934e-10,5.95784966540376e-08,1.6503468219400723e-13,3.136905514262329e-11,-4.158871684200086e-12,1.7209996749005603e-13,0.00013478329224273958,3.594260330713053e-06,1.0032059137315641e-05,0.09591635059334763
