miliseconds,mwf626e95e_543f_41e4_aad4_c6bf60ab345b,mwbbbce920_e8dd_4320_9386_fc94bfb2fc99,mw810ff751_fa4e_4143_bd50_169b3e325e1e,mw114aa90f_5f5b_4fe8_9406_361c8489b6a1,mw30ae63db_6cd3_4b6f_93ad_3350cd360bcc,mw03db56ac_8dc6_4931_ae82_fef706d2ee3d,mwf345ed7a_0622_403c_b816_c8749a2c9ded,mw1da111f2_a036_4392_8512_015005bdcbb7,mw9947742a_0e4b_4636_9a4b_b6eef2a8f6ac,mw80848184_e2dd_47ce_86d7_7a21479342bd,mwd2d9d93a_3bd1_4f17_bac1_baba9ef2d55a,mw4638f126_8cb8_4021_ab41_6ae195743ba0,mw10315fa3_6f13_4618_bda8_a8694bd3c374,mw0adf3eb4_a196_4c48_b10d_4e9e9faaf9e1,mw7d86cc23_a1af_44c3_bdb9_71e9b1bb2a83,mw0eb6c959_d408_45a0_a450_928b8c5876bb,mw42054cd7_17af_46da_970c_7f99151906ad,mw39c2e431_fdc3_4964_be29_6ca856620b1b,mw2e464cf3_a09c_4b7c_9f3c_06720016a48e,mw36ea78c1_ed71_4def_96d3_857a442d7195,mw147d30ec_478e_4090_b496_128a131d29eb,mwab41493c_6349_45f1_a226_3030cfed0e06,mwf405687b_7401_44ec_a0d6_4a2b35c13e8a,mw3667a5e1_02c9_44a0_acb4_b0431faa822d,mw772cbf20_3fc1_4800_ae59_77884f1ae333,mw2ba2b802_9f07_4f4d_94c6_24c8de1a95cf,mw7becb5fe_8da8_4285_a821_0d77ad811b62,mw8c9107e6_f51d_442d_b2dc_2bfdbb8482ca,mw824bc3d4_1ac3_4912_9b51_8f14ff1c96b9,mw6cce2109_0e32_4dd9_98ec_41173e8ef07d,mw2b255f94_8018_4b99_bde8_918eeac45446,mw48867e93_f170_44e8_ac7a_185b23e1bf3b,mwd31f52cc_04e7_40e0_885f_c7b2d9e62215,mw2c9b0499_3325_4394_8af3_bbf653a944a0,mwd65b5b39_dc1b_4e77_a999_67277a880e5e,mw6335d5d7_c7b0_4bc0_b883_f7ee4915c2c3,mwf7796221_1fea_4274_a93e_c00adbf5778c,mw5d764bb8_5693_4ac8_9557_f65992cc5eb0,mwedc1bc00_adf7_4144_a1c2_7dc1a9565dc2,mwbc2f5464_81e5_43fd_8b39_f5a2756af72f
0,0.0004335735452071034,3.900167343209531,0.08718382097519797,221.06365835423358,4.23356816757437,0.001093460617190686,-3.5883560184129153,-0.08576410368360034,-7.403961663257478e-29,0.38893408051021106,6.611406048517397e-05,0.0009731403554465341,0.4332084420510111,0.0007435230619777911,1.6071559762308736e-05,0.7654101949197109,0.7775410970614841,9.222481674113908,6.10850300179031,409.7752246806733,5.589572212815556,0.11638245702275912,0.016317052995732502,-0.07918669150367831,-0.007050292902030156,-3.038250994803937e-29,0.0013005000523001946,0.3749395350933461,8.441552369121925e-05,0.9802362077394123,0.6106782874363027,9.389316344096128,6.02176586729764,0.009277373715401773,5.570253496067819,0.1364550093951234,0.30700095126676974,-0.04265698644529636,-1.2082963089702596e-28,0.014547608965258566
100,0.00043405066266486635,3.899949072906303,0.08751318950574605,221.06370119073173,4.283144940777024,0.0010900645778473483,707.0583503673014,-0.0947578757480471,-7.12300480362527e-29,0.38895251773014183,6.583667887463081e-05,0.0009752532122607833,0.44249994764654765,0.000761154556766353,1.606861714343907e-05,0.7653924617070659,0.7775165723266626,9.222485342512432,6.021659768265834,409.7752721798341,5.5894771116151025,0.11619294506530219,0.015655148209698558,0.6845797852054014,-0.0010556823117380727,-3.570799879988287e-29,0.0013093291094729868,0.3750714153587047,8.41626000524352e-05,0.9803727937633588,0.6106322949188525,9.389390078407652,5.990041363038736,0.009513461562475577,5.570186259169656,0.1362986075119517,0.028436073763209873,-0.01104874146894521,-1.195544850600196e-28,0.010130635495116879
200,0.0004613967552657258,3.90002663484783,0.08748777353176754,221.0636933626409,-0.01261662809036415,0.0010826464905723712,693.3557513539795,5.373804614632601,-6.751007814848858e-29,0.38898626615027093,6.563229448852905e-05,0.000973757802025458,0.3328191612102371,0.000759517135214074,1.5048424638873959e-05,0.7654505422397748,0.7775541012611004,9.222477062084003,4.289976115962462,409.77538301041284,5.589820586306309,0.11660849059569638,1.3141730986552027,0.0001325602923593623,0.10396229093615827,-4.000960570753241e-29,0.00126961907496325,0.3749451632294254,8.299998353527133e-05,0.9804361571451222,0.6106673762121287,9.389413583395658,4.834135653133773,0.00936932747410615,5.569856261863967,0.13672845300425643,0.3934418638043893,0.6985647352216624,-1.1776186005720157e-28,0.03430217735858938
300,0.0004630389550230551,3.900219979271535,0.08761047769071129,221.06366939042562,0.002721460098825884,0.0010835794065664785,693.7072774998213,5.925932222737595,-6.510054410975834e-29,0.3889762719602116,6.55932801467628e-05,0.0009701914688677297,0.2297653176586186,0.0007883842516033493,1.3479570879916162e-05,0.7654182195127144,0.7775577207036551,9.222441568906383,2.6294213816690837,409.77531241263637,5.589768771448985,0.11618826710139925,2.6804286164350835,-0.0448869804258615,0.21420769583980434,-4.5299020817371613e-29,0.0012416066259491347,0.3748989054867225,8.136141902480054e-05,0.9801365869485159,0.6107030652918443,9.389391211514504,3.8374621273559897,0.010122797966722077,5.570761381983382,0.13609007296268505,-0.42325580044186545,1.4312232257943411,-1.155040517528283e-28,0.05791328976514056
400,0.00048110126428341595,3.9004070091594443,0.08727647423191273,221.0636714555633,0.0323047835905358,0.0010808897692903378,688.6085823960792,6.724422054714164,-6.312578794621524e-29,0.3889516961138957,6.518947591092622e-05,0.0009631937290911893,0.10806142415483413,0.0009284005374689098,1.1217282682488968e-05,0.7653822877510154,0.777557747614548,9.222442688533286,1.2165094947656994,409.77542595276435,5.590042001641561,0.11608923319357557,4.003322413360178,-0.5412891272858015,0.33683078826046947,-4.8642968677540167e-29,0.001211522715949732,0.3749343849992551,7.998005543915282e-05,0.9803612767975126,0.6106844219368127,9.38942339480805,2.8261422010905086,0.01060319471656094,5.57104758615842,0.13439569078767247,0.18605112874091337,2.1418048289345415,-1.136960176627332e-28,0.0853513649088913
500,0.0005064547616856677,3.900470845488947,0.0869667889404012,221.06365058480134,0.03012274221454806,0.0010776488357310831,684.5577591488225,6.900496076379493,-6.168322544786456e-29,0.3890336569900121,6.497855738034473e-05,0.0009598961826254473,0.006114238339166155,0.0010945090148570934,8.08020196206735e-06,0.7653996155092745,0.77754055993169,9.222487732608725,0.06087524824820631,409.7753024269107,5.590000671356577,0.11581423642337185,5.095934195613395,0.0958674412966018,0.4482076535041506,-5.203592792477098e-29,0.0011793091075105267,0.37524636160842734,7.82662432818654e-05,0.9800434476534827,0.6106877870105739,9.389361102140933,1.9029094385867245,0.011730150818944345,5.57253327245552,0.13380742781169902,0.12564205196150802,2.9460955861542324,-1.1211408003392e-28,0.08246086369905432
600,0.0005291050067549666,3.9006930218533604,0.08674474735430532,221.06365027783266,0.011807841840875133,0.0010787002748748136,684.8382208394612,7.1275477380903505,-6.079515762593978e-29,0.38902017304906594,6.459497462356661e-05,0.0009562339551490419,0.002890132634781011,0.0012453132171579317,6.421750816748777e-06,0.7653368974409321,0.7775495324779156,9.222431759700962,-0.029210464411154324,409.7754107458475,5.5903983754683795,0.11614471644130359,5.137714796317183,2.334200288513571,0.4540221019628876,-5.457633777706815e-29,0.0011446174142315713,0.37530419229313666,7.671274601330986e-05,0.9800185102144515,0.6105890134885177,9.389391724600879,1.0671004424519823,0.012701483545332464,5.573541437500565,0.13337450763723366,0.26041098637736143,3.602960620782232,-1.0982073063523088e-28,0.11794210574658108
700,0.0005628154079503632,3.9009599815427047,0.08622878990191428,221.06370343273363,-0.0019829220618970446,0.0010690844184086138,680.4501338907919,7.525320097558449,-6.028074207278158e-29,0.38900729673038514,6.460939104433751e-05,0.0009550756526757613,-0.004318886978357239,0.0013388131604552018,5.9238353254266844e-06,0.7653231495932077,0.7775346479755398,9.222456554718756,-0.024215661423957757,409.7753645517969,5.590462237181889,0.1159256896830824,5.159930402537473,2.511246497338571,0.45916902592821635,-5.741317140790418e-29,0.0011052613164678187,0.37533143959792753,7.471921563895838e-05,0.9800162280120759,0.6106967317187177,9.38938773552568,0.36106001442154406,0.013619356729718224,5.574952495687887,0.13097718548140588,-0.04577201963462783,4.315525764864596,-1.0746729104717843e-28,0.13190135596589955
800,0.0005871372199068797,3.9010217758432137,0.08594998079376572,221.06365642759425,0.014427194777341544,0.0010658192728079173,683.6820756869998,7.661623756222473,-5.966395376182472e-29,0.3890296190100068,6.435792659038758e-05,0.000951737011299249,-0.003299884940622523,0.0015017958129254802,5.686513235968372e-06,0.7652764768376279,0.7775604981498422,9.222458601309965,0.06372651125197328,409.77527182104416,5.590633323506594,0.11556600624609882,5.127642636772389,4.752563416329435,0.46689005782586435,-6.026086037416219e-29,0.0010839664053923217,0.37562311157762696,7.340170822612053e-05,0.9797478181237692,0.6106994742994909,9.389245290092763,0.03965963533943006,0.014873269258804908,5.576278142993978,0.13057941174027804,0.6002739347020005,4.551337035528451,-1.0639183082158181e-28,0.15785749203966432
900,0.0006151961839879764,3.9014445507965023,0.08567396721515635,221.06363857769216,-0.028192629543697747,0.0010653931759585149,673.6913919131714,7.617579362509827,-5.944269645830624e-29,0.38907893758796497,6.447391505658427e-05,0.0009520368630359987,-0.002066187906549587,0.0016305256238043583,5.501261627589001e-06,0.7652478833295658,0.777535457294274,9.222427163731071,-0.0020488011400454677,409.77522078717146,5.5907141607891395,0.11498067271995188,5.193064364577971,6.71845427327051,0.47196142359231946,-6.17068632578531e-29,0.0010732043120940174,0.37556162644808466,7.278470675442243e-05,0.9794671487485437,0.6107564555342572,9.389259808628486,-0.044738631585983867,0.015754589118782452,5.577824323585452,0.1280345634624522,0.8819039674874365,4.604141952835584,-1.040892703647239e-28,0.1779292206351027
1000,0.0006362616583701477,3.9016570869144727,0.08506441276998143,221.06369803991154,0.02234067194953654,0.0010532525787604204,678.5456321228631,7.87957949950643,-5.917377668521577e-29,0.38906397457680014,6.418762619202086e-05,0.0009517914001939807,-0.0002138719663696753,0.0017621943431554835,5.453345173681652e-06,0.7652627144006202,0.7775498884053613,9.222445371755073,-0.04656535288498306,409.7752619135168,5.590901725986678,0.11528614292559142,5.133407534675273,7.993264977047675,0.4873271920575464,-6.379911986692438e-29,0.0010499289628561857,0.3760207645552635,7.215659253952879e-05,0.9794889126817938,0.6106599443486946,9.389241896268933,0.007452224865673434,0.016569959562080516,5.578563980309463,0.1274885161598749,1.9344000847313676,4.548336470611717,-1.0296106581179117e-28,0.22918052759213742
1100,0.0006532797812586988,3.9019487715646077,0.08486980589566079,221.06369698800773,0.012302807708152836,0.0010518488606274714,668.708433646622,7.799496761042662,-5.874071767327921e-29,0.3891024095394172,6.39239771803411e-05,0.0009492323795658633,-0.0016396919758827559,0.001819404029759344,5.609562878879526e-06,0.7652636516572336,0.7775816001666955,9.222415726610084,0.06497772239313514,409.77520545744636,5.591365407397068,0.11464510319268963,5.239851169408924,7.842949907972331,0.5000905543923515,-6.572652970015658e-29,0.001037264995114562,0.3760207865348646,7.17741633510974e-05,0.9792146469790186,0.6108423745303959,9.389276715397024,-0.042622828378679034,0.01738025265982344,5.579871819168991,0.12528682436059999,2.1355100704466627,4.556016431065749,-1.016017761474118e-28,0.24141857268112948
1200,0.0006732076054286559,3.9023286842559135,0.08401963303748276,221.06363864986707,0.038437050693096685,0.001046138338458835,671.7106387490264,7.969417054151947,-5.88295065050904e-29,0.3892042000023532,6.394146295178004e-05,0.0009420968325631501,0.0025720274179402078,0.0019631915338971483,5.634316435534071e-06,0.7651933006634271,0.7775763229397927,9.222413478087583,-0.04009438077917014,409.7752778208195,5.591376930660507,0.11444752609240177,5.205299809584703,9.949524330216208,0.4996659212272161,-6.657297436372199e-29,0.0010277688118599817,0.3761807559416097,7.12388889318505e-05,0.9790969424225964,0.6107321733528305,9.389172673681589,-0.008474556289228713,0.018237615160445204,5.581817464856164,0.12401274574820455,3.369316445714314,4.58140737708717,-9.984741377655254e-29,0.2554863971121819
1300,0.0006883691070838401,3.902767153305656,0.08370131183039571,221.06368329081332,-0.03785564543344593,0.001036888893809979,669.2813533498985,8.093329298315004,-5.848103133017545e-29,0.389169615079017,6.375749792643754e-05,0.0009436716044747296,0.0014849798183302915,0.0020687508687746077,5.5053146023952085e-06,0.7651642149575669,0.7776065642770917,9.222416933950328,0.05655340016759778,409.7752851652372,5.591933616513993,0.11370436361583255,5.235766283956222,11.307980165635824,0.5137207989817626,-6.846362786623139e-29,0.0010220653032803745,0.3764131164158904,7.111939124822399e-05,0.9789455042887852,0.6108228517732345,9.389189548371787,0.057080364030631874,0.018665864297567464,5.582913662028542,0.12318499126040233,4.226433767188412,4.511650050543322,-9.806414344290358e-29,0.2816715824200159
1400,0.0007036529439695404,3.9032698837812387,0.08312475203633747,221.0636666879362,-0.008385921571602813,0.0010331935671094995,665.9121646973913,8.341063911601239,-5.845196310125186e-29,0.3891901401462759,6.369087232251795e-05,0.000935876305896747,0.0030946912677405868,0.002120740036505856,5.383273650084348e-06,0.7651673533477543,0.7776091424889487,9.222385447171453,-0.05871615182514039,409.77532589446633,5.592190897915345,0.11317616342968405,5.1531274042371065,11.895847677301003,0.5129351160750529,-6.884764757378968e-29,0.0010131022384925357,0.37646576988564123,7.00995238627585e-05,0.9785752270055659,0.6108702377361181,9.389165270824623,-0.012711566691612892,0.01883386659646963,5.583324716989291,0.12136768051453603,4.6431015358664425,4.613811140652677,-9.709631783385302e-29,0.30638129483360926
1500,0.0007073907260420408,3.9035317798050837,0.08287520901331914,221.06368175011588,0.024880181029641013,0.0010279413389843962,660.0524719302967,8.364685024059158,-5.856697135542762e-29,0.38924586323453153,6.359089292716342e-05,0.000935015695537037,-0.0026641336887615933,0.0021958800113003525,5.610132030292202e-06,0.7650717791124251,0.7776242467007523,9.22236703925873,0.03525054951234944,409.77523619725457,5.592437634772035,0.11318732369290091,5.222776467743514,13.890455709653793,0.5126679892720173,-7.113183646253343e-29,0.0009958601132938362,0.3768869735345285,7.010768867521273e-05,0.9782006310676883,0.6109498911120695,9.38911383158251,0.07449646076885041,0.019375030873565947,5.584456584831773,0.12042899752372922,5.301558845976057,4.605558998059313,-9.61256105175396e-29,0.3281303685770788
1600,0.0007209686988770601,3.903870722411484,0.08200521983821388,221.06367578515744,0.04026708491100844,0.0010171393883634055,658.0481944498531,8.58465958524179,-5.838532363075153e-29,0.38930404192206236,6.336195057737192e-05,0.0009331596314785418,0.0016703502251338538,0.002322256558305992,5.476898051397818e-06,0.765099497815014,0.7776337509296756,9.222360708027455,0.04357876438728329,409.7751824394435,5.593042719517241,0.11240584340132066,5.256503773065046,16.120562649755758,0.5317111038781963,-7.218049555541199e-29,0.0009911470387332878,0.37704758227214513,6.981070183914635e-05,0.9782667722422074,0.6109805125555373,9.38898833119653,-0.030594387544646662,0.019683789211711235,5.586196542623487,0.11928116923553181,5.55667017991961,4.515928936601004,-9.523566433421822e-29,0.3503647354744107
